,open,high,low,close,adj_close,volume
1998-01-02,81.3800,81.5000,79.8800,81.5000,21.6563,295644
1998-01-05,81.0000,83.2500,81.0000,82.7500,21.9884,347244
1998-01-06,82.0000,82.8800,81.2500,82.6300,21.9565,483867
1998-01-07,82.1300,82.5000,80.0000,80.8800,21.4915,259244
1998-01-08,79.8800,80.5000,79.5000,80.0000,21.2577,215778
1998-01-09,79.8800,80.5000,78.7500,79.0000,20.9920,411778
1998-01-12,78.8800,79.8800,77.5000,79.0000,20.9920,384578
1998-01-13,79.5000,81.2500,79.5000,80.5000,21.3905,208578
1998-01-14,80.3800,80.3800,75.6300,76.0000,20.1948,806667
1998-01-15,76.7500,76.7500,74.2500,75.8100,20.1443,697600
1998-01-16,76.7500,77.2500,76.0000,76.7500,20.3941,513378
1998-01-20,77.5000,78.0000,76.5000,77.5000,20.5934,504000
1998-01-21,77.5000,78.7500,76.7500,77.8800,20.6944,428400
1998-01-22,77.8800,78.3800,77.2500,78.0000,20.7262,287067
1998-01-23,77.6300,77.8800,76.0000,76.1300,20.2293,230178
1998-01-26,77.0000,77.0000,75.8800,76.0000,20.1948,259244
1998-01-27,76.1300,78.0000,76.0000,77.8100,20.6758,398267
1998-01-28,78.0000,78.3800,77.5000,78.1900,20.7767,194844
1998-01-29,77.7500,79.6300,77.6300,78.8800,20.9601,344000
1998-01-30,78.3800,78.8800,76.2500,76.2500,20.2612,330978
1998-02-02,77.1300,78.2500,77.0600,77.8800,20.6944,437200
1998-02-03,77.8800,79.3800,77.2500,79.3100,21.0743,394444
1998-02-04,78.2500,78.6300,77.8800,78.4400,20.8432,296400
1998-02-05,78.5000,78.5000,77.2500,77.7500,20.6598,156444
1998-02-06,77.6300,79.2500,77.6300,79.1300,21.0265,247867
1998-02-09,78.9400,79.1300,78.3800,79.0000,20.9920,136800
1998-02-10,79.1300,79.7500,78.8800,79.0000,20.9920,149644
1998-02-11,79.1300,79.7500,78.8800,79.3800,21.0929,122400
1998-02-12,79.6300,79.7500,77.6300,79.5600,21.1408,301200
1998-02-13,79.0000,79.5600,78.5600,79.3800,21.0929,127378
1998-02-17,78.8800,79.6300,78.3800,79.3800,21.0929,459867
1998-02-18,79.2500,80.1300,79.1300,79.9400,21.2417,349644
1998-02-19,79.9400,79.9400,79.1300,79.4400,21.1089,398667
1998-02-20,79.6300,80.0000,79.1300,79.3800,21.0929,425200
1998-02-23,79.6300,80.0000,78.7500,79.2500,21.0584,216267
1998-02-24,79.1900,79.5000,79.0600,79.1300,21.0265,190000
1998-02-25,79.5000,80.8800,79.2500,79.9400,21.2417,264800
1998-02-26,80.2500,80.5000,79.1300,80.2500,21.3241,138978
1998-02-27,79.9400,80.0000,78.7500,79.0000,20.9920,154844
1998-03-02,79.3800,79.5000,77.1900,78.1600,20.7688,216978
1998-03-03,77.8800,79.0000,77.3800,78.0600,20.7422,203600
1998-03-04,78.3800,78.6300,77.5000,78.0000,20.7262,155378
1998-03-05,77.0000,77.7500,76.0000,77.1900,20.5110,186844
1998-03-06,77.1300,78.2500,77.1300,78.2500,20.7927,260444
1998-03-09,78.0000,79.1300,77.3800,78.1300,20.7608,143867
1998-03-10,78.1300,79.1300,77.7500,79.1300,21.0265,133378
1998-03-11,78.8800,79.1300,78.5000,79.0000,20.9920,116978
1998-03-12,78.5000,79.1300,78.1300,78.9100,20.9681,162000
