,open,high,low,close,adj_close,volume
1998-01-02,20.1200,20.5000,19.6200,19.7500,2.2176,16100
1998-01-05,19.5000,20.1200,19.3800,20.1200,2.2592,4900
1998-01-06,20.1200,20.1200,19.6200,19.6200,2.2030,3500
1998-01-07,19.3800,19.6200,18.3800,18.7500,2.1053,37100
1998-01-08,18.7500,19.6200,18.7500,19.2500,2.1615,10200
1998-01-09,19.2500,19.6200,19.0000,19.0000,2.1334,15700
1998-01-12,18.5000,19.0000,18.5000,19.0000,2.1334,600
1998-01-13,19.5000,20.0000,18.7500,20.0000,2.2457,4000
1998-01-14,19.3800,20.0000,19.3800,19.3800,2.1761,7100
1998-01-15,19.6200,20.0000,19.6200,20.0000,2.2457,1000
1998-01-16,20.0000,20.0600,19.6200,19.7800,2.2210,16600
1998-01-20,20.0000,20.0000,19.7500,19.7500,2.2176,43000
1998-01-21,19.2500,19.5000,19.2500,19.5000,2.1896,500
1998-01-22,20.0000,20.0000,19.2500,19.5000,2.1896,59600
1998-01-23,19.2500,19.2500,19.0000,19.0000,2.1334,5200
1998-01-26,19.0000,19.8800,19.0000,19.0000,2.1334,2000
1998-01-27,19.8800,19.8800,18.6200,18.6200,2.0907,28400
1998-01-28,18.5000,18.5000,18.3800,18.5000,2.0773,11400
1998-01-29,18.1200,18.2500,17.3800,18.2500,2.0492,30100
1998-01-30,18.2500,18.2500,17.6200,17.7500,1.9931,24900
1998-02-02,17.7500,18.0000,16.7500,16.8800,1.8954,123800
1998-02-03,16.8800,17.2500,16.8800,16.8800,1.8954,22700
1998-02-04,17.6200,17.6200,16.8800,17.3800,1.9515,51100
1998-02-05,17.6200,19.3800,17.6200,19.3800,2.1761,95700
1998-02-06,19.0000,19.1900,18.3800,18.4400,2.0705,38500
1998-02-09,19.1200,19.1200,18.5000,18.6200,2.0907,17900
1998-02-10,18.6900,19.0000,18.5600,18.7500,2.1053,72100
1998-02-11,18.5000,18.7500,18.5000,18.7500,2.1053,2300
1998-02-12,18.7500,18.7500,18.5000,18.5600,2.0840,121600
1998-02-13,18.5000,19.1200,18.5000,19.0000,2.1334,4700
1998-02-17,18.7500,19.1200,18.7500,18.8800,2.1199,24700
1998-02-18,19.1200,19.5000,18.7500,19.5000,2.1896,70700
1998-02-19,19.7500,19.7500,19.2500,19.2500,2.1615,43500
1998-02-20,19.1200,19.5000,19.0000,19.0000,2.1334,82800
1998-02-23,19.3800,19.3800,19.0000,19.2500,2.1615,36700
1998-02-24,19.2500,19.5000,19.0000,19.4400,2.1828,30500
1998-02-25,19.3800,19.3800,18.8800,19.1200,2.1469,4700
1998-02-26,18.8800,19.7500,18.8800,19.6200,2.2030,11400
1998-02-27,19.6200,19.6200,19.2500,19.2500,2.1615,36500
1998-03-02,19.3800,19.5000,19.2500,19.2500,2.1615,20800
1998-03-03,19.1200,19.3800,19.0000,19.3800,2.1761,34200
1998-03-04,18.8800,19.3800,18.8800,19.2500,2.1615,16600
1998-03-05,18.8800,19.2500,18.8800,19.2500,2.1615,4700
1998-03-06,19.5000,19.5000,19.0000,19.1900,2.1547,25100
1998-03-09,19.0000,19.3800,19.0000,19.2500,2.1615,5800
1998-03-10,19.0000,20.5000,19.0000,20.5000,2.3018,90400
1998-03-11,20.0000,20.2500,19.7500,20.1200,2.2592,28400
1998-03-12,19.7500,20.3800,19.7500,20.0000,2.2457,55700
1998-03-13,20.1200,20.3800,19.7500,20.1200,2.2592,16400
1998-03-16,20.0000,20.2500,19.8800,20.0000,2.2457,9200
1998-03-17,19.8800,20.5000,19.8800,20.5000,2.3018,13100
1998-03-18,20.5000,20.5000,20.2500,20.2500,2.2738,3800
1998-03-19,19.8800,20.6200,19.8800,20.2500,2.2738,3000
1998-03-20,19.8800,20.6200,19.8800,20.0000,2.2457,12000
