,open,high,low,close,adj_close,volume
2000-12-01,21.0000,28.1200,21.0000,27.0000,10.6299,11600
2000-12-04,27.7500,30.0000,27.2500,30.0000,11.8110,15500
2000-12-05,31.0000,31.0000,30.0000,30.2500,11.9094,6400
2000-12-06,30.0000,30.3800,30.0000,30.0000,11.8110,5200
2000-12-07,30.0000,30.0000,29.6200,29.6200,11.6614,1300
2000-12-08,29.8800,30.0000,29.8800,30.0000,11.8110,2100
2000-12-11,29.8800,30.3800,29.6200,30.3800,11.9606,16300
2000-12-12,29.7500,30.2500,29.7500,30.2500,11.9094,1800
2000-12-13,30.5000,30.7500,30.5000,30.7500,12.1063,1200
2000-12-14,30.6200,30.6200,30.5000,30.5000,12.0079,1400
2000-12-15,30.1200,30.2500,29.5000,29.5000,11.6142,41500
2000-12-18,29.5000,30.2500,29.5000,30.2500,11.9094,11600
2000-12-19,30.0000,30.5000,30.0000,30.2500,11.9094,1800
2000-12-20,30.0000,30.0000,29.2500,29.5000,11.6142,21200
2000-12-21,29.3800,29.3800,28.7500,28.8800,11.3701,121700
2000-12-22,29.5000,33.1900,29.5000,32.6900,12.8701,292600
2000-12-26,32.5600,32.8800,32.1200,32.3100,12.7205,139300
2000-12-27,32.4400,33.0600,32.4400,33.0600,13.0157,210500
2000-12-28,32.6900,33.2500,32.6300,33.1900,13.0669,158100
2000-12-29,33.0600,33.3100,31.7500,33.0600,13.0157,269900
2001-01-02,33.0000,34.6300,33.0000,34.2500,13.4842,285200
2001-01-03,34.8800,35.1300,34.3100,34.7500,13.6811,412100
2001-01-04,34.6300,34.7500,34.2500,34.6300,13.6339,262600
2001-01-05,34.4400,34.6900,33.5000,33.6300,13.2402,678800
2001-01-08,34.0000,34.0600,33.5000,33.6900,13.2638,921800
2001-01-09,33.4400,33.6300,33.3100,33.5600,13.2126,211100
2001-01-10,33.3100,33.6300,33.2500,33.5600,13.2126,207100
2001-01-11,33.5600,33.6900,33.1900,33.4400,13.1653,261700
2001-01-12,33.3100,33.4400,33.2500,33.2500,13.0905,401300
2001-01-16,32.7500,33.1300,32.7500,33.0000,12.9921,270500
2001-01-17,33.0000,33.7500,32.8800,33.4400,13.1653,205300
2001-01-18,33.2500,33.5600,33.0600,33.4400,13.1653,399100
2001-01-19,33.1900,33.3800,32.8100,32.9400,12.9685,255600
2001-01-22,32.4400,32.8800,32.1900,32.4400,12.7716,184200
2001-01-23,32.2500,32.6300,32.0000,32.6300,12.8465,291500
2001-01-24,32.5000,32.6900,32.0000,32.5600,12.8189,239900
2001-01-25,32.5000,33.2500,32.5000,33.1900,13.0669,204100
2001-01-26,33.1900,33.4400,33.0600,33.1900,13.0669,322700
2001-01-29,33.0200,33.1800,32.7500,32.8200,12.9213,386200
2001-01-30,32.5700,32.5700,31.7000,31.8200,12.5276,188600
2001-01-31,31.2000,32.5400,31.2000,32.4400,12.7716,316600
2001-02-01,31.6000,36.0000,31.6000,34.5100,13.5866,716700
2001-02-02,34.4000,35.2500,34.1000,34.1200,13.4331,519800
2001-02-05,33.9200,35.3500,33.7000,33.7000,13.2677,332500
2001-02-06,33.1900,35.1900,33.1900,35.0100,13.7835,363300
2001-02-07,35.0100,36.4500,35.0100,36.2200,14.2598,414900
2001-02-08,36.0000,38.0100,35.8900,38.0100,14.9646,599200
2001-02-09,37.6300,38.5200,37.3000,38.5200,15.1653,377500
2001-02-12,38.5200,39.4700,38.2600,39.4000,15.5118,390800
2001-02-13,38.6000,39.9000,38.4600,39.1900,15.4291,484400
2001-02-14,38.7000,39.1000,38.4500,38.7000,15.2362,279500
2001-02-15,38.9000,39.4300,38.8600,39.1800,15.4252,251100
2001-02-16,38.0000,38.3000,37.2400,37.5400,14.7795,223000
2001-02-20,37.5100,37.8900,36.2000,36.2000,14.2520,201300
2001-02-21,36.2000,36.5600,36.0700,36.1000,14.2126,181800
2001-02-22,36.1000,36.7500,35.6700,36.7100,14.4528,317800
2001-02-23,36.7100,37.1500,36.7000,37.0500,14.5866,456500
2001-02-26,37.5000,40.0000,37.5000,39.5000,15.5512,1080400
2001-02-27,38.5000,38.9800,38.3300,38.4800,15.1496,417900
2001-02-28,38.0000,39.2000,37.9700,38.1200,15.0079,402400
2001-03-01,38.7500,39.0000,37.3700,38.2500,15.0590,367400
2001-03-02,38.1500,40.5000,38.0500,40.4100,15.9094,551300
2001-03-05,41.0000,47.0000,40.2000,46.3500,18.2480,1499400
2001-03-06,44.5000,45.7800,42.0000,43.0600,16.9527,1928200
2001-03-07,42.5000,45.3000,42.5000,44.8000,17.6378,1223600
2001-03-08,44.7000,47.5000,44.7000,46.7500,18.4055,1298200
2001-03-09,46.0000,46.9900,45.8100,46.8400,18.4409,1146800
2001-03-12,46.2500,47.0000,46.0500,46.2100,18.1929,682800
2001-03-13,46.2500,46.4500,44.1000,45.0000,17.7795,506100
2001-03-14,44.5000,45.3500,42.5000,42.9700,16.9775,811000
2001-03-15,43.2000,45.0700,43.1000,44.9600,17.7637,620300
2001-03-16,44.1000,44.3500,43.5800,44.1000,17.4239,995300
2001-03-19,44.2000,44.8500,43.5000,43.6400,17.2422,388100
2001-03-20,43.7000,44.1000,43.4500,43.4600,17.1711,266500
2001-03-21,43.7500,43.7500,42.1500,42.3800,16.7444,298500
2001-03-22,42.1300,42.5900,39.4000,40.3200,15.9305,426500
2001-03-23,40.9000,41.7500,40.7000,41.4100,16.3611,440500
2001-03-26,41.2000,42.1500,41.1000,41.5400,16.4125,279000
2001-03-27,41.6000,41.8900,41.4000,41.8800,16.5468,338000
2001-03-28,42.3800,42.7000,42.0400,42.0800,16.6258,379200
2001-03-29,42.0800,45.4900,42.0800,45.2700,17.8862,1605200
2001-03-30,45.7500,46.0000,44.4000,44.5000,17.5820,1787000
