,open,high,low,close,adj_close,volume
1998-01-02,27.8100,27.8100,27.3800,27.5000,7.1540,31000
1998-01-05,27.5000,27.9400,26.5600,26.5600,6.9094,189600
1998-01-06,26.8100,27.2500,26.8100,27.1300,7.0577,403900
1998-01-07,27.0600,27.3800,27.0000,27.3800,7.1228,75000
1998-01-08,27.5600,27.9400,27.1300,27.8100,7.2346,74100
1998-01-09,27.7500,27.7500,27.0000,27.1300,7.0577,147400
1998-01-12,26.8800,26.9400,26.6300,26.6300,6.9276,31200
1998-01-13,26.7500,27.0000,26.7500,26.9400,7.0083,72400
1998-01-14,27.1300,28.0000,27.1300,27.8800,7.2528,58500
1998-01-15,27.8800,27.8800,27.1900,27.2500,7.0889,69400
1998-01-16,27.2500,27.9400,27.2500,27.9400,7.2684,36600
1998-01-20,27.9400,28.2500,27.8100,27.8100,7.2346,68200
1998-01-21,27.7500,27.7500,27.2500,27.3100,7.1045,25000
1998-01-22,27.3100,27.3100,27.1900,27.2500,7.0889,50300
1998-01-23,27.2500,27.3800,27.1900,27.2500,7.0889,54400
1998-01-26,27.2500,27.2500,26.7500,26.8800,6.9927,35700
1998-01-27,26.7500,26.9400,26.6900,26.8100,6.9745,125700
1998-01-28,26.7500,26.9400,26.5000,26.8800,6.9927,101600
1998-01-29,26.8800,27.0000,26.5000,27.0000,7.0239,92700
1998-01-30,27.0000,27.1900,26.5000,26.8800,6.9927,60800
1998-02-02,26.9400,28.1300,26.9400,27.8100,7.2346,79600
1998-02-03,27.9400,28.9400,27.8800,28.6900,7.4635,56000
1998-02-04,28.7500,29.3100,28.6300,29.1900,7.5936,91800
1998-02-05,29.0600,29.4400,28.5000,28.9400,7.5286,89900
1998-02-06,29.1900,29.1900,28.7500,28.7500,7.4791,32100
1998-02-09,28.6900,29.0000,28.6900,28.7500,7.4791,80500
1998-02-10,28.7500,29.4400,28.7500,29.4400,7.6586,264000
1998-02-11,29.4400,30.5600,29.4400,30.5600,7.9500,178800
1998-02-12,30.3800,31.6300,30.3100,31.6300,8.2284,182300
1998-02-13,31.5000,31.5600,31.2500,31.3100,8.1451,270700
1998-02-17,30.8800,31.3100,30.6300,31.0600,8.0801,188500
1998-02-18,31.2500,31.5000,30.8100,30.9400,8.0489,102200
1998-02-19,30.9400,30.9400,30.2500,30.2500,7.8694,59200
1998-02-20,30.0000,30.6300,30.0000,30.4400,7.9188,75000
1998-02-23,30.8800,31.9400,30.8800,31.6300,8.2284,225000
