,open,high,low,close,adj_close,volume
1998-01-02,20.3800,20.3800,19.7500,20.3100,13.4831,515200
1998-01-05,20.6900,20.8100,20.5000,20.8100,13.8150,438500
1998-01-06,20.7500,20.8100,20.3100,20.7500,13.7752,161100
1998-01-07,20.6200,20.6200,20.2500,20.3100,13.4831,251000
1998-01-08,20.1200,20.8100,19.8100,20.8100,13.8150,321500
1998-01-09,20.6900,20.6900,19.6200,19.6900,13.0715,425500
1998-01-12,19.3800,19.3800,18.5600,18.9400,12.5736,1732600
1998-01-13,19.0600,19.2500,19.0000,19.1900,12.7395,826100
1998-01-14,19.5000,20.0000,19.2500,20.0000,13.2773,537800
1998-01-15,20.1900,20.1900,19.6900,19.7500,13.1113,165000
1998-01-16,19.8800,20.1200,19.8800,19.9400,13.2374,417300
1998-01-20,20.0600,20.2500,19.9400,20.0600,13.3171,469800
1998-01-21,19.9400,20.3100,19.8800,20.3100,13.4831,547700
1998-01-22,20.1200,20.1200,19.8800,20.0000,13.2773,259800
1998-01-23,19.9400,20.0000,19.7500,19.9400,13.2374,230200
1998-01-26,20.0000,20.2500,19.9100,20.0000,13.2773,196400
1998-01-27,19.9400,20.1900,19.7500,19.8100,13.1511,263200
1998-01-28,19.8100,20.8100,19.8100,20.5600,13.6490,317100
1998-01-29,20.5600,22.3100,20.5600,21.6200,14.3527,1035900
1998-01-30,21.6900,22.0000,21.5600,21.7500,14.4390,394600
1998-02-02,22.0000,22.3100,21.8800,22.3100,14.8108,898200
1998-02-03,22.1900,22.6900,21.9400,22.6900,15.0631,604100
1998-02-04,22.5600,22.6200,22.0600,22.1900,14.7311,225400
1998-02-05,22.2500,22.7500,22.0000,22.0600,14.6448,458200
1998-02-06,22.0600,22.1200,21.5000,21.5600,14.3129,320400
1998-02-09,21.6200,22.3100,21.5000,22.2500,14.7710,264700
1998-02-10,22.2500,22.9400,22.2500,22.8800,15.1892,448700
1998-02-11,22.8100,23.1200,22.6200,22.8100,15.1427,305400
1998-02-12,22.8100,23.3800,22.6200,23.3100,15.4747,310300
1998-02-13,23.4400,23.4400,23.0000,23.0600,15.3087,240100
1998-02-17,23.1900,23.3800,23.0600,23.3100,15.4747,277000
1998-02-18,23.0600,23.8100,23.0000,23.7500,15.7668,306100
1998-02-19,23.5000,23.8100,23.1200,23.4400,15.5610,135600
1998-02-20,23.4400,24.0000,23.0600,24.0000,15.9327,456100
1998-02-23,24.2500,24.2500,23.6900,23.8100,15.8066,267300
1998-02-24,23.8100,23.8800,23.6200,23.7500,15.7668,158500
1998-02-25,23.6200,23.6900,23.3100,23.3800,15.5211,321800
1998-02-26,23.3800,23.9400,23.2500,23.9400,15.8929,141000
1998-02-27,23.8100,23.8100,23.4400,23.7500,15.7668,134300
1998-03-02,23.5000,23.6900,23.1200,23.1900,15.3950,231700
1998-03-03,23.1200,24.0000,23.0600,23.9400,15.8929,216400
1998-03-04,23.6900,23.8100,23.5000,23.6200,15.6805,112800
1998-03-05,23.5000,23.5000,23.0600,23.3100,15.4747,207000
1998-03-06,23.2500,23.8800,23.2500,23.8800,15.8531,250800
1998-03-09,23.7500,24.5000,23.6200,24.3100,16.1385,294700
1998-03-10,24.3100,24.4400,24.0000,24.3800,16.1850,173500
1998-03-11,24.3100,24.3100,23.8100,24.0000,15.9327,179500
1998-03-12,24.2500,25.0600,23.8100,24.0000,15.9327,736400
1998-03-13,24.0000,24.7500,23.8800,24.2500,16.0987,911100
1998-03-16,24.3800,25.2500,24.3800,25.1900,16.7227,503200
1998-03-17,25.1900,26.0000,25.0600,25.7500,17.0945,906800
1998-03-18,25.6900,26.5000,25.6900,26.5000,17.5924,981800
1998-03-19,26.2500,26.5000,25.9400,26.0000,17.2605,389100
1998-03-20,26.3800,26.9400,26.0000,26.6200,17.6721,460200
1998-03-23,26.6900,27.0000,26.5000,26.6200,17.6721,566400
1998-03-24,26.6200,26.6900,26.5000,26.6200,17.6721,368800
1998-03-25,26.5600,26.9400,26.5000,26.9400,17.8845,375100
1998-03-26,26.9400,27.2500,26.4400,26.5600,17.6322,580400
1998-03-27,26.3100,26.5000,25.5600,25.5600,16.9684,864700
1998-03-30,25.5600,25.5600,24.9400,25.1900,16.7227,2015900
1998-03-31,25.1200,25.1200,24.8100,25.0000,16.5966,1285800
1998-04-01,25.0000,25.0600,24.7500,24.9400,16.5568,1349400
1998-04-02,24.8800,25.1900,24.7500,24.9400,16.5568,755800
1998-04-03,24.9400,25.5000,24.8100,25.3800,16.8489,440100
1998-04-06,25.3800,25.8800,25.0000,25.5000,16.9285,761300
1998-04-07,25.4400,25.6200,25.2500,25.4400,16.8887,244600
1998-04-08,25.5600,25.5600,25.0000,25.1900,16.7227,368400
1998-04-09,25.1200,25.1200,24.8800,25.0600,16.6364,279900
1998-04-13,24.9400,24.9400,24.2500,24.5000,16.2647,304000
1998-04-14,24.3800,24.6200,24.0600,24.6200,16.3443,316800
1998-04-15,24.5600,24.9400,24.4400,24.8800,16.5169,236100
1998-04-16,24.8800,24.9400,24.3800,24.6200,16.3443,220200
1998-04-17,24.6200,24.9400,24.1200,24.8800,16.5169,201000
1998-04-20,24.8800,24.8800,24.2500,24.3100,16.1385,314600
1998-04-21,24.3100,24.5600,24.1200,24.3100,16.1385,377400
1998-04-22,24.3800,24.8100,24.2500,24.6900,16.3908,176500
1998-04-23,24.5600,24.6900,24.3100,24.3800,16.1850,323800
1998-04-24,24.2500,24.2500,23.0000,23.4400,15.5610,395500
1998-04-27,23.3100,23.3100,22.6900,23.0000,15.2689,564500
1998-04-28,23.1900,23.2500,22.7500,22.8100,15.1427,559100
1998-04-29,22.8800,22.9400,22.1900,22.7500,15.1029,439600
1998-04-30,23.0000,23.0600,22.8800,23.0000,15.2689,722000
1998-05-01,23.1200,23.2500,22.8100,22.8800,15.1892,374400
1998-05-04,23.0000,23.2500,22.7500,23.1200,15.3485,357600
1998-05-05,22.9400,23.0000,22.3800,22.8800,15.1892,147100
1998-05-06,22.6900,22.7500,21.7500,21.8800,14.5253,202600
1998-05-07,22.0000,23.0000,21.6900,23.0000,15.2689,389400
1998-05-08,22.1200,22.1200,20.5000,21.2500,14.1071,6513900
1998-05-11,21.1900,21.1900,20.8800,20.9400,13.9013,974700
1998-05-12,21.0000,21.5600,20.9400,21.5000,14.2731,2771800
1998-05-13,21.5000,21.5600,21.2500,21.3100,14.1469,1064000
1998-05-14,21.2500,21.3800,21.1200,21.1200,14.0208,712800
1998-05-15,21.0000,21.0600,20.8100,20.8100,13.8150,491200
1998-05-18,20.7500,20.8100,20.3100,20.3800,13.5295,753300
1998-05-19,20.3800,20.8100,20.3800,20.5000,13.6092,581100
1998-05-20,20.5000,20.6900,20.3800,20.5000,13.6092,419700
1998-05-21,20.3800,20.9400,20.3800,20.5600,13.6490,382100
1998-05-22,20.5600,20.5600,20.3800,20.4400,13.5694,184800
1998-05-26,20.4400,20.4400,20.0000,20.0600,13.3171,347200
1998-05-27,19.8100,19.8800,19.5000,19.5000,12.9453,486500
1998-05-28,19.5000,19.6200,19.4400,19.5600,12.9852,286500
1998-05-29,19.6900,19.9400,19.5600,19.7500,13.1113,1137200
1998-06-01,19.7500,19.7500,19.2500,19.5000,12.9453,282200
1998-06-02,19.5600,19.5600,19.0000,19.3100,12.8192,387900
1998-06-03,19.2500,19.6200,19.2500,19.3800,12.8657,588700
1998-06-04,19.1200,19.5000,19.0000,19.5000,12.9453,506000
1998-06-05,19.7500,20.0000,19.5000,19.8800,13.1976,1125500
1998-06-08,19.9400,20.1200,19.6900,19.7500,13.1113,445300
1998-06-09,19.7500,20.3800,19.7500,20.3800,13.5295,850700
1998-06-10,20.3800,21.0600,20.3100,20.5600,13.6490,1499000
1998-06-11,20.5600,20.5600,19.6200,19.8100,13.1511,626500
1998-06-12,19.8100,20.2500,19.5600,19.6200,13.0250,512400
1998-06-15,19.6200,19.8800,19.0000,19.0000,12.6134,286100
1998-06-16,19.2500,19.4400,19.1200,19.2500,12.7794,506000
1998-06-17,19.3100,19.6900,19.3100,19.5600,12.9852,431100
1998-06-18,19.5600,19.8800,19.3100,19.8800,13.1976,192700
1998-06-19,19.3100,19.6200,19.1200,19.6200,13.0250,410600
1998-06-22,19.5600,19.6200,19.1900,19.2500,12.7794,217600
1998-06-23,19.1200,19.5000,19.0600,19.4400,12.9055,368300
1998-06-24,19.4400,19.5000,19.1200,19.2500,12.7794,517600
1998-06-25,19.3800,19.3800,18.7500,19.0000,12.6134,975800
1998-06-26,18.7500,18.7500,18.5000,18.6900,12.4076,465300
1998-06-29,18.8100,18.8100,18.5000,18.7500,12.4474,318800
1998-06-30,18.7500,19.3100,18.7500,19.1200,12.6931,741300
1998-07-01,19.3800,20.1900,19.2500,20.1900,13.4034,876700
1998-07-02,20.8100,21.5000,20.8100,20.8800,13.8615,1920500
1998-07-06,20.8800,21.0000,20.6200,21.0000,13.9411,778500
1998-07-07,18.0000,18.6900,17.7500,18.2500,12.1155,3276700
1998-07-08,18.1200,18.1200,17.8800,18.0000,11.9496,1201500
1998-07-09,18.0000,18.0600,17.5000,17.5000,11.6176,453500
1998-07-10,17.5000,17.5000,17.2500,17.4400,11.5778,235100
1998-07-13,17.3800,17.5600,17.2500,17.3800,11.5380,442300
1998-07-14,17.1900,17.3100,16.8800,16.9400,11.2459,601800
1998-07-15,16.9400,18.1200,16.9400,17.9400,11.9097,2146400
1998-07-16,17.9400,18.0000,17.2500,17.5000,11.6176,1103200
1998-07-17,17.5000,17.5600,17.0000,17.0000,11.2857,461600
1998-07-20,17.0000,17.0600,16.8100,16.9400,11.2459,299600
1998-07-21,16.9400,17.1200,16.8100,16.8100,11.1596,331700
1998-07-22,16.8800,16.8800,16.3800,16.7500,11.1197,346900
1998-07-23,16.6900,16.6900,16.2500,16.3100,10.8276,373200
1998-07-24,16.4400,16.5600,15.6900,15.8100,10.4957,490800
1998-07-27,15.6900,15.6900,15.2500,15.5600,10.3297,314600
1998-07-28,15.5600,16.1200,15.1900,15.2500,10.1239,1292500
1998-07-29,15.3800,15.5600,14.9400,15.0000,9.9580,305800
1998-07-30,14.8800,15.1900,14.7500,15.0000,9.9580,513800
1998-07-31,15.0000,15.0000,14.3100,14.3800,9.5464,452400
1998-08-03,14.3800,14.3800,13.8100,13.8100,9.1680,722700
1998-08-04,13.8100,14.0600,13.0600,13.0600,8.6701,432700
1998-08-05,13.0600,13.1200,12.5600,12.9400,8.5904,523400
1998-08-06,12.8800,14.4400,12.8100,14.4400,9.5862,1067900
1998-08-07,14.3100,14.4400,13.8100,14.1900,9.4202,417200
1998-08-10,14.0600,14.0600,13.0600,13.1900,8.7564,502800
1998-08-11,12.9400,13.5000,12.6200,13.4400,8.9223,479400
1998-08-12,13.5000,13.8100,13.1900,13.3800,8.8825,540600
1998-08-13,13.2500,13.3100,12.5000,12.6900,8.4244,531000
1998-08-14,12.7500,12.8800,12.3800,12.6200,8.3780,464300
1998-08-17,12.5000,13.0000,12.3800,12.6900,8.4244,401500
1998-08-18,12.5600,12.7500,12.4400,12.4400,8.2585,348000
1998-08-19,12.5600,12.5600,12.1900,12.1900,8.0925,280300
1998-08-20,12.0600,12.3800,11.8100,12.0000,7.9664,320600
1998-08-21,11.7500,11.8100,10.7500,11.3100,7.5083,1087700
1998-08-24,11.3100,11.3100,10.4400,10.4400,6.9307,662200
1998-08-25,10.6900,11.0900,10.6900,10.9400,7.2627,1306200
1998-08-26,10.7500,10.9400,10.5600,10.5600,7.0104,792700
1998-08-27,10.5000,10.5000,9.4400,9.5600,6.3465,912800
1998-08-28,9.6900,9.8800,9.1900,9.3800,6.2270,425500
1998-08-31,9.6200,9.6900,8.8800,9.0600,6.0146,590500
1998-09-01,9.3100,9.6900,8.7500,9.6200,6.3864,519100
1998-09-02,9.6200,10.1200,9.3800,9.5600,6.3465,733800
1998-09-03,9.3100,9.8100,9.0600,9.1200,6.0544,1720700
1998-09-04,9.2500,9.3100,8.4400,8.5600,5.6827,1060200
1998-09-08,8.9400,9.1200,8.8100,8.9400,5.9349,492700
1998-09-09,8.9400,9.0000,8.7500,8.8800,5.8951,367400
1998-09-10,8.8100,9.0000,8.4400,8.6200,5.7225,1451900
1998-09-11,8.7500,9.3800,8.7500,9.3100,6.1806,499900
1998-09-14,9.4400,10.0000,9.3800,9.8100,6.5125,360100
1998-09-15,9.9400,10.6900,9.5600,10.5600,7.0104,742100
1998-09-16,10.8800,11.4400,10.3800,10.4400,6.9307,1655800
1998-09-17,10.0000,10.3100,9.8100,9.8100,6.5125,970100
1998-09-18,9.8800,10.1200,9.8800,10.1200,6.7183,601000
1998-09-21,9.7500,9.8100,9.4400,9.8100,6.5125,507600
1998-09-22,10.2500,10.6900,9.7500,10.0000,6.6386,409800
1998-09-23,10.0600,10.2500,9.9400,10.1200,6.7183,601800
1998-09-24,10.1200,10.1200,9.6200,9.6200,6.3864,549700
1998-09-25,9.5600,9.7500,9.3100,9.5000,6.3067,344000
1998-09-28,9.5600,9.8800,9.0000,9.1900,6.1009,418600
1998-09-29,9.3100,9.3800,8.8800,8.9400,5.9349,506200
1998-09-30,8.9400,9.0000,8.4400,8.6900,5.7690,981200
1998-10-01,8.5600,8.5600,8.1200,8.3800,5.5632,414600
1998-10-02,8.3800,8.9400,8.3100,8.8100,5.8486,478900
1998-10-05,8.9400,8.9400,8.1900,8.3100,5.5167,523800
1998-10-06,8.4400,8.5600,7.9400,7.9400,5.2711,458400
1998-10-07,8.1200,8.1200,7.1900,7.4400,4.9391,528900
1998-10-08,7.4400,7.5000,7.0000,7.0600,4.6869,514400
1998-10-09,7.1200,7.1200,6.7500,7.0600,4.6869,1392400
1998-10-12,7.2500,7.8800,7.2500,7.5000,4.9790,387300
