,open,high,low,close,adj_close,volume
1998-01-02,67.2500,67.7500,66.7500,67.6900,11.2717,89300
1998-01-05,67.9400,68.2500,67.0000,67.5000,11.2400,96800
1998-01-06,67.6300,68.3800,67.3800,67.5000,11.2400,90500
1998-01-07,67.7500,67.7500,66.1300,66.3800,11.0535,73200
1998-01-08,66.3800,66.3800,65.0000,65.7500,10.9486,98200
1998-01-09,65.7500,65.8800,62.3100,62.6300,10.4291,116900
1998-01-12,62.2500,64.1300,62.2500,64.1300,10.6789,93300
1998-01-13,64.1300,64.8800,63.2500,63.7500,10.6156,115000
1998-01-14,63.9400,64.0000,63.0000,64.0000,10.6572,71300
1998-01-15,64.2500,64.2500,62.8100,62.8800,10.4707,58500
1998-01-16,63.2500,64.2500,63.2500,64.0000,10.6572,98800
1998-01-20,64.3800,64.6300,63.8100,64.3100,10.7088,60700
1998-01-21,64.5600,65.3100,63.7500,64.0600,10.6672,97400
1998-01-22,64.0000,64.5000,63.8800,64.0600,10.6672,37800
1998-01-23,64.3100,64.8100,63.7500,64.3800,10.7205,91400
1998-01-26,64.3100,65.4400,64.3100,64.6900,10.7721,131300
1998-01-27,64.6900,65.7500,64.3100,65.3100,10.8754,168000
1998-01-28,65.6300,66.8800,65.6300,66.5600,11.0835,81200
1998-01-29,66.3800,67.7500,66.3800,67.1900,11.1884,82600
1998-01-30,67.1300,67.6300,67.0600,67.2500,11.1984,84200
1998-02-02,67.7500,68.3800,67.7500,68.1900,11.3549,113600
1998-02-03,68.2500,68.5000,67.8400,68.1900,11.3549,214500
1998-02-04,68.0000,69.1900,68.0000,68.8800,11.4698,328200
1998-02-05,69.0000,70.0000,68.8800,69.9400,11.6463,115300
1998-02-06,69.9400,70.5600,69.5000,69.8100,11.6247,75200
1998-02-09,70.0000,70.2500,68.7500,68.7500,11.4482,94400
1998-02-10,68.7500,70.9400,68.7500,70.6300,11.7612,132900
1998-02-11,70.7500,71.1300,70.7500,71.1300,11.8445,61200
1998-02-12,70.6300,71.2500,69.5600,71.1900,11.8545,83400
1998-02-13,71.1300,71.8800,71.0000,71.0600,11.8328,43000
1998-02-17,70.8800,71.8800,69.7500,70.1300,11.6780,90500
1998-02-18,70.1300,71.9400,70.0000,71.5600,11.9161,77300
1998-02-19,71.4400,71.4400,70.2500,70.3800,11.7196,41000
1998-02-20,70.6300,71.2500,70.5000,71.0000,11.8229,60600
1998-02-23,71.1300,71.2500,70.5000,70.8100,11.7912,75800
1998-02-24,70.8100,70.8100,69.8800,70.3800,11.7196,45400
1998-02-25,70.6300,71.6300,70.5600,70.8100,11.7912,97300
1998-02-26,70.8100,72.3100,70.6300,71.7500,11.9477,72500
1998-02-27,72.0000,72.5000,71.8800,72.3800,12.0527,60100
1998-03-02,72.3800,73.5000,72.1300,73.1300,12.1775,91400
1998-03-03,72.8800,73.0600,72.2500,72.6900,12.1043,74700
1998-03-04,72.6900,72.7500,70.5000,70.5000,11.7396,273400
1998-03-05,70.3800,71.2500,70.3100,70.8100,11.7912,60000
1998-03-06,71.0000,72.2500,71.0000,71.5600,11.9161,63800
1998-03-09,71.7500,72.0000,71.3100,71.3800,11.8861,26000
1998-03-10,71.8800,72.5600,71.7500,72.5600,12.0826,46800
1998-03-11,72.3800,73.3800,72.3800,73.1900,12.1875,180000
1998-03-12,73.2500,73.5000,72.6300,72.8800,12.1359,61800
1998-03-13,72.8800,73.2500,72.5000,72.8100,12.1243,64400
1998-03-16,72.8100,73.4400,72.7500,73.3800,12.2192,87200
1998-03-17,73.6300,74.6900,73.5000,74.2500,12.3640,91400
1998-03-18,74.3800,74.6900,73.2500,73.4400,12.2292,52600
1998-03-19,73.4400,74.3800,73.4400,74.3800,12.3857,47700
1998-03-20,74.4400,75.0000,74.4400,74.8800,12.4690,130100
1998-03-23,75.0000,75.4400,74.8100,75.2500,12.5306,79900
1998-03-24,75.2500,76.2500,75.2500,75.8800,12.6355,115500
1998-03-25,76.1300,76.5600,76.0000,76.3100,12.7071,121200
1998-03-26,76.3800,77.1300,76.1900,76.9400,12.8120,71600
1998-03-27,77.0000,78.6300,77.0000,77.9400,12.9785,283400
1998-03-30,77.7500,78.1900,77.5000,78.0000,12.9885,72200
1998-03-31,78.0000,78.5600,78.0000,78.5000,13.0717,129000
1998-04-01,78.5000,80.8800,78.3800,80.8100,13.4564,199800
1998-04-02,81.2500,82.0000,80.8800,82.0000,13.6546,155000
1998-04-03,82.1300,82.1900,81.0000,81.3800,13.5513,63600
1998-04-06,81.3800,82.1900,80.3100,80.3100,13.3731,81300
1998-04-07,80.3800,80.6300,79.5000,79.6300,13.2599,51700
1998-04-08,79.6300,80.0000,78.8800,79.0000,13.1550,52800
1998-04-09,79.0000,79.4400,78.6900,79.3100,13.2066,71300
1998-04-13,79.0600,79.1900,78.1300,79.0000,13.1550,51300
1998-04-14,78.8100,79.5600,78.3100,79.1900,13.1866,129000
1998-04-15,78.9400,79.0000,78.0000,78.8800,13.1350,88000
1998-04-16,78.7500,79.3100,78.2500,78.5000,13.0717,91100
1998-04-17,78.7500,80.0000,78.6900,79.7500,13.2799,41300
1998-04-20,80.1300,80.4400,79.0600,79.3800,13.2183,89400
1998-04-21,79.2500,79.2500,78.0000,79.0600,13.1650,59500
1998-04-22,79.1300,79.5600,78.7500,78.8100,13.1234,38800
1998-04-23,78.6300,78.8800,77.6300,78.0600,12.9985,35300
1998-04-24,77.8800,78.2500,77.0000,77.0600,12.8320,35200
1998-04-27,76.8100,76.8800,76.0600,76.3800,12.7187,56600
1998-04-28,76.3800,76.6300,76.0000,76.3100,12.7071,58300
1998-04-29,76.1300,76.6300,75.9400,76.4400,12.7287,72100
1998-04-30,76.6900,77.8100,76.3800,77.5600,12.9152,75400
1998-05-01,77.8100,77.8100,76.5000,77.3100,12.8736,40200
1998-05-04,77.7500,77.7500,77.1300,77.3100,12.8736,32300
1998-05-05,77.5000,77.5000,76.2500,76.6300,12.7604,309000
1998-05-06,76.6300,76.8100,75.6300,76.1900,12.6871,88600
1998-05-07,76.1900,76.3800,75.7500,76.0000,12.6555,66200
1998-05-08,76.0600,77.6300,76.0600,77.0000,12.8220,43100
1998-05-11,76.7500,77.6300,76.6900,77.0600,12.8320,38800
1998-05-12,77.1300,77.3800,76.1900,77.1300,12.8436,36500
1998-05-13,76.9400,77.1300,76.6900,77.0000,12.8220,44400
1998-05-14,77.2500,77.4400,76.7500,76.7500,12.7803,58000
1998-05-15,76.9400,77.3800,76.3800,76.4400,12.7287,49600
1998-05-18,76.2500,76.6300,74.6300,75.1300,12.5106,118700
1998-05-19,74.8800,75.6300,74.6300,75.0600,12.4989,143700
1998-05-20,75.0600,75.8800,75.0000,75.8100,12.6238,29700
1998-05-21,76.0000,76.6300,75.6300,75.6300,12.5938,38400
1998-05-22,75.2500,75.6300,74.8100,75.1900,12.5206,48400
1998-05-26,75.8800,78.5000,75.8800,77.0000,12.8220,188500
1998-05-27,77.0600,77.0600,75.6300,76.1900,12.6871,98000
1998-05-28,76.2500,77.3800,75.6300,76.9400,12.8120,79100
1998-05-29,76.9400,77.0000,75.8800,76.4400,12.7287,112000
1998-06-01,76.6300,77.5000,76.5600,77.1900,12.8536,116700
1998-06-02,77.0000,77.6900,77.0000,77.1300,12.8436,95900
1998-06-03,77.2500,77.3800,76.7500,76.8100,12.7903,79000
1998-06-04,76.6300,76.7500,75.1300,75.2500,12.5306,105400
1998-06-05,75.1300,76.0000,75.1300,76.0000,12.6555,65800
1998-06-08,76.0000,76.0000,75.5600,75.7500,12.6138,310600
1998-06-09,75.6300,75.8800,74.6300,75.0000,12.4889,77800
1998-06-10,74.8800,74.9400,74.3100,74.3800,12.3857,87000
1998-06-11,74.0000,74.3800,72.1900,72.1900,12.0210,60000
1998-06-12,72.0600,72.1300,70.8800,72.0000,11.9894,47800
1998-06-15,72.1300,72.1300,70.1300,70.3100,11.7080,44400
1998-06-16,70.3100,71.4400,70.2500,70.6900,11.7712,324900
1998-06-17,70.6300,71.6900,70.6300,71.0600,11.8328,82000
1998-06-18,70.9400,71.1300,69.7500,70.6300,11.7612,71800
1998-06-19,70.1300,70.3100,68.8800,69.1300,11.5115,85900
1998-06-22,69.1300,69.3800,67.7500,67.8800,11.3033,86500
1998-06-23,67.3800,68.0000,66.5000,67.8100,11.2917,99900
1998-06-24,67.8800,69.0600,67.8100,69.0000,11.4898,153800
1998-06-25,69.2500,69.7500,68.3100,68.3100,11.3749,76600
1998-06-26,68.2500,69.1300,68.2500,68.7500,11.4482,57800
1998-06-29,69.0000,69.3800,68.5000,68.6300,11.4282,70600
1998-06-30,68.5000,69.1300,68.1900,68.1900,11.3549,287800
1998-07-01,68.3800,69.0600,67.8800,68.8800,11.4698,42700
1998-07-02,69.1300,69.2500,68.1300,68.5000,11.4066,71100
1998-07-06,68.5000,69.4400,68.5000,69.3100,11.5414,66300
1998-07-07,69.1300,69.1300,67.8800,67.8800,11.3033,95000
1998-07-08,68.2500,68.3800,67.9400,68.1300,11.3449,33100
1998-07-09,68.7500,68.8100,66.8800,66.8800,11.1368,80800
1998-07-10,67.1300,67.1900,66.6300,67.0600,11.1668,32600
1998-07-13,66.8100,67.2500,65.0000,65.5000,10.9070,48500
1998-07-14,65.3800,66.8800,65.3800,66.1900,11.0219,63900
1998-07-15,66.0000,66.2500,65.7500,65.8800,10.9703,96600
1998-07-16,67.0000,67.1300,65.7500,65.8800,10.9703,113100
1998-07-17,65.8800,66.3800,64.2500,64.5600,10.7505,113500
1998-07-20,64.1300,64.5000,62.7500,63.2500,10.5323,164600
1998-07-21,63.4400,64.3100,63.3800,63.7500,10.6156,109000
1998-07-22,63.7500,64.2500,63.7500,63.9400,10.6472,111600
1998-07-23,63.8100,64.3800,63.6300,64.0000,10.6572,127700
1998-07-24,63.8800,64.7500,63.8800,64.0600,10.6672,144800
1998-07-27,63.8100,64.8100,63.8100,64.3100,10.7088,119900
1998-07-28,64.0600,64.6300,62.3100,63.3100,10.5423,113900
1998-07-29,63.1900,65.1300,63.1300,64.3800,10.7205,137000
1998-07-30,64.1300,65.9400,64.1300,64.9400,10.8138,127800
1998-07-31,64.8800,64.9400,63.8800,63.8800,10.6372,87000
1998-08-03,64.0000,64.5000,64.0000,64.1300,10.6789,148400
1998-08-04,64.0600,64.3800,62.5000,62.5000,10.4074,172700
1998-08-05,62.7500,63.5000,62.6300,62.8100,10.4591,86300
1998-08-06,62.6300,62.8800,62.0000,62.5600,10.4174,101600
1998-08-07,62.3800,63.8800,62.2500,62.9400,10.4807,126300
1998-08-10,62.7500,63.0000,61.1300,61.2500,10.1993,172300
1998-08-11,60.7500,60.7500,59.7500,60.1300,10.0128,115400
1998-08-12,60.7500,60.7500,59.7500,60.6300,10.0961,90100
1998-08-13,60.0000,60.5000,58.6300,58.6900,9.7730,99000
1998-08-14,58.5600,59.2500,55.5000,55.5000,9.2418,114800
1998-08-17,55.7500,57.7500,55.6300,57.7500,9.6165,144900
1998-08-18,57.6300,58.4400,57.3100,58.3800,9.7214,144400
1998-08-19,58.3800,59.3100,58.3800,58.9400,9.8146,74900
1998-08-20,58.9400,59.8100,58.9400,59.5000,9.9079,86100
1998-08-21,59.2500,59.5000,57.5000,58.1900,9.6897,198100
1998-08-24,58.4400,59.9400,58.4400,58.9400,9.8146,152900
1998-08-25,59.1300,60.0600,58.7500,58.8100,9.7930,137900
1998-08-26,58.5600,58.8800,57.3800,57.4400,9.5649,128700
1998-08-27,56.8800,56.8800,54.4400,54.5000,9.0753,104900
1998-08-28,53.5000,54.9400,53.3800,53.3800,8.8888,141400
1998-08-31,53.5000,53.7500,51.7500,51.7500,8.6174,95200
1998-09-01,51.5000,52.7500,51.5000,52.0000,8.6590,97400
1998-09-02,52.2500,55.0000,51.3800,52.6900,8.7739,108500
1998-09-03,52.5000,52.7500,51.3100,52.7500,8.7839,64800
1998-09-04,53.2500,54.6300,52.3100,53.0000,8.8255,144000
