,open,high,low,close,adj_close,volume
2019-03-12,38.0000,38.0000,38.0000,38.0000,38.0000,10000
2019-03-13,39.0000,39.9000,38.7000,39.7500,39.7500,20477364
2019-03-14,39.7500,41.4000,39.7500,40.6500,40.6500,6248563
2019-03-15,41.3800,41.8700,41.2400,41.7000,41.7000,7107258
2019-03-18,41.9500,41.9500,41.0500,41.7000,41.7000,4020942
2019-03-19,41.5500,41.7000,39.8400,40.3400,40.3400,10118472
2019-03-20,40.4900,40.8100,38.2400,38.6200,38.6200,15683238
2019-03-21,39.0000,40.0700,38.7500,40.0200,40.0200,12751732
2019-03-22,39.9300,39.9900,37.6900,38.7200,38.7200,10897994
2019-03-25,38.8900,38.9600,37.3900,37.4400,37.4400,9338926
2019-03-26,37.6500,38.2800,37.5100,37.5400,37.5400,6287100
2019-03-27,37.5200,37.9100,36.7600,36.9200,36.9200,5578118
2019-03-28,36.8500,37.1500,36.3400,36.4000,36.4000,5326238
2019-03-29,36.5500,36.9100,36.1500,36.7100,36.7100,5895347
2019-04-01,36.9100,37.1500,36.7100,36.8500,36.8500,5311201
2019-04-02,36.9600,37.1800,35.9000,36.2800,36.2800,6522702
2019-04-03,36.3700,36.5600,35.9000,36.1100,36.1100,4130456
