,open,high,low,close,adj_close,volume
2019-03-13,38.6000,39.3000,38.0000,39.2000,39.2000,305985
2019-03-14,39.5000,40.6500,39.3200,39.9600,39.9600,279685
2019-03-15,40.5500,41.0500,40.5000,41.0200,41.0200,164177
2019-03-18,41.7300,41.7300,40.4700,40.8600,40.8600,581717
2019-03-19,41.4000,41.4000,39.0500,39.5500,39.5500,2540234
2019-03-20,39.8500,39.8514,37.4600,37.6000,37.6000,5147908
2019-03-21,38.0000,38.9100,37.8400,38.8800,38.8800,8865546
2019-03-22,38.7600,38.8400,36.5500,37.4600,37.4600,4902540
2019-03-25,37.5700,37.8100,36.3500,36.4500,36.4500,4035118
2019-03-26,36.4600,37.3500,36.4600,36.7100,36.7100,3350854
2019-03-27,36.7500,37.1700,36.0600,36.2000,36.2000,2871305
2019-03-28,36.1400,36.4700,35.5500,35.6700,35.6700,2220583
2019-03-29,35.8800,36.1700,35.3900,35.8800,35.8800,2679171
2019-04-01,36.1700,36.3400,35.9400,36.1500,36.1500,4338366
2019-04-02,36.2100,36.4600,35.2100,35.7000,35.7000,1490660
2019-04-03,35.7800,35.8900,35.3200,35.5400,35.5400,1606047
