,open,high,low,close,adj_close,volume
2010-12-09,27.2500,28.1100,26.9900,27.9200,26.1935,10609700
2010-12-10,27.4000,27.7200,27.0600,27.4100,25.7150,1206800
2010-12-13,27.5000,27.7200,27.0000,27.4000,25.7056,473200
2010-12-14,27.7000,27.9700,27.0200,27.3100,25.6212,358200
2010-12-15,27.2000,27.7000,27.1900,27.4500,25.7525,242200
2010-12-16,27.6000,27.6500,27.2050,27.6500,25.9402,260000
2010-12-17,27.5500,28.0600,27.5000,28.0600,26.3248,69800
2010-12-20,28.1000,28.4200,27.8400,28.1400,26.3999,65900
2010-12-21,28.1700,29.0400,28.0100,28.9100,27.1223,210200
2010-12-22,29.0000,30.5204,28.9600,29.4500,27.6289,103000
2010-12-23,29.6800,29.6800,28.8900,29.1000,27.3005,66100
2010-12-27,29.1500,29.3599,28.8700,28.9800,27.1879,29800
2010-12-28,28.9900,29.1250,28.8100,29.0500,27.2536,90200
2010-12-29,29.2500,29.2500,28.8400,29.0800,27.2817,85300
2010-12-30,29.2300,29.9500,28.6100,28.9600,27.1692,149800
2010-12-31,29.0000,29.1200,28.8300,29.1200,27.3193,68800
2011-01-03,29.5000,29.5100,28.7350,28.9800,27.1879,230900
2011-01-04,29.2300,29.2300,28.5000,28.5300,26.7658,56500
2011-01-05,28.6800,28.9000,28.3000,28.4100,26.6532,178700
2011-01-06,28.6100,29.2100,28.5300,29.0000,27.2067,218600
2011-01-07,31.0400,31.2000,30.1501,30.5400,28.6515,2144000
2011-01-10,30.8900,31.3300,30.8200,30.9299,29.0173,621700
2011-01-11,31.2000,31.2400,30.4100,30.5800,28.6890,330800
2011-01-12,30.7800,30.9000,30.2100,30.3000,28.4263,216500
2011-01-13,30.3800,30.7600,30.3000,30.5100,28.6233,132800
2011-01-14,30.6700,31.3500,30.5900,31.3500,29.4114,269100
2011-01-18,31.1500,31.4700,30.3000,30.8900,28.9798,49400
2011-01-19,30.6700,30.8300,30.4100,30.5200,28.6327,300200
2011-01-20,30.3000,31.0900,29.9800,30.6000,28.7078,155300
2011-01-21,30.7100,30.7100,29.9900,30.2200,28.3513,152300
2011-01-24,30.1800,30.4400,29.8000,30.3000,28.4263,85000
2011-01-25,30.2100,30.3200,30.0000,30.3200,28.4451,54100
2011-01-26,30.2700,30.4399,30.0700,30.3500,28.4732,62600
2011-01-27,30.7100,31.0000,30.2900,30.3100,28.4357,168400
2011-01-28,30.1900,30.2000,29.3000,29.7200,27.8822,311600
2011-01-31,29.7800,29.7801,29.5600,29.7300,27.8916,57400
2011-02-01,29.7500,29.8600,29.2200,29.2800,27.4694,197800
2011-02-02,29.1300,29.4900,29.0500,29.1200,27.3193,100500
2011-02-03,29.0900,29.2997,28.8800,28.9000,27.1129,169600
2011-02-04,28.8900,29.2200,28.6000,29.2000,27.3943,146300
2011-02-07,29.7400,29.7400,29.4500,29.5000,27.6758,148300
2011-02-08,29.6700,29.8900,29.2000,29.8400,27.9948,107300
2011-02-09,29.6200,29.7499,29.4000,29.4600,27.6382,35800
2011-02-10,29.2600,29.4200,28.5800,29.2500,27.4412,197400
2011-02-11,29.2000,29.3700,28.8400,29.1300,27.3287,91600
2011-02-14,29.0000,29.1000,28.6600,28.8300,27.0472,75900
2011-02-15,28.8000,29.1500,28.8000,29.0400,27.2442,59800
2011-02-16,29.0300,29.1400,28.8000,29.1400,27.3380,75800
2011-02-17,29.1500,29.3300,28.9800,29.0200,27.2255,49700
2011-02-18,29.0200,29.7600,29.0000,29.7600,27.9197,59100
2011-02-22,29.5000,29.7100,29.0000,29.2100,27.4037,146200
2011-02-23,29.0000,29.6000,29.0000,29.0600,27.2630,158500
2011-02-24,29.0800,29.4150,29.0200,29.1000,27.3005,102300
2011-02-25,29.1200,29.8800,29.1200,29.3000,27.4881,99600
2011-02-28,29.3400,29.8800,29.2000,29.2500,27.4412,182900
2011-03-01,29.4000,29.4599,28.9500,29.0600,27.2630,133100
2011-03-02,29.0000,29.0800,28.5000,28.7400,26.9628,177600
2011-03-03,28.5800,29.1000,28.5800,29.0800,27.2817,101500
2011-03-04,29.1000,29.2200,28.7000,28.8000,27.0191,119400
2011-03-07,28.9200,28.9200,27.9600,28.0000,26.2685,183800
2011-03-08,28.0000,28.8700,27.9300,28.7400,26.9628,263200
2011-03-09,28.6300,29.0300,28.2400,28.9000,27.1129,147700
2011-03-10,28.6600,28.7500,28.1600,28.5000,26.7376,134100
2011-03-11,28.0200,28.4300,27.7600,28.2800,26.5312,143200
2011-03-14,27.9800,28.2900,27.9000,28.1800,26.4374,119100
2011-03-15,27.7100,29.2500,27.6000,29.0700,27.2724,278700
2011-03-16,29.0100,29.4400,28.3400,29.3600,27.5444,421600
2011-03-17,29.4700,30.0000,29.4000,29.9700,28.1167,154400
2011-03-18,30.0000,30.3400,29.9000,30.3400,28.4638,209200
2011-03-21,30.4100,30.6900,29.9098,30.5900,28.6984,83600
2011-03-22,30.5000,30.5000,29.6100,29.7700,27.9291,114200
2011-03-23,29.6100,30.0100,29.6100,29.9000,28.0510,28300
2011-03-24,30.0100,30.1700,29.5700,29.7250,27.8869,110500
2011-03-25,29.8200,30.9195,29.7200,30.0800,28.2199,203000
2011-03-28,30.0600,30.4900,29.8970,30.3700,28.4920,158700
2011-03-29,30.2700,30.3700,29.9600,30.1000,28.2387,70700
2011-03-30,30.0900,30.7200,29.8600,30.5300,28.6421,149000
2011-03-31,30.4200,31.0000,30.4200,30.9100,28.9986,95100
