,open,high,low,close,adj_close,volume
1998-01-02,25.7500,25.9400,25.6900,25.8800,9.7360,30100
1998-01-05,25.8100,25.9400,25.7500,25.8800,9.7360,36900
1998-01-06,25.9400,25.9400,25.7500,25.8800,9.7360,68200
1998-01-07,25.7500,25.8800,25.6300,25.6900,9.6645,31200
1998-01-08,25.7500,25.7500,25.3800,25.4400,9.5705,34200
1998-01-09,25.5600,25.5600,25.0000,25.0600,9.4275,113800
1998-01-12,25.0000,25.2500,24.8800,25.0600,9.4275,52400
1998-01-13,25.0600,25.6900,25.0600,25.6300,9.6419,101800
1998-01-14,25.6900,25.6900,24.9400,25.0600,9.4275,150000
1998-01-15,25.1300,25.3100,25.1300,25.2500,9.4990,97800
1998-01-16,25.5000,25.6900,25.2500,25.3100,9.5215,72700
1998-01-20,25.3100,25.4400,25.2500,25.3100,9.5215,287800
1998-01-21,25.3100,25.3800,25.1300,25.1900,9.4764,166500
1998-01-22,25.2500,25.3800,25.1300,25.1900,9.4764,87300
1998-01-23,25.2500,25.2500,25.1300,25.1300,9.4538,36900
1998-01-26,25.1300,25.3100,25.1300,25.1900,9.4764,215100
1998-01-27,25.2500,25.2500,24.9400,24.9400,9.3824,151900
1998-01-28,24.9400,25.1900,24.8800,25.0000,9.4049,118400
1998-01-29,25.1900,25.2500,25.0000,25.1900,9.4764,40600
1998-01-30,25.0600,25.0600,24.7500,24.7500,9.3109,43500
1998-02-02,24.9400,25.3800,24.8100,25.2500,9.4990,59200
1998-02-03,25.3100,25.3800,24.8100,24.9400,9.3824,62400
1998-02-04,24.9400,25.1900,24.8100,24.8800,9.3598,50000
1998-02-05,25.0000,25.1300,24.7500,24.9400,9.3824,79700
1998-02-06,25.0000,25.0000,24.8100,25.0000,9.4049,123100
1998-02-09,25.0000,25.0600,24.5000,24.6300,9.2657,63300
1998-02-10,24.6300,25.0000,24.6300,24.9400,9.3824,120900
1998-02-11,24.9400,24.9400,24.8100,24.8100,9.3335,78200
1998-02-12,24.8800,25.0600,24.7500,24.7500,9.3109,54900
1998-02-13,24.7500,24.9400,24.6900,24.9400,9.3824,72100
1998-02-17,25.0000,25.0000,24.7500,24.8100,9.3335,47100
1998-02-18,24.7500,24.8800,24.6300,24.8100,9.3335,72500
1998-02-19,24.8100,25.0000,24.8100,24.9400,9.3824,86800
1998-02-20,24.9400,25.0600,24.8800,24.8800,9.3598,73400
1998-02-23,24.8800,25.1900,24.8800,25.1900,9.4764,70400
1998-02-24,25.1900,25.1900,24.9400,25.0000,9.4049,113700
1998-02-25,25.0000,25.1300,24.8800,25.0600,9.4275,38200
1998-02-26,25.0000,25.3800,24.9400,24.9400,9.3824,95200
1998-02-27,25.0000,25.0000,24.7500,24.7500,9.3109,74500
1998-03-02,24.7500,24.8800,24.6900,24.6900,9.2883,72200
1998-03-03,24.6900,24.8800,24.6300,24.8800,9.3598,102400
1998-03-04,24.8800,24.8800,24.6900,24.7500,9.3109,53900
1998-03-05,24.6900,24.7500,24.5600,24.5600,9.2394,94200
1998-03-06,24.6900,24.8800,24.6300,24.8100,9.3335,45300
1998-03-09,24.8800,25.0000,24.8100,25.0000,9.4049,27200
1998-03-10,25.0000,25.0000,24.8100,24.8100,9.3335,23900
1998-03-11,24.8100,24.8800,24.5000,24.5000,9.2168,51600
1998-03-12,24.6300,24.9400,24.6300,24.6300,9.2657,57500
1998-03-13,24.7500,24.8800,24.5000,24.8100,9.3335,94100
1998-03-16,24.7500,25.0600,24.7500,25.0000,9.4049,30200
1998-03-17,25.1300,25.2500,25.0600,25.1900,9.4764,37700
1998-03-18,25.1300,25.1900,24.9400,24.9400,9.3824,72000
1998-03-19,24.9400,25.1300,24.8800,24.9400,9.3824,57900
1998-03-20,25.1300,25.2500,24.6900,24.7500,9.3109,108800
1998-03-23,24.3100,24.6300,24.0000,24.3800,9.3335,63500
1998-03-24,24.6300,24.8800,24.3800,24.3800,9.3335,112500
1998-03-25,24.4400,24.5600,23.6300,24.2500,9.2837,185100
1998-03-26,24.3100,24.3100,24.0600,24.2500,9.2837,163000
1998-03-27,24.1900,24.4400,24.1300,24.2500,9.2837,36100
1998-03-30,24.1900,24.5600,24.1900,24.5000,9.3794,55800
1998-03-31,24.5000,24.7500,24.4400,24.5600,9.4024,54200
1998-04-01,24.6900,24.7500,24.5000,24.6300,9.4292,33500
1998-04-02,24.6300,24.8100,24.6300,24.6900,9.4521,72000
1998-04-03,24.6900,24.9400,24.6900,24.8100,9.4981,46900
1998-04-06,25.0000,25.0000,24.3800,24.9400,9.5478,71800
1998-04-07,24.8800,25.0600,24.7500,25.0600,9.5938,84500
1998-04-08,24.9400,25.0600,24.9400,25.0000,9.5708,28800
1998-04-09,25.0600,25.0600,24.7500,24.8100,9.4981,72600
1998-04-13,24.8800,24.8800,24.7500,24.7500,9.4751,27500
1998-04-14,24.8100,25.0000,24.6900,24.9400,9.5478,61000
1998-04-15,25.0000,25.0000,24.6900,24.7500,9.4751,28200
1998-04-16,24.8100,25.0000,24.7500,24.7500,9.4751,29600
1998-04-17,24.6300,25.0000,24.6300,24.8800,9.5249,26800
1998-04-20,24.8800,24.8800,24.5000,24.7500,9.4751,22300
1998-04-21,24.8800,24.9400,24.6300,24.6900,9.4521,27600
1998-04-22,24.6900,24.9400,24.6300,24.6900,9.4521,30700
1998-04-23,24.2500,24.3800,24.1900,24.2500,9.2837,90500
1998-04-24,24.3800,24.4400,24.2500,24.2500,9.2837,88500
1998-04-27,24.1900,24.1900,23.5600,23.8800,9.1420,71800
1998-04-28,24.1300,24.6300,24.0000,24.5000,9.3794,74400
1998-04-29,24.4400,24.6900,24.4400,24.5600,9.4024,65500
1998-04-30,24.5600,24.5600,24.1900,24.3100,9.3067,40300
1998-05-01,24.3100,25.4400,24.3100,25.4400,9.7393,95500
1998-05-04,25.3100,25.4400,25.2500,25.3800,9.7163,66400
1998-05-05,25.3800,25.8800,25.3100,25.8100,9.8809,128900
1998-05-06,25.8800,25.8800,25.1300,25.2500,9.6665,38700
1998-05-07,25.3100,25.3100,25.0600,25.3100,9.6895,56300
1998-05-08,25.2500,25.5600,24.7500,24.9400,9.5478,94900
1998-05-11,24.8800,25.2500,24.6900,24.7500,9.4751,74900
1998-05-12,25.5000,25.5000,24.6900,24.7500,9.4751,96000
1998-05-13,24.7500,24.7500,24.5000,24.6300,9.4292,60900
