,open,high,low,close,adj_close,volume
2001-06-14,21.5500,22.4000,21.4000,22.0000,5.0729,6213500
2001-06-15,21.8000,22.4800,21.7500,21.8500,5.0383,1234400
2001-06-18,21.8500,22.0000,21.4200,21.5000,4.9576,804200
2001-06-19,21.6500,21.6500,20.8000,20.8500,4.8077,1002100
2001-06-20,20.7500,20.8000,19.8000,20.8000,4.7962,1306700
2001-06-21,20.7000,20.7000,19.9900,20.0000,4.6117,1079800
2001-06-22,20.0000,20.1000,20.0000,20.0000,4.6117,340000
2001-06-25,20.0000,20.0100,20.0000,20.0000,4.6117,32700
2001-06-26,20.0000,20.0500,20.0000,20.0100,4.6140,182200
2001-06-27,20.0000,20.0100,19.6000,19.8000,4.5656,1035200
2001-06-28,19.8000,20.0000,19.7000,19.7000,4.5426,562200
2001-06-29,19.7000,20.6500,19.7000,20.6500,4.7616,195200
2001-07-02,20.6500,20.6500,19.7000,19.8000,4.5656,95100
2001-07-03,19.7500,19.7500,19.0000,19.1100,4.4065,229800
2001-07-05,19.2500,19.5000,19.2500,19.5000,4.4964,168300
2001-07-06,19.4500,19.5000,19.4000,19.4200,4.4780,97900
2001-07-09,19.4700,19.7500,19.1500,19.1500,4.4157,513800
2001-07-10,19.1500,19.1500,17.9500,18.0000,4.1506,758600
2001-07-11,18.0800,18.4000,17.9500,18.1000,4.1736,655900
2001-07-12,18.1000,18.1000,17.9500,18.1000,4.1736,361000
2001-07-13,18.2000,18.9000,18.2000,18.6900,4.3097,423200
2001-07-16,18.5100,18.5100,17.8300,17.9500,4.1390,173900
2001-07-17,17.8500,18.0800,17.4100,17.5900,4.0560,350700
2001-07-18,17.4900,18.0500,17.4900,17.8400,4.1137,137400
2001-07-19,17.9400,18.5500,17.9000,18.1500,4.1851,173800
2001-07-20,18.1000,18.1500,17.9000,18.0900,4.1713,385700
2001-07-23,18.0900,18.1200,17.9000,18.0000,4.1506,77000
2001-07-24,17.9000,18.9000,17.8500,18.0000,4.1506,212800
2001-07-25,18.0500,19.4000,17.7600,19.2000,4.4273,294900
2001-07-26,19.1000,19.2000,18.9000,19.1000,4.4042,96100
2001-07-27,18.9500,18.9500,18.4500,18.4700,4.2589,85900
2001-07-30,18.5200,18.5700,18.2100,18.4900,4.2635,26700
2001-07-31,18.5400,18.6400,17.7500,18.0700,4.1667,417800
2001-08-01,18.1700,18.3000,17.9900,18.0000,4.1506,122700
2001-08-02,18.0000,18.2500,17.9900,18.2000,4.1967,173000
2001-08-03,18.2400,18.2400,17.9500,17.9500,4.1390,68600
2001-08-06,17.8500,17.8700,17.5500,17.6000,4.0583,49100
2001-08-07,17.6000,17.6000,17.2500,17.2500,3.9776,27800
2001-08-08,17.2500,17.5000,16.9900,16.9900,3.9177,184400
2001-08-09,16.9900,16.9900,16.2000,16.2300,3.7424,329200
2001-08-10,16.1300,16.2500,16.0000,16.2500,3.7470,92000
2001-08-13,16.3000,16.3000,16.0000,16.0000,3.6894,8700
2001-08-14,16.0000,16.1500,15.8000,16.1500,3.7240,14200
2001-08-15,16.3000,17.0500,16.2900,16.9000,3.8969,236700
2001-08-16,16.9200,16.9200,16.7500,16.7500,3.8623,233600
2001-08-17,16.7600,16.7600,16.6500,16.6500,3.8393,37400
2001-08-20,16.6500,16.6500,16.6500,16.6500,3.8393,81100
2001-08-21,16.9600,16.9600,16.6900,16.7000,3.8508,23600
2001-08-22,16.7000,16.9400,16.6000,16.6400,3.8370,23800
2001-08-23,16.5900,16.6300,16.4500,16.4800,3.8001,79800
2001-08-24,16.4300,16.4300,16.2000,16.2200,3.7401,89600
2001-08-27,16.1700,17.0000,16.1700,16.5000,3.8047,76300
2001-08-28,16.4500,16.4500,16.2700,16.4500,3.7931,75600
2001-08-29,16.3500,16.5000,16.2500,16.4200,3.7862,136700
2001-08-30,16.3600,16.3600,15.8000,15.9900,3.6871,168500
2001-08-31,16.0400,16.2700,16.0400,16.2700,3.7516,71600
2001-09-04,16.2700,16.9500,16.2700,16.7200,3.8554,166500
2001-09-05,16.6700,16.7100,16.3000,16.5000,3.8047,82500
2001-09-06,16.5000,16.5000,16.0900,16.1000,3.7124,361400
2001-09-07,16.0000,16.0100,15.8000,15.8500,3.6548,55000
2001-09-10,15.7500,15.9500,15.5300,15.5700,3.5902,115300
2001-09-17,15.4700,15.4700,13.8500,13.9000,3.2051,383300
2001-09-18,13.8000,14.4000,13.8000,14.2400,3.2835,289200
2001-09-19,14.2000,14.2100,13.8500,14.0000,3.2282,105000
2001-09-20,14.3500,14.3500,13.8500,14.2500,3.2859,221800
2001-09-21,14.3500,14.3500,13.9000,14.0000,3.2282,226700
2001-09-24,14.2000,14.2000,13.9000,14.0000,3.2282,69800
2001-09-25,14.0000,14.0000,14.0000,14.0000,3.2282,72000
2001-09-26,12.8200,12.8200,11.3000,11.5000,2.6517,147000
2001-09-27,11.4000,11.8000,10.9900,11.8000,2.7209,692300
2001-09-28,11.8000,11.8000,11.5000,11.5500,2.6633,162600
2001-10-01,11.5500,11.5500,11.3600,11.3600,2.6195,40400
2001-10-02,11.3700,11.3700,11.3000,11.3100,2.6079,130900
2001-10-03,11.9800,11.9800,11.0600,11.9800,2.7624,135400
2001-10-04,12.4300,12.4300,11.8700,12.4300,2.8662,190600
2001-10-05,12.6000,12.6000,11.7000,11.7500,2.7094,199900
2001-10-08,12.1000,12.1000,11.7000,12.1000,2.7901,60200
2001-10-09,12.1500,12.1500,11.9000,12.1500,2.8016,29800
2001-10-10,12.2500,12.9100,12.2000,12.7100,2.9308,36400
2001-10-11,12.8100,13.9500,12.8100,13.7100,3.1613,30000
2001-10-12,13.6100,13.6100,13.0900,13.1000,3.0207,20000
2001-10-15,13.0000,13.1000,12.6500,12.6500,2.9169,28500
2001-10-16,12.5500,12.7300,12.4400,12.6100,2.9077,51400
2001-10-17,12.7000,12.7000,12.4500,12.5000,2.8823,35200
2001-10-18,12.6000,12.6000,12.4000,12.6000,2.9054,250200
2001-10-19,12.5500,12.6500,12.5000,12.6500,2.9169,99400
2001-10-22,12.7000,12.9000,12.7000,12.9000,2.9746,3600
2001-10-23,13.0000,13.1500,13.0000,13.1100,3.0230,25400
2001-10-24,13.1100,13.1100,13.0000,13.0200,3.0022,17500
2001-10-25,13.0000,13.5000,13.0000,13.5000,3.1129,35200
2001-10-26,13.4900,13.7800,13.4000,13.7800,3.1775,71400
2001-10-29,13.6800,13.7000,13.4500,13.6000,3.1360,62100
2001-10-30,13.6500,13.6500,13.3500,13.3500,3.0783,60200
2001-10-31,13.3500,13.6400,12.9500,13.1000,3.0207,69600
2001-11-01,13.0000,13.0900,12.3900,13.0000,2.9976,23100
