,open,high,low,close,adj_close,volume
1998-01-02,86.3800,86.8800,85.5600,85.8100,14.2011,75200
1998-01-05,85.8100,88.0000,85.8100,87.0600,14.4080,106000
1998-01-06,87.0600,87.8800,86.8100,86.8800,14.3782,95400
1998-01-07,86.6300,87.6300,86.1300,87.0000,14.3980,105900
1998-01-08,87.2500,87.3100,86.0000,86.3800,14.2954,99200
1998-01-09,86.3800,86.3800,84.3800,85.0000,14.0670,143300
1998-01-12,84.7500,86.5600,84.4400,86.1900,14.2640,179900
1998-01-13,86.3800,87.8800,86.1300,86.9400,14.3881,202900
1998-01-14,86.0000,86.0000,84.7500,85.6300,14.2392,390100
1998-01-15,85.7500,85.7500,85.2500,85.3100,14.1859,96100
1998-01-16,85.6300,85.7500,85.0600,85.1300,14.1560,82100
1998-01-20,84.8800,85.5000,84.6300,85.3100,14.1859,69700
1998-01-21,85.0600,85.6300,83.7500,84.6300,14.0729,67600
1998-01-22,83.5600,87.5600,83.5600,85.7500,14.2591,157200
1998-01-23,85.6900,86.3800,84.1300,84.5000,14.0512,68800
1998-01-26,84.6300,87.8100,84.6300,87.0000,14.4670,220900
1998-01-27,87.5000,88.3100,86.5000,86.7500,14.4254,111900
1998-01-28,87.0000,88.0000,84.9400,85.0600,14.1444,213000
1998-01-29,85.2500,87.0000,85.2500,85.3800,14.1976,415100
1998-01-30,85.4400,86.9400,84.8800,86.6300,14.4054,90300
1998-02-02,87.5000,89.0600,87.5000,88.4400,14.7064,204300
1998-02-03,88.1900,88.5600,88.0000,88.3800,14.6964,145100
1998-02-04,88.3800,88.4400,87.0000,87.4400,14.5401,251000
1998-02-05,87.5000,88.0600,86.8800,87.4400,14.5401,123700
1998-02-06,87.6900,88.3800,87.5600,87.8800,14.6133,60900
1998-02-09,88.1300,88.5000,88.0000,88.5000,14.7164,122000
1998-02-10,88.3100,89.6300,88.3100,89.0000,14.7995,160500
1998-02-11,89.0000,89.0000,87.6900,87.7500,14.5917,55400
1998-02-12,87.7500,88.3800,87.0600,87.5600,14.5601,128100
1998-02-13,87.8100,88.0600,87.7500,87.9400,14.6233,127500
1998-02-17,88.1900,88.8100,87.9400,88.7500,14.7580,92400
1998-02-18,89.0000,89.5000,88.7500,88.8800,14.7796,125500
1998-02-19,88.8800,88.8800,86.4400,87.5000,14.5501,177000
1998-02-20,87.5000,88.3100,86.0000,86.6300,14.4054,145000
1998-02-23,87.0000,87.0600,86.0000,86.2500,14.3422,141400
1998-02-24,86.3800,86.5000,85.1300,85.8100,14.2691,149500
1998-02-25,85.7500,88.0000,85.0000,85.5000,14.2175,426700
1998-02-26,86.0000,86.2500,85.4400,85.6900,14.2491,192800
1998-02-27,85.8100,87.2500,84.5000,87.2500,14.5085,225200
1998-03-02,86.6300,86.8800,86.0000,86.0000,14.3007,136600
1998-03-03,85.8100,85.8100,84.8800,85.3800,14.1976,157500
1998-03-04,85.5000,87.3800,85.5000,86.8800,14.4470,88000
1998-03-05,88.0000,89.4400,86.3800,86.8800,14.4470,228100
1998-03-06,87.0000,88.4400,87.0000,88.0600,14.6432,177000
1998-03-09,88.2500,88.5000,87.0000,87.3100,14.5185,159700
1998-03-10,87.5000,87.8100,86.9400,87.7500,14.5917,135600
1998-03-11,87.5000,88.2500,87.3800,88.1300,14.6549,205600
1998-03-12,88.1300,88.1900,87.2500,87.8100,14.6017,73400
1998-03-13,88.0000,88.0000,87.3800,87.6300,14.5717,262100
1998-03-16,87.8800,89.0600,87.8800,88.3800,14.6964,74300
1998-03-17,88.6300,90.6300,88.5600,90.5000,15.0490,196500
1998-03-18,90.2500,90.8800,89.2500,89.5000,14.8827,145900
1998-03-19,89.8800,91.5000,89.8100,91.3100,15.1837,161700
1998-03-20,91.3100,91.3100,90.3800,90.8100,15.1005,150100
1998-03-23,90.2500,90.5000,88.3800,89.0600,14.8095,167000
1998-03-24,89.1300,89.3800,87.3100,89.3800,14.8627,217800
1998-03-25,89.0000,89.0000,87.5600,88.0600,14.6432,147900
1998-03-26,87.8800,88.4400,87.2500,88.1900,14.6648,85400
1998-03-27,88.8100,88.8100,85.7500,86.0600,14.3107,209200
1998-03-30,86.0000,87.1900,85.8800,86.3800,14.3639,141000
1998-03-31,86.2500,87.0000,85.8800,86.2500,14.3422,197100
