,open,high,low,close,adj_close,volume
1998-01-02,73.3100,74.0600,72.0000,74.0000,12.9378,3129100
1998-01-05,74.4400,75.3700,74.2500,75.3100,13.1669,5643200
1998-01-06,74.5600,75.1900,74.0000,74.3100,12.9920,4120800
1998-01-07,73.5600,74.9400,73.4400,74.9400,13.1022,3338500
1998-01-08,74.5600,75.3100,74.0600,74.2500,12.9815,3831200
1998-01-09,73.9400,74.0600,71.0000,72.4400,12.6651,5198900
1998-01-12,70.5000,74.6200,70.2500,74.4400,13.0147,7255000
1998-01-13,74.4400,74.8700,73.6900,74.6900,13.0585,4692300
1998-01-14,74.7500,74.8700,73.9400,74.3700,13.0025,3847700
1998-01-15,74.0000,74.2500,72.6900,72.6900,12.7088,3391900
1998-01-16,73.6900,74.8100,73.0600,73.3700,12.8277,5782400
1998-01-20,73.3700,75.9400,73.3100,75.5600,13.2106,4661900
1998-01-21,75.1900,76.0000,75.0000,75.5600,13.2106,5161200
1998-01-22,74.9400,75.2500,74.1200,75.1900,13.1459,5039100
1998-01-23,75.5600,75.8700,73.6200,74.0600,12.9483,5097000
1998-01-26,74.9400,75.3100,74.0000,74.6900,13.0585,4038800
1998-01-27,74.9400,77.1200,74.8100,76.2500,13.3312,6005600
1998-01-28,76.5600,76.8700,75.6900,76.2500,13.3312,4257700
1998-01-29,76.2500,77.8700,76.1200,77.1200,13.4833,6024500
1998-01-30,77.0600,77.5600,76.4400,77.5000,13.5497,3776100
1998-02-02,78.2500,78.6200,77.0600,78.5600,13.7351,6843800
1998-02-03,77.0000,77.8700,77.0000,77.5600,13.5602,5131900
1998-02-04,77.0000,77.8100,76.8700,76.8700,13.4396,4807600
1998-02-05,77.1200,77.4400,76.3100,76.6900,13.4081,4196700
1998-02-06,77.0000,78.1200,76.8700,77.6900,13.5830,3534300
1998-02-09,77.8100,77.8700,76.4400,77.0600,13.4728,2906300
1998-02-10,77.0600,78.6900,76.8100,77.5000,13.5497,4274500
1998-02-11,77.6900,78.5600,77.5600,78.4400,13.7141,2653400
1998-02-12,77.7500,78.9400,76.6900,78.5000,13.7246,5472100
1998-02-13,78.0600,78.2500,77.5600,77.8100,13.6039,2934100
1998-02-17,78.4400,78.8700,78.0000,78.0600,13.6476,3436300
1998-02-18,78.0600,78.9400,78.0000,78.4400,13.7141,3236700
1998-02-19,78.0600,78.2500,77.6200,77.8100,13.6039,2962300
1998-02-20,77.8100,78.3700,77.1200,78.1900,13.6704,4091600
1998-02-23,78.1200,78.2500,77.3100,77.6900,13.5830,3239900
1998-02-24,77.3700,77.5000,76.5600,76.7500,13.4186,3657500
1998-02-25,77.2500,77.5600,76.7500,77.1200,13.4833,3573100
1998-02-26,76.3700,77.2500,76.0600,77.0000,13.4623,3581300
1998-02-27,76.5000,77.8100,76.5000,77.7500,13.5934,3899700
1998-03-02,77.7500,77.7500,75.8700,76.5600,13.3854,5482100
1998-03-03,76.4400,77.4400,76.3700,77.2500,13.5060,4446000
1998-03-04,76.8700,76.9400,75.9400,76.3100,13.3417,3274000
1998-03-05,75.3100,76.8100,75.2500,76.3700,13.4046,3933900
1998-03-06,76.5000,78.4400,76.5000,78.2500,13.7346,4942300
1998-03-09,78.0000,79.0600,77.8700,78.5000,13.7785,4308400
1998-03-10,79.1900,79.3700,78.3100,78.7500,13.8224,3174400
1998-03-11,78.8700,79.2500,78.4400,79.0000,13.8662,2951000
