,open,high,low,close,adj_close,volume
1998-01-02,38.2500,38.6300,37.5000,38.1300,1.0736,101300
1998-01-05,38.3800,39.2500,38.0000,39.0000,1.0981,232400
1998-01-06,38.5000,39.2500,37.8800,39.1300,1.1017,332200
1998-01-07,39.2500,39.3800,38.3800,38.8800,1.0947,129100
1998-01-08,38.6300,40.3800,38.6300,39.5000,1.1122,474000
1998-01-09,39.7500,39.7500,38.1300,38.3800,1.0806,384900
1998-01-12,38.0000,38.0000,36.5000,37.0000,1.0418,159400
1998-01-13,37.0000,39.0000,37.0000,38.5000,1.0840,305200
1998-01-14,38.3800,38.7500,37.5000,37.7500,1.0629,199000
1998-01-15,37.5000,38.3800,37.5000,38.3800,1.0806,130500
1998-01-16,39.1300,39.1300,38.2500,39.1300,1.1017,109800
1998-01-20,39.1300,40.0600,38.8800,39.9400,1.1245,137000
1998-01-21,39.6300,40.0000,38.0000,38.0000,1.0699,482300
1998-01-22,38.0000,38.8800,38.0000,38.2500,1.0770,276600
1998-01-23,39.0000,39.0000,37.6300,38.4400,1.0823,200200
1998-01-26,39.0000,39.7500,38.0600,38.3100,1.0787,556500
1998-01-27,38.5000,39.1900,37.2500,39.1900,1.1034,192700
1998-01-28,39.2500,41.8800,39.2500,41.8800,1.1792,388200
1998-01-29,41.3800,42.2500,41.1300,42.0000,1.1825,162300
1998-01-30,41.0000,41.5000,40.1300,40.5000,1.1403,659400
1998-02-02,41.2500,41.5000,38.2500,38.7500,1.0910,767000
1998-02-03,38.6300,39.8800,37.6300,39.5000,1.1122,560400
1998-02-04,39.5000,40.5000,39.1300,39.5000,1.1122,278400
1998-02-05,39.8800,40.1300,36.3800,36.8800,1.0384,596600
1998-02-06,37.2500,40.1300,37.2500,39.6300,1.1158,871500
1998-02-09,39.6300,40.0000,37.7500,38.0000,1.0699,268300
1998-02-10,38.1300,38.1300,36.8800,37.1300,1.0454,543800
1998-02-11,37.5000,38.1300,36.6300,37.2500,1.0488,263900
1998-02-12,37.3800,37.6300,37.0000,37.3800,1.0525,41600
1998-02-13,37.2500,37.6300,36.5000,37.0000,1.0418,260100
1998-02-17,37.2500,37.5000,36.0000,36.1600,1.0181,310200
1998-02-18,36.2500,37.0000,35.3800,35.9400,1.0119,537200
1998-02-19,36.0000,36.0000,35.5000,35.6300,1.0032,116300
1998-02-20,36.0000,37.0000,35.5600,36.9400,1.0401,168600
1998-02-23,37.0000,38.1300,36.7500,37.3100,1.0505,139600
1998-02-24,37.7500,37.7500,36.0000,36.0600,1.0153,133300
1998-02-25,36.5000,37.1300,36.1300,37.0000,1.0418,356300
1998-02-26,36.8800,37.1300,35.0000,36.1300,1.0173,389500
1998-02-27,35.8800,36.1300,35.3800,35.8100,1.0083,1116600
1998-03-02,35.8800,36.6300,35.5000,36.0000,1.0136,197000
1998-03-03,36.0000,36.1300,35.3800,36.1300,1.0173,402800
1998-03-04,35.8800,36.3800,35.8800,36.0000,1.0136,266000
1998-03-05,35.5000,36.3800,35.2500,36.1300,1.0173,153900
1998-03-06,36.1300,37.8800,36.1300,37.6300,1.0595,469300
1998-03-09,37.1300,38.2500,37.1300,37.8100,1.0646,82800
1998-03-10,38.0000,38.5000,37.7500,37.8800,1.0665,210100
1998-03-11,38.1300,38.7500,38.0000,38.3800,1.0806,422200
1998-03-12,38.2500,39.5000,38.2500,39.3100,1.1068,385500
1998-03-13,39.2500,39.3800,38.6300,38.6900,1.0894,146800
1998-03-16,38.8800,39.0000,38.2500,38.3800,1.0806,96400
1998-03-17,38.7500,40.0000,38.3800,40.0000,1.1262,213000
1998-03-18,40.0000,40.1300,39.3800,39.6300,1.1158,376000
1998-03-19,40.1300,40.3800,39.5000,39.8800,1.1229,284600
1998-03-20,39.8800,39.8800,39.2500,39.6300,1.1158,123800
1998-03-23,39.6300,39.8800,39.3800,39.5600,1.1138,163700
1998-03-24,39.6300,39.8800,39.2500,39.6300,1.1158,507700
1998-03-25,39.3800,40.3800,39.3800,39.5000,1.1122,124000
1998-03-26,39.5000,40.1300,39.3800,39.7500,1.1192,73700
1998-03-27,39.6300,39.9400,39.3800,39.5600,1.1138,62800
1998-03-30,39.8800,39.8800,38.8800,38.8800,1.0947,377500
1998-03-31,38.7500,38.8800,33.7500,36.0000,1.0136,1712600
1998-04-01,36.5000,36.8800,34.2500,34.2500,0.9643,1058600
1998-04-02,36.3800,37.2500,35.3800,35.8100,1.0083,838800
1998-04-03,36.0000,36.3100,34.5000,36.1300,1.0173,955900
1998-04-06,43.0000,44.2500,42.3800,43.2500,1.2177,2157000
1998-04-07,43.0000,43.1300,42.0000,43.0000,1.2107,819600
1998-04-08,43.2500,43.7500,42.2500,42.6300,1.2003,607600
1998-04-09,42.7500,43.2500,41.7500,41.7500,1.1755,202700
1998-04-13,41.7500,42.2500,40.7500,42.0000,1.1825,364800
1998-04-14,42.0000,43.2500,41.5000,42.8800,1.2073,224100
1998-04-15,42.8800,43.0000,42.3400,42.3800,1.1932,154000
1998-04-16,41.7500,42.2500,41.5000,42.0000,1.1825,161800
1998-04-17,41.5000,41.7500,40.7500,41.6300,1.1721,612600
1998-04-20,41.5000,42.2500,41.5000,42.1900,1.1879,161300
1998-04-21,41.3800,42.1900,41.0000,41.3800,1.1651,103300
1998-04-22,41.5000,41.7500,41.1300,41.5000,1.1685,55100
1998-04-23,41.5000,41.6300,41.1300,41.1300,1.1581,40500
1998-04-24,41.1300,41.2500,39.3100,39.3800,1.1088,241600
1998-04-27,38.3800,39.0000,37.0000,37.8800,1.0665,505800
1998-04-28,38.0000,38.3800,37.7500,38.2500,1.0770,35300
