,open,high,low,close,adj_close,volume
2010-11-18,35.0000,35.9900,33.8900,34.1900,27.6128,457044300
2010-11-19,34.1500,34.5000,33.1100,34.2600,27.6694,107842000
2010-11-22,34.2000,34.4800,33.8100,34.0800,27.5240,36650600
2010-11-23,33.9500,33.9900,33.1900,33.2500,26.8537,31170200
2010-11-24,33.7300,33.8000,33.2200,33.4800,27.0394,26138000
2010-11-26,33.4100,33.8100,33.2100,33.8000,27.2979,12301200
2010-11-29,33.8000,33.8100,33.0700,33.8000,27.2979,27776900
2010-11-30,33.5300,34.2500,33.3600,34.2000,27.6209,57476900
2010-12-01,34.6500,34.9500,34.4200,34.7800,28.0893,34633200
2010-12-02,34.9200,34.9800,34.5100,34.6800,28.0086,23196100
2010-12-03,34.5500,34.6000,33.9700,34.5500,27.9036,19395200
2010-12-06,34.4800,34.7800,34.4100,34.4800,27.8470,11676500
2010-12-07,34.7500,34.8900,34.4600,34.6800,28.0086,20823000
2010-12-08,34.6100,34.7300,34.3300,34.4500,27.8228,12603900
2010-12-09,34.3600,34.4300,33.6200,33.7400,27.2494,18402200
2010-12-10,33.8500,33.9900,33.5300,33.8100,27.3059,11741700
2010-12-13,33.9600,34.0500,33.7000,33.8000,27.2979,11029300
2010-12-14,33.7300,33.9200,33.4500,33.8900,27.3705,15165600
2010-12-15,33.8100,34.0100,33.6100,33.6100,27.1444,10182700
2010-12-16,33.5700,33.8600,33.5600,33.6100,27.1444,9885700
2010-12-17,33.5300,34.0000,33.1900,34.0000,27.4594,35681600
2010-12-20,33.9100,34.0500,33.7400,33.7600,27.2656,12476400
2010-12-21,33.8600,33.9400,33.7200,33.8500,27.3382,9012400
2010-12-22,33.7200,34.9500,33.5300,34.9200,28.2024,20935100
2010-12-23,34.6700,35.5200,34.6200,34.8100,28.1136,20529200
2010-12-27,34.4100,34.8900,34.1900,34.6000,27.9440,7368300
2010-12-28,35.3800,35.6700,35.0700,35.3200,28.5255,23489000
2010-12-29,35.4700,36.3000,35.2500,36.0200,29.0908,20960800
2010-12-30,36.1000,36.9800,36.0200,36.8200,29.7369,16980800
2010-12-31,36.8400,36.9600,36.5700,36.8600,29.7692,6163900
2011-01-03,37.3200,38.0000,37.0300,37.0600,29.9307,24874900
2011-01-04,37.1000,37.9900,36.6800,37.9000,30.6091,32363400
2011-01-05,37.4700,38.3000,37.4700,38.0700,30.7464,22503900
2011-01-06,38.2400,39.4800,38.0700,38.9000,31.4168,38556900
2011-01-07,38.8400,39.3300,38.5100,38.9800,31.4814,19901100
2011-01-10,39.3400,39.3600,38.4400,38.5600,31.1422,18341600
2011-01-11,38.6600,39.4300,38.5100,38.7500,31.2956,14856500
2011-01-12,38.9500,39.3700,38.3700,38.6200,31.1906,16773900
2011-01-13,38.6600,38.7100,38.1100,38.2700,30.9080,11358300
2011-01-14,38.1800,38.4700,38.0400,38.2000,30.8514,5894200
2011-01-18,38.0500,38.3300,37.3200,38.0300,30.7141,8918200
