,open,high,low,close,adj_close,volume
2001-01-16,15.0000,15.0000,15.0000,15.0000,3.6102,800
2001-01-17,15.0000,15.0000,15.0000,15.0000,3.6102,30700
2001-01-18,15.3200,16.3200,15.3200,16.3200,3.9279,41800
2001-01-19,16.4800,17.0800,16.4800,17.0800,4.1109,14900
2001-01-22,17.0000,18.3200,17.0000,18.1600,4.3708,36700
2001-01-23,18.0000,19.0800,18.0000,18.4800,4.4478,19000
2001-01-24,18.3200,18.3200,18.1600,18.1600,4.3708,140000
2001-01-25,18.4000,18.4800,18.3200,18.4800,4.4478,35800
2001-01-26,18.3200,18.3600,18.3200,18.3200,4.4093,20500
2001-01-29,18.5200,18.7500,18.4000,18.7000,4.5008,65500
2001-01-30,18.7000,18.7000,18.3500,18.6000,4.4767,84800
2001-01-31,18.7000,19.0500,18.7000,18.7500,4.5128,81500
2001-02-01,19.0000,21.2000,18.7600,20.9000,5.0303,639200
2001-02-02,20.7500,21.0000,20.6000,20.8300,5.0134,198900
2001-02-05,20.8500,21.4500,19.9200,19.9700,4.8064,161200
2001-02-06,19.9000,20.0200,19.7500,19.7500,4.7535,334700
2001-02-07,19.7000,20.0000,19.6500,20.0000,4.8137,337600
2001-02-08,20.0000,20.1600,19.5000,19.5000,4.6933,144700
2001-02-09,19.5000,19.7500,19.5000,19.7500,4.7535,110400
2001-02-12,19.7500,19.7500,19.3000,19.3000,4.6452,81800
2001-02-13,19.3000,19.5400,19.2500,19.2500,4.6331,162200
2001-02-14,19.2500,19.2500,19.0700,19.0800,4.5922,33900
2001-02-15,19.1000,19.1500,18.3000,18.3000,4.4045,113600
2001-02-16,18.1000,18.1000,17.4000,18.0700,4.3491,106800
2001-02-20,18.0700,18.1500,17.8100,18.0900,4.3540,250100
2001-02-21,18.0900,18.0900,17.9000,18.0800,4.3515,110900
2001-02-22,18.0800,18.1400,17.9000,18.0300,4.3395,155900
2001-02-23,18.1000,18.7000,18.0000,18.4500,4.4406,305700
2001-02-26,18.5000,19.1200,18.5000,19.0000,4.5730,295600
2001-02-27,19.0000,19.0000,18.9000,18.9000,4.5489,172500
2001-02-28,18.9000,19.0000,18.8500,19.0000,4.5730,81500
2001-03-01,18.9000,18.9000,18.7000,18.7000,4.5008,38800
2001-03-02,18.7500,18.8100,18.7000,18.7600,4.5152,209200
2001-03-05,18.7500,19.0500,18.7500,19.0100,4.5754,100700
2001-03-06,19.0100,19.1000,18.8000,18.8000,4.5248,152500
2001-03-07,18.8000,18.9900,18.8000,18.9900,4.5706,22400
2001-03-08,18.9800,18.9800,18.8000,18.8000,4.5248,52900
2001-03-09,18.8000,18.8100,18.7000,18.7800,4.5200,67400
2001-03-12,18.7800,18.9000,18.6500,18.7000,4.5008,26600
2001-03-13,18.8500,18.8500,18.4500,18.4500,4.4406,167900
2001-03-14,18.4500,18.5500,17.8700,17.9000,4.3082,113900
2001-03-15,17.8000,17.8000,17.1500,17.4300,4.1951,290100
2001-03-16,17.5500,17.8000,17.3500,17.3500,4.1758,100700
2001-03-19,17.1500,17.7500,17.1500,17.2000,4.1397,293400
2001-03-20,17.3000,17.5600,17.0000,17.1000,4.1157,55500
2001-03-21,17.1000,17.2000,16.2500,16.6500,4.0074,33800
2001-03-22,17.2500,17.8500,17.0000,17.8500,4.2962,531400
2001-03-23,17.9000,18.3000,17.9000,18.3000,4.4045,189400
2001-03-26,18.4500,18.5000,18.2800,18.5000,4.4526,51900
2001-03-27,18.4000,18.4500,18.1300,18.3500,4.4165,108800
2001-03-28,18.3000,18.4000,17.8500,17.8500,4.2962,105200
2001-03-29,17.8000,17.8000,17.3000,17.3000,4.1638,133800
2001-03-30,17.3000,18.5000,17.3000,18.5000,4.4526,327200
2001-04-02,18.4000,18.4000,17.7000,17.8000,4.2842,171400
2001-04-03,17.8000,18.0000,17.4500,18.0000,4.3323,48200
2001-04-04,17.8500,18.0000,17.7500,17.9900,4.3299,151500
2001-04-05,18.0000,18.1200,17.9300,18.1200,4.3612,157300
2001-04-06,18.0700,18.9400,18.0000,18.8500,4.5369,119000
2001-04-09,18.8600,18.9600,18.4500,18.6100,4.4791,28400
2001-04-10,18.7100,19.1000,18.7100,19.0500,4.5850,238600
2001-04-11,19.5000,20.9000,19.5000,20.9000,5.0303,392500
2001-04-12,20.6700,22.3500,20.6700,22.3500,5.3793,172300
2001-04-16,22.3000,22.3000,21.4600,21.5000,5.1747,92000
2001-04-17,21.4000,21.7500,21.0600,21.5000,5.1747,145300
2001-04-18,21.0000,21.4100,21.0000,21.2800,5.1217,71300
2001-04-19,21.1800,21.2800,20.6600,21.2400,5.1121,30400
2001-04-20,21.4000,21.8000,20.9500,21.0000,5.0543,284900
2001-04-23,21.1000,21.1000,20.8500,20.9000,5.0303,236600
2001-04-24,20.8800,20.9300,20.7500,20.9000,5.0303,156500
2001-04-25,20.9000,21.1500,20.9000,21.0500,5.0664,81500
2001-04-26,21.0600,21.1500,20.9100,20.9800,5.0495,117300
2001-04-27,20.9900,21.0100,20.9200,21.0000,5.0543,137300
2001-04-30,20.8000,21.6000,20.7500,21.1500,5.0904,236700
2001-05-01,21.1500,24.3800,21.1500,23.8600,5.7427,222300
2001-05-02,24.0000,24.9500,23.2000,24.4600,5.8871,136900
2001-05-03,24.3000,24.4000,23.8000,24.0000,5.7764,72300
2001-05-04,23.8500,24.2000,23.8000,23.9800,5.7716,130400
2001-05-07,24.1000,24.5000,24.1000,24.3900,5.8703,44000
2001-05-08,24.5000,25.1700,24.5000,25.1700,6.0580,230000
2001-05-09,25.1000,25.1000,24.2500,24.2500,5.8366,53300
2001-05-10,24.0500,24.1500,23.6900,23.6900,5.7018,40400
2001-05-11,23.7900,23.7900,23.0000,23.0100,5.5381,17900
2001-05-14,23.1500,24.1000,22.5300,24.0700,5.7932,34100
2001-05-15,24.1500,24.9900,24.1500,24.7000,5.9545,61200
2001-05-16,24.6500,25.2000,24.5000,25.0500,6.0389,77400
2001-05-17,25.1200,26.2000,25.1200,26.1000,6.2920,69700
2001-05-18,26.0000,26.2000,25.9700,26.0000,6.2679,29900
2001-05-21,25.9000,26.3000,25.7000,26.3000,6.3402,28400
2001-05-22,26.5000,27.7000,26.2300,26.5000,6.3884,151700
2001-05-23,26.4500,26.5000,25.8500,25.9000,6.2438,80800
2001-05-24,25.9000,25.9000,24.6500,25.1000,6.0509,93800
2001-05-25,25.1000,25.4000,25.1000,25.4000,6.1232,62900
2001-05-29,25.3500,25.7500,25.3000,25.4500,6.1353,67800
2001-05-30,25.4500,26.0000,25.4500,25.9600,6.2582,83500
2001-05-31,26.0000,26.7000,26.0000,26.3000,6.3402,87600
2001-06-01,26.3000,26.4000,26.0100,26.0500,6.2799,19300
2001-06-04,26.1500,26.8000,26.1500,26.8000,6.4607,23200
2001-06-05,27.2000,27.2000,26.6000,27.1000,6.5331,128400
2001-06-06,27.0500,27.2400,26.9100,27.1100,6.5355,69800
2001-06-07,27.0100,27.7000,27.0000,27.5200,6.6343,100000
2001-06-08,27.4000,27.4500,27.3000,27.3500,6.5933,27900
2001-06-11,27.3400,27.3500,26.9000,26.9500,6.4969,66800
2001-06-12,26.9000,27.5000,26.8500,27.4000,6.6054,87900
2001-06-13,27.4500,28.3000,27.4300,27.7500,6.6898,27900
2001-06-14,27.7600,27.9000,27.3000,27.4500,6.6174,38900
2001-06-15,27.3000,27.5000,26.9900,27.1000,6.5331,109000
2001-06-18,27.3000,27.7000,27.1000,27.4000,6.6054,44400
2001-06-19,27.4000,27.4500,27.0500,27.1000,6.5331,36300
2001-06-20,27.1000,27.6200,27.1000,27.6000,6.6536,76600
2001-06-21,27.5900,28.6000,27.5900,27.7700,6.6946,236600
2001-06-22,28.0700,28.0700,27.8000,27.9500,6.7380,69200
2001-06-25,28.0100,28.6600,28.0100,28.6000,6.8947,58400
2001-06-26,28.5000,29.1000,28.5000,28.9500,6.9791,182800
2001-06-27,29.0500,29.2300,28.7700,29.0500,7.0032,99100
2001-06-28,29.3000,30.0000,29.3000,29.8500,7.1960,108400
2001-06-29,29.9500,30.1000,29.8500,30.1000,7.2563,130800
2001-07-02,30.1000,30.6500,29.9500,30.6500,7.3889,102500
2001-07-03,30.5500,31.2500,30.4000,31.1500,7.5094,49300
2001-07-05,31.1500,32.2900,31.1500,31.8500,7.6782,115100
2001-07-06,31.8000,31.9000,30.8000,30.8100,7.4274,45300
2001-07-09,30.8100,30.8500,29.9000,30.0000,7.2322,139100
2001-07-10,30.0000,30.0000,28.4000,28.4000,6.8465,86700
2001-07-11,28.4000,28.6000,28.1000,28.4000,6.8465,62700
2001-07-12,28.4000,29.1000,28.1000,28.9700,6.9839,87400
2001-07-13,28.9700,29.3000,28.9000,29.2500,7.0514,37800
2001-07-16,29.2000,29.2500,28.6000,28.6500,6.9067,23300
2001-07-17,28.7500,29.0500,28.6500,28.9000,6.9670,47500
2001-07-18,28.9000,28.9000,27.5000,27.6000,6.6536,34800
2001-07-19,30.5000,31.3500,30.0100,31.2000,7.5215,669900
2001-07-20,31.3500,35.2500,31.3500,35.1000,8.4617,816700
2001-07-23,34.0000,34.7500,32.9000,34.1000,8.2206,381000
2001-07-24,34.5500,34.5500,33.8500,33.9900,8.1941,233700
2001-07-25,33.9900,33.9900,33.2000,33.7000,8.1241,46200
2001-07-26,33.7000,34.0000,33.1500,33.9800,8.1917,73500
2001-07-27,33.9300,33.9900,33.6400,33.8700,8.1651,183000
2001-07-30,33.8700,33.9400,32.8000,32.9500,7.9433,125300
2001-07-31,32.9500,33.2000,32.2500,32.3000,7.7866,86800
2001-08-01,32.2800,33.0000,32.2800,32.8500,7.9192,92100
2001-08-02,32.8500,33.1200,32.7000,32.7000,7.8831,105300
2001-08-03,32.4500,32.4500,31.8500,31.9500,7.7023,126900
2001-08-06,31.9000,32.3500,31.7500,31.7500,7.6541,141200
2001-08-07,31.7500,32.0000,31.4500,31.9500,7.7023,47600
2001-08-08,31.9500,32.0000,31.6000,31.6000,7.6179,66200
2001-08-09,31.5500,32.0000,31.2000,32.0000,7.7143,87100
2001-08-10,32.0000,32.9500,32.0000,32.9400,7.9409,91600
2001-08-13,32.9500,35.0000,32.9500,34.3000,8.2688,327000
2001-08-14,34.1000,35.8500,34.1000,35.5500,8.5701,186500
2001-08-15,35.6500,37.3000,34.9500,35.1000,8.4713,291400
2001-08-16,35.1000,35.1500,34.6200,35.0000,8.4472,76700
2001-08-17,35.1000,35.2000,34.8700,34.9000,8.4230,166900
2001-08-20,34.9000,34.9000,34.9000,34.9000,8.4230,78800
2001-08-21,34.9000,34.9000,34.1400,34.2000,8.2541,159700
2001-08-22,34.3200,35.3000,34.3200,35.2000,8.4954,77300
2001-08-23,35.1500,35.5000,34.2000,34.3000,8.2782,89200
2001-08-24,34.3000,34.7500,34.2300,34.6500,8.3627,47300
2001-08-27,34.6500,34.8000,34.6000,34.6000,8.3506,40300
2001-08-28,34.5900,34.7500,33.2500,33.2500,8.0248,60500
2001-08-29,33.2500,34.0500,32.1900,33.7000,8.1334,76500
2001-08-30,34.4000,34.4000,33.2200,34.2500,8.2661,57400
2001-08-31,34.2000,35.7500,34.2000,35.5500,8.5799,112900
2001-09-04,35.7500,37.0000,35.5700,35.6500,8.6040,128400
2001-09-05,35.7000,35.7000,33.9000,33.9000,8.1817,71600
2001-09-06,33.8500,34.4500,29.7000,31.0000,7.4818,491800
2001-09-07,30.0000,30.5000,29.2400,30.0000,7.2404,260300
2001-09-10,29.4000,29.4600,28.5500,28.9500,6.9870,78900
2001-09-17,27.0000,27.0000,24.2000,24.8500,5.9975,195600
2001-09-18,24.6500,26.0500,24.2500,25.7500,6.2147,659600
2001-09-19,26.6000,26.6000,24.1500,24.6000,5.9371,139900
2001-09-20,24.6000,24.6000,23.1000,23.4100,5.6499,105900
2001-09-21,24.7500,24.7500,22.1000,23.0500,5.5631,243000
2001-09-24,24.8000,24.8000,23.2500,24.4500,5.9009,231600
2001-09-25,24.4500,24.4500,24.4500,24.4500,5.9009,280100
2001-09-26,26.5500,26.5500,25.1000,25.3500,6.1182,296900
2001-09-27,25.3500,27.0900,25.3500,27.0300,6.5236,70400
2001-09-28,27.2000,29.9500,27.1500,29.4000,7.0956,243900
2001-10-01,29.3500,29.4000,28.4000,28.9500,6.9870,110300
2001-10-02,28.9500,29.9500,28.9400,29.6200,7.1487,74600
2001-10-03,31.9000,31.9000,29.1500,31.3000,7.5542,74500
