,open,high,low,close,adj_close,volume
1998-01-02,35.1900,35.3100,34.7500,34.9400,10.9311,574444
1998-01-05,34.8100,35.4400,34.6900,35.3800,11.0688,855378
1998-01-06,34.9400,35.6900,34.7500,35.1300,10.9906,792844
1998-01-07,35.0000,35.6300,34.4400,35.6300,11.1470,478267
1998-01-08,35.7500,37.3800,35.7500,37.0000,11.5756,1449067
1998-01-09,36.7500,36.9400,35.3800,36.0000,11.2628,1408044
1998-01-12,35.2500,36.5600,35.0600,36.2500,11.3410,809600
1998-01-13,36.5000,37.9400,36.5000,37.6300,11.7727,859067
1998-01-14,37.4400,37.8800,37.2500,37.6900,11.7915,478000
1998-01-15,37.6300,38.6900,37.0600,38.1300,11.9291,705867
1998-01-16,38.1900,38.8800,38.1300,38.6300,12.0856,703067
1998-01-20,39.5000,41.2500,39.3800,41.1300,12.8677,1112844
1998-01-21,41.0000,41.0600,39.3800,40.0600,12.5330,1023378
1998-01-22,39.2500,40.1900,39.1300,39.6300,12.3984,764044
1998-01-23,39.4400,39.8100,38.7500,38.7500,12.1231,427867
1998-01-26,39.0000,39.4400,38.7500,38.9400,12.1826,319467
1998-01-27,38.9400,39.3100,38.6900,38.8800,12.1638,1041244
1998-01-28,39.0000,39.5000,38.6300,38.6300,12.0856,1104578
1998-01-29,39.0000,39.3100,38.6900,38.8100,12.1419,1211778
1998-01-30,38.6900,39.9400,38.6900,39.0600,12.2201,890978
1998-02-02,39.8100,40.0000,39.5000,39.9400,12.4954,730000
1998-02-03,40.5000,40.8800,40.2500,40.6900,12.7301,743600
1998-02-04,40.5000,41.1900,40.0600,40.9400,12.8083,858400
1998-02-05,41.4400,41.8800,41.1300,41.8100,13.0804,801600
1998-02-06,41.8100,41.9400,41.3100,41.6900,13.0429,632978
1998-02-09,41.8800,41.8800,40.5600,40.7500,12.7488,538000
1998-02-10,40.6300,40.9400,40.4400,40.7500,12.7488,600667
1998-02-11,40.9400,41.0000,40.3800,40.7500,12.7488,564667
1998-02-12,40.7500,41.9400,40.5600,41.2500,12.9052,829378
1998-02-13,41.5000,41.9400,40.8100,41.1300,12.8677,593778
1998-02-17,40.8100,42.8100,40.8100,42.1900,13.1993,1189378
1998-02-18,42.1900,42.3100,41.6900,42.0000,13.1399,894800
1998-02-19,42.2500,43.3800,42.1900,43.1300,13.4934,897200
1998-02-20,43.3800,44.4400,43.0000,44.4400,13.9033,784667
1998-02-23,44.3800,44.3800,43.1900,43.6900,13.6686,642844
1998-02-24,43.8800,45.1900,43.8800,44.8800,14.0409,1299200
1998-02-25,45.1300,46.0600,44.8800,45.9400,14.3725,811644
1998-02-26,45.1300,45.9400,43.6900,45.9400,14.3725,1923200
1998-02-27,45.8800,45.8800,44.0000,44.6900,13.9815,939467
1998-03-02,44.6900,45.7500,44.6300,44.8800,14.0409,606978
1998-03-03,44.6300,44.8800,44.3800,44.6300,13.9627,624267
1998-03-04,43.6300,43.6300,42.3800,43.1900,13.5278,1060000
1998-03-05,44.3800,44.3800,42.6300,42.8100,13.4088,1129867
1998-03-06,43.5000,44.9400,43.5000,44.6900,13.9977,653644
1998-03-09,44.8100,46.0000,44.8100,45.7500,14.3297,624978
1998-03-10,46.0000,46.9400,45.9400,46.6900,14.6241,676578
1998-03-11,46.7500,47.3100,46.6900,47.1300,14.7619,461067
1998-03-12,46.9400,47.7500,46.8800,47.1300,14.7619,500800
1998-03-13,47.3800,47.3800,46.5000,47.0000,14.7212,550267
1998-03-16,47.0000,47.7500,46.8100,47.0600,14.7400,444800
1998-03-17,47.1300,47.5000,46.9400,47.0600,14.7400,420178
1998-03-18,47.1300,47.8100,46.2500,46.7500,14.6429,476667
1998-03-19,46.5600,46.8800,45.8800,46.2500,14.4863,574000
1998-03-20,46.2500,46.3800,45.2500,45.6900,14.3109,777067
1998-03-23,44.8800,45.3800,43.8800,44.1900,13.8410,987244
1998-03-24,44.3800,44.9400,44.3100,44.8100,14.0352,1256044
1998-03-25,45.0000,45.8800,43.9400,45.5000,14.2514,1009200
1998-03-26,45.2500,45.3100,44.5600,44.7500,14.0164,434978
1998-03-27,44.8800,45.7500,44.1300,45.7500,14.3297,845600
1998-03-30,45.5600,45.6900,45.3100,45.5600,14.2702,357244
1998-03-31,46.0000,46.1300,44.8100,45.0000,14.0948,821244
1998-04-01,45.0000,45.8100,44.6900,45.3100,14.1918,510400
1998-04-02,45.3100,45.6300,44.9400,45.6300,14.2921,483378
1998-04-03,45.6300,46.2500,45.3800,46.0000,14.4080,784178
1998-04-06,46.0000,46.1300,44.6900,44.6900,13.9977,539867
1998-04-07,44.8100,45.5600,44.7500,45.4400,14.2326,631467
1998-04-08,45.6900,45.6900,44.2500,44.7500,14.0164,619200
1998-04-09,45.3100,46.5000,44.6300,46.3100,14.5051,2130800
1998-04-13,46.2500,46.2500,44.5000,44.9400,14.0760,1999467
1998-04-14,44.8800,45.3800,44.8800,45.1900,14.1543,845067
1998-04-15,45.8800,46.9400,45.1900,46.8100,14.6617,2367467
1998-04-16,46.4400,46.4400,45.3100,46.1900,14.4675,679778
1998-04-17,46.4400,46.7500,46.1300,46.5600,14.5834,958844
1998-04-20,46.5000,46.5000,46.0600,46.2500,14.4863,304044
1998-04-21,46.0600,46.6900,45.6900,46.5000,14.5646,659244
1998-04-22,46.1900,46.7500,46.1900,46.5000,14.5646,631067
1998-04-23,46.5000,46.6900,45.9400,46.0600,14.4268,563867
1998-04-24,45.6300,46.6900,45.5000,46.0600,14.4268,886178
1998-04-27,45.8100,46.1900,44.9400,45.3800,14.2138,859644
1998-04-28,46.0000,46.6300,46.0000,46.2500,14.4863,645378
1998-04-29,47.0000,48.4400,46.7500,47.9400,15.0156,1139378
1998-04-30,48.5000,51.5000,48.3100,51.4400,16.1119,1141244
1998-05-01,51.5000,51.5000,50.4400,51.0600,15.9928,596667
1998-05-04,50.9400,51.9400,50.5600,51.1300,16.0148,581867
1998-05-05,51.1900,52.1900,50.7500,51.8100,16.2278,433644
1998-05-06,51.8800,52.1900,50.9400,51.3100,16.0711,486578
1998-05-07,52.0600,52.3100,51.0600,51.6900,16.1902,757600
1998-05-08,51.6900,52.4400,51.5000,52.1900,16.3468,487200
1998-05-11,52.3800,53.6300,52.3100,53.1900,16.6600,611244
1998-05-12,53.0000,53.3800,52.3800,53.2500,16.6788,466267
1998-05-13,54.5000,55.0000,53.8800,54.3800,17.0327,990178
1998-05-14,54.2500,55.3800,53.6300,54.0000,16.9137,663467
1998-05-15,54.1900,54.9400,52.5600,52.5600,16.4627,695600
1998-05-18,52.8100,53.1300,51.6300,52.9400,16.5817,818444
1998-05-19,53.2500,53.7500,52.3800,53.0000,16.6005,424178
1998-05-20,52.3800,52.3800,52.3100,52.3100,16.3844,580578
1998-05-21,52.5000,52.6900,51.8800,52.6900,16.5034,541244
1998-05-22,52.7500,53.3100,52.6900,52.9400,16.5817,506578
1998-05-26,53.5000,54.1300,52.3100,52.3100,16.3844,310800
1998-05-27,51.0000,52.8100,50.6900,52.5600,16.4627,668978
1998-05-28,52.6900,53.4400,52.1900,53.4400,16.7383,453644
1998-05-29,53.2500,55.4400,53.2500,54.0000,16.9137,920400
1998-06-01,54.1900,55.0000,53.3100,54.5000,17.0703,792800
1998-06-02,55.3800,55.8800,54.6900,55.1300,17.2676,541378
1998-06-03,55.0600,55.4400,54.0000,54.1300,16.9701,446000
1998-06-04,54.8800,56.4400,54.8100,56.2500,17.6347,747600
1998-06-05,56.0000,59.9400,55.7500,59.1300,18.5376,1504044
1998-06-08,59.3100,60.2500,58.8800,59.6300,18.6944,902800
1998-06-09,59.7500,61.2500,59.5000,60.4400,18.9483,1293378
1998-06-10,60.2500,64.3700,60.2500,62.5000,19.5941,1702000
1998-06-11,62.6900,63.0600,61.6300,61.7500,19.3590,1143378
1998-06-12,61.6900,62.3800,60.2500,61.0000,19.1239,1158844
1998-06-15,61.1900,61.1900,59.1300,59.1300,18.5376,1537378
1998-06-16,58.0000,58.1300,56.8800,58.0000,18.1834,2233467
1998-06-17,57.7500,59.1300,57.7500,58.8800,18.4592,1874044
1998-06-18,59.7500,60.1300,59.1300,59.9400,18.7916,1110400
1998-06-19,59.6900,60.3800,58.3100,58.7500,18.4185,2820800
1998-06-22,59.0000,59.4400,58.7500,58.8800,18.4592,983778
1998-06-23,59.1300,60.2500,59.1300,59.1300,18.5376,1220800
1998-06-24,59.1900,61.5000,58.2500,61.5000,19.2806,1070044
1998-06-25,61.4400,61.6300,60.6300,61.3100,19.2211,951778
1998-06-26,61.0600,61.3100,60.0600,61.0000,19.1239,333867
1998-06-29,61.2500,62.4400,60.9400,62.4400,19.5753,1047200
1998-06-30,62.3100,62.9400,61.4400,61.4400,19.2618,872667
1998-07-01,61.3800,63.0000,60.8800,62.9400,19.7321,736044
1998-07-02,63.1900,64.0600,63.0000,63.5600,19.9264,569244
1998-07-06,64.5000,65.6900,64.3100,65.5600,20.5535,754178
1998-07-07,65.7500,66.3800,64.5600,64.5600,20.2399,680178
1998-07-08,64.9400,66.5000,64.9400,66.0000,20.6914,626578
1998-07-09,66.2500,66.2500,63.7500,64.6300,20.2619,1033244
1998-07-10,64.6300,67.0000,64.5000,66.3800,20.8105,826667
1998-07-13,66.6300,66.6300,65.1900,65.5000,20.5346,494844
1998-07-14,65.7500,67.4400,65.7500,66.7500,20.9265,917467
1998-07-15,66.6300,66.6300,65.0000,65.0000,20.3779,551867
1998-07-16,64.7500,65.7500,63.3800,65.7500,20.6130,886800
1998-07-17,65.7500,65.9400,64.8100,65.0600,20.3967,432578
1998-07-20,65.1300,65.5000,62.8100,62.8800,19.7133,795378
1998-07-21,62.9400,63.0600,60.5600,61.3800,19.2430,836667
1998-07-22,61.4400,62.5000,61.0600,62.5000,19.5941,946978
1998-07-23,62.3800,62.3800,59.2500,59.2500,18.5752,1784667
1998-07-24,57.7500,59.6900,57.7500,58.6900,18.3997,1794178
1998-07-27,57.7500,60.5000,57.7500,60.4400,18.9483,817244
1998-07-28,60.5600,60.5600,58.1300,58.6300,18.3809,837200
1998-07-29,59.0000,59.4400,56.7500,56.8800,17.8322,1360444
1998-07-30,57.3800,61.1300,57.3800,60.5000,18.9671,1231867
1998-07-31,60.3100,60.3800,59.6300,59.6300,18.6944,1277644
1998-08-03,59.7500,61.3100,59.0000,60.8100,19.0643,977378
1998-08-04,60.8800,61.7500,58.5000,58.5000,18.3401,1235200
1998-08-05,57.7500,59.6300,57.5600,59.4400,18.6348,1197600
1998-08-06,59.0000,62.3800,59.0000,61.7500,19.3590,1718444
1998-08-07,62.8800,64.4400,62.2500,62.5600,19.6129,1338267
1998-08-10,62.7500,63.6300,62.0000,62.9400,19.7321,804400
1998-08-11,61.0000,62.5600,60.8800,62.5000,19.5941,1468800
1998-08-12,61.0000,66.6300,60.8800,66.6300,20.8889,1509600
1998-08-13,67.0000,68.0000,63.5000,63.5000,19.9076,1933778
1998-08-14,64.9400,65.6300,62.6900,62.9400,19.7321,1484044
1998-08-17,62.1900,64.8100,62.0000,64.5600,20.2399,1135867
1998-08-18,64.5600,65.6900,64.5000,65.1300,20.4186,774267
1998-08-19,65.1300,65.2500,63.0000,63.5000,19.9076,693778
1998-08-20,62.7500,64.7500,62.7500,64.3800,20.1835,808178
1998-08-21,63.2500,63.8800,61.6900,63.4400,19.8888,919778
1998-08-24,64.1300,66.0600,64.0000,65.9400,20.6726,974178
1998-08-25,65.0000,66.2500,63.8800,64.0000,20.0644,2546444
1998-08-26,62.8800,63.6300,60.1300,60.3800,18.9295,1976844
1998-08-27,57.8800,60.5000,57.0600,59.0000,18.4969,2418267
1998-08-28,59.2500,60.4400,55.6300,56.3800,17.6755,2620444
1998-08-31,57.3800,57.3800,51.0600,51.0600,16.0076,2181067
1998-09-01,51.0000,51.5600,46.0000,49.5000,15.5185,4194800
1998-09-02,48.5000,49.8100,47.5000,48.0000,15.0483,3423600
1998-09-03,48.1300,54.2500,48.0000,52.8800,16.5782,3702044
1998-09-04,54.5000,55.0600,52.7500,53.5000,16.7726,2180800
1998-09-08,57.5000,61.1300,57.1900,60.9400,19.1051,3982578
1998-09-09,59.1300,59.3100,57.6300,58.5000,18.3401,4686978
1998-09-10,57.0000,59.9400,56.9400,59.3800,18.6160,3861778
1998-09-11,59.3800,61.6300,59.3800,59.7500,18.7320,2004444
1998-09-14,60.2500,61.4400,59.9400,60.1900,18.8699,1079867
1998-09-15,60.0000,60.8100,59.6300,59.7500,18.7320,1002800
1998-09-16,59.7500,60.3100,59.2500,59.6300,18.6944,1329778
1998-09-17,58.5600,60.3100,58.5000,59.8100,18.7665,1472000
1998-09-18,59.8100,60.6300,59.6300,60.6300,19.0238,1652400
1998-09-21,59.5000,59.5000,58.6300,59.0000,18.5123,1551778
1998-09-22,59.6300,59.8800,58.8800,58.8800,18.4747,1132044
1998-09-23,58.8800,58.8800,56.0000,57.8100,18.1389,4362444
1998-09-24,57.0000,57.2500,51.9400,54.0000,16.9435,2476667
1998-09-25,53.3100,54.6300,52.6300,53.5000,16.7866,1444400
1998-09-28,54.1300,55.0000,52.0000,52.5000,16.4728,1445378
1998-09-29,51.8800,53.2500,51.0000,52.7500,16.5513,1736000
1998-09-30,52.3800,53.3800,51.5600,52.7500,16.5513,1429467
1998-10-01,51.1300,51.1300,48.0000,48.1900,15.1205,1683467
1998-10-02,48.0000,49.0000,46.1300,48.2500,15.1393,2633867
1998-10-05,48.3100,49.8100,47.5000,49.2500,15.4531,1484667
1998-10-06,51.5000,52.3800,51.0600,51.5600,16.1779,1265867
1998-10-07,50.8800,52.1300,48.8100,50.6900,15.9049,1230267
1998-10-08,49.5000,49.6300,45.3800,48.1300,15.1017,2091778
1998-10-09,49.2500,52.3800,48.5000,51.7500,16.2375,1544800
1998-10-12,53.5000,54.1900,53.0000,53.0000,16.6297,840400
1998-10-13,53.5000,53.6300,52.8100,53.3800,16.7489,655244
1998-10-14,53.7500,56.8100,53.5000,56.6300,17.7687,1543378
1998-10-15,56.3800,60.5000,55.6900,60.5000,18.9830,1844800
1998-10-16,60.5000,62.0000,59.8100,61.0600,19.1587,1857244
1998-10-19,61.0600,61.9400,57.5600,57.6900,18.1013,2618800
1998-10-20,58.5000,58.6900,56.6300,57.0600,17.9036,2404444
1998-10-21,57.1300,57.1900,55.4400,57.0000,17.8848,1810044
1998-10-22,57.1300,58.2500,55.7500,58.0000,18.1986,904844
1998-10-23,57.5600,57.8800,56.3800,56.7500,17.8063,971644
1998-10-26,56.5600,57.4400,55.7500,56.5000,17.7279,767867
1998-10-27,56.5600,57.0000,54.3800,54.3800,17.0627,1317244
1998-10-28,54.3100,55.9400,53.6900,55.1300,17.2980,1033244
1998-10-29,56.5000,59.3800,56.3800,59.0000,18.5123,2031778
1998-10-30,59.3100,60.6900,58.7500,60.1300,18.8669,1688044
1998-11-02,60.0000,60.4400,58.7500,60.2500,18.9045,1195778
1998-11-03,60.5000,60.9400,59.1300,59.1900,18.5719,941600
