,open,high,low,close,adj_close,volume
2000-12-08,15.8100,22.8800,15.1300,20.0000,5.6645,8574900
2000-12-11,22.6900,22.7500,19.8800,21.1900,6.0015,1459600
2000-12-12,21.2200,21.2500,19.3800,19.8800,5.6305,538700
2000-12-13,20.7500,20.8800,19.7500,19.8800,5.6305,211200
2000-12-14,19.9800,20.2500,19.8800,20.1300,5.7013,132700
2000-12-15,20.2500,20.2500,18.0000,20.1300,5.7013,475100
2000-12-18,20.5000,20.5000,19.4400,20.0600,5.6815,241800
2000-12-19,20.0500,20.0600,19.2500,19.6300,5.5597,228700
2000-12-20,19.3800,19.6300,18.0000,18.2500,5.1688,614400
2000-12-21,18.0600,18.5000,17.7500,18.1900,5.1518,508700
2000-12-22,18.6300,19.3800,18.5000,19.2500,5.4521,208000
2000-12-26,19.3100,19.3800,18.8800,19.0000,5.3812,377000
2000-12-27,18.9100,19.1300,18.2500,18.5600,5.2566,180700
2000-12-28,18.6300,19.3800,18.3100,18.6300,5.2765,524300
2000-12-29,19.0000,20.1300,18.7500,19.7500,5.5937,116400
2001-01-02,20.1700,20.2500,18.6900,19.2500,5.4521,165200
2001-01-03,18.7800,19.3800,17.5000,17.6300,4.9932,272700
2001-01-04,17.9400,19.0000,17.6300,18.0600,5.1150,143800
2001-01-05,18.1100,18.5000,17.7500,18.1300,5.1348,481000
2001-01-08,18.0000,18.1900,17.5000,17.5000,4.9564,315500
2001-01-09,17.9100,18.0000,17.0000,17.2500,4.8856,410900
2001-01-10,17.1900,17.2500,16.7500,17.0000,4.8148,488400
2001-01-11,17.0300,18.5000,17.0000,18.1900,5.1518,678500
2001-01-12,18.5900,19.2500,18.5000,19.1300,5.4181,283100
2001-01-16,19.6300,20.5000,18.8800,19.0000,5.3812,331600
2001-01-17,19.1100,19.8800,18.8800,19.3800,5.4889,243000
2001-01-18,19.4800,19.5000,18.5000,19.0000,5.3812,146400
2001-01-19,19.0600,19.2500,18.2500,18.3800,5.2056,127100
2001-01-22,18.6300,18.6300,17.6300,17.8800,5.0640,382300
2001-01-23,18.2500,18.3800,17.8800,17.8800,5.0640,221300
2001-01-24,17.8900,18.0000,16.9400,17.0000,4.8148,598600
2001-01-25,17.2500,18.0000,16.2500,17.8800,5.0640,492900
2001-01-26,17.5000,19.3800,17.3800,18.6300,5.2765,124500
2001-01-29,18.9800,20.0000,18.6300,19.9400,5.6475,103300
2001-01-30,19.9400,20.0600,18.9400,20.0600,5.6815,94400
2001-01-31,19.7700,20.0600,19.3800,19.4400,5.5059,42100
2001-02-01,19.3800,20.0600,19.3800,19.8800,5.6305,50300
2001-02-02,20.0600,21.7500,20.0000,21.6300,6.1261,238600
2001-02-05,22.0600,24.3800,21.7500,23.8800,6.7634,281200
2001-02-06,24.2300,25.6900,23.8800,24.7500,7.0098,292800
2001-02-07,24.1300,25.0000,23.8800,24.3800,6.9050,94700
2001-02-08,24.2700,25.3800,24.2500,25.1300,7.1174,225700
2001-02-09,25.0600,25.1900,24.0000,24.0000,6.7974,365100
2001-02-12,24.2500,24.3800,23.5000,23.5000,6.6558,1181100
2001-02-13,23.8100,24.6300,23.3800,24.3800,6.9050,114300
2001-02-14,24.5000,24.6300,21.3800,22.2500,6.3017,681800
2001-02-15,22.7500,23.0000,20.7500,21.2500,6.0185,179700
2001-02-16,21.1900,22.3800,20.1300,21.3800,6.0553,132100
2001-02-20,22.0000,22.0000,19.1300,19.6300,5.5597,195700
2001-02-21,19.2700,20.1300,18.8800,19.6300,5.5597,98400
2001-02-22,19.6100,19.6300,18.5600,18.5600,5.2566,98700
2001-02-23,18.5000,20.5600,18.3800,20.5000,5.8061,61400
2001-02-26,20.5000,21.5000,20.4500,21.2200,6.0100,59300
2001-02-27,21.5000,22.0000,21.3800,22.0000,6.2309,135900
2001-02-28,22.1300,22.1300,21.8100,21.8800,6.1969,71300
2001-03-01,21.7500,21.8800,18.8800,20.0000,5.6645,116000
2001-03-02,20.1900,20.2500,19.2500,20.1300,5.7013,83500
2001-03-05,20.5000,21.1300,20.1900,20.8800,5.9137,55000
2001-03-06,21.0000,21.3800,20.0000,20.0000,5.6645,128500
2001-03-07,20.7200,20.8800,20.0600,20.6300,5.8429,87900
2001-03-08,20.7500,20.7500,19.5000,19.8800,5.6305,68500
2001-03-09,19.9700,20.5000,19.5000,19.6300,5.5597,70000
2001-03-12,19.2500,19.6300,18.1300,18.1300,5.1348,127500
2001-03-13,18.3800,19.0000,18.1900,18.8800,5.3473,114600
2001-03-14,18.5000,20.2500,18.2500,19.8100,5.6107,92000
2001-03-15,19.9400,20.5000,19.8800,20.2500,5.7353,28600
2001-03-16,20.3800,20.3800,19.6900,19.6900,5.5767,37900
2001-03-19,19.6900,19.7500,18.8800,19.3800,5.4889,60400
2001-03-20,19.5000,20.5000,19.1300,19.1300,5.4181,154900
2001-03-21,19.1300,20.1300,19.1300,19.9400,5.6475,37600
2001-03-22,20.1100,20.1300,19.2500,19.6300,5.5597,63400
2001-03-23,20.0000,20.6300,19.6300,20.0000,5.6645,169900
2001-03-26,20.0000,20.6300,19.8800,20.2500,5.7353,245700
2001-03-27,19.8800,20.2500,19.7500,19.7500,5.5937,115400
2001-03-28,19.6300,19.8800,18.0000,18.7500,5.3104,86200
2001-03-29,18.7500,19.1300,18.1300,19.0600,5.3982,64800
2001-03-30,19.0000,20.0000,19.0000,19.8800,5.6305,48600
2001-04-02,19.3800,20.0000,19.3800,19.7500,5.5937,62500
2001-04-03,20.0000,20.1300,18.5000,18.5000,5.2396,112300
2001-04-04,18.8800,20.2500,18.3800,20.0600,5.6815,95000
2001-04-05,20.2500,20.3800,19.9400,20.2500,5.7353,54800
2001-04-06,20.1300,20.1300,19.0000,19.1300,5.4181,69400
2001-04-09,18.9200,18.9200,17.9500,18.2500,5.1688,400700
2001-04-10,18.6500,18.7500,18.4500,18.5500,5.2538,244100
2001-04-11,18.9000,18.9000,18.2600,18.3200,5.1887,173800
2001-04-12,18.2100,18.5000,18.1000,18.1000,5.1263,60000
2001-04-16,18.1000,18.4400,17.9000,18.0500,5.1122,74800
2001-04-17,18.1600,18.5000,18.1600,18.4000,5.2113,40300
2001-04-18,18.5500,19.0000,17.8000,18.0000,5.0980,299700
2001-04-19,18.0800,18.1400,18.0000,18.0000,5.0980,129200
2001-04-20,18.5000,18.6200,18.1900,18.5600,5.2566,195600
