,open,high,low,close,adj_close,volume
1998-01-02,97.4400,98.0000,97.4400,97.6300,33.8772,58000
1998-01-05,97.5600,98.1300,97.5000,97.7500,33.9188,193900
1998-01-06,97.6300,99.0600,97.6300,98.3100,34.1131,85200
1998-01-07,98.0600,98.7500,97.0000,98.3100,34.1131,96500
1998-01-08,98.8800,98.8800,97.6900,98.3100,34.1131,82500
1998-01-09,98.1300,98.3100,93.8800,93.8800,32.5759,165300
1998-01-12,93.0000,95.3800,93.0000,95.3800,33.0964,194000
1998-01-13,94.2500,95.4400,94.2500,94.8100,32.8987,160800
1998-01-14,94.8800,96.8800,94.8800,96.8100,33.5926,49400
1998-01-15,96.8100,96.8100,94.6300,94.8800,32.9229,85500
1998-01-16,95.1300,97.3800,95.1300,96.9400,33.6378,82400
1998-01-20,97.0600,98.1300,96.5000,98.1300,34.0507,105400
1998-01-21,97.8800,97.8800,95.5000,96.6300,33.5302,56700
1998-01-22,96.0000,96.0000,94.1300,95.3100,33.0721,71000
1998-01-23,95.3100,95.4400,94.0600,95.0600,32.9854,43000
1998-01-26,95.3100,96.4400,95.3100,95.5600,33.1589,43700
1998-01-27,95.8100,96.6900,95.1900,96.2500,33.3983,51600
1998-01-28,96.1300,96.6900,95.7500,96.1300,33.3567,36800
1998-01-29,95.8800,97.7500,95.5000,96.1300,33.3567,147700
1998-01-30,96.3800,96.7500,96.0000,96.2500,33.3983,64100
1998-02-02,96.5000,98.7500,96.5000,98.6900,34.2450,83800
1998-02-03,98.5600,99.8800,97.0000,98.0000,34.0056,151500
1998-02-04,97.0000,97.8100,96.3800,97.5600,33.8529,91700
1998-02-05,98.2500,98.2500,97.5000,98.2500,34.1860,43400
1998-02-06,97.7500,99.1300,97.7500,98.0000,34.0990,45400
1998-02-09,98.2500,98.6300,97.1300,97.1900,33.8172,66300
1998-02-10,97.1300,99.1300,97.0000,99.1300,34.4922,76400
1998-02-11,99.8800,100.0000,98.5000,99.1300,34.4922,60300
1998-02-12,98.5000,100.4000,96.5000,99.8800,34.7532,89600
1998-02-13,99.0000,99.1900,98.5000,98.8800,34.4052,46300
1998-02-17,98.7500,99.5000,97.6900,97.8100,34.0329,70900
1998-02-18,97.8800,99.1300,97.8800,99.0000,34.4470,107500
1998-02-19,99.2500,99.5000,98.2500,98.3100,34.2069,82700
1998-02-20,98.2500,98.5000,97.0000,97.7500,34.0120,122000
1998-02-23,97.7500,97.8800,96.1300,96.7500,33.6641,152600
1998-02-24,96.8800,96.9400,96.3100,96.6900,33.6432,196100
1998-02-25,97.2500,97.5000,96.7500,97.3800,33.8833,98800
1998-02-26,97.2500,97.5000,97.0000,97.1900,33.8172,120500
1998-02-27,96.6900,97.0000,96.5000,96.8100,33.6850,261000
1998-03-02,97.1300,98.5000,96.6300,98.0000,34.0990,91300
1998-03-03,98.1300,98.2500,97.3800,98.1300,34.1443,53800
1998-03-04,97.8800,98.2500,97.1900,97.1900,33.8172,58200
1998-03-05,97.2500,97.3800,96.3800,97.1900,33.8172,59800
1998-03-06,97.4400,99.2500,97.4400,99.0000,34.4470,114900
1998-03-09,98.9400,99.8100,98.0600,98.4400,34.2521,65900
1998-03-10,98.5600,99.3100,98.5000,99.3100,34.5548,35100
1998-03-11,99.5600,102.3000,99.0600,101.3000,35.2473,107500
1998-03-12,100.5000,100.8000,99.8100,100.6000,35.0037,69000
1998-03-13,100.4000,100.5000,99.1900,99.3800,34.5792,32100
1998-03-16,99.6300,100.5000,99.6300,100.2000,34.8645,205200
