,open,high,low,close,adj_close,volume
1998-01-02,51.9400,51.9400,50.6300,51.1300,18.7777,1081500
1998-01-05,51.2500,51.6900,47.5600,47.8800,17.5841,2397000
1998-01-06,46.7500,47.0000,45.2500,45.8800,16.8496,3063300
1998-01-07,46.3800,48.0000,44.6300,47.9400,17.6062,4040300
1998-01-08,46.0000,46.5600,45.0600,45.0600,16.5485,2891800
1998-01-09,45.0000,45.5000,42.0000,42.3800,15.5642,3486900
1998-01-12,40.7500,43.9400,40.7500,42.3800,15.5642,2355300
1998-01-13,43.6300,45.2500,43.5000,44.1300,16.2069,2756800
1998-01-14,43.9400,45.2500,43.9400,44.7500,16.4346,2113400
1998-01-15,45.9400,46.6300,44.5600,44.7500,16.4346,2834700
1998-01-16,45.2500,46.7500,45.0600,46.5000,17.0773,1728100
1998-01-20,47.2500,48.8100,47.0000,48.5000,17.8118,2078900
1998-01-21,48.5000,48.5000,46.6300,48.1300,17.6760,1507400
1998-01-22,44.6300,45.3800,42.6300,43.5000,15.9756,4130800
1998-01-23,44.3800,45.1300,42.8100,43.0600,15.8140,2968600
1998-01-26,44.0000,44.5600,42.7500,44.0000,16.1592,2726700
1998-01-27,43.7500,44.8100,43.2500,43.3800,15.9315,2034100
1998-01-28,44.0000,45.8100,43.7500,45.4400,16.6880,2392100
1998-01-29,46.0000,48.0000,46.0000,47.2500,17.3528,2183400
1998-01-30,47.0000,47.2500,44.7500,44.9400,16.5044,1958300
1998-02-02,45.3800,45.6300,43.7500,44.3800,16.2988,2395500
1998-02-03,44.2500,45.1900,43.9400,44.5000,16.3428,1820000
1998-02-04,44.5000,48.0000,44.4400,47.7500,17.5364,3496400
1998-02-05,48.5000,49.6900,48.3100,48.6900,17.8816,3247000
1998-02-06,48.9400,49.1300,47.7500,48.1900,17.6980,1517200
1998-02-09,48.5000,49.5000,46.6300,47.0000,17.2610,1705200
1998-02-10,47.2500,48.2500,47.2500,47.8800,17.5841,1003400
1998-02-11,48.5000,48.7500,47.5600,47.8800,17.5841,1310700
1998-02-12,47.1300,47.2500,45.8800,46.6900,17.1471,1323900
1998-02-13,47.0000,48.0000,46.8100,47.7500,17.5364,1197500
1998-02-17,47.5000,47.8800,44.6900,45.5000,16.7101,2046500
1998-02-18,45.7500,46.5000,44.8800,46.2500,16.9855,3659100
1998-02-19,46.0000,46.4400,44.8800,45.0000,16.5265,5353600
1998-02-20,45.1900,45.4400,44.1900,44.8800,16.4824,2456400
1998-02-23,44.3800,44.3800,42.6300,43.5000,15.9756,2523400
1998-02-24,43.4400,44.0000,42.2500,42.9400,15.7699,1756300
