,open,high,low,close,adj_close,volume
1998-01-02,31.0800,31.4500,30.8300,30.8300,13.0989,307467
1998-01-05,30.8300,31.2600,30.5900,31.2600,13.2816,538200
1998-01-06,31.5100,33.5500,31.3900,32.5600,13.8339,619800
1998-01-07,32.6200,33.0500,30.7100,31.7000,13.4685,829867
1998-01-08,31.9400,32.0700,31.2000,31.5700,13.4133,614467
1998-01-09,31.4500,31.4500,30.2200,30.3400,12.8907,390667
1998-01-12,29.4800,30.9600,29.4800,30.9600,13.1541,668600
1998-01-13,31.3300,32.3100,31.3300,32.3100,13.7277,454600
1998-01-14,32.1900,32.4400,32.0700,32.3700,13.7532,637000
1998-01-15,32.5600,33.3000,32.3100,32.3100,13.7277,343667
1998-01-16,32.8100,33.3000,32.6800,32.8700,13.9656,791200
1998-01-20,33.0500,35.0900,33.0500,34.9600,14.8536,735600
1998-01-21,34.5900,34.5900,33.3000,34.2900,14.5689,612467
1998-01-22,33.5500,33.6700,33.1800,33.3000,14.1483,316067
1998-01-23,33.1800,33.4200,32.4400,32.8100,13.9401,281800
1998-01-26,33.0500,33.6700,32.2500,32.3100,13.7277,294267
1998-01-27,32.3100,33.4800,32.1900,32.9300,13.9911,281800
1998-01-28,32.9300,33.0500,32.1900,32.5000,13.8084,358867
1998-01-29,32.4400,33.3000,32.4400,33.0500,14.0761,891267
1998-01-30,33.0500,34.1600,32.9900,34.0400,14.4977,833000
1998-02-02,34.5300,34.5900,34.1600,34.2900,14.6042,406067
1998-02-03,34.1600,34.5300,33.6700,34.5300,14.7064,191867
1998-02-04,34.2900,34.2900,34.0400,34.2900,14.6042,280800
1998-02-05,34.5300,35.0900,34.4100,34.4700,14.6809,799000
1998-02-06,34.9000,35.7700,34.9000,35.2100,14.9960,921200
1998-02-09,35.4000,35.4000,34.6600,34.7800,14.8129,1055200
1998-02-10,34.9000,35.8900,34.8400,35.5200,15.1281,669400
1998-02-11,35.2700,36.2600,35.2700,35.6400,15.1792,545800
1998-02-12,35.5200,35.5200,35.0900,35.3400,15.0514,570800
1998-02-13,35.4000,35.7700,35.3400,35.5800,15.1536,539667
1998-02-17,35.5200,35.7700,35.4000,35.5200,15.1281,430067
1998-02-18,35.5200,35.6400,35.4000,35.5200,15.1281,984067
1998-02-19,35.4600,35.6400,35.2100,35.5200,15.1281,528267
1998-02-20,35.4600,36.0800,35.3400,36.0800,15.3666,437267
1998-02-23,35.9500,35.9500,34.9600,35.5200,15.1281,350200
1998-02-24,35.5200,35.6400,34.5300,34.6600,14.7618,622400
1998-02-25,34.4700,35.5200,34.2900,34.9600,14.8896,716800
1998-02-26,35.0900,35.1500,34.5300,34.7800,14.8129,1015600
1998-02-27,34.7800,35.8900,34.4100,35.7700,15.2345,907400
1998-03-02,35.8300,36.3800,35.7700,36.1400,15.3921,423267
1998-03-03,35.8900,36.0100,35.2100,35.6400,15.1792,322000
1998-03-04,35.4000,35.7700,34.5300,34.7200,14.7873,416600
1998-03-05,34.4700,34.9600,34.2900,34.7800,14.8129,514267
1998-03-06,34.9000,35.2100,34.9000,34.9000,14.8640,503200
1998-03-09,35.2700,35.5200,34.5300,34.5300,14.7064,612000
1998-03-10,34.7200,36.7500,34.7200,36.5100,15.5497,1314867
1998-03-11,36.2600,36.6900,36.1400,36.6300,15.6008,450600
1998-03-12,36.6300,36.6300,36.0800,36.3200,15.4688,325267
1998-03-13,36.5100,36.5100,36.0100,36.0100,15.3367,223600
1998-03-16,36.3800,36.6300,36.0100,36.0100,15.3367,959200
1998-03-17,36.2600,36.7500,36.1400,36.6300,15.6008,617400
1998-03-18,36.6300,36.7500,35.8900,36.6300,15.6008,493000
1998-03-19,36.6300,37.4900,36.5100,37.2500,15.8649,539267
1998-03-20,37.2500,37.2500,36.5100,36.6300,15.6008,407400
1998-03-23,36.2600,37.3100,36.2600,36.7500,15.6519,772067
1998-03-24,37.0000,38.1100,36.8800,37.8600,16.1247,416667
1998-03-25,34.5300,34.7800,34.2900,34.5900,14.7320,6903000
1998-03-26,34.5900,35.2100,34.5900,34.9000,14.8640,1356067
1998-03-27,35.6400,36.0100,34.6600,34.7200,14.7873,1258067
1998-03-30,34.7200,34.7800,34.2900,34.4700,14.6809,942000
1998-03-31,34.5900,35.4000,34.5900,34.8400,14.8384,633467
1998-04-01,34.7200,35.7000,34.5900,35.6400,15.1792,1109400
1998-04-02,35.6400,36.7500,35.5200,36.2600,15.4432,459867
1998-04-03,36.3800,36.4500,35.6400,35.7700,15.2345,428067
1998-04-06,35.7700,36.5100,35.5200,36.4500,15.5241,466667
1998-04-07,36.6300,36.6300,35.6400,35.7700,15.2345,468467
1998-04-08,35.6400,36.3800,35.5800,35.8900,15.2856,287667
1998-04-09,35.8900,36.6300,35.7700,36.3800,15.4943,182667
1998-04-13,36.4500,36.9400,36.1400,36.4500,15.5241,233000
1998-04-14,36.3800,36.5100,35.5800,35.6400,15.1792,188067
1998-04-15,35.6400,35.7700,35.2700,35.5200,15.1281,362400
1998-04-16,35.4000,35.5500,34.6600,35.0300,14.9194,521200
