,open,high,low,close,adj_close,volume
2006-09-06,19.7500,21.3400,19.5500,21.1100,4.2687,7646000
2006-09-07,21.1200,22.8400,20.5500,22.1000,4.4688,5384800
2006-09-08,21.9100,22.7200,21.6100,22.0600,4.4608,3904500
2006-09-11,21.5100,21.9700,21.5000,21.7400,4.3960,5187900
2006-09-12,21.6900,22.0500,21.4500,21.9300,4.4345,2288500
2006-09-13,22.0100,23.2000,22.0100,22.5500,4.5598,3069700
2006-09-14,22.2500,22.5000,21.6700,21.8100,4.4102,1378800
2006-09-15,21.7100,21.8400,21.2000,21.2700,4.3010,2016000
2006-09-18,21.5000,21.7500,21.2700,21.6600,4.3799,900400
2006-09-19,21.5500,22.5000,21.2300,21.4000,4.3273,947200
2006-09-20,21.3800,22.2600,21.3600,22.2000,4.4891,634200
2006-09-21,21.7000,22.0000,21.6665,21.7500,4.3981,691900
2006-09-22,21.7700,22.2200,21.6600,22.1400,4.4769,362200
2006-09-25,21.9200,22.5100,21.8500,22.2700,4.5032,801000
2006-09-26,22.4000,22.5000,22.3024,22.3700,4.5234,422500
2006-09-27,21.8600,22.6901,21.8000,22.6000,4.5699,1138100
2006-09-28,22.3500,22.9300,22.2900,22.4500,4.5396,749900
2006-09-29,22.5500,22.6400,22.2100,22.5100,4.5517,793300
2006-10-02,22.3800,22.6100,22.3000,22.4900,4.5477,548500
2006-10-03,22.5800,22.7300,22.3200,22.5100,4.5517,670100
2006-10-04,22.4000,23.0900,22.2500,22.7000,4.5902,749700
2006-10-05,22.6000,23.2699,22.6000,23.1500,4.6812,1130800
2006-10-06,23.0200,23.1400,22.7600,22.9200,4.6347,399800
2006-10-09,22.8000,23.1300,22.6500,22.9800,4.6468,248400
2006-10-10,22.5300,22.8500,22.3900,22.6800,4.5861,983000
2006-10-11,22.7000,22.7600,22.3500,22.6500,4.5801,932800
2006-10-12,23.3400,23.4900,22.8800,23.0000,4.6508,1523800
2006-10-13,23.0800,23.4299,23.0800,23.3500,4.7216,1009100
2006-10-16,23.3400,23.3400,23.0000,23.0000,4.6508,474600
2006-10-17,23.0000,23.0500,22.7900,22.8000,4.6104,510700
2006-10-18,22.8900,23.0500,22.7300,22.9900,4.6488,709700
2006-10-19,23.0000,23.1000,22.7500,23.0000,4.6508,343200
2006-10-20,23.0100,23.3800,23.0100,23.2400,4.6994,180600
2006-10-23,23.2400,23.6800,23.2400,23.5500,4.7620,547700
2006-10-24,23.3000,23.8100,23.1100,23.8100,4.8146,484800
2006-10-25,23.7000,24.1500,23.6601,23.8000,4.8126,542600
2006-10-26,23.7900,24.5000,23.7200,24.2700,4.9076,682400
2006-10-27,24.2500,24.5000,24.1700,24.4500,4.9440,591500
2006-10-30,24.2500,24.6000,23.9900,24.2500,4.9036,531700
2006-10-31,23.5000,23.9100,23.0200,23.6000,4.7722,1326000
2006-11-01,23.3700,23.4300,22.8900,23.0200,4.6549,585300
2006-11-02,23.0000,23.6200,22.5000,23.5500,4.7620,640500
