,open,high,low,close,adj_close,volume
1998-01-02,38.0000,38.2500,37.7500,38.2500,4.7308,30900
1998-01-05,38.1300,38.1300,37.8100,38.0600,4.7073,16600
1998-01-06,38.2500,38.5000,37.8800,38.1300,4.7159,52400
1998-01-07,38.1300,38.5000,37.8100,38.2500,4.7308,70200
1998-01-08,38.3800,38.3800,38.0000,38.3100,4.7382,42000
1998-01-09,38.1900,38.8800,38.0000,38.1300,4.7159,65300
1998-01-12,38.0000,38.1300,37.7500,38.0000,4.6999,86700
1998-01-13,38.2500,38.4400,38.0000,38.3100,4.7382,26800
1998-01-14,38.5000,38.6900,38.3100,38.6900,4.7852,26500
1998-01-15,38.4400,39.2500,38.4400,39.1900,4.8470,55400
1998-01-16,39.4400,40.0000,39.0000,39.2500,4.8545,78700
1998-01-20,39.3800,39.4400,38.8800,38.8800,4.8087,63800
1998-01-21,38.8800,39.2500,38.7500,39.2500,4.8545,22000
1998-01-22,39.0000,39.1300,38.3100,38.6300,4.7778,30000
1998-01-23,38.3800,38.8800,38.2500,38.4400,4.7543,28400
1998-01-26,38.3100,38.7500,38.1300,38.3800,4.7469,31200
1998-01-27,38.3100,38.7500,38.2500,38.3100,4.7382,31800
1998-01-28,38.5600,38.7500,38.2500,38.6300,4.7778,30800
1998-01-29,38.7500,39.1900,38.5000,39.0600,4.8310,54700
1998-01-30,39.1900,39.3800,38.8100,38.8100,4.8000,32100
1998-02-02,38.8800,39.0000,38.5600,38.6300,4.7778,37600
1998-02-03,38.3800,38.3800,37.7500,38.1300,4.7159,91000
1998-02-04,37.8800,38.1300,37.7500,38.0600,4.7073,66100
1998-02-05,37.3800,37.6300,37.0000,37.1300,4.6714,46900
1998-02-06,37.1900,37.5600,37.1300,37.5000,4.7180,46000
1998-02-09,37.4400,38.0000,37.3100,37.7500,4.7494,128900
1998-02-10,37.8800,38.0000,37.6900,37.7500,4.7494,57200
1998-02-11,37.6300,37.7500,37.3100,37.3100,4.6941,47000
1998-02-12,37.2500,37.5600,37.1300,37.5000,4.7180,41700
1998-02-13,37.3800,37.9400,37.3800,37.3800,4.7029,32500
1998-02-17,37.6300,37.9400,37.5000,37.6300,4.7343,35400
1998-02-18,37.5600,37.6300,37.5000,37.5600,4.7255,21000
1998-02-19,37.5600,37.5600,37.0000,37.0000,4.6551,45100
1998-02-20,37.0000,37.0600,36.0600,36.2500,4.5607,79100
1998-02-23,36.3100,36.6900,36.3100,36.5600,4.5997,48000
1998-02-24,36.3100,36.5600,36.0000,36.3800,4.5771,60700
1998-02-25,36.1300,36.7500,36.0600,36.5000,4.5922,47700
1998-02-26,36.6900,37.3800,36.6900,37.0000,4.6551,37600
1998-02-27,37.0000,37.5000,36.2800,37.1300,4.6714,50000
1998-03-02,36.8800,37.1900,36.4400,36.6300,4.6085,29100
1998-03-03,36.5000,37.1900,36.5000,37.1300,4.6714,37000
1998-03-04,37.0600,37.1900,36.4400,37.0000,4.6551,27400
1998-03-05,36.8800,37.1300,36.5000,36.6300,4.6085,26400
1998-03-06,36.6300,37.3800,36.5000,37.1300,4.6714,30400
1998-03-09,37.0000,37.1900,36.9400,37.0000,4.6551,52900
1998-03-10,36.9400,37.3800,36.3800,37.0600,4.6626,41100
1998-03-11,37.3100,37.3100,36.6900,36.9400,4.6475,31200
1998-03-12,37.0000,37.3800,36.1900,36.6900,4.6161,38600
1998-03-13,36.3100,36.7500,35.5000,36.0000,4.5292,193000
1998-03-16,36.0000,36.3100,35.7500,36.3100,4.5682,54900
1998-03-17,36.3100,36.3100,35.9400,36.0600,4.5368,21700
1998-03-18,36.2500,36.2500,35.7500,35.8100,4.5053,44600
1998-03-19,36.0600,36.3100,35.7500,35.9400,4.5217,40100
1998-03-20,36.0000,36.9400,36.0000,36.6900,4.6161,47500
1998-03-23,36.5600,36.8100,36.0000,36.2500,4.5607,31300
1998-03-24,36.5000,37.0600,36.5000,37.0000,4.6551,38400
