,open,high,low,close,adj_close,volume
1998-01-02,59.0000,59.1300,57.1300,58.5000,13.3302,1163100
1998-01-05,58.6900,58.8800,57.5600,57.6900,13.1457,1552800
1998-01-06,57.1300,58.0600,57.1300,58.0600,13.2300,1221900
1998-01-07,58.0000,59.1300,57.6900,58.6900,13.3735,1803800
1998-01-08,59.6900,59.6900,58.3800,58.4400,13.3166,1599300
1998-01-09,58.1300,58.1300,56.0000,56.3800,12.8472,1389400
1998-01-12,55.3100,58.1300,55.3100,58.1300,13.2459,1684100
1998-01-13,58.6300,59.1900,58.1300,59.1300,13.4738,1662200
1998-01-14,59.0000,59.7500,58.8800,59.6900,13.6014,1368200
1998-01-15,59.4400,59.8800,58.4400,59.3100,13.5148,1181600
1998-01-16,59.6300,59.8800,59.1300,59.3100,13.5148,1208100
1998-01-20,59.6300,61.0000,59.0600,60.7500,13.8429,1634900
1998-01-21,60.6900,60.8100,59.8100,60.6900,13.8293,1253500
1998-01-22,59.8800,60.1300,59.3800,59.5000,13.5581,1195000
1998-01-23,59.2500,60.2500,59.1300,59.8800,13.6447,1848600
1998-01-26,60.1300,60.1300,58.5600,58.8100,13.4009,1237500
1998-01-27,58.6900,60.6900,58.6300,60.3100,13.7427,1715400
1998-01-28,60.7500,61.1900,60.3800,60.5600,13.7996,1993600
1998-01-29,60.6300,61.6300,60.3800,60.5600,13.7996,1602300
1998-01-30,60.6900,61.3100,60.1300,60.5000,13.7860,893700
1998-02-02,61.5000,62.3800,61.2500,61.8100,14.0845,1356600
1998-02-03,61.6300,63.0600,61.4400,62.7500,14.2987,1526300
1998-02-04,62.6300,63.0600,62.2500,63.0000,14.3556,1262400
1998-02-05,63.0000,63.3800,62.3800,63.0600,14.3693,1917600
1998-02-06,63.1900,63.8800,63.0000,63.6300,14.4992,1555100
1998-02-09,63.0000,63.4400,62.8100,63.0600,14.3693,1372200
1998-02-10,63.3100,64.0000,63.0600,64.0000,14.5835,851900
1998-02-11,63.8800,64.0000,63.3100,63.9400,14.5698,1712400
1998-02-12,63.8800,65.2500,63.0600,65.1300,14.8410,1372300
1998-02-13,64.7500,65.6900,64.6900,65.5000,14.9253,1105800
1998-02-17,66.3800,67.1300,66.3100,66.7500,15.2101,2133600
1998-02-18,66.7500,67.0000,66.5600,66.8800,15.2398,1652000
1998-02-19,67.0000,67.1300,66.5600,67.1300,15.2967,1484700
1998-02-20,67.0600,67.1300,66.3800,67.0000,15.2671,1492200
1998-02-23,67.2500,68.8100,67.2500,68.5600,15.6226,2686500
1998-02-24,67.0000,67.3100,65.1300,65.1300,14.8410,3892300
1998-02-25,65.7500,67.1300,65.0000,66.5600,15.1668,3313800
