,open,high,low,close,adj_close,volume
1998-01-02,27.7500,27.7500,27.6200,27.7500,0.8367,2200
1998-01-05,27.6200,27.7500,27.6200,27.6900,0.8349,5500
1998-01-06,27.5600,27.7500,27.5000,27.7500,0.8367,17400
1998-01-07,28.0000,28.0000,27.5000,27.5000,0.8292,5100
1998-01-08,27.6900,27.6900,27.3800,27.3800,0.8256,2600
1998-01-09,27.5000,27.5000,26.7500,26.7500,0.8066,3500
1998-01-12,26.6200,26.6200,26.3800,26.3800,0.7954,3000
1998-01-13,26.2500,26.2500,26.0000,26.2500,0.7915,2700
1998-01-14,26.1200,26.6900,26.1200,26.6900,0.8048,4100
1998-01-15,26.6200,27.4400,26.6200,27.4400,0.8274,3400
1998-01-16,27.5600,27.5600,27.5000,27.5600,0.8310,4800
1998-01-20,27.6200,27.6200,27.3800,27.4400,0.8274,19300
1998-01-21,27.5000,27.5600,27.3800,27.3800,0.8256,25000
1998-01-22,27.2500,27.2500,27.0000,27.0600,0.8159,2200
1998-01-23,26.8100,26.9400,26.5000,26.5600,0.8008,2900
1998-01-26,26.6900,26.8800,26.5600,26.6900,0.8048,2200
1998-01-27,26.5000,26.5000,25.0000,25.0000,0.7538,15200
1998-01-28,25.0000,25.8800,24.8800,25.6200,0.7725,9200
1998-01-29,25.7500,26.2500,25.7500,26.2500,0.7915,5600
1998-01-30,26.1200,26.2500,25.8800,26.1200,0.7876,6700
1998-02-02,26.0000,26.2500,25.8800,25.8800,0.7803,10900
1998-02-03,25.6200,26.1200,25.6200,26.1200,0.7876,6700
1998-02-04,26.0000,26.2500,26.0000,26.0000,0.7840,10300
1998-02-05,25.7500,26.1200,25.6200,26.1200,0.7876,14900
1998-02-06,26.2500,26.5000,26.1200,26.1200,0.7876,9900
1998-02-09,26.3800,26.5000,26.2500,26.2500,0.7915,13400
1998-02-10,26.3100,26.3800,25.8800,26.0000,0.7840,10000
1998-02-11,26.0000,26.1200,25.8100,25.9400,0.7821,6600
1998-02-12,25.8800,26.0000,25.8100,25.8100,0.7782,8800
1998-02-13,26.0000,26.2500,26.0000,26.2500,0.7915,5300
1998-02-17,26.3800,26.3800,26.2500,26.2500,0.7915,6700
1998-02-18,26.3800,26.3800,26.1200,26.1200,0.7876,11600
1998-02-19,26.0000,26.3100,26.0000,26.1200,0.7876,3600
1998-02-20,26.1200,26.3800,25.8800,26.3800,0.7954,8300
1998-02-23,26.3800,26.7500,26.2500,26.7500,0.8066,22600
1998-02-24,26.7500,26.7500,26.6200,26.6200,0.8027,8200
1998-02-25,26.5000,27.0000,26.5000,27.0000,0.8141,22600
1998-02-26,27.0000,27.0000,26.7500,26.8800,0.8105,4400
1998-02-27,27.0000,27.1200,27.0000,27.0600,0.8159,2200
1998-03-02,27.1200,27.2500,27.1200,27.2500,0.8216,13900
1998-03-03,27.4400,27.4400,27.3100,27.4400,0.8274,4600
1998-03-04,27.3800,27.3800,27.0000,27.0000,0.8141,5100
1998-03-05,26.9400,27.0000,26.7500,26.7500,0.8066,2100
1998-03-06,26.7500,26.8100,26.6200,26.7500,0.8066,4400
1998-03-09,26.6200,27.2500,26.6200,27.2500,0.8216,28700
1998-03-10,27.3800,27.5000,27.3800,27.3800,0.8256,13000
1998-03-11,27.3800,27.7500,27.3800,27.7500,0.8367,31500
1998-03-12,27.7500,28.0000,27.3800,27.3800,0.8256,23700
1998-03-13,27.5000,27.6200,27.5000,27.5000,0.8292,6300
1998-03-16,27.5000,28.0000,27.5000,28.0000,0.8443,13000
1998-03-17,28.0000,28.1200,27.8800,27.8800,0.8452,2000
1998-03-18,27.7500,27.8800,27.6900,27.7500,0.8415,5500
1998-03-19,27.7500,27.8100,27.6200,27.6900,0.8397,3700
1998-03-20,27.4400,27.5000,27.3800,27.5000,0.8339,6300
1998-03-23,27.5000,27.5000,27.5000,27.5000,0.8339,200
1998-03-24,27.5000,27.7500,27.3800,27.5000,0.8339,5100
1998-03-25,27.5000,27.5000,27.2500,27.2500,0.8263,4700
1998-03-26,27.1200,27.3800,27.0000,27.1200,0.8224,12500
1998-03-27,27.0000,27.0000,27.0000,27.0000,0.8188,100
