,open,high,low,close,adj_close,volume
2013-12-12,21.3000,21.9200,21.2500,21.5000,43.6993,26543600
2013-12-13,21.9900,22.3800,21.5500,22.1000,44.9188,2513400
2013-12-16,23.1300,25.9500,21.5200,21.5200,43.7400,9680700
2013-12-17,21.6100,21.9900,21.5800,21.8100,44.3294,4748000
2013-12-18,21.8300,22.1800,21.6600,21.8300,44.3701,5864300
2013-12-19,21.7500,22.4100,21.5500,22.2800,45.2847,3014600
2013-12-20,22.5000,22.5500,21.8600,21.9300,44.5733,2041400
2013-12-23,22.0100,22.1900,21.5600,21.5600,43.8213,2504900
2013-12-24,21.6000,21.6700,21.1500,21.5100,43.7197,2532300
2013-12-26,21.5600,21.9600,21.5500,21.7000,44.1058,2686500
2013-12-27,21.6000,21.8400,21.5500,21.6000,43.9026,2237300
2013-12-30,21.7200,21.9700,21.6000,21.8900,44.4920,1789000
2013-12-31,22.0000,22.4700,21.9500,22.2500,45.2237,2327600
2014-01-02,22.2500,22.3500,21.7700,21.8600,44.4310,3619300
2014-01-03,21.8000,22.0900,21.7500,22.0100,44.7359,946500
2014-01-06,21.9900,22.1200,21.7600,22.0000,44.7156,2405600
2014-01-07,22.0000,22.1000,21.9000,22.0000,44.7156,4088800
2014-01-08,22.0300,22.0300,21.8000,22.0300,44.7766,2368500
2014-01-09,22.0000,22.0200,21.7100,21.8700,44.4514,943100
2014-01-10,21.7600,21.8600,21.5700,21.6900,44.0855,1666900
2014-01-13,21.5600,21.8300,21.5600,21.7200,44.1465,1494300
2014-01-14,21.7100,22.1100,21.6400,22.1000,44.9188,2568300
2014-01-15,22.0500,22.1700,21.8300,21.9100,44.5327,1878100
2014-01-16,21.9000,22.0300,21.6900,21.9600,44.6343,2318800
2014-01-17,21.9600,22.5600,21.8000,22.2500,45.2237,5545100
2014-01-21,22.5100,22.5900,21.8361,21.9200,44.5530,2627000
2014-01-22,21.9900,22.4900,21.9000,22.4600,45.6506,2931600
2014-01-23,22.4300,22.6600,22.1000,22.6600,46.0571,1920800
2014-01-24,22.3500,22.4800,22.0900,22.4500,45.6302,1828400
2014-01-27,22.4500,22.4500,21.8900,21.9900,44.6953,2256400
2014-01-28,21.8400,22.0000,21.7500,21.9000,44.5123,1408100
2014-01-29,21.8100,21.8800,21.5600,21.6600,44.0245,898500
2014-01-30,21.7600,21.8200,21.6000,21.6600,44.0245,1067600
2014-01-31,21.5100,21.6900,21.3400,21.6500,44.0042,879500
2014-02-03,21.6500,21.7000,20.8400,20.9500,42.5814,2288000
2014-02-04,21.0000,21.0799,20.8350,21.0300,42.7440,1715000
2014-02-05,20.8500,20.9600,20.5500,20.8000,42.2766,1425700
2014-02-06,20.8400,21.2000,20.8200,21.2000,43.0896,603500
2014-02-07,21.2600,21.8700,21.2200,21.6500,44.0042,1052700
2014-02-10,21.6700,21.6900,21.3000,21.4100,43.5164,1154100
2014-02-11,21.7300,21.7700,21.4600,21.6900,44.0855,1318300
2014-02-12,21.7400,21.9500,21.6200,21.8900,44.4920,896000
2014-02-13,21.7800,22.0200,21.6500,21.9500,44.6140,1131900
2014-02-14,22.0000,22.0500,21.8600,22.0000,44.7156,1329400
2014-02-18,22.0000,22.0000,21.7300,21.7600,44.2278,1264400
2014-02-19,21.7600,21.9500,21.5000,21.5300,43.7603,905000
2014-02-20,21.5000,21.6700,21.3100,21.4900,43.6790,1235500
2014-02-21,21.5000,22.1900,21.4700,22.1500,45.0205,2392800
2014-02-24,22.2100,22.5000,22.0401,22.2600,45.2440,1525000
2014-02-25,22.2500,22.5800,22.2100,22.3700,45.4676,1689200
2014-02-26,22.4100,22.6800,22.3000,22.5400,45.8132,2199800
2014-02-27,22.4100,22.8601,21.8000,22.4900,45.7115,4489400
2014-02-28,22.5000,22.5800,22.0800,22.3600,45.4473,1991600
2014-03-03,22.2200,22.5000,22.1100,22.4900,45.7115,1388700
2014-03-04,22.9100,23.1000,22.4550,22.5600,45.8538,4734000
2014-03-05,22.4700,22.8900,22.4500,22.7700,46.2806,1372200
2014-03-06,22.7700,22.8600,22.4000,22.4800,45.6912,1400300
2014-03-07,22.4500,22.8300,22.4000,22.7100,46.1587,1318100
2014-03-10,22.7600,22.8500,22.2300,22.3800,45.4879,1892000
2014-03-11,22.3900,22.4600,22.0000,22.1100,44.9392,1714300
2014-03-12,22.0400,22.3993,21.7700,22.3500,45.4270,1618300
2014-03-13,22.2300,22.4300,21.9600,22.0500,44.8172,2037000
2014-03-14,21.9600,22.2600,21.8700,22.0300,44.7766,1249800
2014-03-17,22.1100,22.3900,22.0900,22.1200,44.9595,757700
2014-03-18,22.1000,22.5900,22.0600,22.5700,45.8741,1390800
2014-03-19,22.5200,22.5250,22.1600,22.2600,45.2440,1504900
2014-03-20,22.2500,22.4200,22.1100,22.1700,45.0611,1339400
2014-03-21,22.2700,22.9900,22.1500,22.9900,46.7278,6210900
2014-03-24,22.9400,23.0900,22.4600,22.7600,46.2603,1982300
2014-03-25,22.7800,22.9000,22.4800,22.4800,45.6912,1604200
2014-03-26,22.5000,22.5700,22.2900,22.3400,45.4066,1604600
2014-03-27,22.3100,22.5150,22.1700,22.2300,45.1831,1375900
2014-03-28,22.1700,22.3800,21.9500,22.2500,45.2237,4253900
2014-03-31,22.3400,22.4300,22.0000,22.2400,45.2034,10048500
2014-04-01,22.2200,22.7000,22.2100,22.5500,45.8335,2159800
