,open,high,low,close,adj_close,volume
1998-01-02,21.1300,21.3800,20.7500,21.1900,5.2975,362000
1998-01-05,21.1900,21.5000,20.8800,21.2500,5.3125,49400
1998-01-06,21.2500,21.7500,21.2500,21.4400,5.3600,163700
1998-01-07,21.6300,21.6300,21.0000,21.1900,5.2975,73700
1998-01-08,21.3800,21.3800,20.1300,20.1300,5.0325,95300
1998-01-09,20.2500,20.7500,19.6300,20.1300,5.0325,203300
1998-01-12,19.0000,19.7500,18.8800,19.7500,4.9375,93900
1998-01-13,19.5000,21.6900,19.5000,21.2500,5.3125,163800
1998-01-14,21.0000,22.3800,20.8100,21.6300,5.4075,222500
1998-01-15,21.5000,21.5000,20.8800,20.8800,5.2200,81500
1998-01-16,20.8800,21.3400,20.8800,21.1300,5.2825,102300
1998-01-20,21.2500,21.7500,20.6300,21.0000,5.2500,132200
1998-01-21,20.3800,21.0000,19.3800,20.5000,5.1250,162200
1998-01-22,20.1300,21.0000,20.1300,20.2500,5.0625,96000
1998-01-23,20.2500,20.7500,20.0000,20.7500,5.1875,52900
1998-01-26,20.6300,21.0000,20.2500,20.7500,5.1875,121800
1998-01-27,20.6300,20.8800,20.3800,20.5000,5.1250,78800
1998-01-28,20.5000,20.7500,20.2500,20.5000,5.1250,143600
1998-01-29,20.3800,20.6300,19.5000,19.7500,4.9375,101400
1998-01-30,20.0000,20.0000,19.3800,19.3800,4.8450,77400
1998-02-02,19.3800,19.8800,18.7500,18.7500,4.6875,182100
1998-02-03,19.3800,21.1300,18.8100,21.0000,5.2500,756400
1998-02-04,21.0000,21.0000,20.0000,20.6900,5.1725,355100
1998-02-05,21.3800,21.3800,20.6300,21.2500,5.3125,255300
1998-02-06,21.0000,23.6300,21.0000,23.4400,5.8600,670600
1998-02-09,23.5000,24.3800,23.2500,23.7500,5.9375,213400
1998-02-10,23.8800,24.0000,23.3800,23.8800,5.9700,120100
1998-02-11,24.0000,25.1300,23.7500,24.2500,6.0625,132100
1998-02-12,23.8800,24.3800,23.7500,24.0000,6.0000,40100
1998-02-13,24.3800,24.3800,23.8800,24.2500,6.0625,146300
1998-02-17,24.3100,24.8800,23.7500,24.2500,6.0625,101900
1998-02-18,23.7500,24.5000,23.7500,24.4400,6.1100,46800
1998-02-19,24.5000,24.7500,23.8800,23.8800,5.9700,54400
1998-02-20,23.8800,24.3800,23.5000,23.7500,5.9375,132400
1998-02-23,23.6300,24.2500,22.8800,23.1300,5.7825,371900
1998-02-24,23.1300,23.1300,22.3800,22.5000,5.6250,228800
1998-02-25,22.5000,23.8800,22.5000,23.7500,5.9375,100600
1998-02-26,23.2500,23.7500,22.7500,22.7500,5.6875,40300
1998-02-27,22.8800,23.3800,22.7500,22.8800,5.7200,19500
1998-03-02,23.1300,23.3800,22.5000,22.5000,5.6250,111000
1998-03-03,22.5000,22.7500,22.0000,22.6300,5.6575,82000
1998-03-04,22.6300,22.8100,22.0000,22.7500,5.6875,34100
1998-03-05,21.6300,23.1300,21.1300,23.1300,5.7825,143600
1998-03-06,23.5000,23.5000,22.5000,22.8800,5.7200,112100
1998-03-09,23.0000,24.0000,22.3800,23.8400,5.9600,180300
1998-03-10,23.8800,25.2500,23.8800,25.1300,6.2825,355600
1998-03-11,25.1300,25.1300,24.5000,24.6900,6.1725,109500
1998-03-12,24.5000,25.2500,24.5000,25.2500,6.3125,134100
1998-03-13,27.3800,28.4400,26.7500,28.4400,7.1100,889500
1998-03-16,30.1300,30.7500,29.1300,29.5000,7.3750,1693300
1998-03-17,29.3800,29.6300,25.8800,26.2500,6.5625,548200
1998-03-18,25.8800,28.0000,25.2500,27.7500,6.9375,506000
1998-03-19,27.2500,28.0000,26.6300,28.0000,7.0000,215900
1998-03-20,28.0000,29.0000,27.5000,27.9400,6.9850,293800
1998-03-23,28.0000,29.0000,27.3800,28.5000,7.1250,405400
1998-03-24,29.0000,29.6300,28.3800,28.5000,7.1250,171600
1998-03-25,28.7500,28.7500,28.0000,28.0000,7.0000,131800
1998-03-26,28.0000,28.3800,27.7500,28.0000,7.0000,67900
1998-03-27,27.8100,28.5000,27.8100,28.5000,7.1250,285400
1998-03-30,28.6300,28.6300,27.8800,27.8800,6.9700,64400
1998-03-31,27.3800,28.3800,27.3800,27.7500,6.9375,61600
1998-04-01,27.5000,29.7500,27.5000,29.5000,7.3750,222900
1998-04-02,29.2500,29.5000,28.2500,28.8800,7.2200,124200
1998-04-03,28.1300,28.8800,27.5000,27.6300,6.9075,101900
1998-04-06,28.0000,28.6300,27.6300,28.3800,7.0950,33800
1998-04-07,28.4400,28.6300,27.6300,27.6300,6.9075,43800
1998-04-08,27.5000,28.3800,26.5000,26.5000,6.6250,132800
1998-04-09,26.8800,27.1300,26.6300,26.7500,6.6875,108000
1998-04-13,27.1300,27.1300,26.0000,26.1300,6.5325,54700
1998-04-14,26.0000,27.0000,25.0000,26.7500,6.6875,129000
1998-04-15,27.2500,27.2500,26.6300,27.1300,6.7825,97400
1998-04-16,27.1300,27.1300,25.7500,25.8800,6.4700,31000
1998-04-17,25.8800,25.8800,24.3800,24.5000,6.1250,218400
1998-04-20,24.6300,25.1300,24.5000,25.0000,6.2500,224200
1998-04-21,24.6300,25.2500,24.6300,24.6300,6.1575,113800
1998-04-22,24.6300,25.1300,24.5000,24.6300,6.1575,135600
1998-04-23,24.8800,24.8800,24.0000,24.4100,6.1025,143200
1998-04-24,24.1300,25.0600,24.1300,25.0000,6.2500,111800
1998-04-27,24.1300,24.6300,23.5000,24.2500,6.0625,96200
1998-04-28,24.2500,25.1900,24.2500,24.7500,6.1875,136300
1998-04-29,22.0000,25.0000,21.6300,23.6300,5.9075,860500
1998-04-30,23.6300,24.0000,22.8800,23.5000,5.8750,357100
1998-05-01,23.7500,24.6300,23.2500,24.0000,6.0000,82000
1998-05-04,24.0000,24.7500,23.8800,24.0000,6.0000,99200
1998-05-05,23.8800,24.3800,23.8800,24.0000,6.0000,81000
1998-05-06,24.1300,24.3800,23.7500,24.0000,6.0000,105400
1998-05-07,24.0000,24.1300,23.7500,24.0000,6.0000,58500
1998-05-08,23.8800,24.6300,23.8800,24.4400,6.1100,39400
1998-05-11,24.6300,25.0000,23.6300,23.8800,5.9700,68300
1998-05-12,23.6300,23.8800,23.6300,23.8800,5.9700,58600
1998-05-13,24.0000,24.3800,23.6300,24.0000,6.0000,47900
1998-05-14,24.1300,24.2500,23.8800,24.0000,6.0000,71600
1998-05-15,24.1300,24.1300,23.7500,23.7500,5.9375,12300
1998-05-18,23.6300,23.7500,23.3800,23.6900,5.9225,71700
1998-05-19,23.6300,23.8800,23.6300,23.7500,5.9375,23800
1998-05-20,23.8800,24.2500,23.3800,23.8800,5.9700,57300
1998-05-21,23.8800,24.1300,23.6300,23.7200,5.9300,405800
1998-05-22,23.6300,24.0000,23.6300,23.7500,5.9375,73700
1998-05-26,24.0000,24.0000,23.5000,23.6900,5.9225,43100
1998-05-27,23.3800,23.7500,22.5000,22.5000,5.6250,196400
1998-05-28,23.0000,23.0000,22.5000,22.5000,5.6250,130200
1998-05-29,22.5000,22.5000,20.8800,21.0000,5.2500,520400
1998-06-01,21.0000,21.1300,20.6300,20.6300,5.1575,190200
1998-06-02,21.1300,21.1300,20.5000,20.7500,5.1875,42600
1998-06-03,21.1300,21.1300,19.6300,20.0000,5.0000,738000
1998-06-04,19.6300,20.0000,18.7500,19.0000,4.7500,216900
1998-06-05,18.7500,19.0000,18.6300,18.8800,4.7200,104700
1998-06-08,18.8800,19.0000,18.5000,18.6300,4.6575,56100
1998-06-09,18.7500,19.0000,18.5000,18.5000,4.6250,156700
1998-06-10,18.5000,18.8800,18.2500,18.5000,4.6250,105200
1998-06-11,18.2500,18.6300,17.7500,18.1300,4.5325,389500
1998-06-12,18.1300,18.1300,17.4700,18.0000,4.5000,95900
1998-06-15,17.3800,18.0000,17.3800,17.7500,4.4375,71100
1998-06-16,17.7500,18.2500,17.5000,18.2500,4.5625,78900
