,open,high,low,close,adj_close,volume
1998-01-02,62.5600,64.6300,61.8800,64.5600,11.2465,2301900
1998-01-05,64.6300,65.5000,63.5600,64.1300,11.1716,3121100
1998-01-06,63.5600,64.5600,63.5000,64.3100,11.2029,2350100
1998-01-07,63.9400,64.8800,62.8100,64.8800,11.3022,2638500
1998-01-08,64.5000,65.6900,64.0000,65.1900,11.3562,2968300
1998-01-09,65.1900,65.3100,61.5600,62.0000,10.8005,3234300
1998-01-12,60.5600,63.4400,60.5600,62.1900,10.8336,3423500
1998-01-13,62.2500,63.8800,62.2500,63.8800,11.1280,2347100
1998-01-14,63.9400,63.9400,62.3800,63.0000,10.9747,2093000
1998-01-15,63.0000,64.5000,62.6900,64.0000,11.1489,2637000
1998-01-16,64.6300,64.9400,63.5600,63.7500,11.1054,2524700
1998-01-20,63.9400,64.5600,63.1300,64.0600,11.1594,2564900
1998-01-21,63.0600,63.6300,62.6900,63.0600,10.9852,3050400
1998-01-22,62.3100,63.0000,62.0000,62.1300,10.8232,2472200
1998-01-23,62.0000,62.4400,61.1900,61.6300,10.7361,2333900
1998-01-26,61.6300,62.4400,61.0000,61.5000,10.7134,1980800
1998-01-27,61.8800,63.8100,61.5600,63.3800,11.0409,2122900
1998-01-28,63.1900,63.9400,62.7500,63.3800,11.0409,2081600
1998-01-29,61.0000,62.3100,60.5000,60.5000,10.5392,5028900
1998-01-30,60.6900,60.8800,59.9400,60.1300,10.4748,3647900
1998-02-02,60.8100,62.1900,60.8100,61.7500,10.7570,3409400
1998-02-03,61.0600,61.1300,59.8100,60.2500,10.4957,4690400
1998-02-04,60.0600,61.2500,60.0000,60.5000,10.5392,4174600
1998-02-05,61.6900,62.6300,61.4400,61.6900,10.7465,4259800
1998-02-06,61.3100,63.0600,61.3100,62.1300,10.8232,3431700
1998-02-09,61.8100,62.2500,61.0600,61.3100,10.6803,2774700
1998-02-10,62.4400,64.4400,62.1300,63.3800,11.0409,4499900
1998-02-11,63.1900,64.0600,62.3100,62.5000,10.8876,2861200
1998-02-12,62.1300,62.6300,60.8800,62.3800,10.8667,3525800
1998-02-13,61.8100,62.2500,61.4400,61.8800,10.7796,1276200
1998-02-17,62.8800,62.9400,61.5000,61.6300,10.7361,2152300
1998-02-18,61.5000,63.4400,61.0600,63.1300,10.9974,5173800
1998-02-19,63.6900,65.4400,63.5600,64.9400,11.3127,6881900
1998-02-20,64.5000,65.0600,63.6300,64.9400,11.3127,5724900
1998-02-23,65.1900,65.6900,64.1300,64.3800,11.2151,2513700
1998-02-24,64.2500,64.3100,62.0000,62.5600,10.8981,2920300
1998-02-25,63.4400,64.9400,63.2500,64.6300,11.2587,2647700
1998-02-26,64.6900,65.3800,64.1300,65.0000,11.3231,2208700
1998-02-27,66.8100,67.9400,66.5000,67.0000,11.6715,5061100
1998-03-02,67.1300,67.7500,65.1900,65.2500,11.3667,2887100
1998-03-03,64.3800,64.8100,64.1300,64.5000,11.2360,2283400
1998-03-04,64.3800,65.3100,62.5000,62.5000,10.8876,2766900
1998-03-05,63.0000,63.0600,61.3100,61.9400,10.7901,5540900
1998-03-06,61.2500,62.7500,61.1300,61.5600,10.7239,4282800
1998-03-09,60.8100,61.1300,60.1300,60.2500,10.4957,5219000
1998-03-10,60.5000,61.6300,60.5000,61.5000,10.7134,3183700
1998-03-11,61.7500,62.4400,60.5600,60.6300,10.5619,3750300
1998-03-12,60.5600,62.1300,60.2500,61.8800,10.7796,2322400
1998-03-13,62.0600,62.3800,61.3100,61.7500,10.7570,2222800
1998-03-16,62.0600,62.3800,61.2500,62.1900,10.8336,1712700
1998-03-17,62.1900,62.3800,61.0000,61.4400,10.7030,2325300
1998-03-18,61.9400,62.6900,61.0600,62.6300,10.9103,2108400
1998-03-19,63.0000,63.6300,62.5600,62.8100,10.9416,2024000
1998-03-20,64.0000,64.0000,62.2500,62.8100,10.9416,3189000
1998-03-23,62.5600,64.5000,62.3800,63.2500,11.0183,2629800
1998-03-24,63.8800,64.3100,63.4400,63.5000,11.0618,1610600
1998-03-25,64.6900,65.0000,63.8100,64.7500,11.2796,2562200
1998-03-26,64.0000,64.5000,63.3100,63.8800,11.1280,1508500
1998-03-27,64.1300,64.1900,62.6300,62.8100,10.9416,1381300
1998-03-30,63.0000,63.4400,62.6300,63.1300,10.9974,1264000
1998-03-31,63.9400,64.4400,63.3800,63.3800,11.0409,1880000
1998-04-01,63.9400,63.9400,62.0000,62.5600,10.8981,3016800
1998-04-02,62.1900,63.2500,62.0000,62.8800,10.9538,2820100
1998-04-03,63.1900,63.2500,62.1900,62.5600,10.8981,1889800
1998-04-06,62.6300,62.9400,61.5600,61.8800,10.7796,2262900
1998-04-07,61.3100,61.9400,60.5600,60.7500,10.5828,2455700
1998-04-08,60.5000,60.9400,60.0600,60.2500,10.4957,4035600
1998-04-09,60.5000,61.2500,60.4400,61.0600,10.6368,2302400
1998-04-13,61.0600,61.0600,60.4400,61.0000,10.6263,1977200
1998-04-14,60.7500,61.5000,60.5000,60.9400,10.6159,2412200
1998-04-15,61.6900,64.1900,61.0600,63.7500,11.1054,4255800
1998-04-16,63.1300,63.4400,61.6900,62.1900,10.8336,2278600
1998-04-17,62.4400,63.7500,62.0000,63.4400,11.0514,2197300
1998-04-20,62.5600,64.7500,62.5600,64.3800,11.2151,2845700
1998-04-21,64.5600,67.0000,64.5000,66.9400,11.6611,5083100
1998-04-22,66.9400,67.1900,65.9400,66.8100,11.6384,3330200
1998-04-23,66.3100,67.7500,65.6300,66.6300,11.6071,3662000
1998-04-24,68.5900,74.9400,68.5900,74.6300,13.0007,14066700
1998-04-27,72.0000,74.3100,71.5000,73.2500,12.7603,9541100
1998-04-28,73.6900,73.9400,71.1300,72.3100,12.5965,4083400
1998-04-29,72.0000,75.4400,71.5600,75.0000,13.0651,4651200
1998-04-30,75.1300,75.8800,74.1300,75.3800,13.1313,3924400
1998-05-01,75.6300,75.6300,73.6300,74.0000,12.8909,2886900
1998-05-04,73.9400,75.3800,73.9400,75.1300,13.0878,3229300
1998-05-05,75.0600,76.0000,74.4400,75.3100,13.1191,2359300
1998-05-06,75.1300,75.4400,74.0600,74.3800,12.9571,2471400
1998-05-07,74.9400,78.0000,74.3800,76.6300,13.3491,3984200
1998-05-08,76.3100,77.4400,76.3100,76.9400,13.4031,3172600
1998-05-11,77.1300,78.5600,76.5000,76.6900,13.3595,3408500
1998-05-12,77.2500,80.1900,77.0000,79.8800,13.9152,3856300
1998-05-13,80.4400,82.3800,80.0600,81.6300,14.2201,4932900
1998-05-14,70.6300,73.0000,68.9400,70.3100,12.2481,23076100
1998-05-15,70.3800,70.9400,69.4400,69.4400,12.0966,7375200
1998-05-18,70.1900,70.1900,65.6300,66.1300,11.5200,6580400
1998-05-19,66.5000,66.7500,65.0600,66.5000,11.5844,7553000
1998-05-20,67.0000,67.9400,65.5600,65.8800,11.4764,5798800
1998-05-21,66.0000,67.0000,64.3800,64.8800,11.3022,4497800
1998-05-22,65.1300,66.7500,64.6900,65.6300,11.4329,2664200
1998-05-26,67.2500,67.2500,65.2500,65.3800,11.3893,2348400
1998-05-27,64.1300,65.6300,63.5600,65.4400,11.3998,3994700
