,open,high,low,close,adj_close,volume
1998-01-02,33.8100,34.1300,32.9400,33.1900,11.5270,75150
1998-01-05,33.9400,34.0000,31.1300,31.2500,10.8532,271600
1998-01-06,30.7500,31.0000,29.0000,29.9400,10.3983,295300
1998-01-07,30.0000,30.4400,29.0600,30.1300,10.4642,276200
1998-01-08,30.1300,30.2500,28.7500,28.7500,9.9850,344500
1998-01-09,28.0000,28.3100,25.0000,25.3100,8.7902,511400
1998-01-12,23.3800,25.6900,23.3800,25.5000,8.8562,1037300
1998-01-13,26.5000,27.6900,26.2500,27.3100,9.4848,373600
1998-01-14,27.3100,27.7500,27.1300,27.6300,9.5960,265100
1998-01-15,27.5000,28.3800,27.3100,27.3100,9.4848,398600
1998-01-16,27.6300,29.3100,27.6300,29.0000,10.0718,283000
1998-01-20,29.7500,30.6300,29.4400,30.3100,10.5268,402400
1998-01-21,30.1900,30.1900,28.7500,29.3800,10.2038,531600
1998-01-22,29.3800,29.3800,28.2500,28.8800,10.0301,705500
1998-01-23,29.1300,29.5600,28.5000,29.0000,10.0718,345000
1998-01-26,29.1300,29.4400,27.5000,28.0000,9.7245,578200
1998-01-27,28.0000,28.0600,27.0000,27.1900,9.4432,658400
1998-01-28,27.5000,27.9400,26.0000,26.5600,9.2244,693600
1998-01-29,26.7500,27.5000,26.5000,26.6300,9.2487,1967000
1998-01-30,26.6900,26.6900,25.5000,25.5600,8.8771,629700
1998-02-02,25.6300,25.8100,24.3100,24.5600,8.5298,1042300
1998-02-03,24.7500,26.6300,24.5600,25.7500,8.9431,974600
1998-02-04,26.0000,27.8800,25.8800,27.5600,9.5717,1013500
1998-02-05,29.2500,29.2500,28.0000,28.2500,9.8113,1063400
1998-02-06,28.5600,28.8100,28.0600,28.2500,9.8113,397700
1998-02-09,28.0600,28.6900,28.0600,28.3100,9.8321,339600
1998-02-10,28.3100,28.6300,28.1300,28.3100,9.8321,736900
1998-02-11,28.5600,28.9400,28.1900,28.2500,9.8356,250300
1998-02-12,28.0600,28.4400,27.6900,28.3100,9.8565,401300
1998-02-13,27.7500,29.1300,27.7500,29.0000,10.0967,358500
1998-02-17,28.5000,29.1900,27.5600,27.7500,9.6615,439500
1998-02-18,27.6300,29.0000,27.6300,28.9400,10.0759,305600
1998-02-19,29.7500,29.7500,28.3100,28.5000,9.9227,323600
1998-02-20,28.5000,28.6900,27.8100,28.1900,9.8147,279900
1998-02-23,28.1900,28.1900,27.1300,27.7500,9.6615,578200
1998-02-24,27.5600,27.8800,26.9400,27.3100,9.5083,216100
1998-02-25,27.5000,28.1900,27.5000,27.6900,9.6407,100900
1998-02-26,28.6300,29.8800,28.6300,29.8800,10.4031,389800
1998-02-27,29.8800,29.8800,28.5600,28.9400,10.0759,288800
1998-03-02,29.1300,30.0000,29.1300,29.8800,10.4031,245400
1998-03-03,30.3100,31.0000,29.3800,30.7500,10.7060,330400
1998-03-04,30.2500,31.1300,29.9400,30.0000,10.4449,398400
1998-03-05,30.0000,30.9400,30.0000,30.6900,10.6851,182800
1998-03-06,30.5600,30.7500,29.0000,29.2500,10.1838,258400
1998-03-09,28.9400,29.7500,28.0000,29.4400,10.2499,335800
1998-03-10,29.5600,29.6300,28.1900,29.1300,10.1420,347100
1998-03-11,29.1300,29.7500,29.1300,29.3800,10.2290,354800
1998-03-12,29.3100,29.5600,28.6300,29.4400,10.2499,269700
1998-03-13,29.3100,29.7500,29.0600,29.5000,10.2708,245900
1998-03-16,29.4400,29.6900,28.8100,29.0600,10.1176,261200
1998-03-17,29.0000,29.0000,27.8100,28.6300,9.9679,449700
1998-03-18,28.6300,29.7500,28.5600,29.7500,10.3579,308900
1998-03-19,29.8800,30.5600,29.6900,30.2500,10.5319,237600
1998-03-20,30.2500,31.2500,30.1300,31.0600,10.8140,197200
1998-03-23,32.1300,33.0600,32.0000,32.1300,11.1865,406400
1998-03-24,32.4400,32.6300,31.6300,31.6900,11.0333,195100
1998-03-25,32.0600,32.5600,31.6900,32.3100,11.2492,197900
1998-03-26,32.3800,32.8800,32.2500,32.5000,11.3153,142700
1998-03-27,32.5000,32.7500,31.6300,32.0600,11.1621,109900
1998-03-30,32.2500,32.3100,31.2500,31.5600,10.9880,72400
1998-03-31,31.7500,31.8100,31.0600,31.3100,10.9010,141000
