,open,high,low,close,adj_close,volume
1998-01-02,44.5600,44.7500,43.8100,44.2500,6.0550,292100
1998-01-05,44.0000,44.1300,42.4400,42.8100,5.8579,368500
1998-01-06,42.2500,42.9400,41.0600,41.0600,5.6185,465200
1998-01-07,41.4400,42.2500,41.1900,42.2500,5.7813,241400
1998-01-08,42.2500,42.2500,41.3800,41.9400,5.7389,204000
1998-01-09,41.9400,41.9400,39.7500,40.3100,5.5158,322700
1998-01-12,39.8800,41.7500,39.8800,41.5000,5.6787,197100
1998-01-13,41.3800,42.0000,40.7500,41.8100,5.7211,158200
1998-01-14,41.7500,41.9400,41.2500,41.8800,5.7307,125200
1998-01-15,41.6300,42.0000,41.5000,41.8800,5.7307,161900
1998-01-16,42.0000,43.3100,42.0000,42.7500,5.8497,258300
1998-01-20,42.8800,43.1300,42.6300,42.8800,5.8675,160200
1998-01-21,42.6300,42.6900,41.7500,42.1900,5.7731,100100
1998-01-22,41.9400,42.0000,41.5000,41.9400,5.7389,255300
1998-01-23,42.0600,42.0600,40.8100,40.9400,5.6020,215300
1998-01-26,41.3100,41.3100,39.8800,40.1300,5.4912,158400
1998-01-27,40.2500,41.7500,40.1900,40.8800,5.5938,355400
1998-01-28,41.6300,42.8100,41.6300,41.8100,5.7211,402400
1998-01-29,43.0000,43.0600,42.3100,42.7500,5.8497,405500
1998-01-30,42.5000,43.9400,42.5000,43.8800,6.0043,665500
1998-02-02,44.5000,44.6300,42.8800,43.0000,5.8839,442100
1998-02-03,43.1300,44.2500,43.1300,44.2500,6.0550,715400
1998-02-04,44.7500,45.7500,44.5000,45.1900,6.1836,848700
1998-02-05,45.2500,45.8800,44.5600,44.9400,6.1494,591800
1998-02-06,45.1900,45.6900,44.9400,45.4400,6.2178,299200
1998-02-09,45.4400,45.6300,44.7500,45.1900,6.1836,188700
1998-02-10,45.1900,45.6300,45.1900,45.5600,6.2342,362200
1998-02-11,45.5600,45.6900,45.4400,45.5600,6.2342,200900
1998-02-12,45.3800,45.6300,44.8800,45.5600,6.2342,222100
1998-02-13,45.3100,45.8800,45.2500,45.5000,6.2260,117200
1998-02-17,45.4400,46.0000,44.7500,45.5000,6.2260,237800
1998-02-18,45.5000,45.8800,45.3100,45.6900,6.2520,176900
1998-02-19,45.5600,45.5600,44.8800,45.1900,6.1836,409700
1998-02-20,45.4400,45.4400,44.8800,45.1900,6.1836,210900
1998-02-23,45.1900,45.6300,45.1300,45.5000,6.2260,504900
1998-02-24,45.6300,45.8100,44.8100,45.0000,6.1576,520800
1998-02-25,45.0000,45.1900,44.7500,44.8800,6.1412,354800
1998-02-26,44.6300,47.3800,44.6300,47.0000,6.4313,451600
1998-02-27,46.7500,47.8100,46.1300,47.0600,6.4395,535800
1998-03-02,47.0000,47.2500,46.5000,46.5000,6.3628,343600
1998-03-03,46.0000,47.1900,45.8800,47.1300,6.4490,580400
1998-03-04,47.0000,47.8800,47.0000,47.5600,6.5079,249700
1998-03-05,47.0000,47.1300,46.7500,47.0000,6.4313,190600
1998-03-06,47.1300,47.4400,46.9400,47.3100,6.4737,277100
1998-03-09,46.2500,48.0000,46.1900,47.4400,6.5188,441500
1998-03-10,47.5000,47.8800,47.2500,47.7500,6.5614,151700
1998-03-11,47.8800,47.9700,47.3800,47.5000,6.5271,390500
1998-03-12,47.7500,47.8800,47.4400,47.4400,6.5188,198400
1998-03-13,47.3800,47.9400,47.1900,47.6900,6.5532,256100
1998-03-16,46.8100,49.0600,46.8100,48.7500,6.6988,565000
1998-03-17,48.1300,48.3800,47.3800,47.5000,6.5271,375600
1998-03-18,47.6300,47.6600,47.0000,47.3800,6.5106,604800
1998-03-19,47.2500,47.5000,47.0000,47.3100,6.5010,491800
1998-03-20,47.5000,47.5000,46.8800,47.3100,6.5010,797000
1998-03-23,47.1300,47.5600,46.6300,47.1900,6.4845,515900
1998-03-24,47.2500,48.4400,47.1300,47.9400,6.5875,605100
1998-03-25,48.0600,48.0600,46.9400,47.0000,6.4584,233200
1998-03-26,47.1300,48.0000,46.8800,46.9400,6.4501,244200
1998-03-27,47.1300,47.1300,45.8800,46.8100,6.4323,221900
1998-03-30,47.0000,47.2500,46.7500,46.9400,6.4501,202500
1998-03-31,47.0000,47.9400,47.0000,47.5600,6.5353,381200
1998-04-01,47.7500,47.7500,46.6900,47.5000,6.5271,163100
1998-04-02,47.4400,48.1900,46.8100,48.1300,6.6136,237200
1998-04-03,48.0000,48.0000,47.3100,47.6900,6.5532,245300
1998-04-06,47.6900,47.7500,46.4400,46.4400,6.3814,466200
1998-04-07,46.4400,47.3800,46.1900,47.3800,6.5106,757200
1998-04-08,47.3100,47.8800,46.6300,46.6900,6.4158,675300
1998-04-09,46.8800,47.6900,46.8800,47.3800,6.5106,177100
1998-04-13,47.2500,47.5000,47.0000,47.0600,6.4666,262400
1998-04-14,47.2500,47.8800,47.1300,47.6300,6.5449,222300
1998-04-15,47.5600,48.0600,47.3800,47.6300,6.5449,451200
1998-04-16,47.5000,47.6300,46.5000,46.7500,6.4240,290700
1998-04-17,46.8800,47.7500,46.8800,47.3800,6.5106,1362300
1998-04-20,47.1300,48.2500,46.8100,47.7500,6.5614,812800
1998-04-21,48.0000,48.1900,47.5000,48.1900,6.6219,239900
1998-04-22,48.0000,48.0000,47.0000,47.5000,6.5271,340800
1998-04-23,47.7500,47.7500,46.4400,47.0600,6.4666,636900
1998-04-24,46.5000,46.5600,43.8800,44.8800,6.1671,1238500
1998-04-27,44.5000,44.9300,43.5000,44.6300,6.1327,445800
1998-04-28,44.5600,45.0000,44.1300,44.3800,6.0984,534700
1998-04-29,44.5000,45.1300,44.5000,45.0000,6.1835,240300
1998-04-30,45.1300,45.5000,44.9400,45.0000,6.1835,578900
1998-05-01,45.1300,45.5000,44.6300,45.1900,6.2097,299200
1998-05-04,45.4400,45.6300,44.5000,45.0000,6.1835,330500
1998-05-05,45.2500,45.2500,44.6900,45.0000,6.1835,193200
1998-05-06,45.4400,45.4400,44.5000,44.5600,6.1231,245300
