,open,high,low,close,adj_close,volume
1998-01-02,32.7500,32.9400,32.5600,32.9400,2.7911,95300
1998-01-05,32.9400,32.9400,32.0600,32.1900,2.7275,149600
1998-01-06,31.9400,31.9400,31.6200,31.7500,2.6903,47200
1998-01-07,31.5000,32.1900,31.3100,32.1900,2.7275,42100
1998-01-08,32.0600,32.3100,31.8100,32.1900,2.7275,29000
1998-01-09,32.2500,32.2500,31.3100,31.3100,2.6530,22700
1998-01-12,31.1900,31.1900,30.5000,31.0600,2.6318,40800
1998-01-13,31.0000,31.9400,30.7500,31.8100,2.6953,58800
1998-01-14,31.8800,32.0000,31.1900,31.4400,2.6640,21300
1998-01-15,31.3800,31.5000,31.0600,31.1300,2.6377,63000
1998-01-16,31.3800,32.1300,31.0000,32.0600,2.7165,35300
1998-01-20,32.0000,32.5000,32.0000,32.5000,2.7538,85800
1998-01-21,32.0600,32.6900,32.0600,32.6300,2.7784,61700
1998-01-22,32.5000,32.8100,32.1900,32.6300,2.7784,133900
1998-01-23,32.6300,32.6900,32.4400,32.4400,2.7622,60400
1998-01-26,32.5600,32.8100,32.4400,32.6900,2.7835,79700
1998-01-27,32.5600,32.7500,32.4400,32.6900,2.7835,19300
1998-01-28,32.6300,33.0000,32.4400,32.7500,2.7886,139500
1998-01-29,32.7500,34.0000,32.7500,33.7500,2.8737,313700
1998-01-30,34.2500,34.2500,33.2500,33.2500,2.8312,103900
1998-02-02,33.4400,33.8100,33.4400,33.7500,2.8737,320900
1998-02-03,33.7500,34.1300,33.2500,33.8800,2.8848,35100
1998-02-04,33.7500,34.1900,33.7500,33.9400,2.8899,48400
1998-02-05,34.0000,34.1300,33.3800,33.6900,2.8686,39700
1998-02-06,33.9400,34.5000,33.9400,34.3800,2.9274,62100
1998-02-09,34.4400,34.5000,34.1300,34.5000,2.9376,22800
1998-02-10,34.2500,35.0600,34.2500,35.0000,2.9802,67900
1998-02-11,35.0600,35.4400,35.0000,35.4400,3.0176,98200
1998-02-12,35.3100,35.8800,35.3100,35.8800,3.0551,143000
1998-02-13,35.8800,36.1300,35.6900,36.1300,3.0764,107200
1998-02-17,36.0600,37.0000,34.8800,34.9400,2.9751,304800
1998-02-18,35.0600,36.0000,35.0000,35.4400,3.0176,352100
1998-02-19,35.7500,35.7500,35.1900,35.4400,3.0176,112400
1998-02-20,35.3100,35.5600,34.9400,35.3800,3.0125,79400
1998-02-23,35.3800,35.5000,35.2500,35.3800,3.0125,95100
1998-02-24,35.3100,35.4400,35.2500,35.4400,3.0176,117600
1998-02-25,35.3100,37.0000,35.0000,36.6900,3.1241,217300
1998-02-26,36.5600,37.5000,36.3100,37.0600,3.1556,180800
1998-02-27,37.1900,37.3800,36.4400,37.1300,3.1615,50500
1998-03-02,37.1300,37.1300,35.8800,36.2500,3.0866,155800
1998-03-03,36.2500,37.5000,36.0600,37.2500,3.1718,148600
1998-03-04,37.0600,37.3800,36.9400,37.3100,3.1769,27500
1998-03-05,37.1900,37.2500,36.8100,36.8800,3.1403,46200
1998-03-06,36.8800,37.8100,36.8800,37.3800,3.1828,228800
1998-03-09,37.4400,37.9400,37.3800,37.5600,3.1982,109700
1998-03-10,37.6300,38.0000,37.4400,37.6300,3.2041,85900
1998-03-11,37.8800,37.8800,37.1300,37.6300,3.2041,130200
1998-03-12,37.8100,38.0600,37.5600,37.9400,3.2305,84600
1998-03-13,38.0000,38.4400,37.9400,38.1900,3.2518,86600
1998-03-16,38.1900,38.2500,38.0000,38.2500,3.2569,47300
1998-03-17,38.2500,38.3100,38.0000,38.0600,3.2407,74300
1998-03-18,37.8800,38.2500,37.8800,38.1300,3.2467,57900
1998-03-19,38.0000,38.1900,37.6300,37.8100,3.2194,83800
1998-03-20,37.8100,37.9400,37.6900,37.8800,3.2254,99000
1998-03-23,38.1300,38.8100,37.7500,38.8100,3.3046,108600
1998-03-24,38.6300,39.0000,38.4400,39.0000,3.3208,64800
1998-03-25,38.8800,38.8800,37.2500,37.5000,3.1930,157500
1998-03-26,37.6300,37.6300,37.0600,37.3100,3.1769,61500
1998-03-27,37.4400,37.5000,36.4400,36.5000,3.1079,146400
1998-03-30,36.3100,37.0000,36.0000,36.9400,3.1454,158000
1998-03-31,37.0600,39.3800,37.0600,38.8100,3.3046,200400
1998-04-01,38.8800,39.0000,37.9400,38.0000,3.2356,100700
1998-04-02,37.7500,38.9400,37.7500,38.4400,3.2731,169900
1998-04-03,36.8800,36.9400,34.6900,35.4400,3.0176,402300
1998-04-06,35.5000,36.2500,33.7500,33.9400,2.8899,524900
1998-04-07,34.0000,34.2500,32.3800,34.2500,2.9163,632100
1998-04-08,34.4400,35.4400,33.8800,35.4400,3.0176,212100
1998-04-09,35.4400,36.2500,34.6900,34.6900,2.9538,250100
1998-04-13,34.5600,34.8800,34.3800,34.8800,2.9700,253400
1998-04-14,34.7500,34.8100,33.7500,34.0600,2.9001,295700
1998-04-15,33.9400,34.0000,33.3800,33.4400,2.8610,112900
1998-04-16,33.3800,33.3800,32.7500,33.1300,2.8344,67800
1998-04-17,33.1300,34.3100,33.1300,34.0000,2.9089,147300
1998-04-20,34.0000,34.0600,33.7500,33.9400,2.9037,137900
1998-04-21,33.9400,33.9400,32.8800,33.5000,2.8661,189700
1998-04-22,33.4400,33.8100,33.2500,33.3800,2.8558,76900
1998-04-23,33.3100,33.5000,33.1300,33.1300,2.8344,135100
1998-04-24,33.1300,33.3100,32.9400,32.9400,2.8182,171200
1998-04-27,32.7500,32.8100,32.5000,32.6300,2.7917,133500
1998-04-28,32.8800,32.9400,32.0600,32.1300,2.7489,192200
1998-04-29,32.0600,32.8100,31.9400,32.1900,2.7540,253000
1998-04-30,32.1900,34.1300,32.1900,34.0000,2.9089,131800
1998-05-01,34.0000,34.0000,33.5000,33.5600,2.8712,93800
1998-05-04,33.5600,33.5600,32.4400,32.5000,2.7805,85900
1998-05-05,32.6300,32.6300,32.0000,32.0600,2.7429,173200
1998-05-06,32.1900,32.7500,32.0600,32.4400,2.7754,126100
1998-05-07,32.5000,32.8800,32.4400,32.6900,2.7968,97800
1998-05-08,32.6900,33.2500,32.3800,32.3800,2.7703,109900
1998-05-11,32.4400,32.8800,32.3800,32.8800,2.8131,55900
1998-05-12,33.0000,33.1300,32.7500,32.7500,2.8019,89900
1998-05-13,32.8800,33.0000,32.7500,32.8100,2.8071,111300
1998-05-14,32.8100,33.4400,32.8100,33.2500,2.8447,57100
1998-05-15,34.3800,34.5600,34.1300,34.3800,2.9414,244700
1998-05-18,34.3100,34.8800,34.3100,34.6900,2.9679,177500
1998-05-19,34.6900,34.6900,34.2500,34.2500,2.9303,94300
1998-05-20,34.1300,34.8100,34.1300,34.5600,2.9568,87300
1998-05-21,34.5600,34.8100,34.1900,34.2500,2.9303,154100
1998-05-22,34.3800,34.6300,34.1300,34.1300,2.9200,64000
1998-05-26,34.2500,34.6300,33.8100,33.8800,2.8986,114500
1998-05-27,33.7500,34.1300,33.2500,34.0000,2.9089,216200
1998-05-28,34.0000,34.1300,33.8100,33.8100,2.8926,121600
1998-05-29,33.9400,34.0600,33.5600,33.6300,2.8772,75500
1998-06-01,33.6300,33.7500,33.1900,33.3100,2.8498,204100
1998-06-02,33.2500,33.8100,33.2500,33.5000,2.8661,49800
1998-06-03,33.7500,34.0000,33.5000,33.5000,2.8661,86800
1998-06-04,33.5000,33.5000,33.0000,33.0000,2.8233,126300
1998-06-05,33.2500,34.0600,33.1300,33.8100,2.8926,101900
1998-06-08,34.3800,35.0600,34.2500,34.8100,2.9782,94900
1998-06-09,34.6900,35.1300,34.5600,35.0000,2.9944,45700
1998-06-10,34.8800,35.5600,34.6200,34.8800,2.9842,63000
1998-06-11,34.7500,34.7500,34.3100,34.4400,2.9465,74600
1998-06-12,34.3800,35.5000,34.3800,35.5000,3.0372,76100
1998-06-15,35.2500,35.2500,34.7500,34.8800,2.9842,122300
1998-06-16,34.8100,35.3100,34.7500,35.3100,3.0210,77900
1998-06-17,35.3100,35.8800,35.0000,35.5000,3.0372,113900
1998-06-18,35.5600,35.5600,34.3100,34.4400,2.9465,83600
1998-06-19,34.0600,34.4400,34.0600,34.1900,2.9251,96100
1998-06-22,34.1900,34.7500,34.1900,34.1900,2.9251,52100
1998-06-23,34.1900,34.5000,34.0600,34.1300,2.9200,65600
1998-06-24,33.9400,34.2500,33.9400,34.0000,2.9089,27800
1998-06-25,34.1900,34.5600,33.7500,34.3800,2.9414,54500
1998-06-26,34.3800,34.7500,34.3800,34.7500,2.9730,90400
1998-06-29,34.6300,34.8800,34.5000,34.5000,2.9517,134700
1998-06-30,34.3800,34.6900,34.2500,34.5600,2.9568,147600
1998-07-01,34.6900,34.8800,34.3800,34.8100,2.9782,154500
1998-07-02,34.6300,34.7500,34.4400,34.4400,2.9465,68400
1998-07-06,34.3800,34.3800,33.7500,33.7500,2.8875,116900
1998-07-07,33.7500,33.9400,33.6900,33.6900,2.8824,105400
1998-07-08,33.6300,33.8800,33.5000,33.7500,2.8875,88300
1998-07-09,33.8100,33.8800,33.3100,33.5000,2.8661,78600
1998-07-10,33.3800,33.9400,33.3800,33.8100,2.8926,63900
1998-07-13,33.6900,33.6900,32.8800,33.0000,2.8233,125100
1998-07-14,33.1900,33.6300,32.6900,33.5000,2.8661,120200
1998-07-15,33.4400,35.3100,33.4400,34.5000,2.9653,187200
1998-07-16,34.8800,37.5000,34.8100,36.9400,3.1751,249600
1998-07-17,36.6900,36.7500,36.2500,36.4400,3.1321,74200
1998-07-20,36.1900,36.3800,35.6900,35.6900,3.0676,56400
1998-07-21,35.8100,36.0000,35.0600,35.1900,3.0247,32400
1998-07-22,35.4400,35.6300,34.9400,35.2500,3.0298,63200
1998-07-23,35.3800,35.6300,35.1300,35.5600,3.0565,60400
1998-07-24,35.5600,35.6900,35.2500,35.3100,3.0350,110800
1998-07-27,35.1300,35.1300,34.3800,34.5000,2.9653,27700
1998-07-28,34.5000,34.5000,33.4400,33.4400,2.8742,83700
1998-07-29,33.3800,33.5000,33.1300,33.1900,2.8528,40400
1998-07-30,33.3100,33.6300,33.2500,33.3800,2.8691,60400
1998-07-31,33.1900,33.3100,32.3100,32.4400,2.7883,49300
1998-08-03,32.5000,33.3800,32.2500,32.4400,2.7883,73200
1998-08-04,32.4400,32.4400,31.0000,31.6300,2.7187,66600
1998-08-05,31.5000,31.5000,31.1300,31.2500,2.6860,40400
1998-08-06,31.0600,31.2500,30.3100,30.3100,2.6052,104000
1998-08-07,30.5000,30.5000,30.1900,30.3800,2.6112,208300
1998-08-10,30.4400,30.5000,29.8100,29.8100,2.5622,118000
1998-08-11,29.6900,29.6900,29.1300,29.5600,2.5407,88000
1998-08-12,29.6900,29.8800,29.1300,29.8800,2.5682,95500
1998-08-13,29.8800,30.3800,29.3100,29.4400,2.5304,133600
1998-08-14,29.1900,29.7500,28.9400,29.3100,2.5193,273300
1998-08-17,29.2500,29.4400,29.0600,29.3100,2.5193,55000
1998-08-18,29.4400,29.4400,29.0600,29.2500,2.5141,73400
1998-08-19,29.2500,29.2500,28.0600,28.5000,2.4496,89600
1998-08-20,28.7500,28.9400,28.0000,28.3100,2.4333,40500
1998-08-21,28.1300,29.0000,27.1900,29.0000,2.4926,194800
1998-08-24,28.8800,28.9400,28.0000,28.5600,2.4548,76400
1998-08-25,28.4400,29.5000,28.4400,29.1900,2.5089,89300
1998-08-26,29.1900,29.3800,28.5000,29.3100,2.5193,100800
1998-08-27,29.0600,29.0600,28.5000,28.7500,2.4711,185300
1998-08-28,28.9400,28.9400,28.5000,28.6900,2.4660,86000
1998-08-31,28.5600,28.9400,27.3800,27.5600,2.3688,100800
1998-09-01,27.5000,27.8100,26.8800,27.5000,2.3637,99900
1998-09-02,27.6300,28.5600,27.5000,28.0000,2.4067,71600
1998-09-03,27.8800,28.0000,27.3800,28.0000,2.4067,60200
1998-09-04,27.8800,28.0000,27.5000,28.0000,2.4067,46300
1998-09-08,28.3800,28.8800,28.0000,28.4400,2.4445,49600
1998-09-09,28.5600,28.6900,27.3100,27.3800,2.3534,98400
1998-09-10,27.2500,27.3800,27.0000,27.3800,2.3534,46700
1998-09-11,27.5000,28.3800,27.1300,28.3100,2.4333,132400
1998-09-14,29.0000,29.3800,28.8800,28.8800,2.4823,107900
1998-09-15,28.8800,28.8800,27.7500,27.8100,2.3903,72200
1998-09-16,27.6900,28.1900,27.3800,28.1900,2.4230,124700
1998-09-17,28.1900,28.1900,26.6300,26.6300,2.2889,99400
1998-09-18,26.6300,27.1300,26.4400,26.9400,2.3156,264800
1998-09-21,26.6900,26.8800,26.0000,26.4400,2.2726,72800
1998-09-22,26.4400,27.3100,26.4400,27.1900,2.3370,81800
1998-09-23,27.0000,28.0000,27.0000,27.2500,2.3422,77600
1998-09-24,27.0000,27.0000,26.1900,26.1900,2.2511,96000
1998-09-25,25.8100,26.9400,25.6900,26.3800,2.2674,120000
1998-09-28,26.5600,26.9400,26.3100,26.9400,2.3156,77700
1998-09-29,28.0000,28.2500,27.1300,27.3800,2.3534,88000
1998-09-30,27.3800,27.6300,27.0600,27.0600,2.3259,74800
1998-10-01,26.9400,27.7500,26.9400,27.0600,2.3259,44400
1998-10-02,27.1900,28.3100,27.1300,28.3100,2.4333,153300
1998-10-05,28.3100,29.3100,28.3100,28.8800,2.4823,191200
1998-10-06,28.8100,29.2500,28.5600,29.0000,2.4926,90500
1998-10-07,29.0000,30.5600,29.0000,30.5000,2.6215,226200
1998-10-08,29.9400,30.2500,29.7500,30.2500,2.6001,70400
1998-10-09,30.3800,30.5600,29.7500,30.5600,2.6267,153600
1998-10-12,31.2500,31.3800,29.6300,29.8800,2.5682,144000
1998-10-13,29.8800,30.0000,29.6300,29.9400,2.5734,119100
