,open,high,low,close,adj_close,volume
1998-01-02,35.0000,35.2500,34.1300,35.2500,6.9118,72300
1998-01-05,34.8100,34.8100,34.0000,34.0000,6.6667,29000
1998-01-06,33.8800,34.6300,33.7500,34.3800,6.7412,245200
1998-01-07,33.7500,34.5000,33.7500,34.5000,6.7647,67200
1998-01-08,34.0000,34.7500,34.0000,34.2500,6.7157,37500
1998-01-09,34.1300,34.1300,32.5000,32.5000,6.3725,83300
1998-01-12,32.5000,33.2500,30.0000,30.1300,5.9078,176400
1998-01-13,30.7500,31.1300,29.2500,30.8800,6.0549,665400
1998-01-14,31.2500,31.7500,30.0000,30.7500,6.0294,331700
1998-01-15,30.6300,31.0000,30.1300,31.0000,6.0784,329000
1998-01-16,31.0000,32.7500,30.8800,32.7500,6.4216,302300
1998-01-20,32.0000,34.3800,32.0000,34.3800,6.7412,279900
1998-01-21,33.5000,34.6300,33.2500,34.0000,6.6667,216500
1998-01-22,34.5000,34.5000,33.5000,34.3800,6.7412,73800
1998-01-23,33.7500,35.0000,33.7500,34.6300,6.7902,151200
1998-01-26,34.9400,34.9400,33.5000,33.9400,6.6549,68500
1998-01-27,33.3800,33.7500,33.1300,33.1300,6.4961,121300
1998-01-28,33.0000,33.3800,32.7500,33.3800,6.5451,236100
1998-01-29,33.2500,34.0000,33.2500,34.0000,6.6667,35800
1998-01-30,33.2500,34.0000,33.0000,33.0000,6.4706,124100
1998-02-02,33.0000,33.6300,31.5000,31.8800,6.2510,85000
1998-02-03,31.5000,34.0000,31.5000,33.2500,6.5196,712800
1998-02-04,33.0000,34.2500,33.0000,33.5000,6.5686,70000
1998-02-05,33.6300,34.2500,33.3800,34.2500,6.7157,284600
1998-02-06,34.2500,34.7500,33.7500,33.7500,6.6176,140600
1998-02-09,33.5000,35.0000,33.5000,34.6300,6.7902,243100
1998-02-10,34.2500,35.0000,34.2500,35.0000,6.8627,116400
1998-02-11,34.2500,36.7500,34.2500,36.0600,7.0706,819400
1998-02-12,36.1300,36.1900,35.3800,36.0600,7.0706,189600
1998-02-13,36.0000,36.1900,35.7500,36.1300,7.0843,135900
1998-02-17,36.0600,36.2500,35.8800,36.2500,7.1078,176500
1998-02-18,36.3800,37.2500,35.8800,37.1300,7.2804,298900
1998-02-19,37.0600,38.2500,36.5000,38.2500,7.5000,437800
1998-02-20,37.5600,38.7500,37.5000,38.7500,7.5980,344400
1998-02-23,38.5000,38.7500,37.7500,38.6900,7.5863,233100
1998-02-24,38.6900,39.3800,38.1900,38.8800,7.6235,206100
1998-02-25,38.6300,39.5000,38.5000,39.0000,7.6471,176800
1998-02-26,39.5000,39.5000,38.7500,39.2500,7.6961,106500
1998-02-27,39.3800,41.0000,39.0000,40.7500,7.9902,440600
1998-03-02,40.6300,40.6300,39.6300,40.2500,7.8922,852700
1998-03-03,40.5000,40.7500,39.5000,40.5600,7.9529,697800
1998-03-04,40.2500,40.8800,40.0000,40.4400,7.9294,331900
1998-03-05,39.7500,40.2500,39.5000,39.8100,7.8059,379900
1998-03-06,39.8800,40.1300,39.6300,39.8100,7.8059,442400
1998-03-09,39.7500,40.1900,39.5000,39.5000,7.7451,828300
1998-03-10,39.3800,39.7500,39.2500,39.7500,7.7941,93100
1998-03-11,39.6900,39.8800,39.5600,39.8800,7.8196,131900
1998-03-12,39.8800,39.8800,39.3800,39.3800,7.7216,41600
1998-03-13,39.3800,39.5600,39.0000,39.3800,7.7216,159000
1998-03-16,39.1200,40.0000,39.1200,39.8800,7.8196,121300
1998-03-17,39.8800,40.1300,39.7500,39.8800,7.8196,331900
1998-03-18,39.8800,40.2500,39.8800,40.0000,7.8431,84000
1998-03-19,39.8800,40.0600,39.5300,39.8800,7.8196,72700
1998-03-20,39.5000,39.7500,39.0000,39.0000,7.6471,75600
1998-03-23,39.0000,39.5000,39.0000,39.0000,7.6471,31200
1998-03-24,38.8800,39.5000,38.8800,39.2500,7.6961,66300
1998-03-25,39.3800,39.3800,39.0000,39.0000,7.6471,27500
1998-03-26,39.2500,39.2500,38.5000,38.6300,7.5745,144400
1998-03-27,38.8800,38.8800,38.5000,38.6300,7.5745,49400
1998-03-30,38.6300,39.5000,38.5000,39.1300,7.6725,95300
1998-03-31,39.0000,42.0000,39.0000,41.5000,8.1373,437500
1998-04-01,41.0000,42.6900,41.0000,42.1300,8.2608,438900
1998-04-02,42.3800,44.0000,42.0000,44.0000,8.6275,234600
1998-04-03,44.0000,44.0000,42.8800,42.8800,8.4078,120700
1998-04-06,42.8800,44.0000,42.8800,43.2500,8.4804,196500
1998-04-07,43.2500,44.5000,43.2500,43.7500,8.5784,262400
1998-04-08,43.7500,43.7500,43.0000,43.0600,8.4431,175100
1998-04-09,43.2500,43.3800,41.8100,42.0000,8.2353,222700
1998-04-13,42.5000,42.5000,41.5000,41.5000,8.1373,42700
1998-04-14,41.2500,42.0000,40.0000,41.0000,8.0392,148400
1998-04-15,40.5000,41.5000,39.7500,41.5000,8.1373,158000
1998-04-16,41.0600,42.1300,41.0600,42.0000,8.2353,62600
1998-04-17,41.6300,42.2500,41.6300,42.0000,8.2353,172400
1998-04-20,42.2500,42.6300,41.3800,41.7500,8.1863,186100
1998-04-21,40.1300,41.7500,40.0000,40.1300,7.8686,58300
1998-04-22,40.4400,40.7500,39.2500,40.4400,7.9294,93300
1998-04-23,40.6300,40.7500,38.8800,38.8800,7.6235,109600
1998-04-24,39.0000,39.1300,38.3800,38.5600,7.5608,148700
1998-04-27,38.0000,38.5000,37.3800,37.7500,7.4020,196200
1998-04-28,38.1300,38.1300,37.1300,37.7500,7.4020,101000
1998-04-29,37.8800,39.2500,37.7500,39.0000,7.6471,307200
1998-04-30,39.6300,39.6300,38.8800,39.0000,7.6471,47500
1998-05-01,39.2500,40.1300,38.8800,39.7500,7.7941,100700
1998-05-04,39.5000,40.2500,39.5000,40.2500,7.8922,316000
1998-05-05,40.8800,41.2500,40.0000,40.1300,7.8686,427800
1998-05-06,40.2500,40.3800,40.0000,40.0000,7.8431,326000
1998-05-07,40.0000,40.2500,38.6300,39.0600,7.6588,121900
1998-05-08,39.2500,40.2500,38.8100,40.1300,7.8686,253600
1998-05-11,40.1300,40.1300,39.5000,39.7500,7.7941,248400
1998-05-12,39.5000,40.1300,39.2500,40.1300,7.8686,138200
1998-05-13,40.0000,40.2500,39.7500,40.1300,7.8686,220100
1998-05-14,39.7500,40.7500,39.7500,40.3800,7.9176,197300
1998-05-15,40.2500,40.8800,40.0000,40.7500,7.9902,220200
1998-05-18,40.0000,41.3800,40.0000,41.2500,8.0882,153500
1998-05-19,41.0600,43.0600,41.0600,42.7500,8.3824,232000
1998-05-20,42.4400,43.0000,42.2500,42.8800,8.4078,253600
1998-05-21,42.2500,42.8800,41.7500,41.7800,8.1922,58800
1998-05-22,41.7500,42.2500,41.2500,41.2500,8.0882,71200
1998-05-26,41.2500,41.3800,40.0000,40.1300,7.8686,48300
1998-05-27,39.5000,39.5000,38.1300,38.7500,7.5980,116000
1998-05-28,38.3100,38.8800,38.2500,38.3800,7.5255,293100
1998-05-29,38.5000,39.2500,38.3100,38.5000,7.5490,142900
1998-06-01,38.2500,38.7500,37.5000,37.6300,7.3784,131400
1998-06-02,38.0000,38.7500,37.0000,38.7500,7.5980,520500
1998-06-03,39.1300,39.2500,38.5000,38.7500,7.5980,187400
1998-06-04,38.9400,39.7500,38.9400,39.7500,7.7941,179200
1998-06-05,39.7500,40.5000,38.7500,40.5000,7.9412,105500
1998-06-08,40.5000,41.0000,39.7500,39.8800,7.8196,82000
1998-06-09,39.8800,40.9400,39.8800,40.3800,7.9176,38600
1998-06-10,40.3800,41.0000,40.2500,40.5000,7.9412,15800
1998-06-11,40.3800,41.0000,40.3800,40.6900,7.9784,19900
1998-06-12,40.5000,41.2500,40.2500,41.2500,8.0882,38700
1998-06-15,40.2500,41.6300,40.1300,40.2500,7.8922,79400
1998-06-16,40.6300,40.6300,39.5000,40.2500,7.8922,86600
1998-06-17,40.1300,40.8800,40.0000,40.8100,8.0020,30500
1998-06-18,40.2500,40.7500,40.1300,40.2500,7.8922,37100
1998-06-19,40.0000,40.7500,40.0000,40.7500,7.9902,44000
1998-06-22,40.7500,41.5000,40.5000,41.5000,8.1373,45800
1998-06-23,41.5000,43.1300,41.0000,43.1300,8.4569,265200
1998-06-24,42.5000,45.0600,42.5000,44.8800,8.8000,192400
1998-06-25,44.2500,45.2500,44.0000,44.1300,8.6529,76800
1998-06-26,44.5000,46.2500,44.0000,46.0000,9.0196,93000
1998-06-29,46.5000,47.1300,44.7500,46.0000,9.0196,226600
1998-06-30,45.0000,46.5000,45.0000,46.1300,9.0451,229900
1998-07-01,46.0000,46.2500,44.5000,44.5000,8.7255,112700
1998-07-02,45.0000,45.0000,43.2500,44.1300,8.6529,442300
1998-07-06,43.5000,44.5000,43.5000,44.0600,8.6392,74800
1998-07-07,43.8800,45.5600,43.6300,45.3800,8.8980,192700
1998-07-08,45.5000,46.2500,44.8800,45.0000,8.8235,59100
1998-07-09,45.1300,45.1300,44.5600,45.0000,8.8235,40300
1998-07-10,44.7500,46.6300,44.7500,45.8100,8.9824,80700
1998-07-13,46.0000,47.0000,46.0000,47.0000,9.2157,54200
1998-07-14,46.1300,47.1300,46.1300,46.7500,9.1667,136100
1998-07-15,46.7500,48.3800,46.7500,48.1300,9.4373,130300
1998-07-16,48.7500,48.7500,48.1300,48.5000,9.5098,198500
1998-07-17,48.7500,49.7500,48.2500,49.2500,9.6569,105600
1998-07-20,49.2500,51.1300,48.7500,50.2500,9.8529,375200
1998-07-21,50.3800,50.6300,49.1300,49.5000,9.7059,121400
1998-07-22,49.1300,49.8800,48.7500,48.7500,9.5588,104500
1998-07-23,49.2500,49.2500,47.7500,47.9400,9.4000,122800
1998-07-24,47.8800,48.1300,46.0000,46.5000,9.1176,83900
