,open,high,low,close,adj_close,volume
1998-01-02,19.4400,19.5000,18.9400,19.0600,8.9559,342200
1998-01-05,19.2500,19.4400,18.3800,18.7500,8.8102,1678100
1998-01-06,18.6300,18.6300,18.0000,18.5000,8.6928,1259900
1998-01-07,18.5000,18.5600,18.1300,18.3800,8.6364,1695600
1998-01-08,18.2500,18.4400,18.0600,18.0600,8.4860,539100
1998-01-09,18.1900,18.2500,17.8100,17.8100,8.3685,788200
1998-01-12,17.7500,17.9400,17.5600,17.6300,8.2840,1219900
1998-01-13,17.8800,17.9400,17.6300,17.7500,8.3403,454900
1998-01-14,17.8800,19.4400,17.7500,19.1900,9.0170,2497800
1998-01-15,19.1900,19.3800,18.8800,19.1900,9.0170,1762800
1998-01-16,19.1900,19.4400,18.8800,18.8800,8.8713,1128900
1998-01-20,19.0000,19.5000,18.8100,19.3800,9.1062,377500
1998-01-21,19.2500,19.2500,18.8800,19.1300,8.9888,604600
1998-01-22,19.0000,19.0600,18.6300,18.7500,8.8102,381200
1998-01-23,18.7500,19.0000,18.7500,18.9400,8.8995,969100
1998-01-26,19.0000,19.1300,18.3800,18.5000,8.6928,1481700
1998-01-27,18.3800,18.4400,18.0000,18.1300,8.5189,4237400
1998-01-28,18.0000,18.1300,17.8100,17.8800,8.4014,1370800
1998-01-29,17.9400,18.1300,17.6300,17.6900,8.3122,1009400
1998-01-30,17.6900,17.8800,17.5000,17.5000,8.2229,684300
1998-02-02,17.6900,18.3800,17.6300,18.1300,8.5189,670800
1998-02-03,18.1900,18.4400,18.0600,18.4400,8.6646,450700
1998-02-04,18.4400,19.0000,18.4400,19.0000,8.9277,639100
1998-02-05,18.9400,19.1300,18.7500,18.7500,8.8102,497400
1998-02-06,18.7500,19.0000,18.5000,19.0000,8.9277,300500
1998-02-09,19.0000,19.1900,18.4400,18.4400,8.6646,260400
1998-02-10,18.5600,18.6300,18.4400,18.5600,8.7209,689100
1998-02-11,18.6300,18.6900,18.5000,18.5600,8.7209,766700
1998-02-12,18.5000,18.5600,18.3800,18.4400,8.6646,517900
1998-02-13,18.3800,18.4400,18.1300,18.1300,8.5189,1319700
1998-02-17,18.1300,18.1900,17.8100,17.8800,8.4014,496200
1998-02-18,17.9400,18.1900,17.8100,18.1300,8.5189,1557200
1998-02-19,18.2500,19.0000,18.1300,18.9400,8.8995,872600
1998-02-20,19.1300,20.1900,19.1300,19.9400,9.3694,3398400
1998-02-23,19.8100,19.9400,19.5000,19.6300,9.2237,644100
1998-02-24,19.4400,19.5000,19.2500,19.3800,9.1062,627800
1998-02-25,19.5000,20.1300,19.5000,20.0000,9.3976,505200
1998-02-26,19.9400,20.1300,19.8800,19.9400,9.3694,742100
1998-02-27,19.8800,19.9400,19.6300,19.8100,9.3083,453500
1998-03-02,19.8800,20.1900,19.7500,19.8100,9.3083,474600
1998-03-03,19.8800,20.0000,19.3100,19.8800,9.3412,928800
1998-03-04,19.9400,20.0000,19.6300,19.9400,9.3694,435500
1998-03-05,19.9400,20.1900,19.8100,20.1900,9.4868,972400
1998-03-06,20.3100,20.5600,20.3100,20.4400,9.6043,948800
1998-03-09,20.2500,20.3800,19.8800,20.0600,9.4258,262900
1998-03-10,20.1300,20.3100,20.0000,20.1300,9.4587,233500
1998-03-11,20.1900,20.3100,20.1300,20.3100,9.5432,176500
1998-03-12,19.8800,20.0600,19.6900,19.7500,9.2801,582700
1998-03-13,19.8100,20.0000,19.6300,19.9400,9.3694,952100
1998-03-16,20.0600,20.1900,19.5600,19.8800,9.3412,894200
1998-03-17,19.6300,19.7500,19.0000,19.0000,8.9277,1774400
1998-03-18,19.0000,19.1300,18.8800,19.1300,8.9888,2215100
1998-03-19,19.1300,19.3100,19.0000,19.2500,9.0452,593000
1998-03-20,19.5000,19.6300,19.1900,19.1900,9.0170,904100
1998-03-23,19.3800,19.4400,19.1900,19.2500,9.0452,541500
1998-03-24,19.3800,19.4400,19.2500,19.3800,9.1062,792600
1998-03-25,19.3800,19.6900,19.1900,19.1900,9.0170,512500
1998-03-26,19.2500,19.2500,19.0600,19.1300,8.9888,652100
1998-03-27,19.1900,19.3800,18.8100,19.0000,8.9277,998900
1998-03-30,19.0000,19.0600,18.8100,18.9400,8.8995,555500
1998-03-31,18.9400,19.0600,18.8800,18.9400,8.8995,652200
1998-04-01,19.0000,19.7500,19.0000,19.6300,9.2237,1726000
1998-04-02,19.5600,20.0600,19.5000,20.0600,9.4258,1038700
1998-04-03,20.0600,20.5000,20.0000,20.3800,9.5761,592500
1998-04-06,20.3800,20.5000,20.0600,20.1300,9.4587,255900
1998-04-07,20.2500,20.2500,19.9400,20.0000,9.3976,793500
1998-04-08,20.0000,20.0000,19.4400,19.5000,9.1626,417500
1998-04-09,19.6300,19.6900,19.5000,19.5600,9.1908,925500
1998-04-13,19.3800,19.6300,19.3800,19.6300,9.2237,190600
1998-04-14,19.6300,19.9400,19.5000,19.7500,9.2801,573100
1998-04-15,19.5600,20.0000,19.5600,20.0000,9.3976,1188700
1998-04-16,20.0000,20.0000,19.5600,19.8100,9.3083,795800
1998-04-17,21.5000,22.1300,21.2500,21.2500,9.9849,3310200
1998-04-20,21.6300,21.6900,21.1300,21.3800,10.0460,2470200
1998-04-21,21.4400,21.5000,21.1300,21.2500,9.9849,390400
1998-04-22,21.2500,21.2500,20.8100,20.8100,9.7782,857000
1998-04-23,20.7500,20.8100,20.1300,20.5000,9.6325,1333400
1998-04-24,20.5000,20.5600,19.6900,19.6900,9.2519,559200
1998-04-27,19.5000,19.8800,19.2500,19.3100,9.0734,739900
1998-04-28,19.4400,19.8800,19.3100,19.4400,9.1344,735500
1998-04-29,19.4400,19.5000,19.2500,19.3100,9.0734,783700
1998-04-30,19.3800,19.5600,19.3800,19.4400,9.1344,734600
1998-05-01,19.7500,20.3800,19.7500,20.0600,9.4258,1706800
1998-05-04,20.2500,20.8100,20.2500,20.8100,9.7782,648500
1998-05-05,20.8100,20.8100,20.6300,20.6900,9.7218,288000
1998-05-06,20.7500,20.9400,20.6300,20.8800,9.8111,844800
1998-05-07,20.8800,20.8800,20.5000,20.5600,9.6607,530600
1998-05-08,20.6300,20.6300,20.4400,20.4400,9.6043,386400
1998-05-11,20.4400,20.5600,20.2500,20.4400,9.6043,331600
1998-05-12,20.4400,20.4400,20.0600,20.2500,9.5150,199100
