,open,high,low,close,adj_close,volume
1998-01-02,21.0000,22.0000,20.5000,21.1300,19.6556,533600
1998-01-05,21.1300,21.2500,20.8100,21.2500,19.7672,262000
1998-01-06,20.7500,21.0000,20.5000,20.7500,19.3021,409700
1998-01-07,20.7500,21.7500,20.5600,21.7500,20.2323,395300
1998-01-08,21.7500,21.8800,20.3800,20.8100,19.3579,417400
1998-01-09,20.8100,20.8100,19.2500,19.6300,18.2602,294400
1998-01-12,19.3800,20.0000,19.3800,20.0000,18.6044,292500
1998-01-13,20.0000,20.0000,19.6300,19.7500,18.3719,181200
1998-01-14,19.5000,20.3800,19.4400,20.3800,18.9579,324900
1998-01-15,20.3800,20.3800,19.9400,19.9400,18.5486,358400
1998-01-16,19.9400,20.3800,19.9400,20.1900,18.7812,364100
1998-01-20,20.1900,20.1900,19.8800,20.0000,18.6044,672900
1998-01-21,20.0000,20.1300,19.9400,19.9400,18.5486,738900
1998-01-22,19.9400,19.9400,19.5600,19.8100,18.4277,325400
1998-01-23,19.5000,19.6300,19.2500,19.5000,18.1393,265900
1998-01-26,19.5000,19.8800,19.5000,19.7500,18.3719,205800
1998-01-27,19.6900,20.0000,19.6900,19.9400,18.5486,328200
1998-01-28,19.8800,20.4400,19.8100,20.0600,18.6602,886900
1998-01-29,20.0000,20.6300,20.0000,20.1300,18.7254,370200
1998-01-30,20.1300,20.6300,20.0600,20.0600,18.6602,421200
1998-02-02,20.2500,20.6300,20.1300,20.6300,19.1905,423100
1998-02-03,20.4400,20.4400,19.6300,20.4400,19.0137,337300
1998-02-04,20.2500,20.8800,20.1300,20.5000,19.0695,479900
1998-02-05,20.8800,21.7500,20.7500,21.6900,20.1765,916000
1998-02-06,20.8800,21.1900,20.8100,21.0000,19.5346,822800
1998-02-09,21.0000,22.0000,21.0000,21.7500,20.2323,703200
1998-02-10,21.8100,22.1300,21.2500,21.2500,19.7672,1070900
1998-02-11,21.5000,21.8800,21.5000,21.7500,20.2323,459200
1998-02-12,21.5000,22.5000,21.5000,22.5000,20.9300,1194400
1998-02-13,22.5000,24.7500,22.5000,24.3800,22.6788,2201200
1998-02-17,23.8800,24.3800,23.8800,24.0000,22.3253,763800
1998-02-18,23.9400,24.5000,23.8800,24.5000,22.7904,992900
1998-02-19,24.3100,24.7500,24.3100,24.5000,22.7904,509300
1998-02-20,26.0000,26.1300,25.0600,25.3100,23.5439,1709700
1998-02-23,25.3100,25.4400,25.0000,25.4400,23.6648,534400
1998-02-24,25.3100,25.6300,25.1300,25.3800,23.6090,337600
1998-02-25,25.5000,25.7500,25.0000,25.1300,23.3765,703700
1998-02-26,25.0000,25.6900,25.0000,25.4400,23.6648,691600
1998-02-27,25.4400,25.7500,25.1900,25.4400,23.6648,531400
1998-03-02,25.6300,25.7500,25.0600,25.3100,23.5439,292100
1998-03-03,25.5000,25.8100,25.3800,25.6900,23.8974,703600
1998-03-04,25.1900,25.5000,25.0600,25.2500,23.4881,570900
1998-03-05,25.1300,25.3100,25.0000,25.1300,23.3765,770800
1998-03-06,25.0000,25.3800,24.9400,25.0600,23.3113,530700
1998-03-09,25.1900,25.3100,25.0600,25.1900,23.4323,455200
1998-03-10,25.8100,26.0600,25.6300,25.9400,24.1299,1461600
1998-03-11,26.0000,26.5000,25.9400,26.3800,24.5392,1407500
1998-03-12,26.1900,26.2500,26.0000,26.0600,24.2416,375100
1998-03-13,26.0600,26.3800,26.0000,26.3800,24.5392,720400
1998-03-16,26.3800,26.4400,25.8800,25.8800,24.0741,565700
1998-03-17,26.0000,26.0600,25.7500,25.8100,24.0090,625000
1998-03-18,25.8100,25.8800,25.3100,25.8100,24.0090,526100
1998-03-19,25.8100,26.0000,25.5000,25.5600,23.7765,435700
1998-03-20,25.6900,25.8800,25.3800,25.3800,23.6090,570300
1998-03-23,25.2500,25.8100,25.2500,25.7500,23.9532,198200
1998-03-24,25.6300,25.9400,25.6300,25.7500,23.9532,207900
1998-03-25,25.9400,25.9400,25.1300,25.5000,23.7206,561800
1998-03-26,25.3800,25.7500,24.8800,24.8800,23.1439,651700
1998-03-27,24.9400,25.0000,24.5600,24.6300,22.9113,709100
1998-03-30,24.8800,25.5600,24.8800,25.0600,23.3113,624200
1998-03-31,25.2500,25.3100,24.7500,24.8100,23.0788,431500
1998-04-01,25.1300,25.6300,25.0600,25.1300,23.3765,519800
1998-04-02,25.1300,26.0000,24.5000,25.7500,23.9532,1428200
1998-04-03,25.8800,26.0600,25.5600,26.0000,24.1858,650100
1998-04-06,26.0000,26.3800,25.7500,25.7500,23.9532,511500
