,open,high,low,close,adj_close,volume
1998-01-02,104.5000,105.7500,104.0600,105.6200,36.2194,2635000
1998-01-05,105.5600,106.8100,105.0000,106.4400,36.5006,5017000
1998-01-06,105.3700,107.1900,105.0600,105.2500,36.0925,3555600
1998-01-07,105.0000,105.0000,102.6200,104.2500,35.7496,4308200
1998-01-08,103.5000,105.5000,102.9400,104.1900,35.7290,4059400
1998-01-09,104.3100,104.8700,99.3700,100.0600,34.3127,7182800
1998-01-12,98.2500,101.1200,97.5000,100.1200,34.3333,6410700
1998-01-13,100.5600,102.4400,100.3100,102.1200,35.0191,3414500
1998-01-14,103.5000,104.0000,101.2500,102.6200,35.1906,4275400
1998-01-15,103.1900,104.9400,102.3700,103.4400,35.4718,6321700
1998-01-16,104.8700,105.1900,104.5000,105.0000,36.0068,4189100
1998-01-20,105.1900,108.3700,104.6900,108.3700,37.1624,4970600
1998-01-21,100.2500,102.0000,99.6200,100.1200,34.3333,13907800
1998-01-22,99.8100,100.6200,98.5000,99.3700,34.0761,6583500
1998-01-23,99.8100,100.0000,98.9400,99.1900,34.0144,3911500
1998-01-26,99.2500,99.9400,98.0000,98.1200,33.6475,2807900
1998-01-27,96.7500,97.8700,95.6200,96.5000,33.0919,7019700
1998-01-28,97.1200,98.0000,96.5000,97.0000,33.2634,5192400
1998-01-29,97.0000,99.3100,97.0000,98.1900,33.6715,4413600
1998-01-30,98.3100,99.5600,98.0000,98.7500,33.8635,2900100
1998-02-02,100.0000,101.2500,100.0000,100.5600,34.4842,3437700
1998-02-03,100.1200,100.2500,98.6900,99.3700,34.0761,3585600
1998-02-04,99.1200,99.8100,98.0600,98.3100,33.7126,4284300
1998-02-05,99.1200,99.5600,98.3700,99.5600,34.1413,3776700
1998-02-06,99.1200,99.6200,97.7500,98.0000,33.6749,4082500
1998-02-09,98.1200,99.6200,98.0000,98.0000,33.6749,3448400
1998-02-10,98.0600,102.4400,97.5000,100.8700,34.6611,8164300
1998-02-11,101.6200,103.2500,101.5000,102.6900,35.2865,4207500
1998-02-12,101.8700,103.2500,101.5600,102.8700,35.3483,3626800
1998-02-13,102.6900,103.6200,102.3700,102.3700,35.1765,2244100
1998-02-17,103.0600,103.6900,101.5000,102.0000,35.0494,3831800
1998-02-18,102.0000,103.6200,101.3100,102.7500,35.3071,3252300
1998-02-19,103.0000,104.6200,102.7500,102.7500,35.3071,4276700
1998-02-20,103.0000,103.4400,101.5600,102.6200,35.2624,3750800
1998-02-23,103.4400,103.9400,102.8100,102.8700,35.3483,2626000
1998-02-24,102.6200,102.8700,101.7500,102.5000,35.2212,2572400
1998-02-25,102.5600,105.2500,102.5000,105.2500,36.1661,3848100
1998-02-26,104.7500,105.8700,104.3100,105.5000,36.2520,3214800
1998-02-27,104.8100,105.6200,103.8700,104.4400,35.8878,2945200
1998-03-02,104.1900,104.5600,100.0000,101.9400,35.0288,3490200
1998-03-03,100.0000,102.5000,99.8100,102.1200,35.0906,3970200
1998-03-04,102.0000,103.3100,99.0000,99.0000,34.0185,3007000
1998-03-05,100.1900,100.3700,98.3100,98.9400,33.9979,5362000
1998-03-06,99.1200,99.8100,98.1200,98.1200,33.7161,5205100
1998-03-09,97.1200,98.2500,95.8700,96.1200,33.0289,6464200
1998-03-10,97.3700,98.1900,96.6900,97.5000,33.5031,4167100
1998-03-11,97.8700,99.8700,97.4400,99.1200,34.0597,3403400
1998-03-12,99.1900,100.6200,98.1900,100.2500,34.4480,2951700
1998-03-13,100.8700,101.1200,99.0000,99.6200,34.2316,2925300
1998-03-16,99.6900,101.3700,99.2500,101.2500,34.7917,3421200
