,open,high,low,close,adj_close,volume
1998-01-02,51.3800,51.8800,50.7500,51.3100,31.2130,99300
1998-01-05,51.3100,51.7500,50.5000,50.8800,30.9514,125000
1998-01-06,50.8800,51.2500,46.5600,46.9400,28.5546,540000
1998-01-07,46.0000,46.3800,44.6900,46.2500,28.1349,1158100
1998-01-08,46.2500,46.2500,44.6300,45.5000,27.6786,365800
1998-01-09,45.4400,45.8800,43.7500,44.2500,26.9182,425500
1998-01-12,43.5000,44.8800,43.4400,44.5000,27.0703,202500
1998-01-13,44.4400,44.7500,43.8100,44.0000,26.7661,232300
1998-01-14,44.0000,44.2500,43.7500,44.2500,26.9182,226100
1998-01-15,44.0600,45.0600,43.9400,45.0600,27.4110,241900
1998-01-16,45.3100,45.8800,45.1300,45.5000,27.6786,292300
1998-01-20,45.5000,45.5000,44.6900,45.0000,27.3745,422400
1998-01-21,45.0000,46.0600,45.0000,45.4400,27.6421,407200
1998-01-22,45.2500,45.2500,44.5600,44.8800,27.3015,212900
1998-01-23,44.8800,45.1900,43.3800,43.6300,26.5411,367100
1998-01-26,43.6300,43.9400,42.7500,43.7500,26.6141,315200
1998-01-27,43.7500,44.2500,43.0600,43.5000,26.4620,421700
1998-01-28,43.5000,43.9400,43.1300,43.9400,26.7296,240800
1998-01-29,43.6900,44.3800,43.1300,43.2500,26.3099,750800
1998-01-30,43.2500,43.2500,42.0600,42.2500,25.7016,448900
1998-02-02,42.6300,44.1300,42.3100,43.7500,26.6141,435300
1998-02-03,43.5600,44.0000,43.1300,44.0000,26.7661,263100
1998-02-04,43.7500,43.9400,43.2500,43.5000,26.4620,227900
1998-02-05,43.8800,44.0000,43.0000,43.8100,26.6506,378800
1998-02-06,43.1300,44.1300,43.0000,43.3100,26.3464,358500
1998-02-09,43.3100,43.9400,43.0000,43.0600,26.1943,384900
1998-02-10,43.1300,45.2500,43.0600,44.1900,26.8817,468000
1998-02-11,44.1900,44.1900,43.4400,44.1300,26.8452,178500
1998-02-12,44.1300,44.5600,43.3100,44.2500,26.9182,235100
1998-02-13,43.7500,44.2500,43.6300,44.0000,26.7661,193600
1998-02-17,44.1900,44.3800,43.8100,44.0600,26.8026,135400
1998-02-18,43.5600,44.6900,43.5600,44.6300,27.1494,175700
1998-02-19,44.3800,45.0000,43.8100,44.8800,27.3015,366800
1998-02-20,45.0000,46.1900,44.6900,45.8800,27.9098,586200
1998-02-23,45.8800,46.2500,45.3800,45.7500,27.8307,193500
1998-02-24,45.7500,46.2500,45.1900,45.5000,27.6786,243000
1998-02-25,45.5000,46.2500,45.5000,45.8100,27.8672,196800
1998-02-26,45.7500,46.4400,45.7500,46.1300,28.0619,429900
1998-02-27,45.9400,46.1900,45.4400,46.0000,27.9828,343700
1998-03-02,45.6300,46.2500,45.2500,46.2500,28.1349,159300
1998-03-03,46.0000,46.0000,45.5600,45.7500,27.8307,136100
1998-03-04,45.3100,46.0600,45.1300,46.0600,28.0193,213700
1998-03-05,45.8100,46.6300,45.3100,46.3800,28.2139,362300
1998-03-06,46.2500,47.7500,46.2500,47.6300,28.9743,447100
1998-03-09,47.3800,48.7500,47.3100,48.0600,29.2359,365300
1998-03-10,48.0600,48.2500,47.4400,48.0600,29.2359,417100
1998-03-11,47.9400,48.0000,47.2500,47.7500,29.0473,499100
1998-03-12,47.7500,47.7500,46.8100,47.0000,28.5911,380500
1998-03-13,47.0000,47.3800,45.6300,47.1300,28.6702,368100
1998-03-16,47.3800,47.4400,46.6900,46.8800,28.5181,147900
1998-03-17,47.0600,47.7800,46.9400,47.4400,28.8588,167900
1998-03-18,47.3100,48.0000,47.0600,47.8100,29.0838,463700
1998-03-19,47.5600,47.6900,46.4400,46.8100,28.4755,348100
1998-03-20,46.3800,47.7500,46.3800,47.1300,28.6702,588400
1998-03-23,46.8800,46.9400,45.8100,45.8800,27.9098,326300
1998-03-24,45.5000,45.8800,45.0000,45.6300,27.9828,283000
1998-03-25,46.4400,46.6300,45.8800,46.4400,28.4795,405100
1998-03-26,46.6300,46.9400,46.0000,46.6300,28.5960,271000
1998-03-27,46.6300,47.1900,46.6300,47.0000,28.8229,421800
1998-03-30,47.0000,47.7500,46.8100,47.0000,28.8229,326000
1998-03-31,47.0000,47.7500,47.0000,47.1300,28.9027,298200
1998-04-01,47.1900,47.3800,45.8100,47.3800,29.0560,284700
1998-04-02,47.3800,47.8800,47.0000,47.4400,29.0928,219300
1998-04-03,47.3100,47.7500,46.6900,47.1300,28.9027,202200
1998-04-06,47.1300,47.6300,46.8100,47.0000,28.8229,103300
1998-04-07,47.0000,47.1900,45.5000,46.3100,28.3998,148600
1998-04-08,46.1900,46.5600,45.7500,46.0000,28.2097,138400
1998-04-09,46.0600,46.1300,45.5000,45.6300,27.9828,164700
1998-04-13,45.4400,45.8100,44.5600,45.6900,28.0196,213300
1998-04-14,45.4400,46.1900,45.3800,45.9400,28.1729,175800
1998-04-15,45.7500,46.3800,45.4400,45.8800,28.1361,493400
1998-04-16,45.8100,45.8100,44.7500,45.5000,27.9031,360000
1998-04-17,45.7500,47.0000,45.7500,46.8100,28.7064,299700
1998-04-20,47.1300,47.3100,46.5000,47.2500,28.9762,150700
1998-04-21,47.0000,47.7500,46.8100,47.6900,29.2461,345900
1998-04-22,47.4400,48.8800,47.1300,48.5000,29.7428,720700
1998-04-23,48.6300,48.8800,48.3800,48.6900,29.8593,489100
1998-04-24,48.5600,49.5600,48.4400,48.8800,29.9759,779200
1998-04-27,48.3800,48.7500,47.7500,48.0000,29.4362,419200
1998-04-28,48.2500,48.3800,47.5600,48.0000,29.4362,403200
1998-04-29,48.0000,48.8100,48.0000,48.6900,29.8593,240900
1998-04-30,48.6900,49.0000,48.5600,48.9400,30.0126,231400
1998-05-01,49.0000,49.9400,49.0000,49.9400,30.6259,259900
1998-05-04,50.0000,50.0000,49.5600,49.9400,30.6259,145500
1998-05-05,49.8800,50.0000,49.0600,49.8800,30.5891,100000
1998-05-06,49.7500,49.7500,48.5600,49.3800,30.2825,191300
1998-05-07,49.3800,49.4400,48.7500,49.3800,30.2825,223800
1998-05-08,49.1900,50.3100,49.0600,49.1900,30.1660,226900
1998-05-11,49.1900,49.7500,49.0600,49.3800,30.2825,184700
1998-05-12,49.2500,50.0000,48.3800,49.8100,30.5462,181200
1998-05-13,49.6900,50.0000,49.2500,49.8100,30.5462,167200
1998-05-14,49.6300,49.9400,49.4400,49.6900,30.4726,95700
1998-05-15,49.6300,49.7500,49.1900,49.2500,30.2028,142700
1998-05-18,49.2500,49.3100,48.8800,49.0600,30.0862,295300
1998-05-19,49.0600,49.0600,48.0000,49.0000,30.0494,737900
1998-05-20,48.8800,48.8800,48.8800,48.8800,29.9759,213900
1998-05-21,49.3800,49.4400,48.3100,48.7500,29.8961,252000
1998-05-22,48.6300,48.6300,48.2500,48.4400,29.7060,134500
1998-05-26,48.6900,49.0000,48.1900,48.3100,29.6263,200800
1998-05-27,48.3100,48.3800,47.6300,47.8100,29.3197,248000
1998-05-28,47.8100,48.5600,47.5600,48.1300,29.5159,194500
1998-05-29,48.0600,48.6300,47.6300,48.0000,29.4362,182700
1998-06-01,47.7500,48.7500,47.7500,48.2500,29.5895,187200
1998-06-02,48.2500,48.5000,46.8100,47.2500,28.9762,252100
1998-06-03,47.0000,47.3800,46.5600,46.5600,28.5531,368500
1998-06-04,46.5600,47.5000,46.5600,47.0600,28.8597,829200
1998-06-05,47.1300,47.4400,46.5000,47.0000,28.8229,604300
1998-06-08,46.7500,47.7500,46.6900,47.6300,29.2093,160900
1998-06-09,47.6300,47.6300,46.9400,47.3800,29.0560,156000
1998-06-10,47.1200,47.9400,47.1200,47.3100,29.0130,312200
1998-06-11,47.1900,47.1900,44.5600,45.1900,27.7129,601400
1998-06-12,45.4400,45.5000,44.3800,45.0000,27.5964,460700
1998-06-15,44.7500,45.1900,44.3800,44.6900,27.4063,528800
1998-06-16,44.5600,45.2500,44.3800,44.8800,27.5228,461900
1998-06-17,45.0000,45.7500,44.9400,45.1900,27.7129,640000
1998-06-18,45.4400,45.7500,45.1300,45.3100,27.7865,202200
1998-06-19,45.0000,45.4400,44.2500,44.6900,27.4063,385900
1998-06-22,44.5600,44.6900,43.8800,43.8800,26.9096,251500
1998-06-23,43.9400,44.4400,43.5000,43.7500,26.8299,401300
1998-06-24,43.3800,43.8800,42.8100,43.3100,26.7869,271900
1998-06-25,43.4400,44.0600,42.2500,43.1900,26.7127,472200
1998-06-26,42.9400,44.3100,42.9400,43.6300,26.9848,421000
1998-06-29,43.8800,44.9400,43.7500,43.8100,27.0962,458900
1998-06-30,44.0000,44.0000,43.3800,43.4400,26.8673,297800
1998-07-01,43.5000,44.3800,43.1900,43.9400,27.1766,223800
1998-07-02,43.6900,44.0000,43.0000,43.5000,26.9044,274600
1998-07-06,43.5000,43.5600,42.8800,43.1300,26.6756,1394200
1998-07-07,42.8800,43.0000,42.3800,42.9400,26.5581,547600
1998-07-08,42.9400,43.0000,41.7500,42.0000,25.9767,881100
1998-07-09,41.5000,41.8100,41.1300,41.4400,25.6303,641200
1998-07-10,41.1900,42.3100,41.1300,42.3100,26.1684,269100
1998-07-13,42.1900,42.2500,41.0000,41.6300,25.7479,161400
1998-07-14,41.5600,41.7500,41.1300,41.2500,25.5128,194300
1998-07-15,41.2500,42.1300,41.2500,41.7500,25.8221,219300
1998-07-16,41.5600,41.9400,41.5600,41.8100,25.8592,269600
1998-07-17,41.9400,41.9400,41.5000,41.5600,25.7046,186700
1998-07-20,43.5000,44.1300,42.6300,42.6300,26.3664,1395600
1998-07-21,42.6900,43.5000,42.3800,43.1900,26.7127,1074600
1998-07-22,43.1900,44.5000,43.0600,43.8100,27.0962,459400
1998-07-23,43.8100,43.9400,42.8100,43.5600,26.9416,378900
1998-07-24,43.3100,43.4400,42.6300,42.6300,26.3664,361400
1998-07-27,42.2500,42.2500,41.6300,41.7500,25.8221,494000
1998-07-28,41.6900,41.9400,41.1300,41.5000,25.6675,589500
1998-07-29,41.7500,42.2500,41.3800,42.0600,26.0138,139000
1998-07-30,42.0600,42.7500,42.0000,42.5600,26.3231,207400
1998-07-31,42.2500,42.5000,41.6300,42.0000,25.9767,231900
1998-08-03,41.7500,42.3100,41.7500,41.9400,25.9396,428300
1998-08-04,41.8800,42.6300,41.6300,41.7500,25.8221,267600
1998-08-05,42.1300,43.4400,42.0600,42.6300,26.3664,302000
1998-08-06,42.6900,42.6900,41.7500,41.9400,25.9396,343500
1998-08-07,41.8800,42.5000,41.3800,41.3800,25.5932,289700
1998-08-10,41.2500,41.6900,40.9400,41.3100,25.5499,247700
1998-08-11,41.6300,41.9400,40.8100,41.8100,25.8592,284200
1998-08-12,41.6300,42.4400,40.8100,42.4400,26.2488,204000
1998-08-13,42.5000,42.8100,41.8800,41.9400,25.9396,204400
1998-08-14,41.9400,42.5000,41.6900,41.8800,25.9025,149500
1998-08-17,41.7500,42.6900,41.4400,42.3100,26.1684,247400
1998-08-18,42.1300,43.3100,41.8800,43.1900,26.7127,211900
1998-08-19,43.0000,43.0000,42.0600,42.3100,26.1684,154000
1998-08-20,42.5000,43.0000,42.1300,42.9400,26.5581,115700
1998-08-21,42.4400,42.4400,41.1300,41.8100,25.8592,249800
1998-08-24,41.5000,42.1300,41.0600,41.5000,25.6675,194500
1998-08-25,41.7500,42.8800,41.5600,42.2500,26.1313,219300
1998-08-26,41.6300,42.1300,41.3100,41.7500,25.8221,123500
1998-08-27,41.0000,41.0600,40.1900,40.2500,24.8943,263700
1998-08-28,40.2500,40.2500,38.9400,39.9400,24.7026,501900
1998-08-31,39.9400,40.6300,38.7500,38.7500,23.9666,210300
1998-09-01,38.5600,39.0000,36.6900,38.3100,23.6945,526500
1998-09-02,38.1300,39.3100,37.8800,38.0600,23.5398,415800
1998-09-03,37.8800,38.1300,36.5600,37.6300,23.2739,316400
1998-09-04,37.6300,39.0000,37.5600,38.2500,23.6574,256300
1998-09-08,38.8800,40.5600,38.5000,40.5000,25.0490,216100
1998-09-09,40.5600,40.5600,39.1900,39.3800,24.3563,212800
1998-09-10,38.2500,38.4400,37.0600,37.0600,22.9213,362700
1998-09-11,36.5600,37.6300,35.3800,37.3800,23.1193,469800
1998-09-14,37.2500,37.8800,35.6300,35.9400,22.2286,750200
1998-09-15,35.5600,36.1300,35.4400,35.7500,22.1111,480800
1998-09-16,35.5000,35.6900,34.5000,34.8800,21.5730,584100
1998-09-17,33.5000,34.3100,33.5000,34.1300,21.1092,361100
1998-09-18,34.1900,34.7500,34.0000,34.2500,21.1834,492100
1998-09-21,34.2500,34.2500,33.1900,33.5000,20.7195,341200
1998-09-22,33.5600,33.9400,32.9400,33.8800,20.9545,349000
1998-09-23,34.5000,35.0600,34.0600,34.7500,21.7215,593300
1998-09-24,34.8800,34.8800,33.7500,33.9400,21.2152,350400
1998-09-25,34.0600,34.1900,33.1300,33.3800,20.8651,325100
1998-09-28,33.6200,33.6200,32.9400,33.2500,20.7839,294900
1998-09-29,32.2500,32.8100,32.0600,32.8100,20.5088,814200
1998-09-30,32.4400,33.9400,32.4400,33.0000,20.6276,575500
1998-10-01,32.8100,34.0000,32.8100,33.5000,20.9401,479600
1998-10-02,33.6900,34.2500,33.1900,33.3100,20.8214,436000
1998-10-05,33.2500,33.5600,32.5600,33.2500,20.7839,222900
1998-10-06,33.7500,34.6300,33.0000,33.1900,20.7464,281900
1998-10-07,33.3100,34.5600,32.8100,34.0600,21.2902,345700
1998-10-08,33.6300,35.0000,33.5000,34.3100,21.4464,352900
1998-10-09,34.6300,34.7500,34.0000,34.4400,21.5277,155300
1998-10-12,34.9400,35.9400,34.5600,34.8800,21.8027,448400
1998-10-13,34.8800,36.0600,34.7500,35.9400,22.4653,227800
1998-10-14,35.6900,37.0000,35.5000,37.0000,23.1279,248700
1998-10-15,36.5600,38.9400,36.1300,38.6900,24.1843,434000
1998-10-16,39.0000,40.2500,38.7500,40.2500,25.1594,662800
1998-10-19,40.2500,41.1900,39.6300,40.6900,25.4344,400500
1998-10-20,41.1300,41.1300,38.9400,39.6300,24.7719,391400
1998-10-21,39.6300,39.6300,38.2500,39.0000,24.3781,258900
1998-10-22,38.7500,39.3100,38.4400,39.0600,24.4156,191800
1998-10-23,39.0600,39.1900,37.5600,37.9400,23.7155,371000
1998-10-26,38.0000,38.0000,35.5000,35.5000,22.1903,641400
1998-10-27,36.3800,37.4400,36.3100,37.3800,23.3654,378700
1998-10-28,37.3800,37.3800,36.1900,36.6300,22.8966,277800
1998-10-29,37.0000,37.3100,36.0600,37.1300,23.2092,211900
1998-10-30,37.1300,37.6900,36.9400,37.4400,23.4029,333800
1998-11-02,37.6300,39.0600,37.5600,38.3100,23.9468,302100
1998-11-03,39.0000,39.8800,38.8800,39.8800,24.9281,460700
1998-11-04,40.1300,40.5000,39.2500,39.9400,24.9656,357500
