,open,high,low,close,adj_close,volume
1998-01-02,70.6900,72.6300,70.5000,72.6300,11.8703,10231800
1998-01-05,73.0600,75.1400,72.0000,74.5000,12.1759,19592100
1998-01-06,73.8800,74.3100,72.6900,73.1300,11.9520,12078400
1998-01-07,72.7500,73.6300,71.5600,72.7500,11.8899,13845200
1998-01-08,72.2500,74.8100,72.1300,74.3100,12.1449,18932600
1998-01-09,74.5600,75.0000,71.2300,71.8800,11.7477,22007200
1998-01-12,70.8100,75.6900,70.6900,75.6300,12.3606,30936900
1998-01-13,76.3800,77.2500,76.2500,76.9400,12.5747,24337000
1998-01-14,77.0000,77.0600,74.3800,75.4400,12.3296,30990500
1998-01-15,74.8800,76.3800,74.6300,75.3100,12.3083,13364600
1998-01-16,75.8100,75.8800,74.6300,74.8100,12.2266,14820300
1998-01-20,75.1300,76.3100,74.8800,76.2500,12.4619,12493000
1998-01-21,75.4400,77.6900,75.3800,76.6900,12.5338,17353800
1998-01-22,76.0000,77.5000,75.9400,76.5000,12.5028,12474500
1998-01-23,76.8800,77.8800,76.5000,77.1900,12.6156,14046200
1998-01-26,77.0000,78.0000,77.0000,77.6900,12.6973,11173800
1998-01-27,77.8800,79.5600,77.3800,79.1900,12.9424,14678300
1998-01-28,79.7500,81.4400,79.5000,80.8800,13.2235,16765900
1998-01-29,80.3100,82.8800,80.2500,82.0000,13.4067,18091600
1998-01-30,82.5000,82.7500,80.8800,81.0000,13.2432,11346000
1998-02-02,82.5000,83.6100,82.1900,83.0600,13.5800,15606500
1998-02-03,84.0000,87.1300,83.6300,86.3100,14.1113,24971100
1998-02-04,86.1300,88.3100,85.6300,87.5600,14.3157,18847900
1998-02-05,88.7500,90.0600,86.1300,86.5000,14.1424,24330200
1998-02-06,85.7500,88.0000,85.6300,87.5500,14.3141,13010700
1998-02-09,87.4400,87.8800,85.4400,85.8100,14.0296,11451100
1998-02-10,85.4400,87.8100,85.0600,86.2500,14.1015,14893800
1998-02-11,85.6900,86.0600,84.2500,85.0600,13.9070,16229500
1998-02-12,83.8800,85.2500,82.7500,85.0000,13.8971,17597200
1998-02-13,84.3800,84.9400,83.8100,83.8100,13.7026,9773400
1998-02-17,84.6300,84.9400,83.9400,84.6300,13.8367,10370400
1998-02-18,84.3800,87.0000,84.2500,86.9400,14.2143,16450700
1998-02-19,89.0000,91.1300,88.1300,90.5600,14.8062,34073800
1998-02-20,91.2500,92.3800,90.5000,91.8100,15.0106,24620500
1998-02-23,93.0000,94.6300,92.3800,94.1900,15.3997,17230300
1998-02-24,94.1300,95.6300,92.2500,92.3800,15.1037,18946300
1998-02-25,92.6900,94.3800,92.6300,94.0000,15.3686,12495000
1998-02-26,93.7500,94.0600,92.2500,92.3100,15.0923,13979700
1998-02-27,91.9400,92.3800,89.5000,89.6900,14.6639,18390900
1998-03-02,89.8100,91.3800,87.5000,87.6300,14.3271,17933400
1998-03-03,85.9400,86.3100,84.1300,85.3100,13.9478,29159800
1998-03-04,84.9400,86.9400,84.8100,86.4400,14.1326,13550000
1998-03-05,75.0600,77.3800,75.0000,75.5600,12.3537,92332600
1998-03-06,77.0000,78.2500,76.1300,78.1300,12.7739,32088900
1998-03-09,78.2500,78.3800,74.9400,75.0600,12.2720,26769200
1998-03-10,76.5000,76.5000,74.9400,75.5000,12.3439,17101500
1998-03-11,76.5600,76.6300,75.0600,75.8800,12.4061,14119800
1998-03-12,76.1300,76.6900,75.3100,76.3800,12.4878,9870900
1998-03-13,77.0000,77.5000,76.5600,76.6300,12.5287,8396100
1998-03-16,77.0600,77.8800,77.0000,77.6900,12.7020,9039900
1998-03-17,77.5000,77.6900,75.6300,76.7500,12.5483,13860100
1998-03-18,75.9400,77.4400,75.8800,77.0000,12.5892,8132000
1998-03-19,77.3800,77.9400,76.7500,77.3100,12.6399,8639500
1998-03-20,77.5000,77.5000,75.3100,75.7500,12.3848,16022700
1998-03-23,75.5000,75.5000,74.4400,75.0600,12.2720,18408900
1998-03-24,75.1900,75.8800,74.0000,74.4400,12.1706,15722200
1998-03-25,75.8800,76.4400,75.2500,76.0600,12.4355,16646900
1998-03-26,76.9400,78.2500,76.7500,78.1900,12.7837,13901600
1998-03-27,78.3100,79.5600,78.2500,78.8800,12.8966,18196300
1998-03-30,78.6300,78.7500,77.1300,77.3800,12.6513,11125100
1998-03-31,76.6900,78.2500,76.6300,78.0600,12.7625,14363000
1998-04-01,77.5000,77.9400,76.4400,77.5000,12.6709,15025200
1998-04-02,76.9400,77.5000,76.0600,76.3800,12.4878,11082700
1998-04-03,76.6300,77.8800,76.1300,76.7500,12.5483,18602800
1998-04-06,76.1900,76.2500,73.8800,73.8800,12.0791,17888500
1998-04-07,74.0000,74.3800,72.1300,72.6300,11.8747,18388800
1998-04-08,73.0000,73.4400,71.3100,72.5600,11.8633,20033500
1998-04-09,74.1300,74.6900,73.4400,73.7500,12.0578,14641000
1998-04-13,73.8800,76.5000,73.5000,76.2500,12.4666,15861500
1998-04-14,75.6300,76.9400,75.0600,76.0000,12.4257,17495500
1998-04-15,78.1900,79.5000,74.7500,74.8800,12.2426,35703300
1998-04-16,73.4400,74.8800,73.2700,74.3800,12.1608,18085700
1998-04-17,74.0600,75.3100,73.9400,75.1900,12.2933,11278200
1998-04-20,74.9400,76.6300,74.8800,76.5000,12.5074,10100100
1998-04-21,78.9400,79.0000,77.6300,78.5000,12.8344,23298900
1998-04-22,84.0600,84.5000,79.1300,84.0600,13.7435,37968800
1998-04-23,83.2500,85.0600,82.0600,83.2500,13.6110,24618000
1998-04-24,81.8800,83.3800,81.2500,82.0600,13.4165,17119200
1998-04-27,80.2500,81.3800,78.7500,80.0000,13.0797,20789000
1998-04-28,80.7500,81.3800,78.2500,79.3100,12.9669,15457900
1998-04-29,79.5000,80.5000,78.7500,80.1300,13.1058,10452600
1998-04-30,80.6300,81.5600,79.3800,80.8100,13.2170,12638500
1998-05-01,80.9400,82.5000,80.1300,82.1300,13.4329,11446600
1998-05-04,82.2500,83.5000,81.2500,82.0000,13.4117,9144500
1998-05-05,81.7500,82.7500,81.5600,81.8800,13.3921,8698700
1998-05-06,82.1900,82.2500,80.7500,81.3800,13.3103,8248200
1998-05-07,81.4400,82.2500,80.6900,81.0000,13.2481,9781100
1998-05-08,80.6300,84.1900,80.5600,84.0600,13.7486,17096200
1998-05-11,83.8800,84.8800,82.5000,82.5000,13.4935,11969400
1998-05-12,82.4400,84.6900,82.0600,84.5600,13.8304,12118200
1998-05-13,84.6300,85.3100,83.7500,84.8100,13.8713,13103300
1998-05-14,83.8100,85.4400,83.4400,84.5600,13.8304,14011900
1998-05-15,83.1900,83.2500,79.8800,80.3100,13.1353,24646000
1998-05-18,80.0000,81.3100,78.3800,79.3800,12.9832,11152300
1998-05-19,79.6900,80.6900,79.0600,79.5600,13.0126,9197700
1998-05-20,79.2500,79.3800,76.5000,77.0000,12.5939,17259500
1998-05-21,76.3100,76.5600,73.8100,74.1300,12.1245,23787900
1998-05-22,74.7500,74.7500,73.9400,74.3100,12.1539,10277700
