,open,high,low,close,adj_close,volume
1998-01-02,41.2500,41.3800,39.7500,40.6300,6.2501,441800
1998-01-05,40.7500,41.2500,39.7500,40.1300,6.1732,683700
1998-01-06,39.6300,40.4400,39.2500,39.8800,6.1347,552900
1998-01-07,39.5000,39.5000,37.1300,38.2500,5.8840,1246300
1998-01-08,37.6300,38.0000,37.1300,37.5600,5.7779,1377900
1998-01-09,37.2500,37.7500,34.6300,35.1300,5.4041,1190900
1998-01-12,34.8800,35.2500,33.8800,35.0600,5.3933,1303300
1998-01-13,35.0600,40.8800,35.0600,40.1300,6.1732,2406300
1998-01-14,39.3800,39.8800,37.5000,38.5000,5.9225,965000
1998-01-15,38.7500,38.7500,36.1300,36.9400,5.6825,921100
1998-01-16,37.3800,37.5000,36.1300,36.8800,5.6733,1371200
1998-01-20,37.1300,39.6300,37.0000,39.6300,6.0963,1297700
1998-01-21,39.0000,40.3800,39.0000,40.0000,6.1532,2475500
1998-01-22,39.5000,39.8800,38.5000,39.0000,5.9994,321900
1998-01-23,39.0000,39.0000,36.6300,37.6300,5.7886,519100
1998-01-26,38.0000,38.2500,35.9400,36.8100,5.6625,817800
1998-01-27,36.8800,37.5600,35.8800,37.2500,5.7302,549600
1998-01-28,37.5000,40.1300,37.2500,39.8800,6.1347,1873500
1998-01-29,39.9400,40.0000,37.8800,38.1300,5.8655,762200
1998-01-30,38.2500,38.7500,36.5000,37.3800,5.7502,475700
1998-02-02,38.0000,40.1300,37.7500,39.1300,6.0194,1161900
1998-02-03,39.1300,40.5000,38.8800,40.1900,6.1824,1644500
1998-02-04,39.8800,42.5000,39.3800,42.1300,6.4809,1662500
1998-02-05,42.3800,43.5000,42.3800,43.2500,6.6532,2199200
1998-02-06,43.1300,43.7500,42.5000,43.0000,6.6147,739500
1998-02-09,43.2500,43.5000,41.6900,42.6300,6.5578,463200
1998-02-10,42.5000,44.1900,41.7500,43.3100,6.6624,694200
1998-02-11,43.1300,48.5000,43.1300,48.0000,7.3838,3257500
1998-02-12,47.3800,48.1300,46.5000,48.0000,7.3838,1145400
1998-02-13,47.6300,52.2500,47.2500,51.8800,7.9807,2160500
1998-02-17,51.6300,51.7500,48.8800,49.0000,7.5377,1506000
1998-02-18,49.2500,50.1300,47.6300,47.9400,7.3746,1399300
1998-02-19,48.0000,50.1300,47.7500,49.6300,7.6346,1220000
1998-02-20,50.5000,51.0000,47.7500,50.6300,7.7884,1137500
1998-02-23,50.5000,52.9400,50.5000,52.1300,8.0192,1112100
1998-02-24,52.2500,53.2500,49.7500,49.8800,7.6730,1698600
1998-02-25,47.0000,47.5000,45.2500,46.7500,7.1916,2790400
1998-02-26,46.5000,48.3800,46.1300,47.5600,7.3162,1204200
1998-02-27,47.6300,48.8800,46.2500,46.5000,7.1531,1482900
1998-03-02,46.8800,47.5000,46.2500,46.5000,7.1531,1213500
1998-03-03,46.2500,46.5000,45.6300,45.9400,7.0670,1021100
