,open,high,low,close,adj_close,volume
1998-01-02,49.6900,50.6300,49.2500,49.8800,19.0522,173400
1998-01-05,50.3800,51.2500,50.0000,51.2500,19.5755,420800
1998-01-06,50.9400,50.9400,50.0600,50.3800,19.2432,244700
1998-01-07,49.8800,50.0000,49.1300,49.5600,18.9300,316500
1998-01-08,49.9400,50.9400,49.7500,50.5000,19.2890,331700
1998-01-09,50.3800,50.3800,47.7500,48.8800,18.6703,332400
1998-01-12,48.3800,49.5600,48.1900,48.7500,18.6206,480900
1998-01-13,48.7500,48.7500,48.2500,48.3800,18.4793,393600
1998-01-14,48.5000,48.5000,47.9400,48.4400,18.5022,399200
1998-01-15,48.5600,48.9400,47.7500,47.8800,18.2883,283500
1998-01-16,48.3800,49.2500,48.1900,48.6300,18.5748,342200
1998-01-20,49.0000,49.6300,48.8800,49.0000,18.7161,313800
1998-01-21,48.5000,48.7500,48.0000,48.2500,18.4296,360600
1998-01-22,48.1300,48.5600,47.9400,48.5000,18.5251,190200
1998-01-23,48.7500,49.0000,47.6300,47.6900,18.2157,182200
1998-01-26,47.6900,48.6300,47.6300,48.3100,18.4525,199300
1998-01-27,48.2500,48.7500,48.0000,48.6900,18.5977,185200
1998-01-28,48.6300,48.6300,48.0000,48.3100,18.4525,260300
1998-01-29,48.6300,49.8800,48.3800,48.9400,18.6932,581600
1998-01-30,49.0600,49.6900,48.8800,49.0600,18.7390,229600
1998-02-02,49.0000,50.0000,49.0000,49.6300,18.9567,521100
1998-02-03,49.8800,50.1300,49.5000,50.0000,19.0981,406200
1998-02-04,49.7500,50.5000,49.7500,50.4400,19.2661,364400
1998-02-05,50.4400,51.1300,50.1300,50.1300,19.1477,311800
1998-02-06,50.1300,51.2500,49.8100,51.0000,19.4800,288200
1998-02-09,51.0000,51.0000,50.0000,50.8100,19.4075,209900
1998-02-10,50.8100,51.8100,50.8100,51.4400,19.6481,272300
1998-02-11,51.1900,52.0000,51.1300,51.8100,19.7894,220300
1998-02-12,52.0000,52.7500,51.3800,52.6300,20.1026,319000
1998-02-13,52.6300,52.9400,52.3800,52.5000,20.0530,276500
1998-02-17,52.5000,53.0600,52.2500,52.5600,20.0759,248900
1998-02-18,52.3800,52.7500,52.0000,52.5600,20.0759,240500
1998-02-19,52.5600,52.6900,51.8800,52.4400,20.0300,320900
1998-02-20,52.5000,52.5000,51.5600,52.1900,19.9346,271400
1998-02-23,52.1300,54.0000,52.0000,53.5600,20.4578,252700
1998-02-24,53.4400,54.1300,53.0000,54.0600,20.6985,345200
1998-02-25,54.5000,55.8100,53.8100,55.0600,21.0814,339500
1998-02-26,55.1300,55.2500,54.4400,55.0600,21.0814,224100
1998-02-27,55.1300,55.1300,54.3800,54.5000,20.8669,248300
1998-03-02,54.5000,54.9400,54.2500,54.4400,20.8440,166700
1998-03-03,54.4400,55.3100,54.1300,55.0000,21.0584,152600
1998-03-04,55.0000,55.0000,54.6300,54.8100,20.9856,169000
1998-03-05,54.7500,55.8800,54.6300,55.8800,21.3953,301900
1998-03-06,55.8800,59.7500,55.8800,58.5000,22.3985,391900
1998-03-09,58.2500,58.5000,57.0600,57.7500,22.1113,259200
1998-03-10,57.7500,59.5600,57.7500,59.1900,22.6627,218700
1998-03-11,59.0600,60.1900,59.0000,60.0000,22.9728,226400
1998-03-12,60.5000,61.1300,60.2500,60.6300,23.2140,245200
1998-03-13,60.5000,61.3800,60.1300,61.1300,23.4054,259200
1998-03-16,61.1900,62.0600,60.6900,61.6300,23.5969,233100
1998-03-17,61.6300,61.8800,60.8800,61.5000,23.5471,139800
1998-03-18,61.3800,61.7500,60.5000,61.1300,23.4054,226500
1998-03-19,61.2500,61.2500,60.7500,61.0600,23.3786,143500
1998-03-20,61.4400,61.4400,60.6900,61.2500,23.4514,396000
1998-03-23,61.2500,61.3100,60.8800,61.0600,23.3786,292500
1998-03-24,60.8800,61.8800,60.4400,61.5600,23.5701,309400
1998-03-25,61.8800,61.8800,60.8800,61.1300,23.4054,168200
1998-03-26,60.8800,62.9400,60.7500,62.6300,23.9798,208900
1998-03-27,62.0000,62.0000,61.2500,61.4400,23.5241,259000
1998-03-30,61.3100,61.9400,61.2500,61.5000,23.5471,79600
1998-03-31,61.7500,62.3800,61.6300,62.1300,23.7883,208000
1998-04-01,62.0000,62.9400,60.9400,62.8800,24.0755,257700
1998-04-02,63.0000,64.8800,62.9400,64.5000,24.6957,279200
1998-04-03,64.5000,64.5600,63.3800,63.6900,24.3856,386700
1998-04-06,63.0000,64.3800,62.6300,64.1900,24.5771,249000
1998-04-07,63.5000,63.5000,62.3800,62.5000,23.9300,357400
1998-04-08,62.8800,63.2500,61.3800,61.8100,23.6658,194800
1998-04-09,62.1900,62.4400,61.0000,61.3100,23.4744,216400
