,open,high,low,close,adj_close,volume
1998-01-02,45.0000,45.3750,44.0625,45.1875,23.5161,1551900
1998-01-05,46.0625,46.5000,45.5625,46.1250,24.0040,2069800
1998-01-06,46.1250,46.6875,45.5625,46.3125,24.1016,1830400
1998-01-07,47.0000,47.0625,44.6875,46.0000,23.9389,1755300
1998-01-08,45.9375,45.9375,44.3125,44.7500,23.2884,970100
1998-01-09,44.1250,44.1875,41.8125,42.6875,22.2151,2569000
1998-01-12,41.7500,42.8750,40.8750,41.9375,21.8248,2215500
1998-01-13,41.9375,43.1875,41.2500,42.6250,22.1825,2797100
1998-01-14,42.9375,42.9375,42.1250,42.9375,22.3452,1833500
1998-01-15,43.0000,43.0625,41.6875,42.0000,21.8573,1672800
1998-01-16,43.0000,43.6250,42.0625,43.6250,22.7029,1991500
1998-01-20,44.6875,46.0625,43.8750,45.9375,23.9064,2604000
1998-01-21,45.9375,45.9375,44.8125,45.4375,23.6462,1496400
1998-01-22,45.6250,45.8750,44.6250,45.6250,23.7438,1056900
1998-01-23,45.8125,45.8750,44.1250,44.6875,23.2559,1241900
1998-01-26,45.1250,45.6875,44.7500,45.6250,23.7438,952600
1998-01-27,45.5000,45.9375,44.5000,45.6875,23.7763,1631600
1998-01-28,46.0000,47.6875,45.1875,47.5000,24.7195,1769300
1998-01-29,47.4375,47.8750,47.0000,47.6875,24.8171,1611400
1998-01-30,47.0000,47.5000,45.0625,45.6875,23.7763,1536800
1998-02-02,46.5000,48.3750,46.0625,47.6250,24.7846,2416600
1998-02-03,48.0000,48.9375,47.4375,48.9375,25.4676,1751200
1998-02-04,48.6875,48.6875,47.3750,47.6250,24.7846,1484500
1998-02-05,47.6250,47.8125,46.3750,47.0000,24.4593,1590800
1998-02-06,47.9375,48.3125,47.1875,47.7500,24.8496,1075400
1998-02-09,48.2500,48.2500,47.0625,47.7500,24.8496,986700
1998-02-10,47.7500,48.3125,47.3750,47.5625,24.7521,1138100
1998-02-11,47.4375,48.3125,46.8750,48.1875,25.0773,1363800
1998-02-12,48.1875,48.1875,47.2500,48.0625,25.0123,911100
1998-02-13,47.7500,48.5000,47.7500,48.1250,25.0448,730800
1998-02-17,48.6250,49.1250,48.2500,48.5000,25.2400,971000
1998-02-18,48.9375,48.9375,48.1250,48.4375,25.3360,821000
1998-02-19,48.6250,48.6250,47.1250,47.7500,24.9764,934100
1998-02-20,47.7500,48.1250,47.5000,48.1250,25.1725,1080400
1998-02-23,48.3750,48.4375,47.3750,47.5000,24.8456,1002800
1998-02-24,47.5000,47.7500,47.0000,47.0000,24.5841,1105100
1998-02-25,47.1250,47.6875,46.6875,47.3750,24.7802,809500
1998-02-26,47.4375,47.4375,46.8750,46.9375,24.5514,942400
1998-02-27,47.1875,47.2500,46.5625,46.6250,24.3879,1113500
1998-03-02,46.5625,48.2500,46.3125,48.1250,25.1725,1489000
1998-03-03,48.1875,48.1875,47.5625,48.0000,25.1071,1604700
1998-03-04,47.9375,48.5000,47.6875,48.5000,25.3687,1072800
1998-03-05,47.8125,48.3750,47.7500,47.8750,25.0417,940300
1998-03-06,47.8750,48.9375,47.8750,48.8750,25.5648,1033400
1998-03-09,49.1875,50.6250,49.0625,50.0625,26.1859,2104600
1998-03-10,50.3125,50.7500,49.5625,50.4375,26.3821,1418800
1998-03-11,50.9375,52.1875,50.8125,51.8750,27.1340,2149900
1998-03-12,51.8750,52.4375,51.2500,51.6250,27.0032,1895100
1998-03-13,51.7500,51.9375,50.8750,51.0000,26.6763,1148500
1998-03-16,51.1250,52.6250,51.1250,52.5625,27.4936,1198600
1998-03-17,52.2500,52.3750,51.2500,51.7500,27.0686,969000
1998-03-18,51.0000,51.0625,49.6875,50.0000,26.1533,1496000
