,open,high,low,close,adj_close,volume
1998-01-02,36.0000,36.0000,36.0000,36.0000,3.7006,20
1998-01-05,36.0000,36.0000,35.7500,35.7500,3.6749,7210
1998-01-06,36.1300,36.1300,35.1300,35.1300,3.6112,15605
1998-01-07,35.6300,35.8800,35.1300,35.8800,3.6883,67516
1998-01-08,35.8800,35.8800,35.1300,35.5000,3.6492,10864
1998-01-09,35.3100,35.5000,35.1300,35.3100,3.6297,2133
1998-01-12,35.1300,35.2500,35.1300,35.2500,3.6235,6677
1998-01-13,34.9400,35.7500,34.8100,35.7500,3.6749,9363
1998-01-14,35.0600,35.2500,35.0000,35.2500,3.6235,849
1998-01-15,35.7500,35.7500,34.7500,34.7500,3.5721,8494
1998-01-16,35.0000,35.0000,34.5600,34.9400,3.5917,9995
1998-01-20,34.7500,35.3800,34.6300,35.2500,3.6235,6044
1998-01-21,35.0000,35.7500,34.7500,35.0600,3.6040,35911
1998-01-22,35.3100,35.7500,34.8800,35.3100,3.6297,4365
1998-01-23,35.0000,35.1300,35.0000,35.0000,3.5978,18212
1998-01-26,35.0000,35.1600,34.9700,35.1300,3.6112,30281
1998-01-27,34.7500,35.2500,34.7500,35.2500,3.6235,474
1998-01-28,34.7500,35.5000,34.7500,35.1300,3.6112,57126
1998-01-29,35.1300,35.5000,35.0000,35.5000,3.6492,54380
1998-01-30,35.2500,35.7500,35.0000,35.7500,3.6749,56099
1998-02-02,35.7500,35.7500,35.0600,35.7500,3.6749,3299
1998-02-03,35.7500,35.7500,35.3800,35.3800,3.6369,19062
1998-02-04,35.3800,35.5000,35.3800,35.3800,3.6369,15605
1998-02-05,35.5000,35.5000,35.0000,35.0000,3.5978,5590
1998-02-06,34.5000,34.7500,34.0000,34.3100,3.5269,12820
1998-02-09,34.0000,34.5000,33.6300,34.3800,3.5341,69847
1998-02-10,34.3800,35.2500,34.3100,35.2500,3.6235,10983
1998-02-11,34.7500,35.2500,34.7500,35.2500,3.6235,1481
1998-02-12,34.2500,34.3800,34.2500,34.2500,3.5207,9936
1998-02-13,35.0300,35.0300,34.8100,34.8100,3.5783,593
1998-02-17,34.3800,35.2500,34.0000,34.2500,3.5207,9067
1998-02-18,34.0000,34.5000,33.5000,33.7500,3.4693,12583
1998-02-19,33.2500,33.3800,33.2500,33.3800,3.4313,5788
1998-02-20,33.0000,33.0600,33.0000,33.0000,3.3923,3299
1998-02-23,33.2500,33.5600,33.0000,33.5600,3.4498,22519
1998-02-24,33.5000,33.5000,33.4400,33.5000,3.4437,4938
1998-02-25,34.2500,34.2500,33.8800,33.8800,3.4827,106015
1998-02-26,34.1300,34.3800,33.8800,33.8800,3.4827,37630
1998-02-27,33.6900,34.0000,33.6300,34.0000,3.4950,11279
1998-03-02,33.7500,34.2500,33.7500,34.0000,3.4950,23862
1998-03-03,33.7500,33.7500,32.6300,33.2500,3.4180,62795
1998-03-04,33.0000,34.0000,33.0000,33.0600,3.3984,5215
1998-03-05,32.2500,33.2500,32.1300,32.1900,3.3090,49956
1998-03-06,32.1300,33.0000,31.3700,32.0000,3.2895,20089
1998-03-09,33.0000,33.0000,31.5000,33.0000,3.3923,9936
1998-03-10,32.7500,33.2500,32.7500,33.2500,3.4180,16632
1998-03-11,33.2500,33.5000,32.8800,33.5000,3.4437,20089
1998-03-12,33.5000,33.5000,33.5000,33.5000,3.4437,8672
1998-03-13,34.7500,34.9400,33.7500,34.0000,3.4950,16731
1998-03-16,34.0000,36.5000,34.0000,36.5000,3.7520,62795
1998-03-17,37.0000,37.0000,35.0000,35.0000,3.5978,18351
1998-03-18,35.0000,36.2500,34.7500,36.2500,3.7263,66943
1998-03-19,36.1300,36.2500,35.6300,35.6900,3.6688,130035
1998-03-20,35.6300,36.3800,35.6300,36.0000,3.7006,2133
1998-03-23,35.7500,36.0000,35.6300,36.0000,3.7006,295348
1998-03-24,35.6300,36.2500,35.6300,35.7500,3.6749,20089
1998-03-25,36.2500,36.2500,36.2500,36.2500,3.7263,3081
1998-03-26,36.2500,36.2500,34.7500,35.1300,3.6112,21057
1998-03-27,35.0000,36.0600,35.0000,36.0000,3.7006,1023842
1998-03-30,35.7500,36.0000,34.2500,35.0000,3.5978,75911
1998-03-31,35.5000,37.6300,35.0000,37.5000,3.8548,3513007
1998-04-01,37.5000,38.2300,36.8800,37.6300,3.8682,404523
1998-04-02,38.0000,38.1300,37.1300,37.9400,3.9001,81778
1998-04-03,37.9400,38.0000,37.1300,37.1300,3.8168,103881
1998-04-06,37.0000,37.6300,37.0000,37.1300,3.8168,65106
