,open,high,low,close,adj_close,volume
1998-01-02,40.7500,41.6300,40.5600,41.0600,11.5322,279900
1998-01-05,40.8800,40.8800,39.5000,40.0000,11.2345,937100
1998-01-06,40.0000,41.0000,39.8100,40.2500,11.3047,788100
1998-01-07,40.3100,40.6900,39.3800,39.8800,11.2008,322850
1998-01-08,39.8800,39.9400,38.8800,39.0000,10.9536,740800
1998-01-09,39.2500,39.2500,36.5000,36.9400,10.3750,967500
1998-01-12,36.6900,37.5000,36.5600,37.3100,10.4789,1188600
1998-01-13,38.3800,38.3800,37.8800,38.1900,10.7261,596300
1998-01-14,39.7500,39.7500,38.1300,38.6300,10.8497,516700
1998-01-15,38.6300,38.7500,38.4400,38.7500,10.8834,286050
1998-01-16,39.1300,39.7500,39.0600,39.7500,11.1642,542100
1998-01-20,39.5000,40.0000,38.8800,39.1900,11.0070,452550
1998-01-21,38.8800,39.5000,38.5000,38.8100,10.9002,447300
1998-01-22,38.5600,38.6300,37.7500,38.1900,10.7261,778100
1998-01-23,37.5000,37.6300,37.0000,37.1900,10.4452,959150
1998-01-26,37.2500,37.8800,37.0000,37.6300,10.5688,327600
1998-01-27,37.5000,38.5000,37.0000,37.3100,10.4789,810500
1998-01-28,37.5600,38.0600,37.5000,37.8100,10.6194,422550
1998-01-29,38.7500,40.0000,38.6300,39.5000,11.0940,851200
1998-01-30,40.0000,40.0000,39.3100,39.8800,11.2008,1173750
1998-02-02,40.5000,42.1300,40.5000,42.1300,11.8327,1484100
1998-02-03,41.8800,43.0000,41.7500,43.0000,12.0770,701700
1998-02-04,42.8800,42.8800,41.7500,42.3800,11.9029,649150
1998-02-05,42.5600,43.3800,42.5600,43.0000,12.0770,736800
1998-02-06,43.0000,44.1300,42.8800,44.0600,12.3748,504550
1998-02-09,44.0600,44.9400,43.3100,44.8800,12.6051,582900
1998-02-10,44.6300,44.6900,43.7500,44.3100,12.4450,1136150
1998-02-11,44.1300,44.3100,43.6900,43.8800,12.3242,413650
1998-02-12,43.6300,44.8800,42.8800,44.8800,12.6472,665900
1998-02-13,44.7500,44.7500,43.9400,44.3800,12.5063,340750
1998-02-17,44.5000,44.7500,44.0000,44.6900,12.5936,288800
1998-02-18,44.8100,44.8100,43.7500,44.3800,12.5063,391250
1998-02-19,44.4400,44.4400,43.3100,43.9400,12.3823,425050
1998-02-20,44.1900,44.3100,43.7500,44.0000,12.3992,464350
1998-02-23,44.0000,44.1300,43.6300,44.0000,12.3992,365950
1998-02-24,43.8800,44.7500,43.6300,44.7500,12.6106,899800
1998-02-25,44.8800,46.3800,44.8800,45.8100,12.9093,929200
1998-02-26,45.2500,47.2500,45.2500,47.1900,13.2981,915050
1998-02-27,46.7500,47.7500,46.7500,47.6300,13.4221,920800
1998-03-02,47.3800,48.0000,47.0000,47.0000,13.2446,502650
1998-03-03,46.5000,47.8100,46.5000,47.6900,13.4390,411650
1998-03-04,47.6300,47.7500,46.9400,47.1300,13.2812,299350
