,open,high,low,close,adj_close,volume
1998-01-02,59.5000,59.6200,58.2500,59.5000,19.5520,232700
1998-01-05,59.5000,59.5600,58.6200,59.3800,19.5125,327600
1998-01-06,58.7500,59.3800,58.3100,58.5600,19.2431,368000
1998-01-07,58.0000,58.0000,57.0000,57.6900,18.9572,419200
1998-01-08,57.0000,57.0000,55.0000,55.6900,18.3000,507300
1998-01-09,55.7500,55.7500,53.1200,53.5600,17.6001,333500
1998-01-12,52.7500,54.7500,52.6900,53.3100,17.5179,493400
1998-01-13,53.4400,53.6900,52.5600,52.6200,17.2912,584900
1998-01-14,52.8800,55.9400,52.8800,55.6200,18.2770,916000
1998-01-15,55.6200,55.6200,54.5600,54.8800,18.0338,429500
1998-01-16,55.5000,57.0000,55.5000,55.7500,18.3197,338600
1998-01-20,55.9400,57.9400,55.9400,57.9400,19.0394,368900
1998-01-21,57.3800,57.5000,55.5000,56.4400,18.5464,286100
1998-01-22,55.5000,56.3800,55.0000,56.1200,18.4413,318100
1998-01-23,56.2500,56.5600,55.1200,56.0600,18.4216,298100
1998-01-26,56.3100,56.9400,56.0000,56.0600,18.4216,198900
1998-01-27,55.8800,56.6900,55.7500,56.3800,18.5267,232700
1998-01-28,56.6200,57.0000,55.1200,56.5600,18.5859,240700
1998-01-29,56.7500,58.0000,56.6200,57.3100,18.8323,443000
1998-01-30,57.3100,57.3100,55.4400,55.6200,18.2770,367700
1998-02-02,56.7500,57.6900,56.3800,57.0000,18.7305,492500
1998-02-03,56.7500,57.0000,56.6200,56.9400,18.7108,181400
1998-02-04,56.8100,56.8100,55.7500,56.2500,18.4840,221900
1998-02-05,56.0600,56.6200,55.3100,56.2500,18.4840,312100
1998-02-06,56.7500,56.8800,55.6200,56.5000,18.5662,246700
1998-02-09,56.3800,56.7500,55.3800,56.0000,18.4019,259600
1998-02-10,56.0000,56.2500,55.3800,55.8100,18.3394,330400
1998-02-11,56.0600,56.8800,55.8100,56.0600,18.4216,354000
1998-02-12,55.9400,57.0600,55.4400,57.0000,18.7305,332300
1998-02-13,56.8800,57.4400,56.1200,56.5600,18.5859,219600
1998-02-17,56.7500,57.7500,56.5000,56.8800,18.6910,285500
1998-02-18,57.0000,57.3800,56.5600,57.1900,18.7929,285300
1998-02-19,56.8100,57.0600,56.1200,56.4400,18.5464,141300
1998-02-20,56.6900,57.1200,56.0600,57.1200,18.7699,335200
1998-02-23,57.1200,57.1900,56.1900,57.0000,18.7305,232600
1998-02-24,57.0000,57.1200,56.5000,57.0000,18.7305,372800
1998-02-25,57.3800,58.6200,57.2500,58.3100,19.1609,584600
1998-02-26,58.1900,59.3800,58.0900,59.2500,19.4698,329800
1998-02-27,59.1200,60.0000,59.0000,59.9400,19.6966,326200
1998-03-02,59.9400,60.7500,59.6200,60.7500,19.9627,384200
1998-03-03,60.7500,62.7500,60.7500,62.7500,20.6199,801900
1998-03-04,62.7500,62.7500,60.8100,61.3100,20.1468,241800
1998-03-05,61.1900,61.1900,59.8100,60.3100,19.8181,317800
