,open,high,low,close,adj_close,volume
1998-01-02,85.8800,86.2500,85.5000,86.2500,10.2837,1500
1998-01-05,83.5000,84.1900,83.5000,84.0000,10.0154,7900
1998-01-06,83.7500,83.7500,83.2500,83.2500,9.9260,1400
1998-01-07,83.0600,83.0600,83.0600,83.0600,9.9033,600
1998-01-08,83.2500,83.2500,83.2500,83.2500,9.9260,2000
1998-01-09,83.0000,83.0000,81.2500,81.5000,9.7173,4800
1998-01-12,80.5000,80.5000,78.5000,79.3800,9.4646,8000
1998-01-13,79.1300,79.1300,79.1300,79.1300,9.4347,300
1998-01-14,79.0600,79.1300,79.0600,79.0600,9.4264,1900
1998-01-15,79.5000,79.5000,79.5000,79.5000,9.4789,200
1998-01-16,80.5000,80.5000,80.5000,80.5000,9.5981,1500
1998-01-20,80.0000,80.0000,79.0000,79.8100,9.5158,300
1998-01-21,77.8800,78.0600,77.5000,78.0600,9.3072,900
1998-01-22,78.0000,78.1300,78.0000,78.1300,9.3155,9000
1998-01-23,79.0000,79.0000,77.7500,77.7500,9.2702,19200
1998-01-26,77.8800,78.0000,77.5000,77.7500,9.2702,1600
1998-01-27,77.7500,78.0000,77.5000,77.6300,9.2559,8100
1998-01-28,80.5000,82.0000,80.5000,81.2500,9.6875,8400
1998-01-29,83.5000,84.0000,83.5000,83.5000,9.9558,6200
1998-01-30,92.1300,92.5000,89.2500,90.3100,10.7677,27200
1998-02-02,89.9400,90.5600,89.9400,90.5600,10.7976,8800
1998-02-03,90.3100,91.2500,90.2500,90.9400,10.8429,7100
1998-02-04,90.0000,90.0000,90.0000,90.0000,10.7308,1000
1998-02-05,90.0000,90.0000,90.0000,90.0000,10.7308,600
1998-02-06,90.2500,90.2500,90.0000,90.0000,10.7308,200
1998-02-09,90.5000,90.7500,90.5000,90.7500,10.8202,1000
1998-02-10,91.2500,92.5000,91.2500,91.9400,10.9621,2800
1998-02-11,92.2500,92.2500,91.5000,92.0000,10.9692,2700
1998-02-12,91.7500,92.5000,91.5000,92.5000,11.0289,1800
1998-02-13,92.0000,92.1300,92.0000,92.0600,10.9764,6300
1998-02-17,96.2500,96.5000,95.7500,95.9400,11.4390,6700
1998-02-18,96.2500,97.0000,96.1300,96.5000,11.5058,6700
1998-02-19,96.2500,96.2500,95.7500,95.7500,11.4164,400
1998-02-20,96.0000,96.5000,96.0000,96.5000,11.5058,1400
1998-02-23,95.8700,95.8700,93.0000,93.1200,11.1028,5000
1998-02-24,93.7500,94.0000,93.7500,93.7500,11.1779,6200
1998-02-25,96.0000,96.0000,95.2500,95.5000,11.3866,6000
1998-02-26,95.7500,96.1300,95.7500,95.8100,11.4235,1900
1998-02-27,95.8100,96.5000,95.7500,96.2500,11.4760,3200
1998-03-02,100.5000,101.3000,100.5000,101.0000,12.0423,15400
1998-03-03,100.5000,100.5000,98.0000,98.1300,11.7001,11100
1998-03-04,98.5000,98.5000,97.2500,97.5000,11.6250,700
1998-03-05,97.3800,98.0000,97.0000,98.0000,11.6846,4900
1998-03-06,98.0000,98.0000,96.0000,97.2500,11.5952,4900
1998-03-09,97.2500,98.7500,97.2500,98.2500,11.7144,1900
1998-03-10,98.7500,98.7500,97.7500,97.7500,11.6548,500
1998-03-11,98.7500,99.3100,98.7500,99.3100,11.8408,1400
1998-03-12,99.7500,99.7500,99.1300,99.6900,11.8861,2700
1998-03-13,99.6900,99.6900,99.2500,99.2500,11.8337,300
1998-03-16,99.3100,100.3000,99.3100,100.0000,11.9231,2500
1998-03-17,104.3000,105.0000,104.0000,104.0000,12.4000,10900
1998-03-18,105.8000,106.8000,105.8000,105.8000,12.6146,11700
1998-03-19,108.8000,109.0000,108.8000,109.0000,12.9962,2300
1998-03-20,109.3000,110.0000,109.0000,110.0000,13.1154,6800
1998-03-23,108.8000,109.3000,107.8000,107.8000,12.8531,7200
1998-03-24,107.9000,107.9000,107.5000,107.5000,12.8173,600
1998-03-25,108.0000,108.1000,107.8000,107.8000,12.8531,7500
1998-03-26,109.5000,109.5000,109.0000,109.0000,12.9962,2200
1998-03-27,109.0000,109.0000,109.0000,109.0000,12.9962,0
1998-03-30,109.0000,109.0000,106.0000,106.0000,12.6385,7200
1998-03-31,106.8000,107.8000,106.8000,107.0000,12.7577,1500
1998-04-01,108.5000,110.3000,108.5000,109.6000,13.1546,3500
1998-04-02,110.0000,110.0000,108.5000,109.3000,13.1186,3700
1998-04-03,110.0000,110.5000,110.0000,110.0000,13.2026,4800
1998-04-06,110.0000,110.8000,110.0000,110.8000,13.2987,2700
1998-04-07,110.8000,110.8000,109.5000,109.5000,13.1426,1000
1998-04-08,109.5000,109.5000,109.5000,109.5000,13.1426,100
1998-04-09,110.0000,110.9000,110.0000,110.9000,13.3107,800
1998-04-13,111.0000,111.0000,110.5000,111.0000,13.3227,900
1998-04-14,116.8000,117.9000,116.8000,117.4000,14.0908,5600
1998-04-15,123.5000,123.5000,121.8000,123.3000,14.7990,1800
1998-04-16,122.8000,123.0000,121.0000,121.0000,14.5229,4500
1998-04-17,124.0000,124.0000,122.0000,122.0000,14.6429,3200
1998-04-20,123.0000,123.3000,122.5000,122.8000,14.7389,3000
1998-04-21,122.8000,124.0000,122.8000,124.0000,14.8830,1400
1998-04-22,124.5000,124.5000,124.5000,124.5000,14.9430,400
1998-04-23,118.5000,118.5000,114.5000,116.0000,13.9228,3800
1998-04-24,112.5000,112.5000,111.0000,111.5000,13.3827,5800
1998-04-27,55.7500,55.7500,53.6300,54.5600,13.0970,4840
1998-04-28,54.5000,55.0000,53.5000,53.5000,12.8426,15080
1998-04-29,55.2500,55.2500,53.0000,53.5000,12.8426,21280
