,open,high,low,close,adj_close,volume
1998-01-02,18.7500,18.8800,18.5600,18.6300,3.8459,27500
1998-01-05,18.7500,18.8800,18.5000,18.6900,3.8583,81100
1998-01-06,18.6900,18.7500,18.3800,18.7500,3.8707,99000
1998-01-07,18.7500,18.7500,18.2500,18.3100,3.7798,92600
1998-01-08,18.3800,18.3800,18.2500,18.3800,3.7943,90700
1998-01-09,18.1300,18.3100,17.5000,17.5000,3.6126,220000
1998-01-12,17.7500,17.7500,17.3800,17.5000,3.6126,38800
1998-01-13,17.5000,18.0000,17.5000,17.7500,3.6642,80800
1998-01-14,17.7500,18.0000,17.6300,17.7500,3.6642,159800
1998-01-15,18.0000,18.0000,17.6300,17.6900,3.6518,41100
1998-01-16,17.9400,18.0000,17.6300,18.0000,3.7158,115200
1998-01-20,18.0000,18.2500,17.9400,18.0600,3.7282,77600
1998-01-21,18.1300,18.5000,17.8800,17.8800,3.6911,54900
1998-01-22,17.8800,18.5000,17.7500,18.1900,3.7551,196600
1998-01-23,18.5000,18.5000,18.1900,18.3100,3.7798,71900
1998-01-26,18.1300,18.5000,18.1300,18.3100,3.7798,68700
1998-01-27,18.2500,20.1300,18.2500,19.5000,4.0255,306600
1998-01-28,19.7500,24.2500,19.7500,23.8800,4.9297,1029900
1998-01-29,22.8800,23.7500,21.6300,21.7500,4.4900,735700
1998-01-30,21.7500,22.4400,21.1300,22.0000,4.5519,190000
1998-02-02,22.5000,24.2500,22.2500,24.0000,4.9657,601200
1998-02-03,23.7500,25.5000,23.3800,25.1300,5.1995,615000
1998-02-04,25.0000,26.6300,23.8800,26.0000,5.3795,1150700
1998-02-05,26.1300,27.1300,26.0000,26.6300,5.5099,776600
1998-02-06,26.5000,26.5000,25.1300,25.1900,5.2119,498600
1998-02-09,25.6300,26.7500,25.3800,26.5000,5.4830,928800
1998-02-10,26.5000,26.7500,25.8800,26.3800,5.4582,388100
1998-02-11,26.1300,26.6300,25.7500,26.3800,5.4582,240000
1998-02-12,26.1300,27.3800,26.1300,26.9400,5.5740,575200
1998-02-13,26.8800,27.2500,26.7500,27.0000,5.5864,335100
1998-02-17,27.0000,27.1900,25.7500,25.7500,5.3278,129000
1998-02-18,25.7500,26.7500,25.7500,26.2500,5.4313,204900
1998-02-19,26.1300,26.2500,25.2500,25.4400,5.2637,156300
1998-02-20,25.3800,26.6300,25.2500,25.6300,5.3030,272300
1998-02-23,25.5000,26.2500,25.5000,26.0000,5.3795,69900
1998-02-24,25.8800,26.0000,24.2500,25.1300,5.1995,245800
1998-02-25,25.0000,26.2500,25.0000,25.8100,5.3402,278800
1998-02-26,25.7500,26.8800,25.6300,26.6300,5.5099,116500
1998-02-27,26.9400,27.7500,26.6300,26.7500,5.5347,226000
1998-03-02,26.8800,28.0000,26.6300,26.8800,5.5616,348700
1998-03-03,26.6300,27.0000,26.0000,27.0000,5.5864,131900
1998-03-04,26.5000,26.9400,26.0000,26.8800,5.5616,75000
1998-03-05,26.5000,27.0000,26.2500,26.3800,5.4582,324200
1998-03-06,26.2500,28.0600,26.2500,28.0600,5.8058,146800
1998-03-09,27.6900,28.5000,27.5600,27.5600,5.7023,306100
1998-03-10,27.8800,27.9400,26.6900,27.0000,5.5864,355300
1998-03-11,26.8800,27.7800,26.8800,27.5000,5.6899,255900
1998-03-12,27.3800,28.0000,27.1300,27.6300,5.7168,332300
1998-03-13,27.5000,27.7500,27.1300,27.1300,5.6133,219200
1998-03-16,27.1300,28.5000,27.1300,28.3800,5.8720,75900
1998-03-17,29.6300,30.6300,28.7500,29.8100,6.1678,809300
1998-03-18,29.8100,30.3800,29.7500,30.0000,6.2071,145700
1998-03-19,30.0000,30.0000,29.6300,29.6300,6.1306,298100
1998-03-20,29.9400,30.2500,29.7500,29.7500,6.1554,174100
1998-03-23,29.6300,29.6300,28.2500,28.3800,5.8720,105000
1998-03-24,28.1300,29.1300,28.1300,29.0000,6.0002,81900
1998-03-25,28.8800,29.0000,28.1300,28.4400,5.8844,405800
1998-03-26,28.6300,28.6300,28.3800,28.3800,5.8720,39100
1998-03-27,28.5000,28.5000,28.3800,28.3800,5.8720,35300
1998-03-30,28.5000,28.7500,28.3800,28.5000,5.8968,274000
1998-03-31,28.2500,28.7500,28.2500,28.4400,5.8844,105400
1998-04-01,28.4400,28.8800,28.3100,28.5600,5.9092,293300
1998-04-02,28.3800,30.0600,28.3800,29.3100,6.0644,271200
1998-04-03,29.3100,29.5000,29.2500,29.2500,6.0520,118700
1998-04-06,29.0000,29.5000,28.3800,28.3800,5.8720,214200
1998-04-07,28.5000,28.5000,27.7200,27.7800,5.7478,92600
1998-04-08,27.6300,28.3800,27.6300,27.7500,5.7416,71500
1998-04-09,27.7500,28.3800,27.7500,28.0000,5.7933,203900
1998-04-13,28.3800,29.0000,28.0600,28.5600,5.9092,312200
1998-04-14,29.0000,29.3800,28.6300,28.8800,5.9754,191900
1998-04-15,30.7500,31.1900,30.0000,30.2500,6.2589,1128600
1998-04-16,30.0000,30.3100,29.3800,29.3800,6.0789,151000
1998-04-17,29.3100,29.7500,29.2500,29.7500,6.1554,43000
1998-04-20,29.8800,31.2500,29.8100,31.0000,6.4141,562900
1998-04-21,33.3800,33.3800,31.1300,33.3800,6.9065,553200
1998-04-22,32.4400,33.7500,32.3800,32.4400,6.7120,275300
1998-04-23,32.7500,32.7500,31.8800,32.0000,6.6210,277900
1998-04-24,32.0000,32.3800,31.8800,32.1300,6.6479,131900
1998-04-27,31.8800,31.8800,30.7500,31.1900,6.4534,78600
1998-04-28,31.5000,31.7500,31.2500,31.7500,6.5692,72500
1998-04-29,31.8800,33.0600,31.5000,32.5000,6.7348,97700
1998-04-30,32.3800,32.7500,31.5000,32.0000,6.6311,63800
1998-05-01,32.1300,32.7500,31.9400,32.3100,6.6954,79300
1998-05-04,32.5000,32.5000,31.7500,32.0000,6.6311,58500
1998-05-05,31.9400,31.9400,31.5000,31.6300,6.5545,63200
1998-05-06,31.8800,31.8800,30.7500,30.8800,6.3991,122300
1998-05-07,31.0000,31.0000,29.5600,29.6300,6.1400,90900
1998-05-08,29.6300,30.1300,29.2500,29.5000,6.1131,174200
1998-05-11,29.7500,30.2500,29.1300,29.1300,6.0364,183200
1998-05-12,29.0000,29.8800,29.0000,29.3800,6.0882,137700
1998-05-13,29.5000,30.2500,29.1300,30.1300,6.2436,128600
1998-05-14,30.1900,30.3800,29.8800,29.8800,6.1918,91400
1998-05-15,29.8800,30.1300,29.5600,30.0000,6.2167,23800
1998-05-18,30.0000,30.7500,28.8800,29.5000,6.1131,316500
1998-05-19,29.5000,30.2500,29.4400,29.9400,6.2043,346800
1998-05-20,29.7500,29.8100,29.2500,29.6900,6.1525,151900
1998-05-21,29.7500,29.8800,29.3800,29.3800,6.0882,27600
