,open,high,low,close,adj_close,volume
1998-01-02,44.7500,44.8800,43.4400,44.7500,11.8756,3081800
1998-01-05,44.7500,45.5000,44.5600,45.5000,12.0746,2996400
1998-01-06,45.1300,45.6300,44.8800,45.5000,12.0746,3807200
1998-01-07,45.0000,45.1300,44.3100,44.5600,11.8252,2276800
1998-01-08,44.5000,44.6900,43.5000,44.3800,11.7774,2373200
1998-01-09,44.5000,45.0600,42.5600,43.0000,11.4112,3286600
1998-01-12,42.5000,44.1900,42.3800,44.1300,11.7110,2067800
1998-01-13,45.0000,45.0000,43.8800,44.6900,11.8597,2164400
1998-01-14,44.9400,44.9400,43.6900,44.8800,11.9101,1660800
1998-01-15,44.7500,45.5000,44.4400,45.3800,12.0428,1738400
1998-01-16,45.8100,45.9400,44.5000,44.6300,11.8437,2115400
1998-01-20,44.6900,45.8100,44.2500,45.6900,12.1250,2164800
1998-01-21,45.5600,45.5600,43.9400,44.6900,11.8597,2395400
1998-01-22,44.5000,44.6300,43.1900,44.0000,11.6765,2105800
1998-01-23,43.7500,44.7500,42.3800,44.3100,11.7588,2833200
1998-01-26,43.8800,44.0000,43.3800,43.8100,11.6261,2055400
1998-01-27,43.8100,44.3800,43.2500,43.3800,11.5120,3661600
1998-01-28,43.6300,44.0600,43.3100,43.8800,11.6447,2051000
1998-01-29,44.0000,44.7500,43.9400,44.4400,11.7933,3845800
1998-01-30,44.5000,44.5600,44.2500,44.3800,11.7774,2600600
1998-02-02,44.5000,45.1300,44.5000,44.9400,11.9260,2250200
1998-02-03,44.6900,46.0600,44.6300,45.9400,12.1914,3336800
1998-02-04,45.9400,46.8100,45.6300,46.0000,12.2073,2426800
1998-02-05,45.9400,46.1300,45.4400,46.0600,12.2232,1727200
1998-02-06,46.0000,46.3800,45.7500,46.3800,12.3081,1657200
1998-02-09,46.1900,46.2500,45.7500,46.0000,12.2073,995600
1998-02-10,46.0000,46.3800,45.8100,46.2500,12.2736,1800400
1998-02-11,46.5000,46.9400,45.2500,45.5000,12.0746,1818800
1998-02-12,45.5000,46.9400,45.2500,46.8100,12.4223,1759800
1998-02-13,46.8100,46.9400,46.3800,46.9400,12.4568,1984600
1998-02-17,47.0000,48.1300,47.0000,47.4400,12.5894,1967000
1998-02-18,47.5600,48.4400,47.3800,48.3100,12.8203,1807600
1998-02-19,48.1300,48.8100,47.7500,48.7500,12.9371,2537400
1998-02-20,48.3800,48.4400,47.0600,47.8100,12.6876,1676800
1998-02-23,48.0000,48.0600,47.0000,47.3100,12.5549,1572200
1998-02-24,47.5600,48.5600,47.2500,48.5600,12.8867,2275000
1998-02-25,48.5000,49.0600,48.1300,48.3100,12.8203,1654200
1998-02-26,48.3100,49.5000,47.7500,49.5000,13.1361,1526400
1998-02-27,49.5000,50.7500,49.3800,50.6300,13.4360,2319800
1998-03-02,50.0000,50.7500,49.2500,50.7500,13.4678,2304400
1998-03-03,51.0000,53.0000,51.0000,52.3800,13.9004,18482200
1998-03-04,52.3800,53.3100,52.1300,52.9400,14.0490,5272800
1998-03-05,52.0000,52.7500,51.8800,52.4400,13.9163,2825800
1998-03-06,52.5600,53.2500,52.3100,53.0000,14.0649,3925400
1998-03-09,52.5000,52.9400,51.8800,52.2500,13.8659,3049600
1998-03-10,52.4400,53.1300,52.4400,52.7500,13.9986,2297200
1998-03-11,52.8800,53.0000,52.5600,52.7500,13.9986,1404000
1998-03-12,53.6300,54.2500,53.3800,53.6300,14.2321,3187600
1998-03-13,53.9400,54.6300,53.6300,54.3800,14.4311,7138600
1998-03-16,54.7500,56.3100,54.7500,56.0000,14.8611,3207000
1998-03-17,56.3100,56.4400,55.1900,55.6300,14.7629,3382800
1998-03-18,54.7500,55.3100,54.4400,55.0000,14.5957,3135600
1998-03-19,54.7500,55.5000,54.6300,55.4400,14.7124,1394800
1998-03-20,56.0000,56.9400,55.5000,56.5000,14.9937,3464800
1998-03-23,56.3100,56.6900,55.6900,55.8100,14.8106,1993400
1998-03-24,55.9400,56.0600,55.5600,55.6300,14.7629,2825800
1998-03-25,56.1300,57.4400,55.5600,56.3800,14.9619,3664000
1998-03-26,56.4400,57.0000,55.1300,56.0600,14.8770,2616600
1998-03-27,56.7500,57.1900,54.7500,55.3100,14.6779,1987800
1998-03-30,55.4400,55.5000,53.5000,53.7500,14.2640,2584000
1998-03-31,54.0000,55.2500,54.0000,54.6300,14.4975,2531000
1998-04-01,54.5000,56.4400,54.0000,56.1300,14.9022,2587800
1998-04-02,55.6300,56.1900,55.1300,55.9400,14.8517,1733600
1998-04-03,55.9400,55.9400,53.5000,54.0000,14.3367,3213400
1998-04-06,54.0000,54.2500,53.5600,53.8100,14.2862,4331800
1998-04-07,53.5600,53.6900,52.8800,53.0600,14.0871,2619000
1998-04-08,52.7500,53.4400,52.6900,53.3100,14.1535,2343000
1998-04-09,53.5600,54.3100,53.3800,54.0000,14.3367,1451200
1998-04-13,54.1300,54.1300,52.4400,52.7500,14.0048,1795200
1998-04-14,53.1300,54.2500,53.0000,54.0000,14.3367,2818600
1998-04-15,54.0000,54.9400,53.5000,54.8100,14.5517,1757600
1998-04-16,54.5000,54.5000,53.3100,53.7500,14.2703,2333800
1998-04-17,53.7500,53.7500,53.1900,53.3100,14.1535,1743200
1998-04-20,54.0000,55.5600,53.7500,55.1300,14.6367,2358000
1998-04-21,56.0000,56.7500,55.8800,56.1300,14.9022,2512000
1998-04-22,56.1300,57.1300,56.1300,56.5600,15.0164,1759400
1998-04-23,56.2500,57.1300,55.5000,56.1900,14.9181,1817200
1998-04-24,54.0000,56.1300,54.0000,55.7500,14.8013,3860600
1998-04-27,55.0000,55.0600,52.8800,53.8800,14.3048,2489600
1998-04-28,54.3800,54.4400,52.0000,52.5600,13.9544,2882200
1998-04-29,52.8100,53.8100,52.3800,52.6900,13.9889,2092800
1998-04-30,53.1900,55.2500,53.0000,54.6300,14.5039,2300800
1998-05-01,54.8800,55.8800,54.6300,55.6900,14.7854,1962000
1998-05-04,55.4400,56.3800,54.2500,54.8800,14.5703,2266200
1998-05-05,54.3800,54.8800,53.6300,54.0000,14.3367,1788200
1998-05-06,53.1300,53.5000,52.6900,52.8800,14.0393,3129600
1998-05-07,52.8100,52.8800,51.5600,51.9400,13.7898,1980600
1998-05-08,52.1900,52.3800,51.8100,51.8800,13.7738,3816800
1998-05-11,51.9400,52.2500,51.4400,51.5600,13.6889,1708600
1998-05-12,51.5000,53.2500,51.5000,53.2500,14.1376,4578800
1998-05-13,53.2500,53.8800,52.8800,53.0600,14.0871,2391800
1998-05-14,53.3100,53.4400,52.5600,53.0000,14.0712,2040200
1998-05-15,53.2500,53.5600,52.5600,52.8800,14.0393,2324600
1998-05-18,53.7500,54.5000,53.2500,54.1900,14.3871,3480800
1998-05-19,54.5600,56.0600,54.2500,55.6300,14.7694,2951800
1998-05-20,56.2500,56.7500,55.7500,56.6900,15.0509,2220000
1998-05-21,56.7500,57.1300,55.8100,56.4400,14.9845,2452600
1998-05-22,56.6900,56.6900,55.6900,55.6900,14.7854,1077400
1998-05-26,54.3800,54.3800,52.6300,53.7500,14.2703,10848000
1998-05-27,53.1900,53.9400,52.5000,53.8800,14.3048,5806800
1998-05-28,53.9400,55.8100,52.8100,55.8100,14.8172,7694200
1998-05-29,55.8800,56.0000,55.2500,55.3800,14.7031,4174600
1998-06-01,55.2500,55.5000,54.0000,54.5000,14.4694,3888400
1998-06-02,55.0000,55.0000,54.2500,54.3800,14.4376,3771800
1998-06-03,54.5000,54.5600,52.8100,53.0600,14.0871,3033800
1998-06-04,53.0600,54.0600,52.5000,54.0000,14.3367,2926400
1998-06-05,54.2500,54.9400,53.4400,54.5600,14.4854,3052800
1998-06-08,54.3800,54.9400,54.3800,54.8100,14.5517,2865400
1998-06-09,54.8100,55.0000,54.5600,54.6900,14.5199,3336000
1998-06-10,54.6200,55.7500,54.3700,55.2500,14.6686,2882600
1998-06-11,55.1900,55.1900,53.6900,53.9400,14.3208,2888600
1998-06-12,54.0000,55.5000,53.8100,55.3800,14.7031,3300200
1998-06-15,54.8800,54.8800,53.8800,54.6300,14.5039,3022600
1998-06-16,54.2500,55.6900,53.8100,55.6900,14.7854,4630800
1998-06-17,56.1300,58.1300,56.0000,58.0600,15.4146,8000000
1998-06-18,58.0600,59.7500,57.8100,59.6300,15.8314,6591000
1998-06-19,59.8100,60.0000,58.2500,59.1900,15.7146,3281400
1998-06-22,59.7500,61.8100,59.5600,61.5600,16.3438,3997800
1998-06-23,61.5000,61.8800,60.2500,60.4400,16.0465,3807600
1998-06-24,60.5000,61.2500,59.9400,60.5000,16.0624,3141400
1998-06-25,60.2500,61.6300,59.6300,61.0600,16.2111,4545000
1998-06-26,61.7500,62.7500,61.6900,61.8100,16.4102,4188200
1998-06-29,61.9400,62.0000,61.1300,61.5600,16.3438,3619600
1998-06-30,61.5000,63.0600,61.5000,63.0000,16.7328,3275600
1998-07-01,65.2500,65.2500,64.3100,64.7500,17.1976,6178200
1998-07-02,65.0000,65.0000,64.0600,64.4400,17.1152,2499200
1998-07-06,65.2500,65.5000,64.0000,64.1900,17.0488,2228800
1998-07-07,64.3800,64.5000,62.7500,63.1900,16.7832,2585200
1998-07-08,63.1900,64.1300,63.1300,64.0000,16.9984,1994200
1998-07-09,64.2500,65.1300,63.7500,64.0600,17.0143,1889600
1998-07-10,64.3100,64.9400,64.0000,64.2500,17.0648,2729800
1998-07-13,64.5000,66.5000,64.5000,65.4400,17.3808,2628400
1998-07-14,66.2500,68.5000,66.1300,67.1900,17.8456,3491400
1998-07-15,67.7500,67.7500,66.1300,66.8100,17.7447,4177400
1998-07-16,67.0600,69.0000,67.0600,68.5600,18.2095,4315400
1998-07-17,68.5600,68.9400,67.2500,67.5600,17.9439,4182600
1998-07-20,68.1300,68.1300,65.5600,65.6300,17.4313,5156200
1998-07-21,65.9400,66.0000,64.7500,64.7700,17.2029,3632200
1998-07-22,64.8800,65.6300,64.5900,65.4400,17.3808,3488200
1998-07-23,65.8800,66.2500,65.0600,65.1900,17.3144,2839600
1998-07-24,64.0000,65.0600,62.5600,65.0600,17.2799,3021400
1998-07-27,65.0000,65.3100,64.0600,65.1900,17.3144,2233600
1998-07-28,65.3100,65.3100,62.3100,63.7500,16.9320,2160400
1998-07-29,63.6300,64.0000,62.3100,62.3800,16.5681,2093600
1998-07-30,62.9400,63.0000,62.0000,62.7500,16.6664,2518600
1998-07-31,62.6300,62.6300,61.1900,61.9400,16.4512,3709000
1998-08-03,61.8800,62.5000,60.6300,62.4400,16.5840,2252200
1998-08-04,62.6900,62.7500,59.5000,59.9400,15.9200,3293000
1998-08-05,60.0000,60.8800,58.7500,60.8800,16.1697,3133200
1998-08-06,60.8800,60.9400,59.5600,60.1300,15.9705,3351000
1998-08-07,60.1300,61.9400,59.7500,61.0600,16.2175,3755200
1998-08-10,60.8100,60.9400,59.7500,60.2500,16.0024,2337000
1998-08-11,59.1300,59.5000,57.5000,59.3800,15.7713,3139400
1998-08-12,59.1300,59.5000,57.5000,59.0600,15.6863,2866200
1998-08-13,58.8800,59.4400,57.8800,58.1300,15.4393,2774000
1998-08-14,58.0000,58.2500,55.5600,55.7500,14.8072,4295200
1998-08-17,56.6300,58.0000,56.1300,57.9400,15.3888,4757400
1998-08-18,58.3100,60.5600,57.9400,59.8800,15.9041,5303000
1998-08-19,60.0600,60.5600,59.4400,59.9400,15.9200,2594600
1998-08-20,59.9400,60.4400,59.4400,59.6900,15.8536,2069200
1998-08-21,59.1900,59.3800,57.3800,59.0000,15.6704,2995600
1998-08-24,59.2500,60.0000,59.1900,59.8100,15.8855,3742400
1998-08-25,60.7500,62.9400,60.7500,61.8800,16.4353,3675600
1998-08-26,61.3800,63.1900,60.8800,62.6300,16.6345,3563800
1998-08-27,61.3800,62.3800,59.0600,61.0600,16.2175,4519400
1998-08-28,60.7500,61.0000,60.0000,60.6300,16.1033,3279400
1998-08-31,60.0000,60.0000,54.1300,55.2500,14.6744,6875400
1998-09-01,55.3800,58.0000,53.0000,55.8800,14.8417,5697000
1998-09-02,56.1300,57.4400,55.7500,55.7500,14.8072,2455800
1998-09-03,55.3800,55.3800,53.3100,54.8100,14.5575,5480400
1998-09-04,54.9400,55.0600,52.3100,54.5000,14.4752,4534200
1998-09-08,55.6300,55.8800,54.8800,55.3100,14.6903,3209400
1998-09-09,55.1900,55.2500,53.3800,54.5600,14.4911,3544800
1998-09-10,54.1300,54.1300,50.8800,52.6300,13.9785,5022200
1998-09-11,53.0000,54.1300,52.3100,54.0600,14.3583,4152000
1998-09-14,55.0000,57.0000,55.0000,56.5000,15.0064,3897000
1998-09-15,56.0000,56.5600,55.7500,56.3800,14.9745,2779200
1998-09-16,55.1300,56.7500,53.8800,56.5000,15.0064,6405400
1998-09-17,55.7500,55.7500,53.5000,54.0000,14.3424,3176000
1998-09-18,53.4400,53.8100,50.0000,52.2500,13.8776,10545400
1998-09-21,50.8800,52.5000,50.3800,52.3100,13.8935,5148200
