,open,high,low,close,adj_close,volume
1998-01-02,25.3800,25.5600,25.0000,25.5600,6.2495,54400
1998-01-05,25.4400,25.6300,25.3100,25.6300,6.2667,71300
1998-01-06,25.6300,25.9400,25.5600,25.9400,6.3425,90800
1998-01-07,25.8800,25.8800,25.6300,25.8100,6.3107,72500
1998-01-08,25.8800,25.8800,25.5600,25.8100,6.3107,61200
1998-01-09,25.7500,26.0000,24.7500,25.0000,6.1126,135200
1998-01-12,24.7500,25.5000,24.7500,25.2500,6.1737,92500
1998-01-13,25.2500,25.9400,25.2500,25.9400,6.3425,72700
1998-01-14,25.8100,26.6300,25.8100,26.4400,6.4647,157100
1998-01-15,26.6300,26.6300,26.1300,26.1900,6.4036,67200
1998-01-16,26.6300,27.0600,26.3800,27.0000,6.6016,108300
1998-01-20,27.3800,27.9400,27.3800,27.8100,6.7997,65700
1998-01-21,27.6900,27.6900,27.3100,27.5600,6.7385,114000
1998-01-22,27.5600,27.5600,27.1300,27.1900,6.6481,190800
1998-01-23,27.3100,27.3100,26.9400,26.9400,6.5870,54600
1998-01-26,26.9400,27.3100,26.9400,27.0000,6.6016,100400
1998-01-27,27.0600,27.1900,26.8800,27.0000,6.6016,16700
1998-01-28,27.0600,27.2500,27.0000,27.1900,6.6481,51500
1998-01-29,27.2500,27.4400,27.1300,27.2500,6.6628,81400
1998-01-30,27.0600,27.1900,26.9400,26.9400,6.5870,58100
1998-02-02,27.1900,27.1900,26.8800,27.0000,6.6016,66600
1998-02-03,27.0000,28.0600,27.0000,28.0600,6.8608,156100
1998-02-04,27.9400,28.3100,27.6300,28.1900,6.8926,45100
1998-02-05,28.2500,29.6300,28.1300,29.3100,7.1664,151100
1998-02-06,28.7500,29.8800,28.7500,28.9400,7.0760,95900
1998-02-09,28.8800,29.3800,28.6900,29.2500,7.1518,21000
1998-02-10,29.0000,29.9400,29.0000,29.6300,7.2447,53000
1998-02-11,29.5600,29.7500,29.2500,29.7500,7.2740,78700
1998-02-12,29.5600,29.5600,29.0600,29.2500,7.1518,101900
1998-02-13,29.3800,29.6300,29.0000,29.6300,7.2447,30800
1998-02-17,29.5000,29.8100,29.4400,29.5000,7.2129,74500
1998-02-18,29.5000,29.5600,29.1300,29.5000,7.2129,101100
1998-02-19,29.5000,30.0600,29.5000,30.0000,7.3351,129400
1998-02-20,29.8100,30.1300,29.7500,30.1300,7.3669,54600
1998-02-23,30.0600,30.1300,29.5000,29.8100,7.2887,68400
1998-02-24,29.8100,30.0000,29.5600,29.6900,7.2593,39500
1998-02-25,29.8800,29.9400,29.4400,29.6300,7.2447,72300
