,open,high,low,close,adj_close,volume
1998-01-02,34.4400,34.4400,33.6300,33.9400,5.4843,135400
1998-01-05,33.6900,34.1300,33.5600,33.9400,5.4843,66400
1998-01-06,33.9400,34.5000,33.7500,34.5000,5.5748,52367
1998-01-07,34.5000,34.6900,34.1300,34.3800,5.5554,197233
1998-01-08,34.5000,34.8800,34.1300,34.6300,5.5958,93633
1998-01-09,34.6300,34.6900,34.1300,34.4400,5.5651,81733
1998-01-12,34.1900,34.3100,33.8100,34.1900,5.5247,117467
1998-01-13,34.3800,35.1300,34.3100,35.0000,5.6556,303833
1998-01-14,35.0000,35.0000,34.6300,34.6900,5.6055,47500
1998-01-15,34.5600,35.0000,34.5600,34.8100,5.6249,58400
1998-01-16,34.5600,35.0000,34.5000,35.0000,5.6556,61800
1998-01-20,35.0000,35.1900,34.9400,35.0600,5.6653,346700
1998-01-21,35.0600,35.4400,35.0000,35.4400,5.7267,294100
1998-01-22,35.4400,35.4400,34.8800,35.0000,5.6556,263733
1998-01-23,34.9400,35.1900,34.7500,34.7500,5.6152,65300
1998-01-26,34.8800,34.8800,34.4400,34.5600,5.5845,61000
1998-01-27,34.5000,34.8800,34.5000,34.8100,5.6249,76200
1998-01-28,34.8100,34.8800,34.6900,34.8100,5.6249,44133
1998-01-29,34.8100,34.8100,34.5000,34.5600,5.5845,56467
1998-01-30,34.8100,34.8100,34.6300,34.6900,5.6055,66733
1998-02-02,34.8100,35.0000,34.5600,34.8100,5.6249,212433
1998-02-03,34.8800,34.9400,34.6900,34.7500,5.6152,85100
1998-02-04,34.6300,34.7500,34.4400,34.6300,5.5958,264933
1998-02-05,34.6300,35.0000,34.6300,34.6300,5.5958,196133
1998-02-06,34.5600,34.8800,34.5600,34.7500,5.6152,81400
1998-02-09,34.6300,34.7500,34.5000,34.7500,5.6152,59400
1998-02-10,34.6300,34.7500,34.5000,34.5000,5.5748,88100
1998-02-11,34.5000,34.6300,34.2500,34.5000,5.5748,155667
1998-02-12,34.3800,34.7500,34.0000,34.6900,5.6055,377933
1998-02-13,34.8100,35.8800,34.6300,35.6300,5.7574,160267
1998-02-17,35.7500,37.0000,35.7500,36.2500,5.8576,141767
1998-02-18,36.0000,36.8100,36.0000,36.6300,5.9190,155067
1998-02-19,37.5000,37.5600,37.1900,37.3800,6.0402,137000
1998-02-20,37.5600,37.5600,36.9400,37.3100,6.0289,46067
1998-02-23,37.4400,37.8800,37.4400,37.6300,6.0806,39000
1998-02-24,37.8800,39.5000,37.8800,38.6300,6.2422,125700
1998-02-25,38.7500,39.1300,38.6300,38.6300,6.2422,68667
1998-02-26,38.7500,38.8100,37.8800,37.9400,6.1307,19967
1998-02-27,38.0000,38.3800,37.7500,37.7500,6.1000,46867
1998-03-02,37.8100,37.9400,37.5000,37.9400,6.1307,59633
1998-03-03,38.0600,38.4400,38.0000,38.3800,6.2018,72900
1998-03-04,38.3800,38.3800,38.0000,38.3800,6.2018,18067
1998-03-05,38.1900,38.3100,38.0000,38.2500,6.1808,33067
1998-03-06,38.4400,39.0000,38.4400,38.9400,6.2923,95900
1998-03-09,39.0000,39.0000,38.5000,38.6900,6.2519,33467
1998-03-10,38.8800,38.8800,37.6300,38.6900,6.2519,95900
1998-03-11,38.6900,39.0000,38.6900,38.8100,6.2713,46867
1998-03-12,38.9400,39.0000,38.6900,38.6900,6.2519,165933
1998-03-13,38.9400,39.0000,38.9400,39.0000,6.3020,24900
1998-03-16,39.0000,39.5000,38.8800,39.4400,6.3731,47633
1998-03-17,39.5000,39.5000,39.1300,39.1900,6.3327,16200
1998-03-18,39.2500,39.2500,39.0000,39.0600,6.3117,18267
1998-03-19,39.1300,40.3800,39.0000,40.0600,6.4733,50100
1998-03-20,40.0600,40.6300,39.8800,40.1300,6.4846,71267
1998-03-23,40.0600,40.1300,39.2500,39.5600,6.3925,37967
1998-03-24,39.5600,40.9400,39.5600,40.2500,6.5040,68867
1998-03-25,40.5000,40.5600,39.4400,40.5600,6.5541,60367
1998-03-26,40.6900,41.1300,39.6900,40.0000,6.4636,68667
1998-03-27,40.1300,40.2500,39.6300,39.8100,6.4329,41733
1998-03-30,39.6900,40.0000,39.5000,39.6300,6.4038,32100
1998-03-31,39.5000,39.6900,39.3100,39.3800,6.3634,103567
1998-04-01,39.5000,39.5000,39.0000,39.2500,6.3424,51133
1998-04-02,39.2500,39.2500,38.6300,39.0600,6.3117,72700
1998-04-03,38.9400,39.1900,38.9400,39.0600,6.3117,46667
1998-04-06,39.0000,39.2500,38.7500,39.1900,6.3327,70300
1998-04-07,39.0600,39.0600,38.8800,38.9400,6.2923,42967
1998-04-08,38.8800,38.9400,37.8100,38.0600,6.1501,57167
1998-04-09,38.1300,38.3800,38.0000,38.3800,6.2018,47100
1998-04-13,38.6300,39.2500,38.5000,39.1900,6.3327,46467
1998-04-14,39.0600,39.1900,38.5600,39.0000,6.3020,58100
1998-04-15,38.8100,39.3800,38.5000,38.9400,6.2923,55633
1998-04-16,39.0600,39.1900,38.6300,39.0000,6.3020,32233
1998-04-17,39.0000,39.3800,38.8800,39.3800,6.3634,56733
1998-04-20,40.1300,40.1300,38.8100,39.3100,6.3521,103700
1998-04-21,40.0000,40.0000,38.8100,39.0000,6.3020,107900
1998-04-22,39.2500,39.2500,38.5600,39.0000,6.3020,66133
1998-04-23,39.2500,39.2500,38.0000,38.4400,6.2115,61400
1998-04-24,38.5000,38.6300,37.5000,38.2500,6.1808,78867
1998-04-27,37.2500,37.3800,36.8800,37.0000,5.9788,62900
1998-04-28,37.2500,37.5000,36.8100,37.2500,6.0192,80967
1998-04-29,37.3800,37.7500,37.3100,37.3800,6.0402,57967
1998-04-30,37.5000,37.8100,37.4400,37.4400,6.0499,152200
1998-05-01,37.6300,37.7500,37.2500,37.5600,6.0693,30467
1998-05-04,37.8100,38.0000,37.6900,37.7500,6.1000,42567
1998-05-05,37.5000,37.7500,37.0600,37.2500,6.0192,39700
1998-05-06,36.6300,36.9400,36.0000,36.6300,5.9190,123700
1998-05-07,36.5600,36.8800,36.3100,36.6300,5.9190,140900
1998-05-08,36.4400,36.7500,36.3800,36.5600,5.9077,57767
1998-05-11,36.4400,37.0000,36.4400,37.0000,5.9788,222233
1998-05-12,36.8800,37.0000,36.4400,36.6300,5.9190,58733
1998-05-13,36.6300,36.6300,35.8800,36.1300,5.8382,53600
1998-05-14,35.9400,36.3100,35.8800,36.0600,5.8269,109267
1998-05-15,35.8800,36.1300,35.3800,35.5000,5.7364,63467
1998-05-18,35.2500,37.3100,34.6300,35.7500,5.7768,744967
1998-05-19,35.8800,35.9400,34.3100,35.3800,5.7170,647200
1998-05-20,35.1300,35.6300,34.9400,35.3800,5.7170,151967
1998-05-21,35.1300,35.2500,34.0000,34.1300,5.5150,128767
1998-05-22,34.1300,34.6300,34.0000,34.2500,5.5344,207633
1998-05-26,34.1900,34.3800,34.0000,34.1300,5.5150,115633
1998-05-27,33.8800,34.2500,33.8100,34.1900,5.5247,166767
1998-05-28,34.0600,34.6900,34.0000,34.2500,5.5344,98367
1998-05-29,34.1300,34.3800,34.0600,34.3100,5.5441,64467
1998-06-01,34.1900,34.6300,34.0600,34.5000,5.5748,58333
1998-06-02,34.4400,35.0600,34.4400,34.7500,5.6152,109467
1998-06-03,34.7500,35.0600,34.1300,34.5000,5.5748,73367
1998-06-04,34.5000,34.6300,34.3100,34.4400,5.5651,42767
1998-06-05,34.3100,34.4400,34.1900,34.3800,5.5554,59333
1998-06-08,34.2500,34.9400,34.1900,34.7500,5.6152,81800
1998-06-09,34.6300,34.6300,33.8800,34.0600,5.5037,205233
1998-06-10,34.0600,34.1300,34.0000,34.0600,5.5037,75967
1998-06-11,33.9400,34.0000,33.6300,33.6300,5.4342,75167
1998-06-12,33.6300,34.0000,33.5600,33.7500,5.4536,124033
1998-06-15,33.6300,33.6300,33.2500,33.2500,5.3728,243600
1998-06-16,33.2500,33.5000,33.0000,33.1300,5.3534,283833
1998-06-17,33.1900,33.6300,33.1300,33.1900,5.3631,112000
1998-06-18,33.2500,33.2500,33.0000,33.1300,5.3534,119733
1998-06-19,33.0600,33.1900,33.0000,33.0000,5.3324,59633
1998-06-22,33.1900,33.3800,32.8800,33.0000,5.3324,57500
1998-06-23,33.1300,33.6300,33.0000,33.3800,5.3938,99667
1998-06-24,33.3100,33.4400,32.8100,33.3800,5.3938,117333
