,open,high,low,close,adj_close,volume
1998-01-02,27.2500,28.0000,27.2500,27.2500,5.3688,6400
1998-01-05,28.0000,28.3800,27.1300,28.0600,5.5284,52200
1998-01-06,28.2500,28.3800,27.8800,27.8800,5.4929,15300
1998-01-07,28.1300,28.1300,27.5000,27.8100,5.4791,188100
1998-01-08,27.8800,27.8800,27.2500,27.8800,5.4929,35900
1998-01-09,27.8800,27.8800,26.0000,26.1300,5.1481,51100
1998-01-12,25.3100,25.7500,24.7500,25.6300,5.0496,29300
1998-01-13,25.5000,26.5000,25.5000,26.2500,5.1718,19100
1998-01-14,26.2500,27.5000,26.2500,26.6300,5.2466,31600
1998-01-15,27.3800,27.5600,26.8800,27.5600,5.4299,7500
1998-01-16,27.7500,28.7500,27.5000,28.6300,5.6407,39600
1998-01-20,28.8800,29.2500,28.2500,29.1300,5.7392,52200
1998-01-21,29.2500,30.8800,28.8800,30.7500,6.0584,128400
1998-01-22,31.0000,31.0000,29.8800,30.7500,6.0584,176100
1998-01-23,30.6300,30.7500,30.3800,30.7500,6.0584,82400
1998-01-26,30.6300,30.8800,30.6300,30.6900,6.0465,88100
1998-01-27,31.2500,33.0000,30.6300,32.8800,6.4780,210900
1998-01-28,32.8800,33.0000,32.5000,32.6900,6.4406,81200
1998-01-29,32.8800,35.0000,32.6300,34.0000,6.6987,208300
1998-01-30,33.3800,34.6300,33.3800,34.3800,6.7735,34100
1998-02-02,34.4400,35.0600,34.3800,34.6300,6.8228,58600
1998-02-03,34.6300,34.8800,34.6300,34.6900,6.8346,103200
1998-02-04,34.6300,35.8800,34.3800,35.8800,7.0691,286900
1998-02-05,36.0000,36.0000,35.1300,35.2500,6.9449,143600
1998-02-06,35.2500,35.5000,34.5000,34.6300,6.8228,45200
1998-02-09,34.6300,34.7500,34.5000,34.5000,6.7972,83900
1998-02-10,35.0000,36.7500,34.5000,36.0000,7.0927,70400
1998-02-11,36.2500,36.2500,35.1300,35.2500,6.9449,131400
1998-02-12,35.3800,35.3800,33.8800,34.5000,6.7972,53200
1998-02-13,34.0000,36.3800,34.0000,36.3800,7.1676,67200
1998-02-17,35.8100,36.3800,34.7500,35.7500,7.0563,63800
1998-02-18,35.5000,35.8800,34.0000,34.3800,6.7858,93300
1998-02-19,34.0000,34.9400,33.7500,34.0000,6.7108,38200
1998-02-20,34.2500,34.2500,32.5000,32.5000,6.4148,199900
1998-02-23,32.5000,33.8800,32.5000,33.8800,6.6872,42700
1998-02-24,34.0000,34.0000,32.8800,33.5000,6.6122,40100
1998-02-25,33.8800,33.8800,33.1300,33.5000,6.6122,10800
1998-02-26,33.1300,34.0000,33.1300,34.0000,6.7108,25900
1998-02-27,33.8800,34.5000,33.2500,34.5000,6.8095,23900
1998-03-02,34.3800,35.8800,34.3800,35.1300,6.9339,32500
1998-03-03,35.3800,35.3800,34.6300,34.6900,6.8470,17400
1998-03-04,34.6900,35.0000,34.3800,34.6300,6.8352,6600
1998-03-05,34.0000,34.6300,33.1300,34.1300,6.7365,26800
1998-03-06,33.3800,34.0000,33.3800,33.3800,6.5885,5700
1998-03-09,33.5000,34.1300,33.3100,34.0000,6.7108,122500
1998-03-10,34.1300,34.1300,33.7500,34.1300,6.7365,5000
1998-03-11,34.1300,34.1300,33.5000,33.8800,6.6872,82600
1998-03-12,33.7500,35.5000,33.7500,34.7500,6.8589,66400
1998-03-13,34.7500,35.5000,34.7500,34.7500,6.8589,42200
1998-03-16,34.7500,35.5000,34.5000,35.0000,6.9082,61400
1998-03-17,35.0000,35.2500,34.5000,35.0000,6.9082,28500
1998-03-18,35.5000,36.6300,34.7500,36.5000,7.2043,48300
1998-03-19,36.5000,36.5000,35.2500,35.7500,7.0563,89200
1998-03-20,35.2500,35.2500,34.5000,34.7500,6.8589,96100
