,open,high,low,close,adj_close,volume
1998-01-02,65.0600,65.1900,64.6300,65.0600,19.5552,2328200
1998-01-05,65.3100,65.4400,64.4400,65.0000,19.5371,2654100
1998-01-06,64.6300,64.6900,63.3800,64.0000,19.2366,2485700
1998-01-07,63.5000,64.6300,63.5000,64.6300,19.4259,1884100
1998-01-08,64.9400,65.8100,64.5600,65.3800,19.6513,3043900
1998-01-09,65.0000,65.9400,64.1900,64.6300,19.4259,3459600
1998-01-12,63.5600,66.1900,63.5000,65.9400,19.8197,3863400
1998-01-13,66.0000,66.6900,65.6900,66.3800,19.9519,3147300
1998-01-14,66.2500,66.8100,65.9400,66.5000,19.9880,2493500
1998-01-15,66.1300,66.3800,65.5000,65.6900,19.7445,2231600
1998-01-16,66.0600,68.5000,66.0000,67.7500,20.3637,3671200
1998-01-20,67.9400,69.4400,67.0600,69.3100,20.8326,3004200
1998-01-21,68.6900,68.8100,67.0600,68.1300,20.4779,2802800
1998-01-22,67.5000,68.0000,66.6900,67.2500,20.2134,2205600
1998-01-23,67.1900,67.5000,66.6300,66.8800,20.1022,1747800
1998-01-26,66.9400,67.9400,66.7500,67.1900,20.1954,1447400
1998-01-27,67.1300,68.5000,67.0600,67.4400,20.2705,2239700
1998-01-28,67.8100,68.1900,66.6900,66.8800,20.1022,2248000
1998-01-29,66.6300,67.2500,66.1300,66.8800,20.1022,2473900
1998-01-30,66.9400,67.5600,66.3800,66.9400,20.1202,1982700
1998-02-02,68.5000,69.1900,68.5000,68.8100,20.6823,2336900
1998-02-03,68.8100,69.5000,68.3100,69.5000,20.8897,2367400
1998-02-04,69.2500,69.2500,68.5000,68.6300,20.6282,2102300
1998-02-05,69.1900,69.4400,68.2500,68.8800,20.7033,1832700
1998-02-06,69.3100,69.8800,69.1300,69.7500,20.9648,1738700
1998-02-09,69.8100,69.8100,68.4400,68.8800,20.7033,1971200
1998-02-10,68.9400,70.0000,68.9400,69.7500,20.9648,1801700
1998-02-11,69.8800,69.9400,69.1900,69.1900,20.7965,1481900
1998-02-12,69.1900,69.6900,68.5000,69.5600,20.9739,1769700
1998-02-13,68.0600,69.3100,68.0600,69.0600,20.8231,1659200
1998-02-17,69.5000,69.7500,68.7500,69.5000,20.9558,2123400
1998-02-18,69.7500,70.5000,69.6900,70.5000,21.2573,2361500
1998-02-19,70.5000,70.5600,69.8800,70.5600,21.2754,1831900
1998-02-20,70.5600,70.5600,68.8800,70.0600,21.1246,2363900
1998-02-23,70.5000,72.1900,70.0000,72.0000,21.7096,2795500
1998-02-24,71.6300,73.7500,71.1300,73.1300,22.0503,3583900
1998-02-25,73.6300,74.6900,73.5600,74.2500,22.3880,2565500
1998-02-26,74.9400,75.2500,73.9400,74.3800,22.4272,2402500
1998-02-27,74.5000,75.5000,74.4400,75.3800,22.7287,2307700
1998-03-02,75.1900,75.5600,74.5000,74.7500,22.5388,1589500
1998-03-03,74.8800,75.2500,74.1900,74.5000,22.4634,2170400
1998-03-04,74.0600,74.1900,72.3100,73.3100,22.1046,1911300
1998-03-05,73.0000,73.2500,71.7500,72.2500,21.7849,2319400
1998-03-06,72.3800,74.0000,72.2500,73.8800,22.2764,2288000
1998-03-09,74.0000,74.4400,73.6300,74.1900,22.3699,1681900
