,open,high,low,close,adj_close,volume
1999-06-25,105.0000,106.0000,94.0000,98.8800,15.0976,7472300
1999-06-28,97.8800,99.5000,90.1300,99.1300,15.1358,1527700
1999-06-29,97.8800,134.8000,95.8100,115.5000,17.6352,2455000
1999-06-30,121.6000,159.1000,119.0000,149.0000,22.7502,2808800
1999-07-01,157.9000,162.0000,142.0000,146.0000,22.2922,1583500
1999-07-02,147.4000,150.9000,135.0000,142.8000,21.8036,652100
1999-07-06,144.0000,154.3000,137.0000,139.5000,21.2997,605400
1999-07-07,138.6000,143.0000,128.0000,135.1000,20.6279,705800
1999-07-08,137.5000,138.0000,128.0000,128.0000,19.5438,395000
1999-07-09,132.0000,133.0000,122.0000,132.8000,20.2767,489200
1999-07-12,134.0000,135.0000,127.6000,128.0000,19.5438,236000
1999-07-13,125.8000,132.9000,122.0000,125.0000,19.0858,307300
1999-07-14,127.4000,137.0000,125.5000,132.1000,20.1698,581000
1999-07-15,132.8000,150.0000,132.0000,149.5000,22.8266,854700
1999-07-16,154.6000,158.0000,141.1000,142.9000,21.8188,834800
1999-07-19,148.3000,149.0000,134.8000,135.0000,20.6126,340800
1999-07-20,132.6000,143.8000,127.4000,138.0000,21.0707,640300
1999-07-21,144.5000,157.4000,142.0000,143.8000,21.9563,2015200
1999-07-22,148.8000,153.6000,135.8000,148.5000,22.6739,1302800
1999-07-23,152.0000,153.0000,143.0000,145.9000,22.2769,604900
1999-07-26,144.9000,148.0000,139.0000,144.3000,22.0326,734000
1999-07-27,148.5000,149.8000,145.0000,146.1000,22.3074,375900
1999-07-28,145.1000,145.3000,141.5000,143.8000,21.9563,382900
1999-07-29,138.0000,147.5000,137.0000,145.0000,22.1395,273000
1999-07-30,146.9000,165.0000,146.0000,162.4000,24.7962,1512300
1999-08-02,160.0000,172.5000,156.0000,161.3000,24.6283,1145700
1999-08-03,164.4000,168.5000,153.1000,155.4000,23.7274,1083300
1999-08-04,153.8000,156.0000,148.0000,155.9000,23.8038,751400
1999-08-05,153.7000,161.0000,146.0000,157.7000,24.0786,850000
1999-08-06,156.5000,163.8000,153.4000,160.0000,24.4298,566500
1999-08-09,155.0000,169.7000,149.5000,162.4000,24.7962,472100
1999-08-10,162.8000,171.1000,161.0000,170.9000,26.0941,515300
1999-08-11,173.0000,185.4000,172.8000,185.4000,28.3080,758700
1999-08-12,185.3000,199.0000,185.0000,197.0000,30.0792,765100
1999-08-13,203.5000,214.9000,199.0000,213.8000,32.6443,1060400
1999-08-16,212.4000,213.0000,200.0000,204.0000,31.1480,696000
1999-08-17,207.9000,219.5000,202.1000,218.6000,33.3772,829300
1999-08-18,216.0000,223.9000,206.8000,206.8000,31.5755,616600
1999-08-19,203.0000,210.0000,201.0000,205.6000,31.3923,462300
1999-08-20,209.4000,209.5000,201.0000,204.6000,31.2396,238000
1999-08-23,204.0000,227.9000,203.5000,227.0000,34.6597,816300
1999-08-24,223.1000,234.4000,216.9000,226.1000,34.5223,1279800
1999-08-25,225.0000,227.0000,214.5000,216.5000,33.0565,519200
1999-08-26,216.9000,225.2000,214.6000,215.3000,32.8733,558000
1999-08-27,218.3000,223.0000,212.0000,218.0000,33.2856,366200
1999-08-30,218.0000,218.0000,208.6000,210.1000,32.0793,334600
1999-08-31,210.5000,213.5000,202.6000,205.0000,31.3006,457600
1999-09-01,206.4000,208.5000,179.1000,180.3000,27.5293,2090200
1999-09-02,173.8000,201.8000,170.2000,198.6000,30.3235,2214800
1999-09-03,204.5000,205.1000,189.1000,193.3000,29.5142,1175400
1999-09-07,191.6000,196.6000,186.1000,193.5000,29.5448,321600
1999-09-08,192.4000,204.0000,188.6000,193.5000,29.5448,649600
1999-09-09,196.3000,196.3000,186.0000,192.2000,29.3463,206800
1999-09-10,194.5000,200.0000,190.1000,191.5000,29.2394,283400
1999-09-13,192.0000,192.8000,179.9000,180.0000,27.4835,277200
1999-09-14,181.5000,189.9000,179.9000,183.1000,27.9568,394800
1999-09-15,187.6000,194.8000,182.1000,184.5000,28.1706,766300
1999-09-16,185.9000,186.0000,178.4000,183.4000,28.0026,402900
1999-09-17,185.3000,188.2000,181.8000,182.5000,27.8652,231000
1999-09-20,183.3000,185.8000,179.0000,183.0000,27.9416,236400
1999-09-21,182.8000,193.9000,181.3000,187.0000,28.5523,517800
1999-09-22,186.9000,191.4000,182.0000,189.8000,28.9798,296300
1999-09-23,189.0000,195.5000,182.0000,182.9000,27.9263,513000
1999-09-24,183.4000,199.0000,181.0000,198.9000,30.3693,566800
1999-09-27,199.9000,217.9000,199.9000,206.9000,31.5908,1223000
1999-09-28,206.6000,207.0000,194.3000,197.3000,30.1250,705700
1999-09-29,198.0000,204.3000,189.8000,191.4000,29.2241,654000
1999-09-30,190.0000,198.0000,181.5000,182.1000,27.8041,4229000
1999-10-01,182.8000,188.0000,180.0000,185.0000,28.2469,1480300
1999-10-04,185.1000,185.3000,182.0000,182.1000,27.8041,334400
1999-10-05,188.0000,192.0000,183.4000,184.0000,28.0942,1128900
1999-10-06,185.7000,193.0000,185.6000,190.9000,29.1478,883100
1999-10-07,194.4000,202.6000,191.8000,197.9000,30.2166,1048900
1999-10-08,199.6000,214.4000,194.0000,213.0000,32.5221,821000
1999-10-11,218.8000,244.0000,218.8000,244.0000,37.2554,1321600
1999-10-12,241.1000,251.8000,217.0000,222.5000,33.9727,1972800
1999-10-13,223.1000,232.0000,214.0000,219.0000,33.4383,1414500
1999-10-14,223.0000,227.0000,213.4000,220.8000,33.7131,749000
1999-10-15,211.6000,220.1000,210.5000,216.6000,33.0718,558200
1999-10-18,218.0000,229.6000,210.4000,228.8000,34.9346,1234300
1999-10-19,236.0000,241.1000,232.0000,235.9000,36.0186,881400
1999-10-20,242.0000,249.0000,232.0000,247.5000,37.7898,1241000
1999-10-21,237.4000,265.5000,237.0000,258.8000,39.5152,1230400
1999-10-22,242.0000,262.5000,240.9000,261.8000,39.9732,2037500
1999-10-25,263.0000,265.0000,253.3000,257.8000,39.3625,539700
1999-10-26,260.0000,262.0000,249.1000,252.3000,38.5227,463300
1999-10-27,252.5000,253.0000,245.0000,249.9000,38.1563,386200
1999-10-28,253.4000,268.0000,253.0000,265.0000,40.4618,689700
1999-10-29,268.8000,279.0000,268.8000,275.6000,42.0803,590800
1999-11-01,277.0000,277.0000,267.3000,268.6000,41.0115,379400
1999-11-02,271.9000,274.9000,261.0000,265.3000,40.5076,361600
1999-11-03,269.5000,282.8000,265.5000,279.8000,42.7216,518500
1999-11-04,284.9000,285.0000,276.0000,278.1000,42.4620,460400
1999-11-05,279.9000,280.0000,267.5000,273.1000,41.6986,416500
1999-11-08,270.6000,291.2000,267.9000,288.9000,44.1110,514200
1999-11-09,290.6000,290.6000,266.0000,274.6000,41.9276,1118400
1999-11-10,274.8000,279.8000,262.5000,267.0000,40.7672,447200
1999-11-11,266.3000,266.3000,255.0000,261.7000,39.9579,664500
1999-11-12,268.3000,291.1000,264.4000,287.0000,43.8209,1284700
1999-11-15,294.9000,303.5000,279.4000,283.5000,43.2865,597900
1999-11-16,303.0000,329.9000,302.0000,328.5000,50.1574,1832500
1999-11-17,330.9000,334.5000,305.0000,306.8000,46.8441,918700
1999-11-18,311.8000,311.9000,298.1000,303.8000,46.3860,839800
1999-11-19,307.0000,316.3000,303.6000,310.0000,47.3327,493800
1999-11-22,311.4000,311.4000,299.0000,303.0000,46.2639,493100
1999-11-23,303.5000,305.0000,290.0000,294.0000,44.8897,615900
1999-11-24,296.0000,301.5000,293.0000,297.8000,45.4699,469100
1999-11-26,304.0000,306.6000,301.1000,306.1000,46.7372,272800
1999-11-29,308.0000,308.0000,294.0000,294.0000,44.8897,361800
1999-11-30,302.0000,303.4000,275.1000,277.1000,42.3093,587600
1999-12-01,280.0000,287.0000,272.1000,272.4000,41.5917,700300
1999-12-02,273.6000,308.1000,272.5000,300.0000,45.8058,844800
1999-12-03,312.0000,316.3000,300.8000,302.8000,46.2333,695900
1999-12-06,306.9000,307.0000,288.0000,288.3000,44.0194,537900
1999-12-07,302.0000,335.8000,301.5000,332.0000,50.6918,1174500
