,open,high,low,close,adj_close,volume
1998-01-02,59.8800,60.1300,58.0000,58.5000,8.8802,371700
1998-01-05,58.8800,59.8800,57.5000,59.1300,8.9759,546500
1998-01-06,59.2500,60.7500,58.7500,59.7500,9.0700,642100
1998-01-07,59.7500,60.0000,54.2500,56.9100,8.6389,3285300
1998-01-08,57.2500,59.3100,57.0000,58.6300,8.9000,1369600
1998-01-09,58.5000,58.7500,57.2500,58.2500,8.8423,1088400
1998-01-12,57.5000,58.0000,56.3800,56.8400,8.6282,949700
1998-01-13,56.6300,56.6300,52.8800,52.8800,8.0271,2356100
1998-01-14,53.6300,53.6300,49.8800,51.0000,7.7417,2522000
1998-01-15,51.0000,52.1300,47.0000,49.5000,7.5140,4039000
1998-01-16,43.0000,46.1900,42.8600,44.8800,6.8127,12009200
1998-01-20,46.0600,47.0000,45.6300,47.0000,7.1345,2278900
1998-01-21,47.3800,47.7500,46.7500,47.5600,7.2195,1898100
1998-01-22,47.7500,49.4400,47.5000,49.0000,7.4381,1158500
1998-01-23,49.7500,50.0000,49.2500,50.0000,7.5899,1892800
1998-01-26,50.5000,50.7500,48.6300,48.7500,7.4002,1574900
1998-01-27,48.8800,49.5000,48.3800,49.1300,7.4579,1580200
1998-01-28,49.1900,49.2500,48.6900,49.1900,7.4670,1635800
1998-01-29,49.3800,51.6300,49.2500,49.7500,7.5520,1197500
1998-01-30,49.6300,51.2500,48.7500,50.8800,7.7235,1091700
1998-02-02,51.5000,52.2500,50.2500,50.6300,7.6856,1051700
1998-02-03,50.5000,51.3800,50.3800,51.2500,7.7797,1024900
1998-02-04,51.1300,51.2500,50.6300,51.0600,7.7508,681800
1998-02-05,51.2500,53.3800,50.9400,53.1900,8.0742,1470100
1998-02-06,53.1300,55.1300,51.7500,55.1300,8.3687,989300
1998-02-09,54.8800,55.0000,52.2500,52.2500,7.9315,816800
1998-02-10,52.5000,53.7500,52.0000,53.5000,8.1212,1007200
1998-02-11,53.0000,55.5000,53.0000,53.7500,8.1592,806800
1998-02-12,54.0000,57.3800,52.7500,57.0000,8.6525,1613000
1998-02-13,56.1300,57.0000,55.3800,56.0000,8.5007,763300
1998-02-17,57.1300,58.7500,56.5000,56.6300,8.5964,1065700
1998-02-18,56.3800,57.0000,55.8800,56.1300,8.5205,793800
1998-02-19,56.2500,56.2500,54.6300,55.0000,8.3489,769700
1998-02-20,54.8800,55.1300,53.2500,54.0600,8.2062,1709200
1998-02-23,54.2500,54.5000,53.2500,53.8800,8.1789,606300
1998-02-24,54.3800,58.2500,53.5000,57.9400,8.7952,2563400
1998-02-25,57.5000,58.2500,55.5000,55.8800,8.5038,1419600
1998-02-26,55.7500,59.0000,55.5000,58.0000,8.8264,1050600
1998-02-27,57.7500,58.1300,56.7500,57.3400,8.7259,765500
1998-03-02,58.1300,62.5600,58.0000,61.2500,9.3210,2368300
1998-03-03,60.8800,62.6300,60.3800,62.1300,9.4549,1379300
1998-03-04,61.8800,64.0000,61.6300,62.8800,9.5690,1022000
1998-03-05,62.0000,63.8800,61.6300,61.7500,9.3971,750700
1998-03-06,62.0600,64.8800,61.8100,64.8800,9.8734,1279800
1998-03-09,64.7500,65.6300,64.1300,65.2500,9.9297,1483100
1998-03-10,65.8800,65.8800,63.6300,64.2500,9.7775,589700
1998-03-11,64.0000,64.3800,61.6300,61.8100,9.4062,1106500
1998-03-12,62.1300,63.0000,61.0000,62.0000,9.4351,678500
1998-03-13,61.7500,62.1300,59.6300,60.3100,9.1779,607400
1998-03-16,60.3800,61.8100,59.5000,61.6300,9.3788,700900
1998-03-17,61.6300,62.5000,59.6300,59.8100,9.1018,494500
1998-03-18,60.1300,60.6300,57.3800,59.1300,8.9983,1134300
1998-03-19,58.6300,59.2500,58.0000,58.7500,8.9405,1632400
1998-03-20,59.0000,60.3800,58.6900,59.9400,9.1216,924400
1998-03-23,60.2500,61.2500,59.1900,59.5000,9.0547,520300
1998-03-24,59.1300,61.0000,59.1300,60.8800,9.2647,414100
1998-03-25,60.7500,62.1300,60.7500,62.0000,9.4351,751500
1998-03-26,61.3800,62.6300,61.2500,61.3800,9.3407,855900
1998-03-27,61.5000,62.2500,61.0000,61.8800,9.4168,650600
1998-03-30,62.0000,63.5000,62.0000,63.0000,9.5873,674700
1998-03-31,63.2500,65.0000,62.5000,63.8100,9.7105,488700
1998-04-01,63.6300,63.8800,61.5000,62.7500,9.5492,1506400
1998-04-02,63.1300,67.1300,62.7500,65.5600,9.9769,1793900
1998-04-03,65.6300,66.3800,65.2500,65.7500,10.0058,1275800
1998-04-06,66.1300,66.5000,64.5000,65.3100,9.9388,1236300
1998-04-07,65.0000,65.1300,62.0600,62.5000,9.5112,760700
1998-04-08,59.0000,60.8800,58.0000,60.8800,9.2647,4349600
1998-04-09,61.2500,62.1300,60.5000,61.5600,9.3681,1008800
1998-04-13,61.5600,62.3800,60.5000,62.3800,9.4929,1280900
1998-04-14,62.0000,63.1300,61.4400,62.0000,9.4351,703900
1998-04-15,62.1300,62.6300,61.2500,62.6300,9.5310,703500
1998-04-16,62.3800,64.6300,61.5000,63.2500,9.6253,597000
1998-04-17,63.3800,63.8800,62.7500,63.0000,9.5873,563700
1998-04-20,62.6300,64.0600,61.8800,63.7500,9.7014,624200
1998-04-21,65.8800,67.0000,65.0000,65.8800,10.0256,697400
1998-04-22,64.8100,66.0000,64.6300,64.8100,9.8627,403200
1998-04-23,64.6300,65.1300,64.5000,65.1300,9.9114,419400
1998-04-24,65.1300,66.5000,64.5000,64.8800,9.8734,504900
1998-04-27,64.0000,65.2500,63.5000,64.6300,9.8353,967100
1998-04-28,65.0000,65.2500,62.6900,63.6300,9.6832,689900
1998-04-29,63.0000,65.0600,62.5000,64.5000,9.8155,777700
1998-04-30,65.3800,66.3800,64.8100,65.4400,9.9586,738300
1998-05-01,65.4400,65.7500,63.7500,64.8800,9.8734,488100
1998-05-04,65.1300,67.1300,64.5000,66.8100,10.1671,788700
1998-05-05,66.3800,67.0000,65.5000,66.3800,10.1016,439100
1998-05-06,66.8800,66.8800,64.1300,64.2500,9.7775,589100
1998-05-07,64.3800,65.7500,64.2500,65.2500,9.9297,353200
1998-05-08,65.5000,66.6300,65.1300,66.1900,10.0727,478900
1998-05-11,65.7500,66.8800,64.0000,64.1300,9.7592,749000
1998-05-12,64.5000,68.1300,64.2500,68.1300,10.3680,1293100
1998-05-13,69.0000,69.1900,67.0600,68.7500,10.4623,1019800
1998-05-14,68.0000,71.2500,68.0000,68.6300,10.4440,1348800
1998-05-15,68.6300,68.7500,66.7500,67.0000,10.1960,644600
1998-05-18,66.8800,68.2500,66.6300,67.4400,10.2630,437100
1998-05-19,67.3800,68.9400,67.3800,67.8800,10.3299,398900
1998-05-20,69.2500,73.1300,68.7500,72.6300,11.0528,1340400
1998-05-21,72.3800,75.2500,71.6300,75.2500,11.4515,1266700
1998-05-22,75.0000,75.5000,72.6300,73.2500,11.1471,1172500
1998-05-26,73.1300,74.8800,72.8800,72.8800,11.0908,701800
1998-05-27,72.6300,72.7500,69.7500,71.2500,10.8428,780900
1998-05-28,70.7500,71.8800,69.6300,71.8800,10.9599,360800
1998-05-29,71.6300,73.6300,71.6300,72.0600,10.9874,400400
1998-06-01,72.0000,75.0000,72.0000,73.6300,11.2268,1010900
1998-06-02,73.8800,74.6300,72.6300,73.3800,11.1886,510100
1998-06-03,73.0000,73.5000,71.1300,71.5000,10.9020,389700
1998-06-04,71.6300,73.2500,70.2500,72.9400,11.1216,563500
1998-06-05,72.7500,75.3800,72.3100,75.1300,11.4555,910900
1998-06-08,75.0000,77.8800,74.8100,76.1300,11.6080,886300
1998-06-09,75.5600,75.7500,73.3800,74.3100,11.3304,919400
1998-06-10,74.3800,76.8800,72.3800,72.4400,11.0453,1210400
1998-06-11,72.5600,73.5000,70.5000,71.3800,10.8837,771400
1998-06-12,71.5000,72.5000,68.5000,71.1300,10.8456,1056400
1998-06-15,70.0000,70.5000,68.0000,68.5000,10.4446,804600
1998-06-16,69.2500,70.6300,67.6300,69.5000,10.5970,864600
1998-06-17,70.0000,72.2500,69.3800,71.7500,10.9401,525200
1998-06-18,71.8800,73.1300,71.0000,71.0600,10.8349,347100
1998-06-19,72.1300,73.0000,70.0600,70.6300,10.7693,499400
1998-06-22,70.8800,72.0000,70.3800,71.3800,10.8837,361500
1998-06-23,71.3800,71.3800,70.1300,70.3800,10.7312,660000
1998-06-24,70.1300,72.5000,70.1300,72.4400,11.0453,1023200
1998-06-25,72.3800,75.1300,72.3800,73.9400,11.2740,756400
1998-06-26,73.7500,75.3800,73.7500,74.7500,11.3975,573600
1998-06-29,75.3800,77.1300,74.9400,76.9400,11.7315,601300
1998-06-30,77.7500,78.0000,76.7500,77.2500,11.7787,1026200
1998-07-01,39.0000,39.3100,37.5000,38.5000,11.7406,569900
1998-07-02,38.8800,39.0000,38.0000,38.2500,11.6644,390800
1998-07-06,39.0000,40.3800,38.6300,39.2500,11.9693,903700
1998-07-07,39.7500,40.3800,38.8800,38.9400,11.8748,487200
1998-07-08,39.6300,39.7500,38.1300,39.2500,11.9693,608700
1998-07-09,37.7500,38.4400,35.4400,37.5000,11.4357,3139000
1998-07-10,37.8800,37.8800,34.8800,36.1300,11.0179,1447000
1998-07-13,36.6300,37.0000,35.8800,36.5000,11.1307,621400
1998-07-14,36.6300,37.4400,36.4400,36.8800,11.2466,584200
1998-07-15,37.5000,37.6300,35.7500,35.8800,10.9416,599200
1998-07-16,36.0000,37.8800,35.3800,37.5000,11.4357,653900
1998-07-17,37.7500,38.2500,37.0600,37.3800,11.3991,424400
1998-07-20,37.2500,37.6900,36.2500,36.5600,11.1490,439200
1998-07-21,36.6900,36.6900,34.7500,34.8800,10.6367,756700
1998-07-22,35.0000,36.1300,34.7500,34.8800,10.6367,829800
1998-07-23,34.9400,34.9400,31.5000,31.8100,9.7005,1683400
1998-07-24,32.1300,33.0600,30.8800,31.2500,9.5297,1662800
1998-07-27,31.1300,33.0000,30.8100,32.5600,9.9292,2260700
1998-07-28,32.9400,34.1300,31.7500,32.3800,9.8743,1749000
1998-07-29,33.0000,33.0000,30.1300,30.8800,9.4169,1054300
1998-07-30,31.3800,32.3800,31.2500,31.8100,9.7005,1649900
1998-07-31,31.8800,32.2500,30.8800,31.2200,9.5206,1071600
1998-08-03,31.2500,31.7500,30.3800,31.2500,9.5297,724600
1998-08-04,31.7500,31.8800,28.1300,28.8100,8.7856,1018800
1998-08-05,29.2500,30.6300,28.3100,30.3800,9.2644,1378800
1998-08-06,30.2500,32.6900,30.0000,30.5000,9.3010,1930200
1998-08-07,30.5000,32.3800,30.3800,30.8800,9.4169,1478100
1998-08-10,31.2500,33.0000,30.8800,32.0600,9.7767,1936300
1998-08-11,31.2500,32.0000,30.0600,30.7500,9.3772,1276000
1998-08-12,31.2500,32.6900,30.0600,32.3800,9.8743,1213700
1998-08-13,35.1900,36.5000,34.6300,35.0900,10.7007,3677000
1998-08-14,35.6300,35.8800,35.3800,35.5000,10.8258,3472500
1998-08-17,35.6300,37.1300,35.2500,36.6300,11.1703,2754300
1998-08-18,36.8800,39.5000,36.6300,39.0000,11.8931,3170500
1998-08-19,38.8800,39.0000,37.5000,38.1300,11.6278,1321400
1998-08-20,38.0000,39.1300,37.7500,38.4400,11.7223,1523500
1998-08-21,38.3800,38.3800,36.7500,37.9400,11.5698,1569600
1998-08-24,38.3800,38.7500,35.9400,37.5000,11.4357,3339400
1998-08-25,37.7500,38.3800,37.0000,37.6300,11.4753,1094400
1998-08-26,37.1300,37.2500,34.2500,35.0600,10.6916,1986700
1998-08-27,34.6300,34.8800,32.0000,33.5000,10.2402,1811800
1998-08-28,33.5000,35.0000,32.2500,32.4400,9.9162,985900
1998-08-31,32.7500,33.4400,29.7500,29.9400,9.1520,1189700
1998-09-01,30.3800,30.3800,24.8800,27.0600,8.2717,10641900
1998-09-02,27.6300,28.6900,27.3800,27.8800,8.5223,3770800
1998-09-03,27.8800,28.8100,26.8800,27.2500,8.3298,1963600
1998-09-04,27.7500,28.0000,25.5000,26.2500,8.0241,1006100
1998-09-08,28.2500,29.1300,28.0000,28.4400,8.6935,1462300
1998-09-09,28.7500,28.8800,26.8800,27.1300,8.2931,2153300
1998-09-10,26.6300,26.6300,25.3800,25.9400,7.9293,1544600
1998-09-11,26.3800,27.1300,25.7500,26.8800,8.2167,1351400
1998-09-14,27.6300,29.6300,27.3800,28.9400,8.8464,1391300
1998-09-15,30.0000,31.3800,29.6300,30.6900,9.3813,1747500
1998-09-16,31.4400,31.5000,30.6900,31.0000,9.4761,1261900
1998-09-17,30.4400,30.4400,29.1300,29.6300,9.0573,731100
1998-09-18,29.6900,30.7500,29.2500,30.0000,9.1704,1034400
1998-09-21,29.6300,29.7500,28.3800,29.1300,8.9044,788800
1998-09-22,29.3800,29.6300,27.5600,27.6300,8.4459,1014800
1998-09-23,28.0000,28.0000,26.3100,26.6300,8.1402,1906700
1998-09-24,26.6900,26.7500,25.3800,25.3800,7.7581,1296800
1998-09-25,25.5000,26.3800,25.3800,25.6900,7.8529,1789200
1998-09-28,26.1300,26.3100,24.8800,25.0000,7.6420,1624100
1998-09-29,25.1300,25.1300,22.0000,22.0600,6.7433,3314200
1998-09-30,22.4400,24.8100,22.1300,24.7500,7.5656,3048400
1998-10-01,24.0000,25.3800,23.1300,23.9400,7.3180,2549800
1998-10-02,24.2500,26.1900,24.0000,25.7500,7.8712,1843500
1998-10-05,25.1300,26.1300,24.8800,25.6300,7.8346,1339400
1998-10-06,26.1300,27.2500,26.0000,26.2500,8.0241,1142100
1998-10-07,26.2500,27.2500,24.6300,25.5000,7.7948,831200
1998-10-08,24.5000,24.6900,23.3800,24.0600,7.3546,1000500
1998-10-09,24.7500,25.3800,23.7500,24.0600,7.3546,1059300
1998-10-12,25.0000,26.2500,24.5000,25.3800,7.7581,868200
1998-10-13,25.2500,26.8800,25.0000,25.1300,7.6817,913900
1998-10-14,25.3800,25.9400,25.0000,25.5000,7.7948,742900
1998-10-15,25.7500,28.3800,25.4400,27.7500,8.4826,1645200
1998-10-16,28.7500,29.6300,27.8800,29.0000,8.8647,955700
1998-10-19,28.6900,29.6300,28.0000,28.9400,8.8464,538000
1998-10-20,29.0000,29.1300,26.6300,26.6300,8.1402,1151000
1998-10-21,26.7500,27.3100,25.6300,27.2500,8.3298,1029800
1998-10-22,27.5000,27.5000,26.1300,26.8100,8.1953,1128600
1998-10-23,26.8800,27.1300,25.6300,26.1300,7.9874,1372100
1998-10-26,26.1300,27.1300,26.0000,26.6300,8.1402,633900
1998-10-27,27.1300,28.0000,25.1300,25.1300,7.6817,994400
1998-10-28,25.2500,26.5000,25.0000,25.1900,7.7001,799000
1998-10-29,25.5000,27.4800,25.1900,27.1300,8.2931,885000
1998-10-30,27.2500,28.3100,27.0000,27.3100,8.3481,693600
1998-11-02,27.7500,28.5000,27.0600,28.2500,8.6354,451800
1998-11-03,28.2500,29.1300,27.3800,27.5000,8.4062,707900
1998-11-04,28.3100,30.4400,28.1900,30.4400,9.3049,1875800
1998-11-05,29.7500,30.2500,28.7500,29.8800,9.1337,1055300
1998-11-06,29.8800,31.6300,29.4400,30.6300,9.3630,951200
1998-11-09,30.3100,32.5600,29.5000,31.5000,9.6289,1667100
1998-11-10,30.8800,32.6300,29.8800,30.0000,9.1704,1614200
1998-11-11,30.4400,31.8800,30.1300,30.7500,9.3996,1518500
1998-11-12,33.3800,33.9400,31.7500,33.7500,10.3167,3736100
1998-11-13,33.7500,35.0000,33.5000,34.6300,10.5857,1661700
1998-11-16,34.6300,35.2500,33.1300,34.1300,10.4328,643900
1998-11-17,34.1300,35.1300,33.0000,34.2500,10.4695,1239000
1998-11-18,34.5000,34.7500,33.3800,34.5000,10.5459,385100
1998-11-19,34.3100,34.5000,33.1900,33.7500,10.3167,633100
1998-11-20,34.7500,36.0000,33.7500,35.8100,10.9464,1300600
1998-11-23,36.0600,39.1300,35.7500,38.9400,11.9031,1672300
1998-11-24,38.6300,38.8800,36.3800,36.8100,11.2520,1730700
1998-11-25,37.0000,38.5000,36.1200,38.5000,11.7931,819700
1998-11-27,38.3800,38.3800,37.1300,37.5000,11.4868,256200
1998-11-30,38.0000,38.6900,37.2500,37.2500,11.4102,999500
1998-12-01,37.1300,37.7500,35.8800,37.0000,11.3336,1088400
1998-12-02,37.1300,37.1300,34.5000,36.0000,11.0273,1062200
1998-12-03,35.8800,36.6900,33.1300,33.2500,10.1849,729000
1998-12-04,33.6900,35.8800,33.6900,34.8800,10.6842,1065900
1998-12-07,34.5000,35.1900,34.0000,34.8800,10.6842,592600
1998-12-08,34.7500,35.0000,31.5600,32.5600,9.9736,1478700
1998-12-09,33.7500,35.1300,33.3800,35.1300,10.7608,2233400
1998-12-10,35.2500,35.8400,34.2500,34.2500,10.4913,1551500
1998-12-11,34.0600,35.3800,32.6300,34.8800,10.6842,904400
1998-12-14,34.6900,34.6900,32.3100,32.6900,10.0134,1240200
1998-12-15,33.5000,34.8800,33.0000,34.7500,10.6444,976000
1998-12-16,34.7500,35.2500,34.0600,34.8800,10.6842,793400
1998-12-17,35.0000,35.1300,33.6900,33.9400,10.3963,730100
1998-12-18,33.9400,34.2500,33.2500,33.3100,10.2033,948100
1998-12-21,33.6900,34.7500,33.5000,34.0000,10.4147,771100
1998-12-22,33.8800,34.1300,32.2500,32.8800,10.0716,804800
1998-12-23,33.0000,35.1300,32.7500,35.1300,10.7608,758800
1998-12-24,35.0600,35.1300,33.1300,33.1900,10.1666,225800
1998-12-28,34.2500,34.7500,33.3800,34.4400,10.5495,432900
1998-12-29,34.3800,37.0000,34.2500,35.5000,10.8742,967400
1998-12-30,35.6300,36.7500,34.0000,34.1900,10.4729,537200
1998-12-31,34.5000,35.1300,34.0000,34.6900,10.6260,283100
1999-01-04,34.9400,36.6300,33.2500,34.5000,10.5678,1012700
1999-01-05,34.6300,36.3800,34.5600,36.0600,11.0457,837900
1999-01-06,36.0000,37.7500,35.5600,37.5000,11.4868,1346000
1999-01-07,37.1300,37.3800,35.8800,36.5000,11.1805,855200
1999-01-08,36.5000,36.9400,35.0000,36.1300,11.0671,910300
1999-01-11,37.5000,38.5000,36.6300,37.3800,11.4500,1294400
1999-01-12,37.5000,37.5000,35.3800,35.5000,10.8742,874300
1999-01-13,34.7500,36.1300,34.0000,34.3800,10.5311,1012800
1999-01-14,34.3800,37.0000,33.6900,34.6900,10.6260,2294100
1999-01-15,35.0000,36.0600,34.8800,36.0000,11.0273,1260500
1999-01-19,36.1300,36.7500,35.1900,36.5000,11.1805,800300
1999-01-20,36.7500,36.8800,35.4400,36.6300,11.2203,746200
1999-01-21,36.5000,36.6300,34.1300,34.1900,10.4729,757100
1999-01-22,33.3800,37.7500,33.0000,36.9400,11.3152,1755800
1999-01-25,36.8800,38.0000,36.5000,37.6300,11.5266,1141400
1999-01-26,37.8800,39.1300,37.8800,38.5300,11.8023,1817800
1999-01-27,38.7500,38.8800,37.6300,38.1900,11.6981,1394400
1999-01-28,38.1300,41.0000,38.0000,40.5000,12.4057,2748800
1999-01-29,41.0000,44.1300,40.1300,41.6300,12.7519,2919800
1999-02-01,41.8800,42.6900,40.2500,42.0000,12.8652,1809700
1999-02-02,41.6300,41.7500,39.8800,40.3800,12.3690,1683000
1999-02-03,40.2500,44.3100,39.8800,44.1900,13.5360,1765300
1999-02-04,44.1900,44.1900,41.0000,41.0600,12.5773,1305900
1999-02-05,40.8800,42.2500,40.3800,40.4700,12.3965,787900
1999-02-08,40.7500,42.1300,40.3800,41.9400,12.8468,1247000
1999-02-09,41.6300,42.0000,39.6300,39.6300,12.1392,1126800
1999-02-10,39.6300,41.1300,39.6300,40.3800,12.3690,685500
1999-02-11,41.0000,41.3800,39.8800,41.3100,12.6538,1269700
1999-02-12,40.7500,41.2500,39.2500,39.4400,12.0810,736600
1999-02-16,39.1300,41.4400,39.1300,40.6300,12.4455,872900
1999-02-17,40.5000,41.3800,40.2500,40.5600,12.4241,881200
1999-02-18,40.5000,41.1300,39.7500,40.7500,12.4823,921400
1999-02-19,41.0600,41.7500,40.5000,41.1300,12.5987,1368100
1999-02-22,41.5000,44.1300,41.3800,43.8800,13.4411,1915800
1999-02-23,41.1300,41.8800,40.3800,41.6900,12.7702,2148500
1999-02-24,41.6300,42.8800,39.8100,39.8100,12.2189,1456200
1999-02-25,40.0000,40.0000,38.1900,39.5600,12.1421,1246300
1999-02-26,39.6300,41.0000,39.5000,40.2500,12.3539,707400
1999-03-01,40.3100,42.5000,39.6300,42.0600,12.9095,750500
1999-03-02,41.5000,43.3800,39.7500,40.3100,12.3723,1047800
1999-03-03,40.3800,42.2500,40.2500,42.0600,12.9095,1273600
1999-03-04,42.0000,42.5000,39.6300,42.0000,12.8911,1317200
1999-03-05,42.0000,43.1300,39.6300,39.7500,12.2005,1647900
1999-03-08,40.7500,41.0000,37.2500,40.0000,12.2772,1401600
1999-03-09,39.3100,39.3800,38.2500,38.8800,11.9334,650300
1999-03-10,39.0000,39.2500,37.7500,38.3100,11.7585,596800
1999-03-11,38.2500,38.3800,36.7500,37.6300,11.5498,1099600
1999-03-12,37.6300,38.4400,37.5000,37.8800,11.6265,760900
1999-03-15,37.8800,40.5000,37.6300,40.0000,12.2772,1303400
1999-03-16,40.2500,40.2500,38.3800,38.5600,11.8352,671100
1999-03-17,38.6300,38.6300,37.8100,37.9400,11.6449,1379800
1999-03-18,37.9400,39.6900,36.8800,39.6900,12.1820,1696100
1999-03-19,40.1300,40.2500,38.0600,38.5000,11.8168,1821500
1999-03-22,38.5000,38.5600,37.6300,38.3100,11.7585,1695800
1999-03-23,38.4400,39.6300,38.1300,38.3800,11.7800,1247900
1999-03-24,39.0000,39.0000,38.0000,38.1900,11.7217,1885200
1999-03-25,38.6300,38.8800,38.1300,38.7500,11.8935,1071700
1999-03-26,38.9400,39.0600,37.6300,37.6900,11.5682,964700
1999-03-29,38.0000,40.5000,37.6300,40.1300,12.3171,1760700
1999-03-30,40.0000,41.3800,39.6300,40.8800,12.5473,1354800
1999-03-31,40.9400,41.3100,40.8800,40.8800,12.5473,925200
1999-04-01,41.0000,41.1300,40.7500,40.8100,12.5258,915400
1999-04-05,40.8100,41.0000,40.1300,40.8800,12.5473,782900
1999-04-06,40.7500,42.0600,40.7500,40.9400,12.5657,601400
1999-04-07,40.9400,41.1300,40.2500,40.5000,12.4307,968800
1999-04-08,40.6300,42.1300,40.3800,42.0600,12.9095,1876900
1999-04-09,41.7500,42.5600,41.7500,42.3800,13.0077,958400
1999-04-12,41.6300,44.0000,41.6300,43.6300,13.3913,840800
1999-04-13,44.1300,44.8100,42.0000,42.0000,12.8911,1520100
1999-04-14,42.3800,42.6300,36.9400,37.1900,11.4147,1872000
1999-04-15,37.6300,38.3800,37.3100,38.3100,11.7585,3757500
1999-04-16,39.0000,39.7500,37.3800,39.2500,12.0470,1383100
1999-04-19,39.3800,41.5600,38.0000,38.0000,11.6633,1161700
1999-04-20,38.1300,39.4400,37.8800,38.0000,11.6633,812900
1999-04-21,37.9400,39.3800,37.7500,38.3100,11.7585,539700
1999-04-22,39.0000,39.1300,37.6300,38.0600,11.6817,702500
1999-04-23,38.2500,38.2500,36.8800,37.6300,11.5498,1310300
1999-04-26,36.3800,38.0000,34.7500,37.7500,11.5866,1355600
1999-04-27,38.0000,38.0000,35.5600,35.9400,11.0311,1397300
1999-04-28,35.9400,37.1300,35.3800,35.3800,10.8592,1352800
1999-04-29,36.0000,36.5000,34.8800,34.8800,10.7057,1455500
1999-04-30,35.5600,36.1300,34.6300,35.1900,10.8009,1472400
1999-05-03,35.1300,36.8100,34.7500,36.6900,11.2613,702000
1999-05-04,37.0000,37.7500,35.3100,35.4400,10.8776,839400
1999-05-05,35.5000,37.1300,34.1300,37.1300,11.3963,981400
1999-05-06,37.1300,37.2500,33.9400,34.1300,10.4755,1266800
1999-05-07,34.6300,36.3800,34.0600,36.2500,11.1262,1041700
1999-05-10,36.1900,36.8800,34.0000,34.8800,10.7057,940000
1999-05-11,34.8800,35.8800,34.0000,35.8800,11.0126,939000
1999-05-12,35.8800,36.2500,34.3800,35.1300,10.7824,1306400
1999-05-13,35.6300,36.6900,35.0000,35.5600,10.9144,1690300
1999-05-14,33.0000,33.3800,30.5000,32.4400,9.9568,4310100
1999-05-17,32.0600,33.5600,32.0000,33.4400,10.2637,1547300
1999-05-18,33.7500,34.8800,33.1300,34.1300,10.4755,1088400
1999-05-19,33.5000,33.5000,30.6300,32.7500,10.0520,2504600
1999-05-20,32.8800,32.8800,31.7500,32.3800,9.9384,1036800
1999-05-21,32.4400,34.1300,31.8800,33.0600,10.1471,1840900
1999-05-24,33.0000,35.7500,33.0000,34.3100,10.5308,2506300
1999-05-25,34.0000,37.2500,33.0000,33.1300,10.1686,2307700
1999-05-26,34.0000,35.5000,33.7500,35.3800,10.8837,2052800
1999-05-27,34.8800,35.2500,33.8800,34.1900,10.5177,1324900
1999-05-28,34.3100,35.7500,34.3100,35.5000,10.9206,690800
1999-06-01,36.0000,36.0000,33.5000,34.4400,10.5946,1614500
1999-06-02,34.3800,37.0000,34.3800,36.9700,11.3729,1319400
1999-06-03,36.6300,36.6300,34.8800,35.1900,10.8253,820700
1999-06-04,35.8800,36.2500,34.4400,34.8400,10.7176,1358500
1999-06-07,34.8800,35.1300,33.7500,35.1300,10.8068,1069300
1999-06-08,35.1300,35.1300,33.4700,33.6900,10.3638,1126600
1999-06-09,33.8800,35.1300,33.3800,34.8800,10.7299,3143900
