,open,high,low,close,adj_close,volume
2014-10-20,27.9000,33.0000,27.3200,28.2500,28.2500,1333559
2014-10-21,28.4900,29.4900,28.3000,28.3100,28.3100,697668
2014-10-22,28.4700,28.9100,28.0000,28.7500,28.7500,768836
2014-10-23,28.7500,29.8900,28.6000,29.2500,29.2500,1270749
2014-10-24,29.1100,30.0900,29.1100,29.7500,29.7500,1540721
2014-10-27,29.8500,30.2900,29.3700,30.1000,30.1000,766723
2014-10-28,30.3000,31.2900,29.9400,30.6500,30.6500,536173
2014-10-29,30.6500,31.0000,29.9400,30.0000,30.0000,596335
2014-10-30,30.1500,30.6900,29.7500,30.2500,30.2500,415576
2014-10-31,30.2500,31.9800,30.2500,31.5000,31.5000,29854340
2014-11-03,30.6100,31.8900,30.3800,31.1500,31.1500,9243881
2014-11-04,30.7500,30.8300,30.0800,30.1600,30.1600,6483846
2014-11-05,30.6700,31.0000,30.0000,30.1800,30.1800,3958253
2014-11-06,30.2000,30.4590,29.8800,30.0500,30.0500,2991591
2014-11-07,29.4900,30.3900,29.0100,29.7600,29.7600,9563298
2014-11-10,29.0300,30.2300,28.5600,29.7800,29.7800,5114209
2014-11-11,29.4200,30.7300,29.0600,30.0400,30.0400,4535899
2014-11-12,30.4000,31.2300,30.0000,30.8300,30.8300,4852125
2014-11-13,30.7400,31.3000,30.0300,30.4100,30.4100,2432710
2014-11-14,30.2900,30.9100,30.2200,30.7000,30.7000,1481271
2014-11-17,30.7000,31.4200,30.5500,31.0500,31.0500,2389024
2014-11-18,30.5900,31.1350,30.2100,31.0000,31.0000,3007685
2014-11-19,30.7200,31.1400,30.5900,30.9700,30.9700,3013016
2014-11-20,30.7700,31.5000,30.6500,31.4100,31.4100,2157563
2014-11-21,31.6500,32.5000,31.4500,32.3000,32.3000,4703593
2014-11-24,32.8800,33.0400,32.3400,33.0000,33.0000,2402554
2014-11-25,32.9700,33.1100,32.5800,32.8500,32.8500,1798681
2014-11-26,33.0000,34.9800,33.0000,34.2000,34.2000,1583374
2014-11-28,33.9400,35.3800,33.8800,35.2000,35.2000,425327
2014-12-01,35.0100,35.1800,34.7600,34.9000,34.9000,1484316
2014-12-02,34.7300,34.9350,34.3000,34.7800,34.7800,1788961
2014-12-03,34.5100,34.6500,34.2500,34.3100,34.3100,1150905
2014-12-04,33.8900,34.3000,33.7100,34.1400,34.1400,1352422
2014-12-05,34.2400,34.4800,34.0000,34.1000,34.1000,762054
2014-12-08,34.1000,34.3400,34.0000,34.1900,34.1900,956916
2014-12-09,33.2000,34.2400,33.2000,33.7500,33.7500,988773
2014-12-10,33.8700,33.9800,33.4000,33.4700,33.4700,1442594
2014-12-11,33.5000,33.8900,33.4500,33.4900,33.4900,598964
2014-12-12,33.4800,33.6000,32.5801,32.8600,32.8600,1175374
2014-12-15,32.9100,33.3700,32.7400,32.8800,32.8800,969223
2014-12-16,32.5200,33.3300,32.5000,32.8900,32.8900,1882724
2014-12-17,32.8200,34.2100,32.3900,33.8300,33.8300,1027747
2014-12-18,34.0000,34.4700,33.4200,34.1100,34.1100,880624
2014-12-19,34.1100,34.5700,33.5800,33.9800,33.9800,1859998
2014-12-22,33.9000,34.1900,33.8250,33.9400,33.9400,741316
2014-12-23,33.9300,34.2000,33.5400,33.6300,33.6300,734840
2014-12-24,33.6500,34.3800,33.5100,33.8000,33.8000,1505693
2014-12-26,33.9400,34.0000,33.5500,33.7300,33.7300,460349
2014-12-29,33.5700,34.0500,32.7400,33.9100,33.9100,474322
2014-12-30,33.8000,34.2900,33.6818,33.8800,33.8800,383917
2014-12-31,33.8700,34.1700,33.6400,33.7700,33.7700,329859
2015-01-02,33.8100,34.0900,33.1305,33.4200,33.4200,813127
2015-01-05,33.0500,33.6000,33.0500,33.5400,33.5400,732165
2015-01-06,33.6500,33.8550,33.5003,33.6100,33.6100,1495968
2015-01-07,33.6700,34.4300,33.6700,33.8800,33.8800,2022059
2015-01-08,34.0000,34.3900,33.8200,34.1200,34.1200,1429574
2015-01-09,34.0400,34.2400,33.7700,33.9600,33.9600,712792
2015-01-12,33.9000,34.5800,33.9000,34.4600,34.4600,901800
2015-01-13,34.4400,34.9000,34.1100,34.6900,34.6900,816987
2015-01-14,34.2900,34.9400,34.1701,34.9300,34.9300,500019
2015-01-15,34.9200,34.9900,34.2000,34.4700,34.4700,954349
2015-01-16,34.2600,35.0000,34.2167,34.9600,34.9600,1271472
2015-01-20,34.6800,35.2000,34.4500,34.9200,34.9200,1031214
2015-01-21,34.6600,35.9000,34.5200,35.7400,35.7400,1616285
2015-01-22,35.6700,36.3300,35.3800,35.7800,35.7800,1527423
2015-01-23,35.7300,35.7800,34.5800,34.8700,34.8700,1305736
2015-01-26,34.7600,34.9100,34.0200,34.3300,34.3300,1292406
2015-01-27,34.0800,34.2300,33.6500,33.7300,33.7300,781644
2015-01-28,33.7600,34.0000,33.2500,33.3400,33.3400,969360
2015-01-29,33.4800,33.7300,33.2500,33.6800,33.6800,800872
2015-01-30,33.4000,33.5878,33.1200,33.3900,33.3900,765978
2015-02-02,33.4400,34.3800,33.3700,34.3300,34.3300,619245
2015-02-03,34.3200,34.7400,33.9500,34.0500,34.0500,694745
2015-02-04,34.0500,34.2900,33.7200,34.2100,34.2100,712260
2015-02-05,34.1900,34.7800,33.9529,34.6100,34.6100,286118
2015-02-06,34.5700,35.0800,34.3601,35.0800,35.0800,768276
2015-02-09,35.0000,35.5000,34.8100,34.9700,34.9700,1708759
2015-02-10,35.0700,35.8000,34.9220,35.7600,35.7600,744889
2015-02-11,35.7500,35.7900,35.3400,35.5700,35.5700,738807
2015-02-12,35.8000,36.3000,35.5740,36.2200,36.2200,679638
2015-02-13,36.1500,36.6100,36.1400,36.4900,36.4900,437434
2015-02-17,36.5000,36.7600,36.3300,36.5200,36.5200,974749
2015-02-18,36.3600,36.5900,35.9200,36.5000,36.5000,861942
2015-02-19,36.3800,37.4100,35.8500,37.3100,37.3100,716519
2015-02-20,37.0900,37.6000,35.7800,37.3000,37.3000,1032411
2015-02-23,37.1600,37.1600,36.4000,36.6900,36.6900,1614154
2015-02-24,36.6700,37.9300,36.6440,37.5900,37.5900,485674
2015-02-25,37.6400,37.6500,37.0800,37.3000,37.3000,279165
2015-02-26,37.2600,37.6900,37.0500,37.4400,37.4400,245494
2015-02-27,37.3300,37.6900,37.0631,37.5400,37.5400,549243
2015-03-02,37.0800,38.1000,36.8900,37.8800,37.8800,470069
2015-03-03,37.7500,37.9588,37.4100,37.5300,37.5300,465257
2015-03-04,37.3800,37.7600,37.0000,37.6800,37.6800,617572
2015-03-05,37.5900,37.6900,37.2700,37.3400,37.3400,420106
2015-03-06,37.1900,37.7700,36.9800,37.1300,37.1300,447523
2015-03-09,37.1700,37.5800,37.0350,37.3900,37.3900,443799
2015-03-10,37.0900,37.4160,36.7500,36.7700,36.7700,787996
2015-03-11,36.7300,37.3300,36.5701,37.2400,37.2400,563986
2015-03-12,37.2200,37.4400,37.0200,37.3300,37.3300,360782
2015-03-13,37.1800,37.4440,36.7800,37.2500,37.2500,235420
2015-03-16,37.3300,37.9800,37.2101,37.9400,37.9400,446995
2015-03-17,37.7700,38.2700,37.6200,38.1900,38.1900,509059
2015-03-18,38.0300,38.9800,38.0000,38.7200,38.7200,493121
