,open,high,low,close,adj_close,volume
1998-01-02,70.1900,70.5000,70.1300,70.3100,17.6560,255300
1998-01-05,70.5600,70.8100,69.9400,70.5000,17.7037,922000
1998-01-06,68.7500,68.8800,67.6900,68.2500,17.1387,928900
1998-01-07,68.2500,68.2500,66.1900,66.9400,16.8097,858000
1998-01-08,66.9400,67.1900,65.0000,65.7500,16.5109,787600
1998-01-09,65.6900,65.7500,64.3800,64.5000,16.1970,955400
1998-01-12,63.5000,64.2500,63.3100,64.2500,16.1342,473200
1998-01-13,64.2500,65.5000,64.2500,64.8800,16.2924,573900
1998-01-14,65.4400,66.0000,65.3800,65.9400,16.5586,360500
1998-01-15,65.7500,66.2500,64.8800,65.3800,16.4180,489600
1998-01-16,65.8800,66.0600,65.6300,65.8800,16.5436,375200
1998-01-20,66.2500,66.8100,65.8100,66.8100,16.7771,476900
1998-01-21,66.5600,67.0600,64.0600,64.6300,16.2297,623600
1998-01-22,64.2500,64.8800,63.7500,64.8800,16.2924,566600
1998-01-23,64.8800,65.1900,63.1300,63.6300,15.9786,451200
1998-01-26,63.8100,64.6900,63.5600,63.5600,15.9610,379000
1998-01-27,63.3800,65.6300,63.3100,65.3100,16.4004,591200
1998-01-28,65.2500,66.5600,64.5600,65.3800,16.4180,623200
1998-01-29,65.4400,66.0600,65.2500,65.4400,16.4331,1774500
1998-01-30,65.4400,65.4400,64.5600,65.0000,16.3226,775300
1998-02-02,65.2500,66.7500,65.2500,66.1900,16.6214,467100
1998-02-03,66.2500,67.1300,66.0000,66.9400,16.8097,494100
1998-02-04,66.7500,67.8800,66.1300,67.8800,17.0458,458300
1998-02-05,68.0000,68.2500,67.0000,67.8100,17.0282,330600
1998-02-06,67.6900,69.0000,67.6900,68.0000,17.0759,375700
1998-02-09,68.0000,68.3100,67.3100,68.0600,17.0910,317000
1998-02-10,68.3100,68.7500,67.0000,67.1300,16.8575,743600
1998-02-11,67.1900,67.8100,66.8800,67.6900,16.9981,572600
1998-02-12,67.1300,68.1900,66.5000,68.0600,17.2090,319800
1998-02-13,67.5600,67.5600,66.5000,66.8100,16.8930,308400
1998-02-17,67.0600,68.0000,66.9400,67.6300,17.1003,459300
1998-02-18,67.8800,68.6900,67.6300,67.9400,17.1787,444900
1998-02-19,68.2500,68.5000,67.8100,68.0600,17.2090,387000
1998-02-20,69.0000,69.0000,68.1300,68.8100,17.3987,811300
1998-02-23,68.6300,69.1900,68.3100,68.5600,17.3355,419400
1998-02-24,68.3800,68.5600,67.5000,68.1900,17.2419,601500
1998-02-25,68.4400,69.5600,68.3800,69.1300,17.4796,433900
1998-02-26,69.1300,69.7500,68.7500,69.6900,17.6212,438500
1998-02-27,69.6900,70.3800,69.5000,70.0600,17.7147,602200
1998-03-02,70.0600,70.1900,69.5600,69.9400,17.6844,318200
1998-03-03,69.6300,70.1300,69.5000,70.1300,17.7324,265600
1998-03-04,70.3100,70.3100,69.2500,69.2500,17.5099,474300
1998-03-05,69.0000,69.1900,68.5000,68.7500,17.3835,307200
1998-03-06,69.0000,70.6900,69.0000,70.6900,17.8740,417500
1998-03-09,35.3100,35.3100,34.5000,34.7500,17.5731,296450
1998-03-10,35.2500,35.3800,34.8100,35.1300,17.7653,510200
1998-03-11,35.1300,35.8100,35.0000,35.7500,18.0788,556800
1998-03-12,35.6900,35.8100,35.3100,35.3800,17.8917,550700
1998-03-13,35.6300,36.1900,35.0000,36.1300,18.2710,1844500
1998-03-16,36.0600,36.9400,36.0600,36.8800,18.6503,1355800
1998-03-17,37.1300,37.5000,36.8800,37.4400,18.9335,1489000
1998-03-18,37.5000,37.8800,37.4400,37.6300,19.0296,729000
1998-03-19,37.6300,38.6900,37.5600,38.4400,19.4392,1538700
1998-03-20,39.2500,39.2500,38.5000,38.5600,19.4999,1447300
1998-03-23,38.3100,38.3100,37.7500,37.8100,19.1206,613500
1998-03-24,37.6900,38.5000,37.6900,38.4400,19.4392,407500
1998-03-25,38.8800,38.8800,37.0000,37.7500,19.0902,599700
1998-03-26,37.1900,37.8800,37.0000,37.8100,19.1206,567600
1998-03-27,38.6300,38.6300,37.5000,37.9400,19.1863,759100
1998-03-30,37.8800,38.2500,37.3800,37.4400,18.9335,837100
1998-03-31,37.7500,39.0000,37.3100,37.8100,19.1206,1205200
1998-04-01,37.7500,37.7500,36.6300,37.5600,18.9942,1048500
1998-04-02,37.5600,38.6300,37.5000,38.4400,19.4392,907300
1998-04-03,38.8100,38.8800,38.2500,38.5000,19.4695,735100
1998-04-06,39.0000,39.4400,38.3100,38.5000,19.4695,698500
1998-04-07,38.5000,39.0600,38.0000,38.4400,19.4392,817500
1998-04-08,38.5000,39.0000,38.2500,38.3800,19.4088,698800
1998-04-09,38.7500,39.1900,37.7500,39.1300,19.7881,649900
1998-04-13,39.0600,40.5600,39.0600,40.3800,20.4202,1679900
1998-04-14,40.7500,44.8800,40.6900,43.1300,21.8109,3679300
1998-04-15,43.0000,43.0000,41.5600,42.3800,21.4316,1568100
1998-04-16,41.9400,41.9400,40.8800,41.3800,20.9259,1166600
1998-04-17,41.3100,41.5600,40.8100,41.5000,20.9866,1450000
1998-04-20,42.0000,42.0000,40.6300,41.2500,20.8602,695700
1998-04-21,41.1300,41.1300,40.3100,40.6300,20.5467,677400
1998-04-22,41.2500,42.2500,41.2500,41.7500,21.1130,1170300
1998-04-23,41.1300,41.5600,40.3800,40.6300,20.5467,767900
1998-04-24,40.5600,40.8800,39.5600,40.1900,20.3241,617500
1998-04-27,39.3800,39.3800,37.7500,38.7500,19.5959,808200
1998-04-28,40.0000,40.0000,38.6300,38.8800,19.6617,572300
1998-04-29,39.0600,39.3800,38.7500,39.0600,19.7527,682100
1998-04-30,39.9400,40.3800,39.5600,39.7500,20.1016,887400
1998-05-01,40.1900,40.5000,39.8100,40.3800,20.4202,878800
1998-05-04,40.3800,40.5000,39.3800,39.5600,20.0056,546100
1998-05-05,39.3100,39.3100,38.1300,38.5000,19.4695,734200
1998-05-06,38.2500,38.5600,37.5000,38.1300,19.2824,1429500
1998-05-07,37.8800,38.0600,37.4400,37.5000,18.9638,531800
1998-05-08,37.5000,39.1900,37.5000,39.0600,19.7527,909900
1998-05-11,39.0600,39.5000,38.8100,38.8800,19.6617,816300
1998-05-12,38.5000,39.3100,38.1300,39.3100,19.8791,869200
1998-05-13,39.0600,39.4400,38.1900,39.0000,19.7224,561600
1998-05-14,38.6300,39.0000,38.3800,38.5600,19.4999,582100
1998-05-15,38.5000,39.0000,38.1300,38.5600,19.4999,584800
1998-05-18,38.6900,39.0000,38.5000,38.6300,19.5353,310400
1998-05-19,38.8800,39.1900,38.3800,38.5600,19.4999,499000
1998-05-20,38.9400,39.0000,38.5000,38.7500,19.5959,873400
1998-05-21,39.0600,39.8100,38.3800,39.5600,20.0056,511700
1998-05-22,39.5600,39.8800,39.4400,39.5600,20.0056,433700
1998-05-26,39.8100,39.9400,38.4400,38.5600,19.4999,361500
1998-05-27,38.2500,38.2500,36.3100,37.3800,18.9031,941000
1998-05-28,37.3800,38.2500,37.3800,38.1900,19.3127,450300
1998-05-29,38.1900,38.3800,37.8800,37.9400,19.3052,500500
1998-06-01,37.8800,38.1900,37.3100,37.8800,19.2746,521100
1998-06-02,38.5000,38.5600,37.8100,37.8800,19.2746,565400
1998-06-03,37.7500,37.8100,36.6300,36.7500,18.6996,352700
1998-06-04,36.5600,37.7500,35.6900,37.4400,19.0507,1229700
1998-06-05,37.6900,37.7500,37.0000,37.6900,19.1779,822100
1998-06-08,37.9400,39.0000,37.7500,38.1300,19.4018,1051300
1998-06-09,37.8800,38.1300,37.0000,37.3800,19.0202,943300
1998-06-10,37.3100,37.3800,36.5600,36.6200,18.6335,1517100
1998-06-11,36.8100,36.9400,36.0000,36.3100,18.4758,1137200
1998-06-12,36.5000,37.1300,36.2500,36.8800,18.7658,753600
1998-06-15,36.0000,36.5600,35.6300,35.7500,18.1908,1230800
1998-06-16,35.7500,35.9400,34.4400,35.3800,18.0025,1733700
1998-06-17,35.6300,36.3100,35.6300,36.1300,18.3842,1454500
1998-06-18,36.1900,36.4400,35.6300,35.6300,18.1298,561500
1998-06-19,35.0600,35.3100,34.8100,35.0600,17.8397,1232200
1998-06-22,35.1300,35.6900,34.8100,35.0600,17.8397,950300
1998-06-23,35.3800,36.0000,35.0000,35.2500,17.9364,984800
1998-06-24,35.5000,36.4400,35.3800,36.4400,18.5419,893600
1998-06-25,36.8800,36.8800,36.0600,36.1900,18.4147,598600
1998-06-26,35.5000,36.0000,35.4400,35.6300,18.1298,619100
1998-06-29,35.7500,36.3800,35.7500,36.3800,18.5114,666900
1998-06-30,36.5600,36.6300,35.3800,35.6300,18.1298,738100
1998-07-01,35.3800,36.1300,35.3800,36.1300,18.3842,1228700
1998-07-02,35.5000,36.5600,35.5000,36.5000,18.5724,1016500
1998-07-06,36.5600,36.6900,36.0000,36.5600,18.6030,1220200
1998-07-07,36.4400,36.7500,36.3800,36.5000,18.5724,809100
1998-07-08,36.5000,36.8800,36.1900,36.8100,18.7302,1423800
1998-07-09,36.8800,37.0000,36.5000,36.8800,18.7658,776600
1998-07-10,36.3100,36.6900,36.0000,36.5000,18.5724,610500
1998-07-13,36.3100,36.5000,35.8800,36.1300,18.3842,587400
1998-07-14,36.0000,36.6300,36.0000,36.5600,18.6030,1067700
1998-07-15,36.5000,36.5600,35.8800,36.3100,18.4758,978400
1998-07-16,36.4400,38.0600,36.1900,38.0000,19.3357,1619100
1998-07-17,38.0600,39.5000,37.5600,38.6300,19.6563,2874300
1998-07-20,38.5000,38.5600,37.1900,37.6300,19.1474,1083200
1998-07-21,37.2500,37.7500,36.5000,36.8100,18.7302,1235500
1998-07-22,36.9400,37.3100,36.4400,36.6300,18.6386,1058600
1998-07-23,36.6300,36.8800,35.8100,35.8100,18.2213,680000
1998-07-24,36.0600,36.2500,35.0000,35.8100,18.2213,830200
1998-07-27,35.0000,35.4400,34.2500,34.9400,17.7787,1236500
1998-07-28,34.2500,34.5600,33.3100,34.3800,17.4937,1331000
1998-07-29,34.1300,35.1900,34.1300,34.8100,17.7125,1169800
1998-07-30,35.0000,35.4400,34.2500,34.5000,17.5548,1085800
1998-07-31,34.5000,34.9400,33.3800,34.0000,17.3004,1116500
1998-08-03,33.9400,34.3800,33.5600,34.0600,17.3309,1149900
1998-08-04,34.3100,34.3100,31.7500,31.7500,16.1555,1315900
1998-08-05,32.2500,33.4400,31.7500,33.0000,16.7915,1383800
1998-08-06,32.7500,33.6300,32.6300,33.3100,16.9493,928100
