,open,high,low,close,adj_close,volume
2015-07-06,71.0000,74.2900,71.0000,72.9600,63.7827,3809713
2015-07-07,73.7300,74.7100,72.9600,74.6300,65.2427,5794811
2015-07-08,74.3000,75.5000,74.0400,75.4000,65.9158,4277461
2015-07-09,76.4700,77.0660,74.5000,74.8000,65.3913,4267057
2015-07-10,75.0500,77.8000,75.0000,77.3100,67.5855,4982979
2015-07-13,79.5000,79.7000,77.9100,78.8300,68.9144,9078901
2015-07-14,79.4500,79.5000,77.6500,78.0000,68.1888,18746119
2015-07-15,77.6500,78.1700,76.4000,76.7100,67.0610,6330496
2015-07-16,76.9700,78.8400,76.9501,78.7500,68.8444,5634050
2015-07-17,79.4300,79.6900,77.2600,79.6300,69.6137,6100876
2015-07-20,79.9500,81.2000,79.1300,80.1100,70.0333,10284545
2015-07-21,79.9700,80.6800,79.4000,80.2200,70.1295,6123210
2015-07-22,80.8300,80.9000,78.5800,78.6400,68.7483,5201248
2015-07-23,78.4200,78.5700,76.6400,76.7400,67.5681,2975649
2015-07-24,76.9200,77.4300,75.9500,76.4100,67.2775,3116008
2015-07-27,76.6300,77.9800,76.2900,77.3800,68.1316,5774342
2015-07-28,78.4400,78.6500,77.5000,78.3200,68.9592,1895916
2015-07-29,78.2600,78.2999,77.0000,77.9100,68.5982,2278559
2015-07-30,78.2100,79.6900,77.6000,79.2100,69.7429,3246987
2015-07-31,79.9400,79.9400,78.8650,79.4700,69.9718,2685520
2015-08-03,80.0000,81.0300,79.9100,80.3700,70.7642,2681801
2015-08-04,80.5700,81.0000,79.6700,79.8100,70.2711,2429632
2015-08-05,80.0100,81.0000,79.8500,80.4800,70.8611,2684886
2015-08-06,81.0500,81.1900,79.5100,79.7600,70.2271,3708640
2015-08-07,79.1400,79.3800,77.2900,78.4600,69.0825,3274134
2015-08-10,79.4300,79.8000,78.5700,78.8100,69.3907,3252284
2015-08-11,77.6300,80.4800,77.0700,77.9700,68.6511,3889072
2015-08-12,77.8300,78.3100,76.0900,76.6900,67.5240,3688888
2015-08-13,77.0100,77.0700,75.8000,75.9900,66.9077,2917485
2015-08-14,76.0700,76.7400,75.1170,76.4200,67.2863,2573375
2015-08-17,75.8600,76.4100,75.5100,75.8000,66.7404,2260346
2015-08-18,75.7200,75.9530,75.0600,75.1900,66.2033,2009695
2015-08-19,75.0000,75.2900,73.9200,74.7800,65.8423,3026467
2015-08-20,74.0200,74.7644,73.7800,74.2500,65.3757,2206972
2015-08-21,73.3100,74.2500,72.2600,72.2700,63.6323,5564549
2015-08-24,68.2400,72.2400,61.4200,70.8700,62.3996,9844588
2015-08-25,71.5400,72.4000,70.0000,70.2100,61.8185,4423354
2015-08-26,71.7200,74.1100,69.5300,73.9100,65.0763,5356315
2015-08-27,73.1700,75.2500,73.1200,75.1800,66.1945,5937763
2015-08-28,74.4000,75.1900,73.8200,74.6900,65.7631,2150122
2015-08-31,74.2100,74.4300,72.5700,72.6600,63.9757,2688401
2015-09-01,71.2300,72.5400,69.6400,70.1200,61.7393,4671422
2015-09-02,70.8400,72.0700,70.3100,72.0700,63.4562,2986466
2015-09-03,72.5600,73.8900,71.7900,72.1600,63.5355,2595274
2015-09-04,71.1400,71.6900,70.1290,70.5700,62.1355,2997042
2015-09-08,71.8500,74.3300,70.8100,74.0700,65.2172,4450669
2015-09-09,74.4500,74.5000,71.9800,72.1700,63.5443,2936421
2015-09-10,72.1300,73.0500,71.7800,72.1600,63.5355,3619666
2015-09-11,72.2500,73.9300,71.6000,73.7600,64.9442,2146733
2015-09-14,73.5000,74.7100,72.5550,74.5500,65.6398,2927415
2015-09-15,74.9400,75.5200,73.7550,75.3900,66.3794,3393323
2015-09-16,75.2000,76.7100,74.3000,76.3700,67.2423,2302883
2015-09-17,76.5800,77.7599,76.0000,76.4300,67.2951,3142630
2015-09-18,75.5500,76.5000,75.0100,75.4400,66.4234,7231726
2015-09-21,75.6900,76.1900,74.9600,75.2000,66.2121,3256338
2015-09-22,74.1500,74.8700,73.6600,74.3100,65.4285,2628741
2015-09-23,74.1700,74.5980,73.2551,73.3100,64.5480,3713174
2015-09-24,73.0000,73.1400,71.7000,72.9200,64.2046,4416111
2015-09-25,73.8000,73.8500,72.7800,73.3500,64.5832,3517027
2015-09-28,72.8100,73.2700,69.9900,69.9900,61.6248,4974381
2015-09-29,70.1600,70.9800,68.6500,69.2000,60.9292,3870926
2015-09-30,69.6700,70.8000,69.4600,70.5800,62.1443,3052710
2015-10-01,71.2700,71.9700,69.7701,70.8300,62.3644,2519675
2015-10-02,70.1900,71.4600,69.3700,71.4100,62.8751,2593109
2015-10-05,72.0000,73.2500,71.3496,72.2400,63.6059,6323458
2015-10-06,72.2900,73.0500,71.8900,72.4700,63.8084,2819787
2015-10-07,72.7400,73.7400,72.4801,73.1500,64.4071,2325233
2015-10-08,73.1600,74.4700,72.7400,74.4300,65.5342,2239703
2015-10-09,74.4100,75.2200,73.9900,74.3900,65.4989,2938086
2015-10-12,74.4100,74.4100,73.3100,73.7200,64.9090,2081888
2015-10-13,73.6100,73.9300,73.1800,73.3800,64.6096,2147545
2015-10-14,73.1200,74.3000,73.0000,73.7700,64.9530,1956846
2015-10-15,74.1500,75.2200,73.9220,75.2200,66.2297,2135670
2015-10-16,75.6800,78.0000,74.8700,77.3900,68.1404,3435205
2015-10-19,76.8900,77.1999,76.2900,76.8000,67.6209,1951906
2015-10-20,76.2000,77.1599,76.1100,76.8700,67.6825,1922053
2015-10-21,77.0000,77.7400,76.6300,77.0500,67.8410,2371767
2015-10-22,77.2200,79.9400,77.2200,79.9400,70.3856,3951738
2015-10-23,79.1500,79.8900,77.4300,77.9800,68.6599,3179036
2015-10-26,78.1800,78.1800,76.4800,76.8100,67.6297,2563812
2015-10-27,76.2100,77.4799,76.2100,77.1700,67.9467,2435227
2015-10-28,77.1500,79.2000,76.3400,79.1800,69.7164,2382026
2015-10-29,78.8400,78.9970,77.8490,78.6500,69.2498,1788502
2015-10-30,78.3700,78.9900,77.8600,77.9700,68.6511,2053021
2015-11-02,78.4300,78.9300,77.7200,78.2700,68.9152,1536530
2015-11-03,77.8300,77.9999,75.8803,76.4300,67.2951,4489805
2015-11-04,76.3200,76.6683,75.2400,75.8200,66.7580,2631285
2015-11-05,76.2000,76.4989,74.7500,75.4200,66.4058,3347202
2015-11-06,73.7500,74.5000,71.5800,72.0100,63.4034,8819867
2015-11-09,72.0000,72.6800,70.8500,71.2400,62.7254,4231011
2015-11-10,71.7500,72.2200,71.1506,72.0800,63.4650,3470418
2015-11-11,72.7000,72.8600,71.3600,72.1100,63.4914,3537798
2015-11-12,71.1800,71.3775,70.2500,70.9000,62.9323,3931505
2015-11-13,70.6200,71.7100,70.5801,70.7700,62.8169,3008004
2015-11-16,71.0200,72.1100,70.9400,71.6550,63.6025,2398441
2015-11-17,72.1000,72.1300,70.6400,71.4500,63.4205,4247437
2015-11-18,71.8400,73.0350,71.1700,72.5850,64.4280,3780235
2015-11-19,73.2500,73.7300,72.3400,73.3400,65.0981,2828653
2015-11-20,74.1700,75.5700,73.4000,73.6500,65.3733,4003244
2015-11-23,74.0300,74.5400,73.8950,74.0700,65.7461,2706173
2015-11-24,73.7300,74.5100,73.6800,74.4700,66.1011,2863937
2015-11-25,74.4500,74.9200,73.8500,74.6400,66.2520,2384073
2015-11-27,74.5700,75.0000,74.2200,74.6100,66.2254,777321
2015-11-30,74.5200,74.8600,73.5000,73.6900,65.4088,4200074
2015-12-01,74.2300,75.0000,73.8000,74.4700,66.1011,3749325
2015-12-02,74.2100,74.6199,72.9201,73.0400,64.8318,2568705
2015-12-03,73.3000,73.6800,71.0900,71.4600,63.4294,3019136
2015-12-04,71.4000,72.7300,71.0700,72.2200,64.1040,4495856
2015-12-07,71.9200,72.2045,70.8503,71.4300,63.4028,3323628
2015-12-08,71.0000,71.6548,70.5880,71.5300,63.4915,4520579
2015-12-09,71.1600,72.1700,70.5000,70.9000,62.9323,3940794
2015-12-10,70.8300,71.3350,70.5100,70.8400,62.8791,2733737
2015-12-11,70.0900,70.6900,69.3900,69.6900,61.8583,3755995
2015-12-14,70.0700,71.0800,69.7700,70.9750,62.9989,3895009
2015-12-15,71.7300,72.7500,71.6500,72.0100,63.9176,4168696
2015-12-16,72.6100,73.2000,71.8900,73.0100,64.8052,2176876
2015-12-17,72.9500,73.3000,71.9000,71.9200,63.8377,2402721
2015-12-18,71.4200,71.9400,70.6300,70.6700,62.7282,6568343
2015-12-21,70.5200,71.6600,70.3700,71.3800,63.8688,5466879
2015-12-22,71.6400,73.1900,71.3150,72.9300,65.2557,5053274
2015-12-23,73.3000,74.7800,72.9900,74.5100,66.6694,4193443
2015-12-24,74.8100,74.8100,73.8800,73.9600,66.1773,1962511
2015-12-28,73.7100,73.7844,72.8900,73.4200,65.6941,5421794
2015-12-29,73.6500,74.8600,73.4000,74.6900,66.8305,4351737
2015-12-30,74.6500,74.9600,73.7100,73.7500,65.9894,1779981
2015-12-31,73.3700,73.5000,72.6300,72.7600,65.1036,1857050
2016-01-04,71.3800,72.8500,71.3500,72.7000,65.0499,5209447
2016-01-05,72.7400,73.5800,72.2800,73.3900,65.6673,3858575
2016-01-06,72.2000,73.6800,72.0300,73.5300,65.7925,3294730
2016-01-07,72.0100,72.9900,71.8500,71.9000,64.3341,4050321
2016-01-08,72.1900,72.4700,71.1000,71.1800,63.6898,3092105
2016-01-11,71.3500,72.5300,70.7700,72.2700,64.6651,3329473
2016-01-12,72.8500,73.3500,72.1316,73.2300,65.5241,2924618
2016-01-13,73.1900,73.4400,70.6400,70.8100,63.3588,3448459
2016-01-14,70.9600,71.5277,70.3040,70.7400,63.2961,4610603
2016-01-15,68.9000,70.1500,68.1800,69.2000,61.9182,6551215
2016-01-19,70.0100,70.5200,69.5500,70.1700,62.7861,5107078
2016-01-20,69.2800,71.5800,68.7400,71.1700,63.6809,4606976
2016-01-21,72.0000,73.3300,71.3262,73.0500,65.3630,6208213
2016-01-22,73.6000,74.5000,72.5100,74.3900,66.5620,3111765
2016-01-25,73.7000,74.6700,73.3401,74.0300,66.2399,4123073
2016-01-26,73.3700,76.0000,73.3700,75.9800,67.9847,3851276
2016-01-27,75.8700,77.1500,75.1500,75.9700,67.9758,5348171
2016-01-28,76.2700,76.9900,75.4800,76.1600,68.1458,3542405
2016-01-29,76.9000,78.2200,76.4000,78.0600,69.8458,4508248
2016-02-01,77.3700,77.4800,75.6700,77.0100,68.9063,3564201
2016-02-02,75.9700,76.8000,75.7200,75.9700,67.9758,5631636
2016-02-03,76.3700,76.3700,73.8300,74.8900,67.0094,6239683
2016-02-04,75.0400,75.1998,72.9200,74.1500,66.3473,7077139
2016-02-05,74.2800,74.5600,72.1400,72.7800,65.1215,9351550
2016-02-08,72.0900,72.2000,70.1800,71.2200,63.7256,4704643
2016-02-09,70.6000,71.9600,70.0100,71.5100,63.9851,4616880
2016-02-10,72.0700,73.3000,71.7128,72.1100,64.5220,2520133
2016-02-11,70.9000,71.9600,70.1740,71.4400,63.9225,3041545
2016-02-12,72.2000,72.4500,71.0200,71.9200,64.3520,2985772
2016-02-16,72.9000,73.0600,71.9200,72.3100,64.7009,3852061
2016-02-17,73.0000,74.3900,72.5000,74.2400,66.4278,3628134
2016-02-18,74.0800,74.2900,73.3400,73.4500,65.7210,2755154
2016-02-19,72.9000,73.6932,72.8300,73.5200,65.7836,4333490
2016-02-22,74.3900,74.3900,72.2100,73.3300,65.6136,2916664
2016-02-23,73.1000,73.4900,72.5600,72.8200,65.1572,2805581
2016-02-24,72.3300,73.3300,71.8250,72.9900,65.3094,3526901
2016-02-25,73.4100,74.9800,73.3300,74.9600,67.0721,4962306
2016-02-26,78.8000,78.9000,76.6500,77.8400,69.6490,10319742
2016-02-29,77.2800,78.0000,76.9300,77.0200,68.9153,4885535
2016-03-01,77.6600,77.9200,76.9200,77.6600,69.4879,5445500
2016-03-02,77.6100,77.8000,76.1200,77.4900,69.3358,5075812
2016-03-03,77.3000,77.5500,76.4600,77.3700,69.2285,3240154
2016-03-04,77.9100,77.9200,76.2600,77.2000,69.0763,3677820
2016-03-07,77.0100,77.3900,76.1400,76.5000,68.4500,2581169
2016-03-08,76.0100,77.1500,75.9400,76.2900,68.2621,2744743
2016-03-09,76.6700,77.0000,75.8000,76.6300,68.5663,2631348
2016-03-10,76.9800,77.1460,75.5500,76.2200,68.1995,2107224
2016-03-11,77.2600,77.3500,76.4100,76.9500,68.8527,2342927
2016-03-14,76.8800,77.7699,76.1000,77.5700,69.4074,2278270
2016-03-15,77.4600,77.8200,76.8200,77.7800,69.5953,2924740
2016-03-16,77.9800,78.1100,76.9500,78.0300,70.3335,3400043
2016-03-17,77.5800,78.1000,76.7400,78.0100,70.3155,4506370
2016-03-18,78.3800,78.3900,76.7700,77.3100,69.6845,9081037
2016-03-21,76.9700,77.5000,76.1700,76.5900,69.0355,3203356
2016-03-22,76.9900,77.0248,76.0300,76.4400,68.9003,2615585
2016-03-23,76.5700,77.0600,76.2100,76.8100,69.2338,2295790
2016-03-24,76.7700,77.2700,75.8585,76.4600,68.9184,3356722
2016-03-28,76.6200,77.9300,76.0600,77.7600,70.0901,3581804
2016-03-29,77.5800,78.8100,77.0300,78.8000,71.0275,3907409
2016-03-30,78.9200,79.0500,78.2700,78.9000,71.1177,3340584
2016-03-31,78.9500,78.9500,78.2800,78.5600,70.8112,3400306
2016-04-01,78.5300,79.1600,78.1150,79.0800,71.2799,3418193
2016-04-04,78.9700,79.0900,78.3800,78.8500,71.0726,3495210
2016-04-05,78.4700,78.8500,77.8900,78.0100,70.3155,2679566
2016-04-06,78.4200,78.4200,77.5000,78.3600,70.6309,2421860
2016-04-07,78.0200,78.2900,77.0250,77.5000,69.8558,3216442
2016-04-08,77.9700,78.6000,77.5400,78.4700,70.7301,2138989
2016-04-11,78.7300,79.0000,77.8500,77.9100,70.2253,2894766
2016-04-12,78.0000,78.6300,77.5400,78.3300,70.6039,2348275
2016-04-13,78.6800,78.7300,77.0900,77.4000,69.7656,3246351
2016-04-14,77.4000,77.8150,76.8900,77.1700,69.5583,3150477
2016-04-15,77.5600,78.2900,77.1300,78.0500,70.3515,3042235
2016-04-18,77.9200,78.3600,77.2700,78.3400,70.6129,2207308
2016-04-19,78.3400,78.8800,77.8600,78.3000,70.5769,2591180
2016-04-20,78.3400,78.6800,77.5000,77.9200,70.2343,1867393
2016-04-21,77.7900,77.9200,76.6408,76.7400,69.1707,2110736
2016-04-22,76.7000,78.1500,76.7000,78.1000,70.3966,2409831
2016-04-25,77.8800,78.8400,77.5400,78.7300,70.9645,2323826
2016-04-26,78.7100,79.5500,78.5100,78.7000,70.9374,2315687
2016-04-27,79.2200,79.5000,77.9900,79.1000,71.2980,2249598
2016-04-28,78.5500,79.2300,78.0900,78.3600,70.6309,1962623
2016-04-29,77.6100,78.2850,77.1300,78.0700,70.3696,3208743
2016-05-02,78.0700,80.2500,78.0000,79.5200,71.6765,3700714
2016-05-03,79.0200,79.2900,78.2210,78.6800,70.9194,2508165
2016-05-04,78.4800,80.3000,78.2900,79.9800,72.0912,4686999
2016-05-05,82.9600,84.1700,82.5000,82.9700,74.7862,8629304
2016-05-06,82.8300,84.0400,81.9400,84.0000,75.7146,3993622
2016-05-09,84.0000,84.7900,83.6400,84.2600,75.9490,3272295
2016-05-10,84.4400,86.2000,84.2300,86.1400,77.6436,3593730
2016-05-11,85.9700,86.5400,85.1900,85.2000,76.7963,2824540
2016-05-12,85.4800,86.6600,85.1500,86.3400,77.8238,2427536
2016-05-13,86.0300,86.4500,84.7200,85.1300,76.7332,2857256
2016-05-16,85.3300,86.2400,85.0400,85.8700,77.4002,2061887
2016-05-17,85.6900,86.0600,81.7700,82.1600,74.0561,7395062
2016-05-18,81.9500,82.2792,80.4601,81.1800,73.1728,8695601
