,open,high,low,close,adj_close,volume
1998-01-02,38.5000,40.5000,37.8800,40.5000,11.6443,1283900
1998-01-05,40.8800,43.7500,39.6300,42.7500,12.2912,3329600
1998-01-06,41.8800,42.5000,39.0000,39.0600,11.2303,2375900
1998-01-07,38.0000,39.0000,36.6300,37.0000,10.6380,2782700
1998-01-08,36.2500,38.5000,36.2500,36.5600,10.5115,2494500
1998-01-09,37.5000,37.6300,33.3800,34.7500,9.9911,4280900
1998-01-12,33.7500,35.5000,33.3800,34.2500,9.8474,3084400
1998-01-13,35.5000,38.7500,34.8800,38.3100,11.0147,4142600
1998-01-14,38.2500,38.2500,35.6300,36.5000,10.4943,3448100
1998-01-15,36.0000,38.9400,36.0000,38.4400,11.0521,3204100
1998-01-16,39.0000,39.3800,36.5000,36.9400,10.6208,3257800
1998-01-20,37.6300,40.7500,37.5000,40.4400,11.6271,4179100
1998-01-21,39.3800,40.2500,37.6200,37.6900,10.8364,5112100
1998-01-22,37.2500,38.5000,36.1300,36.1300,10.3879,4495800
1998-01-23,36.7500,38.0600,36.3800,37.6300,10.8192,3743200
1998-01-26,37.8800,38.0000,35.7500,36.0000,10.3505,1729400
1998-01-27,36.2500,37.0000,35.8800,36.6300,10.5317,1642500
1998-01-28,37.1300,38.6300,36.8800,37.8800,10.8910,2267400
1998-01-29,37.6300,38.2500,36.3800,36.3800,10.4598,1955100
1998-01-30,37.1300,38.1300,36.7500,37.5000,10.7818,1512200
1998-02-02,38.5000,40.1900,38.0000,39.9400,11.4833,2878400
1998-02-03,40.0000,41.3800,39.8800,40.0600,11.5178,3404000
1998-02-04,39.5600,43.9400,38.7500,43.0600,12.3804,6268600
1998-02-05,44.1300,44.8800,40.7500,40.8800,11.7536,6055000
1998-02-06,40.5000,42.6300,40.0000,41.8100,12.0210,4867600
1998-02-09,42.7500,42.8800,40.5000,40.5000,11.6443,1974400
1998-02-10,40.6300,42.0000,40.6300,41.3100,11.8772,1900600
1998-02-11,41.7500,43.8800,41.4400,43.7500,12.5788,2578100
1998-02-12,44.0000,45.3100,42.9400,44.8800,12.9036,3654400
1998-02-13,44.5000,45.0000,43.5600,45.0000,12.9381,1786100
1998-02-17,45.2500,46.2800,43.3800,43.6900,12.5615,2594200
1998-02-18,43.5000,44.7500,42.1300,42.5300,12.2280,3830600
1998-02-19,43.2500,44.7500,42.6300,44.0000,12.6506,3874500
1998-02-20,44.5600,44.5600,41.7500,42.2500,12.1475,2470900
1998-02-23,42.7500,44.6300,42.1300,44.4700,12.7858,2479100
1998-02-24,44.3800,44.7500,42.4400,42.5600,12.2366,2192100
1998-02-25,43.2500,46.1300,43.2500,45.9400,13.2084,2069900
1998-02-26,45.7500,48.0000,45.5000,48.0000,13.8007,3235100
1998-02-27,47.5000,48.0000,46.0000,46.1600,13.2717,2691200
1998-03-02,46.6300,46.6300,42.5000,43.0000,12.3631,4615600
1998-03-03,42.5000,42.8800,40.8800,41.3400,11.8858,4116000
1998-03-04,40.6300,42.6300,40.5000,42.3100,12.1647,2658800
1998-03-05,40.1300,41.1300,38.5000,39.2500,11.2849,3044300
1998-03-06,40.2500,40.3800,38.7500,39.4400,11.3396,2435400
1998-03-09,39.0000,39.7500,38.1300,38.6900,11.1239,2138500
1998-03-10,39.7500,40.0000,38.8800,39.2500,11.2849,2394500
1998-03-11,39.8800,39.9400,38.4400,38.5600,11.0866,1952600
1998-03-12,38.5000,39.1900,38.1300,39.0000,11.2131,1415000
1998-03-13,39.1900,40.1300,38.2500,38.2500,10.9974,862600
1998-03-16,38.6300,39.1900,38.3800,38.5000,11.0693,1233500
1998-03-17,38.2500,38.5000,36.0000,36.1900,10.4051,2500900
1998-03-18,36.1900,37.2500,35.7500,35.9400,10.3333,2615700
1998-03-19,37.6300,38.0600,36.8100,38.0000,10.9255,2572800
1998-03-20,38.2500,38.2500,36.7500,37.6300,10.8192,1996300
1998-03-23,37.6300,38.5600,37.3100,37.4400,10.7645,1801600
1998-03-24,37.1300,37.2500,35.8800,37.0000,10.6380,3894600
1998-03-25,38.5000,39.3800,37.7500,38.4400,11.0521,2716600
1998-03-26,38.2500,39.0000,38.1900,38.6300,11.1067,1128600
1998-03-27,39.0000,39.1300,37.5000,37.8100,10.8709,1335700
1998-03-30,37.8100,38.2500,37.7500,37.7500,10.8537,681700
1998-03-31,37.8100,38.8100,37.6300,38.2500,10.9974,1247100
1998-04-01,37.2500,41.1900,36.8100,41.0600,11.8053,8769300
1998-04-02,40.5000,42.5000,40.5000,40.5000,11.6443,3839800
1998-04-03,40.6300,40.7500,37.9400,38.4400,11.0521,3305400
1998-04-06,39.0000,39.2500,36.8800,37.5600,10.7990,1801300
1998-04-07,37.2500,37.2500,36.5000,36.8800,10.6035,1296100
1998-04-08,37.2500,37.8800,36.6900,37.0600,10.6553,939300
1998-04-09,37.7500,37.7500,37.0000,37.1300,10.6754,866600
1998-04-13,37.1300,39.3800,36.7500,39.0000,11.2131,1867700
1998-04-14,39.0000,39.7500,38.3800,38.3800,11.0348,1277100
1998-04-15,39.3800,40.2500,39.1300,39.6300,11.3942,1208900
1998-04-16,38.8800,41.8800,38.3800,39.3100,11.3022,2592100
1998-04-17,39.1300,39.3800,38.5000,38.9400,11.1958,1187400
1998-04-20,38.7500,40.8100,38.6300,40.3100,11.5897,1322500
1998-04-21,41.6900,42.2500,40.2500,41.6900,11.9865,2400200
1998-04-22,43.1300,43.2500,41.3800,43.1300,12.4005,1653800
1998-04-23,42.6300,43.0000,41.9400,42.1300,12.1130,1684700
1998-04-24,42.0000,42.8800,41.7500,42.7500,12.2912,1152300
1998-04-27,41.7500,42.1300,40.8800,41.4400,11.9146,1818600
1998-04-28,42.1300,42.2500,40.3100,41.1300,11.8255,742600
1998-04-29,41.1300,41.5000,40.3100,41.0000,11.7881,613300
1998-04-30,41.3800,41.7500,39.7500,40.3100,11.5897,854900
1998-05-01,40.3800,40.5600,39.0600,40.4400,11.6271,986200
1998-05-04,40.7500,41.8800,40.0600,40.1900,11.5552,802300
1998-05-05,40.4400,42.1900,40.3800,41.5000,11.9318,1020100
1998-05-06,41.8100,41.8100,40.1300,40.4400,11.6271,911100
1998-05-07,40.6300,40.7500,39.7500,40.0600,11.5178,602700
1998-05-08,40.1900,41.7500,40.0600,41.6300,11.9692,539800
1998-05-11,41.7500,42.3100,41.2500,41.4100,11.9060,743600
1998-05-12,41.5000,41.6300,40.0000,41.5600,11.9491,816000
1998-05-13,41.1300,42.3800,40.6300,41.1300,11.8255,1341800
1998-05-14,40.3800,41.3800,39.8800,40.0000,11.5006,780200
1998-05-15,40.0000,40.0600,37.7500,38.4400,11.0521,1497300
1998-05-18,38.3800,39.0000,37.6300,38.6300,11.1067,830800
1998-05-19,39.0000,39.8800,38.3800,38.8100,11.1584,691500
1998-05-20,38.7500,39.5000,37.3800,37.7500,10.8537,764800
1998-05-21,38.0000,38.0000,36.1300,36.3800,10.4598,1310300
1998-05-22,36.4400,36.5000,35.1300,35.4400,10.1895,1031000
1998-05-26,35.9400,36.2500,34.4400,35.0000,10.0630,1105000
1998-05-27,34.2500,36.7500,34.0000,36.6900,10.5489,1508800
1998-05-28,36.1300,37.6900,35.8800,36.3800,10.4598,1067800
1998-05-29,36.6300,36.8800,33.7500,33.7500,9.7036,1707400
1998-06-01,33.6300,34.6300,30.1300,31.2500,8.9848,3608800
1998-06-02,31.8800,32.1300,29.6300,30.4400,8.7519,3949000
1998-06-03,31.0000,31.0000,28.5000,28.6300,8.2315,2833400
