,open,high,low,close,adj_close,volume
1998-01-02,49.1300,49.8800,49.1300,49.8100,24.7877,964800
1998-01-05,49.5600,50.0600,48.3800,49.0000,24.3847,1659700
1998-01-06,49.0000,49.0000,48.0000,48.2500,24.0114,2299900
1998-01-07,47.7500,49.5000,47.7500,49.2500,24.5091,1547800
1998-01-08,48.9400,49.0600,48.5000,48.5600,24.1657,1180700
1998-01-09,48.0600,48.5000,47.0000,47.5000,23.6382,1312100
1998-01-12,46.7500,50.2500,46.7500,50.0000,24.8823,1506100
1998-01-13,51.5600,52.3100,51.1900,52.2500,26.0020,2603600
1998-01-14,52.1300,52.1300,51.0600,51.2500,25.5044,2121400
1998-01-15,51.0600,51.3100,50.1900,50.7500,25.2555,1278200
1998-01-16,51.4400,51.9400,51.0600,51.9400,25.8477,2495700
1998-01-20,51.9400,53.0000,51.9400,52.8800,26.3155,1345200
1998-01-21,52.7500,53.1300,51.5000,53.0600,26.4051,1908500
1998-01-22,53.0600,54.2500,53.0000,53.1900,26.4698,3159700
1998-01-23,53.1900,53.5000,52.3800,52.9400,26.3454,1867700
1998-01-26,53.0000,53.1300,52.5000,52.6900,26.2210,1075400
1998-01-27,52.6300,52.7500,51.3100,52.3800,26.0667,2210500
1998-01-28,52.9400,53.4400,52.5000,52.8800,26.3155,1760300
1998-01-29,52.6300,53.5000,52.6300,53.0600,26.4051,1107200
1998-01-30,53.0600,53.2500,52.0000,52.1900,25.9721,1183200
1998-02-02,53.0000,54.1900,52.9400,54.1900,26.9674,1176100
1998-02-03,53.9400,54.3800,53.7500,54.2500,26.9973,709600
1998-02-04,54.0600,54.6900,54.0000,54.5000,27.1217,875100
1998-02-05,54.8800,55.2500,54.6300,55.2500,27.4949,1287800
1998-02-06,55.4400,55.6300,54.5600,54.8800,27.3108,1422200
1998-02-09,54.8800,54.9400,53.8800,54.2500,26.9973,572400
1998-02-10,54.1900,54.6900,53.7500,53.9400,26.8430,878700
1998-02-11,54.2500,54.2500,52.5600,53.1300,26.4399,1200200
1998-02-12,53.0600,54.3100,52.5600,53.9400,26.8430,1463200
1998-02-13,53.5000,54.8800,53.1300,54.5000,27.1217,818300
1998-02-17,54.3800,55.1900,54.1300,54.3800,27.0620,793000
1998-02-18,54.1300,55.5600,54.0600,55.4400,27.5895,1151500
1998-02-19,55.6300,56.0000,55.2500,55.3800,27.5596,913200
1998-02-20,55.1300,55.5000,54.1300,55.0000,27.3705,1743300
1998-02-23,54.8800,55.0600,54.4400,54.8100,27.2760,939400
1998-02-24,54.8800,55.0600,54.0600,54.3800,27.0620,823800
1998-02-25,54.6300,55.4400,54.1300,55.0600,27.4004,896200
1998-02-26,55.2500,56.0600,55.0600,55.9400,27.8383,1127800
1998-02-27,56.0000,56.2500,55.0000,55.6900,27.7139,1008300
1998-03-02,55.7500,56.4400,55.5000,56.1300,27.9329,917300
1998-03-03,55.8800,57.0600,55.8800,56.8100,28.2713,1026600
1998-03-04,56.7500,57.1900,56.2500,57.1900,28.5848,1049200
1998-03-05,56.9400,57.3800,56.1300,56.5600,28.2699,1374400
1998-03-06,56.6300,57.5600,56.6300,57.3800,28.6798,1324600
1998-03-09,57.1900,57.9400,57.1900,57.5000,28.7397,1159800
1998-03-10,57.6300,58.6900,57.5000,58.6900,29.3345,1540100
1998-03-11,58.7500,59.4400,58.6300,58.9400,29.4595,735900
1998-03-12,57.0000,57.2500,56.5600,57.1300,28.5548,1923600
1998-03-13,51.1300,51.6300,49.7500,50.6900,25.3359,13895000
1998-03-16,50.5000,51.0000,50.1300,50.3100,25.1460,4926600
1998-03-17,50.0000,50.1300,49.1900,49.5600,24.7712,4686000
1998-03-18,49.5000,50.3100,49.3800,50.1900,25.0860,5646000
1998-03-19,50.1900,51.1300,49.8800,50.0000,24.9911,2422100
1998-03-20,50.4400,50.5000,49.6300,49.8100,24.8961,2319700
1998-03-23,49.9400,50.6300,49.4400,49.9400,24.9611,2160200
1998-03-24,50.1300,50.6300,49.6300,50.3800,25.1810,2070000
1998-03-25,50.1300,50.1900,49.6900,50.0600,25.0211,2732100
1998-03-26,49.6900,50.0600,49.5000,49.6300,24.8061,2078400
1998-03-27,49.7500,50.1300,49.5600,49.6900,24.8361,1861800
1998-03-30,50.1300,50.2500,49.8800,50.1300,25.0560,1838800
1998-03-31,50.0600,51.0000,50.0600,50.1300,25.0560,2772500
1998-04-01,50.3800,50.3800,49.6300,50.0000,24.9911,2197500
1998-04-02,50.0000,51.0000,49.2500,50.9400,25.4609,2571100
1998-04-03,50.7500,50.7500,50.0000,50.1900,25.0860,1756100
1998-04-06,50.3100,50.8800,50.0600,50.3800,25.1810,1538300
1998-04-07,50.1300,50.1900,49.5000,49.8800,24.9311,2163000
1998-04-08,49.8800,49.9400,48.3800,48.6900,24.3363,2567500
1998-04-09,49.0600,49.3800,48.0600,48.4400,24.2114,2373000
1998-04-13,48.4400,48.4400,47.2500,48.0000,23.9914,3219700
1998-04-14,48.0000,49.3800,48.0000,49.3100,24.6462,3910700
1998-04-15,49.3100,49.8800,48.5000,49.0600,24.5212,3160900
1998-04-16,49.0000,49.1900,48.4400,48.5000,24.2413,1375000
1998-04-17,48.8800,49.1900,48.2500,49.1900,24.5862,1538600
1998-04-20,48.3800,49.0000,48.3800,48.6900,24.3363,1720300
1998-04-21,49.2500,50.7500,49.1300,50.3100,25.1460,2484400
1998-04-22,50.2500,50.9400,50.0000,50.0600,25.0211,2255100
1998-04-23,50.0600,51.9400,50.0600,51.0600,25.5209,2635700
1998-04-24,51.9400,52.0000,50.9400,51.0600,25.5209,1752500
1998-04-27,50.5000,50.6900,49.5600,49.8800,24.9311,2245700
1998-04-28,49.9400,50.3800,49.3800,49.6300,24.8061,1400300
