,open,high,low,close,adj_close,volume
1998-01-02,68.2500,69.0000,67.2500,67.9400,12.8972,135500
1998-01-05,67.6900,69.1900,67.6900,68.8800,13.0756,95600
1998-01-06,68.5000,68.5600,66.8800,67.5000,12.8137,212200
1998-01-07,67.4400,67.6300,65.7500,67.6300,12.8383,149700
1998-01-08,68.0000,69.1900,68.0000,68.3800,12.9807,180400
1998-01-09,68.6300,69.0000,66.0600,66.2500,12.5764,227900
1998-01-12,65.0000,67.2500,64.8100,67.0600,12.7301,149300
1998-01-13,67.0600,68.1300,67.0600,68.0000,12.9086,279800
1998-01-14,67.7500,68.4400,67.5000,68.0600,12.9200,134400
1998-01-15,69.5000,70.3800,68.7500,70.3100,13.3471,309900
1998-01-16,70.5600,70.6900,69.4400,69.6300,13.2180,132000
1998-01-20,69.5600,72.3100,69.5600,72.1900,13.7040,123000
1998-01-21,72.1900,72.1900,70.8100,71.1900,13.5141,100800
1998-01-22,71.1300,72.2500,71.0000,71.9400,13.6565,152400
1998-01-23,71.7500,71.7500,70.1900,70.3100,13.3471,93200
1998-01-26,70.1300,70.1300,68.3800,68.6900,13.0396,172300
1998-01-27,68.6900,70.2500,68.6900,69.5000,13.1933,136600
1998-01-28,69.7500,70.2500,68.3800,68.5000,13.0035,174500
1998-01-29,68.3100,71.0000,68.3100,70.5000,13.3832,111900
1998-01-30,70.4400,70.4400,68.8800,69.3800,13.1705,152500
1998-02-02,69.5000,70.3800,69.3800,70.1300,13.3129,176400
1998-02-03,70.6300,71.0600,69.6300,71.0600,13.4895,138500
1998-02-04,70.8100,71.1300,69.6300,71.1300,13.5027,277400
1998-02-05,76.5000,76.5000,74.9400,76.0000,14.4272,489200
1998-02-06,75.7500,76.3100,75.2500,76.0000,14.4272,124600
1998-02-09,76.0000,76.5000,75.8100,76.2500,14.4747,160900
1998-02-10,76.2500,77.0000,76.0600,76.7500,14.5696,202400
1998-02-11,77.0000,77.2500,76.5000,77.1300,14.6417,233200
1998-02-12,76.8800,77.0000,76.2500,76.8800,14.5943,174400
1998-02-13,77.0000,77.3800,76.5000,77.2500,14.6645,184600
1998-02-17,77.5000,80.0000,77.5000,79.1900,15.0328,128400
1998-02-18,79.2500,80.5000,79.0600,80.4400,15.2701,116700
1998-02-19,80.6900,81.1900,79.6900,80.1900,15.2226,155600
1998-02-20,80.4400,80.5000,79.8800,80.3800,15.2587,130500
1998-02-23,80.3800,81.9400,80.2500,80.6900,15.3175,194200
1998-02-24,80.6900,80.6900,79.7500,79.7500,15.1391,106200
1998-02-25,79.5000,81.2500,78.7500,80.5600,15.2929,213200
1998-02-26,80.4400,81.1300,79.7500,79.8100,15.1505,80900
1998-02-27,79.9400,80.5600,79.0000,80.1900,15.2226,160000
1998-03-02,79.5000,81.8100,79.0000,81.8100,15.5302,202600
1998-03-03,81.5600,83.5000,81.5000,82.8800,15.7333,167000
1998-03-04,83.9400,84.0000,82.5000,82.6300,15.6858,191100
1998-03-05,82.3800,83.6900,82.3800,83.0000,15.7561,192500
1998-03-06,83.0600,83.5600,82.7500,83.4400,15.8396,228300
1998-03-09,83.7500,84.2500,83.1300,83.1900,15.7921,288800
1998-03-10,83.2500,85.3100,82.7500,82.7500,15.7086,153100
1998-03-11,85.0000,86.9400,84.9400,85.3100,16.1946,1097100
1998-03-12,85.5600,86.3800,85.3800,85.3800,16.2079,179700
1998-03-13,85.6300,86.1300,85.1900,85.8100,16.2895,273400
1998-03-16,86.0600,86.7500,85.5600,85.9400,16.3142,130700
1998-03-17,85.9400,85.9400,84.1900,84.7500,16.0883,162700
1998-03-18,84.7500,84.7500,83.0600,83.5000,15.8510,174500
1998-03-19,83.5000,83.5000,82.0000,82.9400,15.7447,189800
1998-03-20,82.9400,83.0000,82.0000,82.3100,15.6251,129200
1998-03-23,82.1300,82.1300,81.3800,81.6900,15.5074,94100
1998-03-24,81.7500,82.1300,81.5000,81.9400,15.5548,228900
1998-03-25,81.8800,82.5000,81.1300,81.8800,15.5434,330300
1998-03-26,81.9400,82.1900,81.1900,81.6900,15.5074,178700
1998-03-27,82.0000,82.0000,81.0000,81.9400,15.5548,164700
1998-03-30,82.0000,82.3800,81.5600,81.8100,15.5302,79200
1998-03-31,81.9400,82.3800,81.7500,81.7500,15.5188,128500
