,open,high,low,close,adj_close,volume
1998-01-02,31.2500,31.4400,30.8800,31.4400,0.9542,623800
1998-01-05,31.0000,31.0000,30.0000,30.7500,0.9332,1411400
1998-01-06,30.5000,31.3800,30.2500,31.1900,0.9466,855200
1998-01-07,31.1900,32.0000,30.3100,30.8100,0.9351,891800
1998-01-08,30.7500,30.7500,29.5000,29.8800,0.9068,799600
1998-01-09,29.5000,29.5000,28.0000,28.1200,0.8534,1278800
1998-01-12,26.2500,28.2500,26.2500,28.1200,0.8534,780200
1998-01-13,28.1900,29.2500,27.6200,29.0000,0.8801,473200
1998-01-14,29.2500,30.3800,29.2500,29.6900,0.9011,594000
1998-01-15,29.6900,29.6900,28.0900,28.4400,0.8631,770400
1998-01-16,28.6200,29.6200,28.6200,29.2500,0.8877,486400
1998-01-20,29.5000,29.7500,28.8800,29.4400,0.8935,687200
1998-01-21,29.4400,29.4400,28.1900,28.8100,0.8744,461800
1998-01-22,28.5600,28.6900,27.9400,28.0000,0.8498,203400
1998-01-23,28.0000,28.2500,27.2500,27.5600,0.8364,576200
1998-01-26,27.6200,27.7500,26.8800,27.0000,0.8194,540000
1998-01-27,26.8800,28.5000,26.8800,28.5000,0.8650,1300800
1998-01-28,28.1900,28.8100,28.0000,28.7500,0.8725,696000
1998-01-29,28.6200,29.8800,28.5000,29.3800,0.8917,2036800
1998-01-30,29.6200,30.1900,29.6200,30.0000,0.9105,767400
1998-02-02,30.0600,31.7500,30.0600,31.6200,0.9596,1078800
1998-02-03,31.8800,32.6200,30.5000,30.5600,0.9275,2047200
1998-02-04,30.5000,30.9400,30.2500,30.7500,0.9332,1084800
1998-02-05,30.5000,31.3100,30.5000,31.0600,0.9426,1004000
1998-02-06,31.1200,32.0000,31.0600,31.5600,0.9578,1007200
1998-02-09,31.6900,31.7500,30.7500,31.0600,0.9426,471400
1998-02-10,31.1900,32.0000,31.0000,32.0000,0.9712,947000
1998-02-11,32.2500,33.5600,32.2500,32.8100,0.9958,1677000
1998-02-12,32.8800,34.6200,32.8800,34.4400,1.0452,3302600
1998-02-13,34.4400,34.4400,33.5600,33.6200,1.0203,1771600
1998-02-17,33.5600,33.9400,33.4400,33.8100,1.0261,508600
1998-02-18,33.5600,34.0000,33.5600,33.6900,1.0237,297200
1998-02-19,35.0000,35.0000,34.4400,34.9400,1.0617,1816600
1998-02-20,35.0000,35.3800,34.5000,34.6200,1.0519,1032800
1998-02-23,35.1200,36.6900,35.1200,36.6200,1.1127,1889400
1998-02-24,36.3800,36.8100,35.9400,36.4400,1.1072,1232200
1998-02-25,36.8800,37.4400,36.5600,37.1200,1.1279,3909200
1998-02-26,37.0000,37.3100,36.8800,37.1900,1.1300,3434200
1998-02-27,37.1900,37.1900,36.8800,37.1900,1.1300,619200
1998-03-02,37.0600,37.8100,37.0000,37.4400,1.1376,665800
1998-03-03,37.3100,37.6200,37.0000,37.3100,1.1337,586600
1998-03-04,37.1900,37.6900,37.0600,37.4400,1.1376,1299000
1998-03-05,37.1200,37.3100,36.8100,37.0000,1.1243,349200
1998-03-06,37.7500,38.2500,37.6200,37.8800,1.1510,1660600
1998-03-09,38.1200,38.7500,38.0000,38.1900,1.1604,671200
1998-03-10,38.0000,38.3800,38.0000,38.2500,1.1622,702200
1998-03-11,38.7500,39.0000,38.1200,38.1900,1.1604,974000
1998-03-12,38.2500,38.8800,38.2500,38.5000,1.1698,8297600
1998-03-13,38.5000,38.7500,37.9400,38.1200,1.1583,2005800
1998-03-16,38.1900,38.4400,37.7500,38.0000,1.1546,3909600
1998-03-17,38.0600,40.8800,38.0600,40.5000,1.2306,6812000
1998-03-18,40.4400,41.6200,39.5000,40.7500,1.2382,1391600
1998-03-19,40.7500,42.1200,40.6200,42.0000,1.2762,1423400
1998-03-20,43.8800,43.8800,43.3100,43.7500,1.3294,2314200
1998-03-23,43.2500,43.2500,42.2500,42.6900,1.2971,1222600
1998-03-24,42.8800,43.6900,42.5000,43.5600,1.3236,1125200
1998-03-25,43.7500,44.2500,43.1200,43.7500,1.3294,1861800
1998-03-26,43.9400,44.3800,42.6200,44.3800,1.3485,677200
1998-03-27,44.4400,45.3100,43.7500,45.0000,1.3673,1859200
1998-03-30,45.2500,46.0000,44.7500,45.0600,1.3692,2248600
1998-03-31,45.1200,45.3100,43.6200,44.0000,1.3369,918600
1998-04-01,44.6200,44.6200,43.3800,44.1200,1.3406,973600
1998-04-02,42.7500,45.3800,42.6200,45.3800,1.3789,3229000
1998-04-03,45.4400,46.2500,44.5000,45.7500,1.3901,885000
1998-04-06,45.7500,48.0000,45.7500,47.3100,1.4375,1949600
1998-04-07,47.1200,48.8800,47.1200,48.0000,1.4585,2285200
1998-04-08,47.7500,47.8800,46.3800,46.5600,1.4147,980800
1998-04-09,46.5600,48.5000,46.3800,48.2500,1.4661,1274800
1998-04-13,48.2500,49.5000,48.0000,49.3800,1.5004,1938200
1998-04-14,49.2500,49.6200,48.8800,49.5600,1.5059,898400
1998-04-15,49.4400,49.5000,47.1900,48.0600,1.4603,653000
1998-04-16,48.3100,48.3100,46.1200,46.4400,1.4111,778800
1998-04-17,46.2500,48.0000,46.1200,47.8100,1.4527,652200
1998-04-20,48.0000,48.0000,46.6200,47.1900,1.4339,416200
1998-04-21,47.1200,47.2500,45.2500,45.7500,1.3901,665600
1998-04-22,45.8800,46.8100,45.5600,46.1900,1.4035,520000
1998-04-23,46.3100,46.7500,44.7500,45.1900,1.3731,395200
1998-04-24,45.3100,46.9400,44.5600,44.7500,1.3597,854800
1998-04-27,43.7500,44.6900,43.0000,44.6200,1.3558,713800
1998-04-28,44.3800,45.5000,44.3800,45.3800,1.3789,969200
1998-04-29,45.3800,45.3800,44.6900,45.0600,1.3692,395600
