,open,high,low,close,adj_close,volume
1998-01-02,49.3800,50.0600,49.1300,49.6900,26.6392,288700
1998-01-05,50.0600,50.1900,47.8100,48.7500,26.1353,555500
1998-01-06,48.0000,49.5600,48.0000,49.5600,26.5695,357900
1998-01-07,49.5000,49.5000,48.5000,49.0000,26.2693,327200
1998-01-08,48.8800,49.0000,48.1300,48.7500,26.1353,375800
1998-01-09,48.7500,49.0000,46.8800,47.6900,25.5670,439000
1998-01-12,47.0000,48.7500,46.8800,48.7500,26.1353,395100
1998-01-13,48.8800,49.0000,47.9400,48.8800,26.2050,276600
1998-01-14,48.8800,48.8800,47.5600,48.4400,25.9691,289500
1998-01-15,48.2500,48.5000,47.9400,48.5000,26.0013,141700
1998-01-16,49.0000,49.3100,48.3800,48.9400,26.2372,396400
1998-01-20,49.1300,49.4400,48.6300,49.4400,26.5052,239000
1998-01-21,48.9400,49.1300,48.0600,48.4400,25.9691,353700
1998-01-22,48.1900,49.6300,48.0600,48.9400,26.2372,450100
1998-01-23,48.5000,48.7500,47.6300,48.2500,25.8672,228600
1998-01-26,48.2500,49.0600,47.8100,48.4400,25.9691,381200
1998-01-27,47.6300,49.1900,47.6300,48.8100,26.1675,372300
1998-01-28,48.5600,48.8100,48.1900,48.8100,26.1675,205000
1998-01-29,48.9400,49.9400,48.5000,48.7500,26.1353,374700
1998-01-30,48.2500,48.6300,45.1300,46.3800,24.8647,1235600
1998-02-02,46.1300,46.5600,45.5600,46.0000,24.6610,1682800
1998-02-03,45.7500,45.8800,44.0000,44.8800,24.0606,1142500
1998-02-04,44.1300,44.9400,43.6300,43.9400,23.5566,1348400
1998-02-05,44.0600,44.1300,42.7500,43.2500,23.1867,1048400
1998-02-06,43.7500,43.8100,43.0000,43.2500,23.1867,663600
1998-02-09,44.0000,44.5000,43.8100,44.5000,23.8568,778800
1998-02-10,44.5000,44.9400,43.7500,44.1900,23.6906,434300
1998-02-11,43.9400,44.4400,43.9400,44.2500,23.7228,479100
1998-02-12,44.2500,44.6300,43.5600,44.3800,23.7925,582200
1998-02-13,44.0000,44.3100,43.9400,44.2500,23.7228,311700
1998-02-17,44.3800,44.5600,43.6900,44.1900,23.6906,493500
1998-02-18,44.1300,44.8100,43.8100,44.5000,23.8568,440300
1998-02-19,44.0000,44.2500,43.5600,43.9400,23.5566,458600
1998-02-20,43.8800,43.8800,43.1900,43.6900,23.4226,566400
1998-02-23,43.0600,43.4400,42.8800,43.3800,23.2564,552900
1998-02-24,42.8800,43.1300,42.3100,42.8800,22.9883,1032300
1998-02-25,42.8800,43.3800,42.6900,43.3800,23.2564,556100
1998-02-26,42.8800,43.0000,42.5000,42.6900,23.0071,538300
