,open,high,low,close,adj_close,volume
1998-01-02,25.3100,25.3800,24.8100,25.2500,4.5799,446400
1998-01-05,25.2500,25.5000,25.0600,25.3800,4.6035,584100
1998-01-06,25.1200,25.8800,25.0600,25.6900,4.6597,878600
1998-01-07,25.8100,26.2500,25.4400,25.8800,4.6942,1019200
1998-01-08,26.1900,26.5000,26.0000,26.4400,4.7958,1443300
1998-01-09,26.3100,26.4400,25.8100,26.0000,4.7160,955300
1998-01-12,25.2500,25.9400,25.2500,25.7500,4.6706,680200
1998-01-13,25.7500,26.0000,25.5600,26.0000,4.7160,330400
1998-01-14,26.0000,26.6200,25.5600,26.5000,4.8067,510100
1998-01-15,26.3800,26.9400,26.0000,26.6900,4.8411,902200
1998-01-16,26.8100,26.8800,26.5600,26.5600,4.8175,553100
1998-01-20,26.4400,27.4400,26.2500,27.2500,4.9427,1166800
1998-01-21,27.0000,27.2500,26.6900,26.7500,4.8520,525300
1998-01-22,26.3800,26.8800,26.0600,26.8800,4.8756,427700
1998-01-23,26.7500,27.1200,26.4400,26.8800,4.8756,496800
1998-01-26,26.7500,26.8800,26.3800,26.7500,4.8520,282100
1998-01-27,26.5000,27.1200,26.3800,26.6200,4.8284,703000
1998-01-28,26.4400,26.8800,26.4400,26.5600,4.8175,380800
1998-01-29,26.5600,27.0000,26.4400,26.7500,4.8520,966800
1998-01-30,26.6900,27.0000,26.3800,26.5000,4.8067,738300
1998-02-02,26.6200,27.2500,26.5600,27.1200,4.9191,807500
1998-02-03,27.0000,28.0600,26.8800,27.8800,5.0570,1168600
1998-02-04,27.7500,28.1900,27.6900,28.1200,5.1005,779900
1998-02-05,28.4400,28.4400,27.9400,28.4400,5.1586,652400
1998-02-06,28.4400,29.1200,28.3100,29.0600,5.2710,948600
1998-02-09,29.3800,29.6200,28.6200,29.4400,5.3399,1169000
1998-02-10,29.4400,29.5000,29.0600,29.4400,5.3399,313300
1998-02-11,29.3800,29.4400,28.8800,29.1900,5.2946,433200
1998-02-12,29.0000,29.5000,28.8800,29.2500,5.3055,497700
1998-02-13,29.6200,30.5000,29.5000,30.5000,5.5322,966600
1998-02-17,31.0000,31.8100,30.7500,31.5000,5.7136,1995300
1998-02-18,30.4400,31.3800,30.4400,30.8800,5.6011,2286200
1998-02-19,30.3800,30.3800,29.8100,30.1900,5.4760,1602400
1998-02-20,30.1900,30.1900,29.6200,29.7500,5.3962,956000
1998-02-23,29.8800,30.0000,29.1200,29.3800,5.3291,1568200
1998-02-24,29.1200,29.1900,28.6900,28.8800,5.2384,1057100
1998-02-25,28.8800,29.5000,28.7500,29.4400,5.3399,1181500
1998-02-26,29.4400,29.5000,29.0000,29.4400,5.3399,609800
1998-02-27,29.5000,29.5000,28.6200,29.0000,5.2601,493800
1998-03-02,28.9400,29.4400,28.8800,29.2500,5.3055,2623200
1998-03-03,29.0000,29.2500,28.8800,29.0000,5.2601,571100
1998-03-04,28.8100,29.0000,28.6200,28.7500,5.2384,629500
1998-03-05,28.5000,29.0600,28.1200,28.9400,5.2730,3716800
1998-03-06,29.0000,29.1900,28.8100,29.0000,5.2839,3875200
1998-03-09,28.7500,29.7500,28.7500,29.5000,5.3750,1049100
1998-03-10,29.5600,29.6900,29.3800,29.6200,5.3969,936800
1998-03-11,29.6200,29.7500,29.4400,29.7500,5.4206,707700
1998-03-12,29.6900,29.6900,29.2500,29.4400,5.3641,592900
1998-03-13,29.5000,29.9400,29.1200,29.3100,5.3404,643100
1998-03-16,29.5000,30.2500,29.5000,30.2500,5.5117,596500
1998-03-17,30.1200,30.1900,29.3800,29.8100,5.4315,1789800
1998-03-18,29.6900,29.9400,29.5600,29.7500,5.4206,734300
1998-03-19,29.6200,29.7500,29.2500,29.6200,5.3969,1038500
1998-03-20,29.6200,29.8100,29.2500,29.3800,5.3531,1679200
1998-03-23,29.0000,29.1200,28.1900,28.4400,5.1819,1493900
