,open,high,low,close,adj_close,volume
1998-01-02,41.6300,42.5600,40.8800,42.5000,10.5385,87200
1998-01-05,42.5000,42.6300,41.8100,42.1900,10.4616,171700
1998-01-06,42.1900,42.3800,41.8100,42.2500,10.4765,113500
1998-01-07,42.0000,42.1300,41.8800,42.0600,10.4294,150500
1998-01-08,41.9400,42.1900,41.6300,42.1900,10.4616,141300
1998-01-09,42.1300,42.3800,42.1300,42.3800,10.5087,221900
1998-01-12,42.3100,43.3800,42.1900,42.7500,10.6005,392800
1998-01-13,42.7500,42.7500,42.1900,42.4400,10.5236,506900
1998-01-14,42.5000,43.2500,42.5000,43.0600,10.6773,198700
1998-01-15,43.2500,43.5600,43.1900,43.5000,10.7864,252600
1998-01-16,43.9400,44.6900,43.5000,44.5600,11.0493,169600
1998-01-20,44.5000,46.0000,44.5000,46.0000,11.4064,191800
1998-01-21,46.0600,46.5000,45.0000,45.4400,11.2675,159700
1998-01-22,45.2500,45.2500,44.6900,45.0000,11.1584,89800
1998-01-23,45.0000,45.8800,45.0000,45.6300,11.3146,109000
1998-01-26,45.6300,45.7500,44.6900,45.0600,11.1733,55200
1998-01-27,45.0600,45.3800,44.8800,45.2500,11.2204,148500
1998-01-28,45.3100,45.6300,45.3100,45.5000,11.2824,49600
1998-01-29,45.5600,47.0600,45.5000,45.9400,11.3915,127200
1998-01-30,45.8800,45.8800,44.9400,45.1900,11.2055,111900
1998-02-02,45.4400,47.0000,45.4400,46.1900,11.4535,143700
1998-02-03,46.2500,46.8800,46.1900,46.3800,11.5006,133100
1998-02-04,46.4400,47.2500,46.2500,47.0600,11.6692,114600
1998-02-05,47.5000,49.0000,47.5000,48.6300,12.0585,206400
1998-02-06,48.6300,49.4400,48.6300,49.3100,12.2271,358900
1998-02-09,49.5000,49.9400,49.1900,49.3100,12.2271,417000
1998-02-10,49.2500,50.0000,49.1900,49.9400,12.3833,202900
1998-02-11,49.8100,50.6300,49.6900,50.0600,12.4131,112800
1998-02-12,50.0600,50.0600,49.6300,50.0000,12.3982,142200
1998-02-13,50.0000,50.0000,49.3800,49.4400,12.2594,89300
1998-02-17,49.6900,50.0000,49.2500,49.3100,12.2271,107400
1998-02-18,49.4400,49.8800,49.1300,49.7500,12.3362,72600
1998-02-19,49.6300,49.7500,49.0600,49.1300,12.1825,102900
1998-02-20,49.1900,49.3800,48.4400,49.2500,12.2122,135200
1998-02-23,49.3800,49.7500,49.3100,49.6900,12.3213,128400
1998-02-24,49.5000,49.5000,48.6900,49.2500,12.2122,89500
1998-02-25,49.0000,49.8100,49.0000,49.6300,12.3437,44500
1998-02-26,49.6300,50.0600,49.6300,49.7500,12.3735,215800
1998-02-27,49.7500,50.2500,49.6300,50.1900,12.4829,79400
1998-03-02,50.1900,50.4400,49.3100,49.8800,12.4058,108000
1998-03-03,49.8800,50.4400,49.8800,50.0600,12.4506,68600
1998-03-04,50.1900,50.4400,49.8100,50.3100,12.5128,133100
1998-03-05,50.3100,51.0000,50.1900,51.0000,12.6844,170500
1998-03-06,51.0000,52.3100,51.0000,52.3100,13.0102,289200
1998-03-09,52.1300,53.3800,52.0600,52.5000,13.0575,307200
1998-03-10,52.3800,52.6900,52.0000,52.5000,13.0575,146500
1998-03-11,52.7500,54.7500,52.4400,53.8800,13.4007,182600
1998-03-12,53.8800,54.9400,53.8800,54.9400,13.6643,235500
1998-03-13,55.0000,55.5000,54.5000,54.7500,13.6171,204000
1998-03-16,54.8800,54.9400,54.5600,54.6900,13.6022,71100
1998-03-17,54.7500,54.9400,54.3800,54.7500,13.6171,61400
1998-03-18,54.6300,54.6900,54.2500,54.5000,13.5549,644100
1998-03-19,54.5000,54.5600,54.2500,54.5000,13.5549,284600
