,open,high,low,close,adj_close,volume
1998-01-02,21.6300,21.6300,21.4400,21.5000,8.1974,197800
1998-01-05,21.5000,22.1300,21.5000,21.8100,8.3156,281400
1998-01-06,22.0000,22.0000,21.4400,21.6300,8.2470,479600
1998-01-07,21.5000,21.5600,21.3100,21.5000,8.1974,165800
1998-01-08,21.5000,21.5000,21.2500,21.5000,8.1974,396900
1998-01-09,21.3800,21.4400,20.7500,21.0000,8.0068,299700
1998-01-12,20.6300,21.1300,20.5000,21.1300,8.0564,507400
1998-01-13,21.2500,21.7500,21.2500,21.4400,8.1746,250400
1998-01-14,21.6300,21.6900,21.5000,21.6900,8.2699,349800
1998-01-15,21.7500,22.0000,21.6300,21.8100,8.3156,433700
1998-01-16,22.1300,22.1300,20.5000,20.8100,7.9344,616800
1998-01-20,21.1900,21.5000,21.0000,21.5000,8.1974,331700
1998-01-21,21.6300,21.8800,21.4400,21.8100,8.3156,233200
1998-01-22,21.9400,22.8800,21.8100,22.8100,8.6969,814700
1998-01-23,23.1900,23.1900,22.5000,22.7500,8.6740,596000
1998-01-26,22.8800,22.8800,21.5000,22.6300,8.6283,349600
1998-01-27,22.6300,23.0000,22.6300,22.9400,8.7465,225600
1998-01-28,23.0000,23.1900,22.7500,23.1900,8.8418,290000
1998-01-29,23.0000,24.1900,22.9400,24.1300,9.2002,431600
1998-01-30,24.3800,24.8100,24.1300,24.5600,9.3641,373000
1998-02-02,25.5000,25.7500,24.8800,25.1300,9.5815,552700
1998-02-03,25.3800,25.4400,24.7500,25.3100,9.6551,288600
1998-02-04,25.5000,26.3800,25.3800,26.3800,10.0632,475000
1998-02-05,27.0000,27.5000,26.3800,27.0000,10.2998,594500
1998-02-06,27.0600,27.2500,26.3800,26.6900,10.1815,200600
1998-02-09,26.8800,26.9400,26.5000,26.6300,10.1586,430600
1998-02-10,26.7500,27.0000,26.5600,26.8800,10.2540,310100
1998-02-11,26.8800,28.1300,26.7500,28.0000,10.6812,376500
1998-02-12,27.9400,28.3100,27.8800,28.0000,10.6812,206700
1998-02-13,28.1300,28.3800,28.1300,28.3100,10.7995,175400
1998-02-17,28.5000,28.7500,27.8800,28.0000,10.6812,177300
1998-02-18,28.1300,28.5000,27.5000,27.6900,10.5630,133400
1998-02-19,27.6300,27.8100,27.3800,27.7500,10.5859,139800
1998-02-20,27.6300,27.7500,27.5000,27.7500,10.5859,74400
1998-02-23,27.7500,27.8800,27.3800,27.3800,10.4447,134100
1998-02-24,27.4400,27.4400,27.0000,27.4400,10.4676,98400
1998-02-25,27.8100,28.2500,27.4400,27.6300,10.5401,133500
1998-02-26,27.6300,27.8100,27.1900,27.5000,10.4905,184400
1998-02-27,27.5000,28.0000,27.4400,27.9400,10.6583,127800
1998-03-02,27.9400,27.9400,27.7500,27.8800,10.6354,114800
1998-03-03,27.9400,28.0600,27.7500,28.0000,10.6812,221100
1998-03-04,28.3100,29.2500,28.1300,29.2500,11.1581,572400
1998-03-05,29.1900,29.4400,28.7500,29.0600,11.0856,197100
1998-03-06,29.1900,29.6300,29.0600,29.3100,11.1810,220900
1998-03-09,29.3100,29.5000,29.0000,29.3800,11.2077,210700
1998-03-10,29.4400,29.6300,29.3100,29.5000,11.2534,268100
1998-03-11,29.6900,29.8800,29.5000,29.8100,11.3717,244100
1998-03-12,29.8800,29.9400,29.6300,29.7500,11.3488,134200
1998-03-13,29.6300,29.7500,29.1300,29.3800,11.2077,84700
1998-03-16,29.5000,30.7500,29.5000,30.3800,11.5891,208300
1998-03-17,30.3800,31.0000,29.9400,30.8100,11.7532,201900
1998-03-18,30.8800,30.8800,30.6300,30.8100,11.7532,344600
1998-03-19,30.6900,30.6900,29.5000,30.0000,11.4442,372600
1998-03-20,30.0000,31.4400,29.9400,31.2500,11.9210,624000
1998-03-23,31.0000,31.1300,30.3100,30.3800,11.5891,269900
1998-03-24,30.0000,31.1300,29.8800,31.0000,11.8256,276200
1998-03-25,31.6300,33.6900,31.6300,32.8800,12.5428,498300
1998-03-26,33.1300,34.1300,33.0000,33.1300,12.6382,359700
1998-03-27,33.3800,33.8800,32.7500,32.8100,12.5161,232400
1998-03-30,32.8100,33.5000,32.8100,33.1900,12.6611,273300
1998-03-31,33.3100,34.6300,33.3100,34.4400,13.1379,295000
1998-04-01,34.6300,35.0000,33.5000,33.6300,12.8289,443100
1998-04-02,34.0000,35.3800,34.0000,34.3800,13.1150,363500
1998-04-03,34.6300,34.7500,34.2500,34.6900,13.2333,204500
1998-04-06,34.9400,35.0000,33.8800,33.9400,12.9472,133000
1998-04-07,33.8800,34.3800,33.8800,34.0600,12.9929,146900
1998-04-08,34.0600,34.3800,33.9400,34.0000,12.9701,215000
1998-04-09,35.0000,36.0000,35.0000,35.1300,13.4011,305500
1998-04-13,35.2500,35.3800,34.8800,35.0000,13.3515,129700
1998-04-14,35.1300,35.2500,35.0000,35.0000,13.3515,100400
1998-04-15,35.0000,35.2500,34.8800,35.2500,13.4469,149200
1998-04-16,35.4400,35.4400,34.5600,35.3100,13.4698,171300
1998-04-17,35.3100,36.0000,34.9400,36.0000,13.7330,166700
1998-04-20,36.1300,36.1900,35.3800,35.4400,13.5194,121400
1998-04-21,35.5000,35.6300,35.3800,35.3800,13.4965,101400
1998-04-22,35.3800,35.5600,35.0600,35.3800,13.4965,158600
1998-04-23,35.5000,35.5000,31.0000,33.3800,12.7335,445100
1998-04-24,33.1300,33.2500,32.0000,32.2500,12.3025,281100
1998-04-27,31.0000,31.0000,27.8800,29.0000,11.0627,1121900
1998-04-28,29.6300,29.8800,26.6300,26.9400,10.2769,1421300
1998-04-29,27.0000,27.6300,26.1300,26.9400,10.2769,1357600
1998-04-30,27.1300,27.8100,27.1300,27.4400,10.4676,1273500
1998-05-01,27.6300,28.5000,27.6300,27.6900,10.5679,492300
1998-05-04,28.0000,29.6900,27.9400,29.3100,11.1862,612800
1998-05-05,29.3100,29.5000,28.6300,29.1900,11.1404,373400
1998-05-06,28.9400,29.0600,28.3100,28.4400,10.8542,231200
1998-05-07,28.4400,28.5000,27.6300,27.8100,10.6137,375800
1998-05-08,27.8100,28.6900,27.8100,28.5000,10.8771,217900
1998-05-11,28.5000,28.6300,28.3100,28.3100,10.8046,159900
1998-05-12,28.0000,28.2500,27.7500,28.2500,10.7817,96200
1998-05-13,28.2500,28.3800,27.8800,28.0000,10.6862,229400
1998-05-14,27.8100,28.0000,27.5000,27.5000,10.4954,180800
1998-05-15,27.5000,27.5000,26.5000,26.5000,10.1138,195700
1998-05-18,26.2500,26.5000,24.7500,25.5000,9.7321,815400
1998-05-19,25.5600,27.0000,25.5600,26.3100,10.0412,297600
1998-05-20,26.0600,26.2500,25.3800,25.5000,9.7321,317500
1998-05-21,26.0000,26.5000,25.0000,25.8100,9.8504,379800
1998-05-22,25.7500,26.0000,25.0600,25.5600,9.7550,124800
1998-05-26,25.6300,25.6300,24.8800,25.0000,9.5413,291700
1998-05-27,24.8100,24.8100,24.1900,24.3100,9.2779,232100
1998-05-28,24.3100,25.3100,24.2500,25.1300,9.5909,467400
1998-05-29,27.0000,27.3100,26.1300,26.5000,10.1138,613700
1998-06-01,26.7500,27.8100,26.6300,26.8800,10.2588,436400
1998-06-02,26.9400,27.9400,26.9400,27.9400,10.6633,467700
1998-06-03,28.0600,28.5000,27.9400,28.0000,10.6862,271700
1998-06-04,28.2500,28.2500,27.5600,28.0600,10.7091,96300
1998-06-05,28.0600,29.7500,28.0000,29.6300,11.3083,384900
1998-06-08,29.7500,29.8100,29.0000,29.0000,11.0679,107600
1998-06-09,29.0000,29.4400,29.0000,29.0000,11.0679,115200
1998-06-10,29.5000,29.6200,29.0000,29.1200,11.1137,271800
1998-06-11,29.0000,29.3100,28.7500,28.7500,10.9725,150500
1998-06-12,28.8800,28.9400,27.7500,28.9400,11.0450,250300
1998-06-15,29.1300,29.1300,27.8800,27.9400,10.6633,291700
1998-06-16,27.7500,28.7500,27.7500,28.5600,10.9000,168600
1998-06-17,30.3800,30.3800,29.0000,29.0600,11.0908,561300
1998-06-18,29.0600,29.2500,27.2500,27.7500,10.5908,205900
1998-06-19,27.9400,28.2500,27.1300,27.1300,10.3542,347400
1998-06-22,27.3800,29.2500,27.1900,28.6300,10.9267,720800
1998-06-23,30.3800,30.4400,29.8800,30.3800,11.5946,729300
1998-06-24,31.2500,32.6300,31.0600,32.1900,12.2854,1109900
1998-06-25,32.5000,32.6900,31.2500,31.2500,11.9266,517200
1998-06-26,31.2500,32.0000,31.1300,31.1300,11.8808,203300
1998-06-29,31.1300,31.3100,30.6300,30.6900,11.7129,348600
1998-06-30,30.6300,31.9400,29.5000,29.5000,11.2587,1089500
1998-07-01,31.0000,33.1900,31.0000,32.0000,12.2128,1071800
1998-07-02,32.5000,33.3800,32.1300,32.9400,12.5716,339600
1998-07-06,33.3100,33.9400,33.0600,33.8800,12.9303,317400
1998-07-07,34.0000,34.3800,33.0600,33.5000,12.7853,403900
1998-07-08,33.7500,33.7500,31.9400,32.8100,12.5220,492100
1998-07-09,32.8100,32.8100,31.7500,32.1900,12.2854,312600
1998-07-10,32.3100,32.5000,32.0000,32.5000,12.4037,275600
1998-07-13,32.6300,33.0000,32.3800,32.9400,12.5716,194200
1998-07-14,33.0000,33.1300,32.5600,32.9400,12.5716,302700
1998-07-15,33.0600,33.0600,31.6300,32.0600,12.2357,118500
1998-07-16,32.1300,32.6300,32.0600,32.6300,12.4533,122100
1998-07-17,32.6300,32.7500,31.8800,32.0000,12.2128,213400
1998-07-20,32.0000,32.5000,32.0000,32.5000,12.4037,150700
1998-07-21,32.7500,33.5000,31.6300,32.0000,12.2128,484300
1998-07-22,32.0000,32.0000,30.1900,30.1900,11.5221,439200
1998-07-23,30.1900,30.2500,29.4400,29.6300,11.3083,899300
1998-07-24,29.5000,29.5000,28.1900,28.1900,10.7588,1030700
1998-07-27,28.2500,29.0600,28.0000,28.9400,11.0450,398400
1998-07-28,28.9400,28.9400,27.2500,27.2500,10.4000,208900
1998-07-29,27.6300,28.1300,27.0000,27.0000,10.3046,387500
1998-07-30,27.0600,28.0000,27.0000,27.6300,10.5450,484400
1998-07-31,27.6300,27.9400,27.2500,27.6300,10.5450,383500
1998-08-03,27.6300,27.7500,26.5600,26.5600,10.1367,258200
1998-08-04,26.7500,27.0000,25.1300,25.2500,9.6367,288900
1998-08-05,25.1900,26.7500,25.0000,25.6900,9.8096,273800
1998-08-06,25.0000,25.9400,25.0000,25.5000,9.7370,166100
1998-08-07,25.8800,27.3100,25.8800,26.9400,10.2869,316000
1998-08-10,27.1300,27.1300,26.1300,26.5000,10.1189,234000
1998-08-11,26.1300,26.1300,25.2500,25.7500,9.8325,172100
1998-08-12,26.1300,26.3800,25.2500,26.3800,10.0731,170300
1998-08-13,26.0000,27.2500,25.8800,26.6300,10.1685,157800
1998-08-14,26.5000,26.9400,26.1900,26.3100,10.0463,81600
1998-08-17,26.4400,26.7500,26.0000,26.6300,10.1685,140200
1998-08-18,27.2500,28.5000,27.1300,28.4400,10.8597,499700
1998-08-19,28.5000,28.5000,28.0000,28.1300,10.7413,264600
1998-08-20,28.1300,28.1300,27.2500,27.5600,10.5236,148700
1998-08-21,27.5600,27.5600,26.5000,27.0000,10.3098,258600
1998-08-24,26.9400,27.2500,26.7500,26.8800,10.2640,259400
1998-08-25,27.2500,28.0000,27.2500,27.2500,10.4053,280300
1998-08-26,26.8800,26.9400,26.3100,26.3100,10.0463,177800
1998-08-27,26.1300,26.3800,24.5000,24.5000,9.3552,359200
1998-08-28,24.7500,25.3800,23.5600,24.0000,9.1643,263100
1998-08-31,22.2500,22.8100,18.1300,18.1300,6.9228,890300
1998-09-01,19.1300,20.5000,18.4400,20.2500,7.7324,589800
1998-09-02,20.7500,21.0000,19.2500,19.2500,7.3505,386100
1998-09-03,19.2500,19.6900,18.5000,18.6300,7.1138,264600
1998-09-04,18.8800,19.7500,18.7500,19.1900,7.3276,333400
1998-09-08,20.0600,20.6300,19.5000,19.8800,7.5911,456400
1998-09-09,19.8800,20.9400,19.7500,19.9400,7.6140,328900
1998-09-10,19.5600,19.6900,19.1300,19.3800,7.4001,280600
1998-09-11,19.3800,19.6900,18.8100,19.3100,7.3734,236400
1998-09-14,19.7500,20.5000,19.7500,20.3800,7.7820,179700
1998-09-15,20.5600,21.0000,20.4400,20.9400,7.9958,308900
1998-09-16,21.3100,21.3100,20.2500,20.2500,7.7324,252100
1998-09-17,20.1300,20.2500,19.7500,19.9400,7.6140,195300
1998-09-18,19.8100,20.8800,19.1300,19.1300,7.3047,355500
1998-09-21,19.0000,19.6300,18.0000,19.3100,7.3734,403900
1998-09-22,20.7500,20.7500,19.0000,19.5000,7.4460,516300
1998-09-23,20.1300,21.7500,20.1300,21.7500,8.3051,747800
1998-09-24,21.4400,22.3800,21.3100,21.8100,8.3280,425700
1998-09-25,21.7500,23.3800,21.5000,22.8800,8.7366,316700
1998-09-28,23.3800,23.5600,23.0000,23.5000,8.9733,385200
1998-09-29,23.5000,23.5600,21.8100,22.6900,8.6641,216700
1998-09-30,22.3100,22.3100,21.0000,22.3100,8.5190,151900
1998-10-01,21.5600,21.5600,19.3100,19.6900,7.5185,611400
1998-10-02,19.7500,19.8800,18.6900,19.1900,7.3276,403600
1998-10-05,19.2500,19.6300,18.1900,18.4400,7.0412,198400
1998-10-06,18.6900,19.0600,18.2500,18.4400,7.0412,142400
1998-10-07,18.4400,18.4400,16.7500,16.8800,6.4455,254100
