,open,high,low,close,adj_close,volume
2018-10-01,165.5800,169.1000,165.2900,168.8700,167.1160,2329700
2018-10-11,157.9300,158.2100,153.7700,154.2600,152.6577,1977000
2018-10-30,166.1100,167.6700,162.7400,164.5000,162.7913,57375600
2018-10-31,161.7400,165.6000,161.3100,165.4700,163.7513,18032219
2018-11-01,164.6600,165.4800,161.9400,162.0000,160.3173,11423528
2018-11-02,160.6600,161.8100,155.4400,159.8400,158.1798,6835139
2018-11-05,157.6500,162.1900,157.4500,161.9900,160.3074,4477443
2018-11-06,161.8300,166.3500,161.6700,165.5300,163.8106,2510572
2018-11-07,164.5400,166.8500,164.2300,166.8500,165.1169,7626295
2018-11-08,164.5000,166.1500,162.9300,165.3000,163.5830,4010008
2018-11-09,162.9900,163.9400,160.5500,161.5200,159.8423,3249146
2018-11-12,160.0600,162.3000,158.9100,159.2200,157.5662,1990839
2018-11-13,160.2200,160.3300,156.5300,156.9300,155.3000,2507084
2018-11-14,158.1900,158.2400,153.0000,153.3600,151.7671,2338763
2018-11-15,156.0900,156.3000,152.5600,155.1800,153.5682,2759391
2018-11-16,153.7400,158.4575,153.4000,158.0800,156.4380,2726823
2018-11-19,158.6100,161.4500,158.4400,159.5000,157.8433,2464717
2018-11-20,157.4900,160.1900,157.2400,157.8700,156.2302,2151626
2018-11-21,159.2400,161.2400,158.5518,159.0600,157.4079,2070941
2018-11-23,156.8600,158.0100,156.0200,156.1900,154.5677,963558
2018-11-26,157.0400,158.2200,156.8800,157.3200,155.6859,2678195
2018-11-27,155.6600,156.6500,151.5200,152.5500,150.9655,2525894
2018-11-28,153.5300,156.4800,151.7000,156.2900,154.6666,1808830
2018-11-29,155.5100,159.8400,155.3500,159.3100,157.6553,2901283
2018-11-30,157.0200,160.6100,156.9400,159.0500,157.3980,3944199
2018-12-03,162.3000,164.4200,159.9200,164.3500,162.6429,3177158
2018-12-04,163.9500,164.2900,160.4500,160.8300,159.1595,2746072
2018-12-06,158.5300,159.0200,153.0000,155.9800,154.3598,4785369
2018-12-07,156.2200,158.5200,152.3600,152.7200,151.1337,2518766
2018-12-10,156.0300,157.5450,154.1100,156.9100,155.2802,2540418
2018-12-11,161.1600,162.4600,156.6500,157.4600,155.8245,2552869
2018-12-12,161.6500,162.1400,159.4600,160.5500,158.8824,2402588
2018-12-13,160.4000,161.3000,157.3000,158.0900,156.4479,2456699
2018-12-14,157.3800,158.4700,156.0500,156.9300,155.3000,2360754
2018-12-17,157.1900,159.4400,155.5900,157.3300,156.5123,3148643
2018-12-18,158.4200,158.8900,156.6300,157.6100,156.7908,2147003
2018-12-19,157.4000,158.5000,155.2100,155.8300,155.0200,2618675
2018-12-20,154.4800,156.4000,152.4400,154.0500,153.2493,3398929
2018-12-21,156.0100,157.4800,153.0300,153.1100,152.3142,5452061
2018-12-24,152.7000,153.4100,148.1300,148.1300,147.3601,2086789
2018-12-26,148.7500,152.7700,145.9500,152.7400,151.9461,2591492
2018-12-27,152.0500,156.4100,150.6000,156.4100,155.5970,2866950
2018-12-28,157.1000,158.5600,155.0400,156.3100,155.4976,1586143
2018-12-31,156.2300,157.0000,153.9400,156.0400,155.2290,1853930
2019-01-02,153.5300,158.1600,153.5200,157.2000,156.3829,1716443
2019-01-03,154.0600,154.3500,151.9300,152.2900,151.4984,1775529
2019-01-04,153.8300,157.6200,153.3600,156.6300,155.8159,1801275
2019-01-07,155.7800,158.0400,155.1500,156.4900,155.6766,1830185
2019-01-08,156.0900,158.5600,155.2000,158.1500,157.3280,2207298
2019-01-09,156.7300,159.5300,156.3300,158.4600,157.6364,2099888
2019-01-10,158.7000,161.9800,158.3500,161.8500,161.0088,2093890
2019-01-11,160.5600,160.7600,159.3700,160.2100,159.3773,1380391
2019-01-14,158.3700,159.5000,157.7000,158.0200,157.1987,2004827
2019-01-15,156.8400,157.8700,156.5400,157.2300,156.4128,2110706
2019-01-16,157.5300,158.4200,157.0800,157.2400,156.4227,1382133
2019-01-17,156.4000,157.6500,156.2100,157.2600,156.4426,2176501
2019-01-18,158.7600,161.4500,158.0100,160.7900,159.9543,2494756
2019-01-22,161.6100,161.7800,159.6900,160.8400,160.0040,1699074
2019-01-23,160.5700,161.0900,157.4600,158.9300,158.1039,1569547
